End date,"1/7/2017"
Specimen label,"3AG_22"
Maximum Load,"0.73679",N

Time,Extension,Load
(s),(mm),(N)
"3.78600","0.31569","0.01739"
"3.79200","0.31617","0.01738"
"3.79800","0.31665","0.01726"
"3.80400","0.31718","0.01715"
"3.81000","0.31766","0.01700"
"3.81600","0.31814","0.01698"
"3.82200","0.31868","0.01707"
"3.82800","0.31916","0.01710"
"3.83400","0.31963","0.01707"
"3.84000","0.32017","0.01694"
"3.84600","0.32065","0.01695"
"3.85200","0.32119","0.01696"
"3.85800","0.32167","0.01706"
"3.86400","0.32221","0.01714"
"3.87000","0.32268","0.01720"
"3.87600","0.32316","0.01719"
"3.88200","0.32364","0.01724"
"3.88800","0.32418","0.01739"
"3.89400","0.32466","0.01746"
"3.90000","0.32520","0.01737"
"3.90600","0.32567","0.01724"
"3.91200","0.32621","0.01718"
"3.91800","0.32669","0.01712"
"3.92400","0.32723","0.01718"
"3.93000","0.32771","0.01733"
"3.93600","0.32818","0.01730"
"3.94200","0.32866","0.01718"
"3.94800","0.32920","0.01704"
"3.95400","0.32968","0.01698"
"3.96000","0.33016","0.01701"
"3.96600","0.33070","0.01710"
"3.97200","0.33117","0.01709"
"3.97800","0.33165","0.01713"
"3.98400","0.33219","0.01722"
"3.99000","0.33267","0.01721"
"3.99600","0.33321","0.01724"
"4.00200","0.33369","0.01739"
"4.00800","0.33422","0.01746"
"4.01400","0.33470","0.01748"
"4.02000","0.33524","0.01743"
"4.02600","0.33572","0.01736"
"4.03200","0.33620","0.01728"
"4.03800","0.33673","0.01729"
"4.04400","0.33721","0.01734"
"4.05000","0.33775","0.01736"
"4.05600","0.33823","0.01728"
"4.06200","0.33871","0.01739"
"4.06800","0.33925","0.01760"
"4.07400","0.33972","0.01767"
"4.08000","0.34026","0.01769"
"4.08600","0.34074","0.01777"
"4.09200","0.34122","0.01788"
"4.09800","0.34170","0.01789"
"4.10400","0.34224","0.01787"
"4.11000","0.34271","0.01793"
