End date,"12/26/2016"
Specimen label,"11BG_81_2_run2"
Maximum Load,"0.05442",N

Time,Extension,Load
(s),(mm),(N)
"2.28000","35.34123","0.01113"
"2.28600","35.34171","0.01111"
"2.29200","35.34225","0.01099"
"2.29800","35.34273","0.01094"
"2.30400","35.34321","0.01091"
"2.31000","35.34369","0.01085"
"2.31600","35.34422","0.01081"
"2.32200","35.34470","0.01084"
"2.32800","35.34524","0.01088"
"2.33400","35.34572","0.01093"
"2.34000","35.34626","0.01096"
"2.34600","35.34679","0.01096"
"2.35200","35.34727","0.01097"
"2.35800","35.34781","0.01098"
"2.36400","35.34829","0.01101"
"2.37000","35.34883","0.01104"
"2.37600","35.34930","0.01106"
"2.38200","35.34978","0.01109"
"2.38800","35.35032","0.01113"
"2.39400","35.35080","0.01112"
"2.40000","35.35128","0.01108"
"2.40600","35.35176","0.01108"
"2.41200","35.35223","0.01108"
"2.41800","35.35278","0.01108"
"2.42400","35.35325","0.01112"
"2.43000","35.35373","0.01117"
"2.43600","35.35421","0.01121"
"2.44200","35.35469","0.01128"
"2.44800","35.35522","0.01127"
"2.45400","35.35570","0.01117"
"2.46000","35.35618","0.01104"
"2.46600","35.35672","0.01094"
"2.47200","35.35720","0.01086"
"2.47800","35.35768","0.01081"
"2.48400","35.35821","0.01079"
"2.49000","35.35869","0.01075"
"2.49600","35.35923","0.01067"
"2.50200","35.35971","0.01069"
"2.50800","35.36025","0.01079"
"2.51400","35.36073","0.01085"
"2.52000","35.36121","0.01089"
"2.52600","35.36174","0.01102"
"2.53200","35.36222","0.01117"
"2.53800","35.36270","0.01134"
"2.54400","35.36317","0.01140"
"2.55000","35.36366","0.01145"
"2.55600","35.36413","0.01146"
"2.56200","35.36467","0.01147"
"2.56800","35.36515","0.01145"
"2.57400","35.36563","0.01145"
"2.58000","35.36617","0.01145"
"2.58600","35.36664","0.01141"
"2.59200","35.36712","0.01136"
"2.59800","35.36766","0.01131"
"2.60400","35.36814","0.01131"
"2.61000","35.36862","0.01129"
"2.61600","35.36916","0.01120"
"2.62200","35.36964","0.01112"
"2.62800","35.37017","0.01102"
"2.63400","35.37065","0.01097"
"2.64000","35.37119","0.01096"
"2.64600","35.37167","0.01097"
"2.65200","35.37220","0.01101"
"2.65800","35.37268","0.01105"
"2.66400","35.37322","0.01109"
"2.67000","35.37370","0.01113"
"2.67600","35.37418","0.01110"
"2.68200","35.37472","0.01108"
"2.68800","35.37519","0.01102"
"2.69400","35.37568","0.01093"
"2.70000","35.37615","0.01088"
"2.70600","35.37669","0.01088"
"2.71200","35.37717","0.01092"
"2.71800","35.37771","0.01088"
"2.72400","35.37819","0.01090"
"2.73000","35.37872","0.01099"
"2.73600","35.37920","0.01102"
"2.74200","35.37968","0.01102"
"2.74800","35.38022","0.01102"
"2.75400","35.38070","0.01101"
"2.76000","35.38123","0.01105"
"2.76600","35.38171","0.01115"
"2.77200","35.38219","0.01122"
"2.77800","35.38273","0.01124"
"2.78400","35.38327","0.01123"
"2.79000","35.38375","0.01118"
"2.79600","35.38428","0.01110"
"2.80200","35.38476","0.01105"
"2.80800","35.38524","0.01111"
"2.81400","35.38578","0.01115"
"2.82000","35.38626","0.01116"
"2.82600","35.38673","0.01123"
"2.83200","35.38721","0.01132"
"2.83800","35.38769","0.01140"
"2.84400","35.38823","0.01144"
"2.85000","35.38871","0.01142"
