End date,"12/26/2016"
Specimen label,"11BG_81_1"
Maximum Load,"0.25816",N

Time,Extension,Load
(s),(mm),(N)
"1.73400","0.14475","0.00279"
"1.74000","0.14523","0.00293"
"1.74600","0.14571","0.00289"
"1.75200","0.14619","0.00293"
"1.75800","0.14666","0.00295"
"1.76400","0.14720","0.00292"
"1.77000","0.14768","0.00294"
"1.77600","0.14816","0.00288"
"1.78200","0.14870","0.00281"
"1.78800","0.14917","0.00274"
"1.79400","0.14965","0.00256"
"1.80000","0.15019","0.00240"
"1.80600","0.15067","0.00240"
"1.81200","0.15115","0.00240"
"1.81800","0.15169","0.00245"
"1.82400","0.15216","0.00263"
"1.83000","0.15264","0.00268"
"1.83600","0.15318","0.00266"
"1.84200","0.15366","0.00267"
"1.84800","0.15420","0.00263"
"1.85400","0.15468","0.00270"
"1.86000","0.15521","0.00277"
"1.86600","0.15569","0.00280"
"1.87200","0.15623","0.00280"
"1.87800","0.15671","0.00276"
"1.88400","0.15719","0.00264"
"1.89000","0.15772","0.00259"
"1.89600","0.15820","0.00243"
"1.90200","0.15868","0.00242"
"1.90800","0.15916","0.00253"
"1.91400","0.15970","0.00247"
"1.92000","0.16018","0.00255"
"1.92600","0.16065","0.00263"
"1.93200","0.16119","0.00263"
"1.93800","0.16167","0.00262"
"1.94400","0.16215","0.00257"
"1.95000","0.16269","0.00250"
"1.95600","0.16317","0.00254"
"1.96200","0.16370","0.00252"
"1.96800","0.16418","0.00259"
"1.97400","0.16466","0.00280"
"1.98000","0.16520","0.00290"
"1.98600","0.16568","0.00284"
"1.99200","0.16621","0.00275"
"1.99800","0.16669","0.00272"
"2.00400","0.16723","0.00285"
"2.01000","0.16771","0.00296"
"2.01600","0.16819","0.00285"
"2.02200","0.16873","0.00279"
"2.02800","0.16920","0.00274"
"2.03400","0.16968","0.00266"
"2.04000","0.17022","0.00266"
"2.04600","0.17070","0.00273"
"2.05200","0.17118","0.00290"
"2.05800","0.17166","0.00289"
"2.06400","0.17219","0.00275"
"2.07000","0.17267","0.00267"
"2.07600","0.17315","0.00274"
"2.08200","0.17369","0.00277"
"2.08800","0.17417","0.00287"
"2.09400","0.17471","0.00293"
"2.10000","0.17518","0.00303"
"2.10600","0.17566","0.00312"
"2.11200","0.17620","0.00301"
"2.11800","0.17668","0.00299"
"2.12400","0.17716","0.00300"
"2.13000","0.17769","0.00297"
"2.13600","0.17817","0.00289"
"2.14200","0.17871","0.00287"
"2.14800","0.17919","0.00276"
"2.15400","0.17973","0.00275"
"2.16000","0.18021","0.00267"
"2.16600","0.18068","0.00262"
"2.17200","0.18122","0.00263"
"2.17800","0.18170","0.00260"
"2.18400","0.18218","0.00263"
"2.19000","0.18272","0.00271"
"2.19600","0.18320","0.00274"
"2.20200","0.18367","0.00267"
"2.20800","0.18421","0.00267"
"2.21400","0.18469","0.00263"
"2.22000","0.18517","0.00264"
"2.22600","0.18571","0.00274"
"2.23200","0.18618","0.00285"
"2.23800","0.18666","0.00282"
"2.24400","0.18720","0.00268"
"2.25000","0.18768","0.00252"
"2.25600","0.18816","0.00249"
"2.26200","0.18870","0.00244"
"2.26800","0.18917","0.00257"
"2.27400","0.18965","0.00270"
"2.28000","0.19019","0.00274"
"2.28600","0.19067","0.00280"
"2.29200","0.19115","0.00287"
"2.29800","0.19163","0.00279"
"2.30400","0.19216","0.00282"
"2.31000","0.19264","0.00288"
"2.31600","0.19312","0.00290"
"2.32200","0.19366","0.00296"
"2.32800","0.19414","0.00294"
"2.33400","0.19461","0.00289"
"2.34000","0.19515","0.00307"
"2.34600","0.19563","0.00312"
"2.35200","0.19617","0.00296"
"2.35800","0.19665","0.00284"
"2.36400","0.19719","0.00262"
"2.37000","0.19766","0.00246"
"2.37600","0.19814","0.00241"
"2.38200","0.19862","0.00240"
"2.38800","0.19916","0.00243"
"2.39400","0.19964","0.00256"
"2.40000","0.20012","0.00263"
"2.40600","0.20065","0.00273"
"2.41200","0.20113","0.00278"
"2.41800","0.20167","0.00282"
"2.42400","0.20215","0.00291"
"2.43000","0.20263","0.00300"
"2.43600","0.20316","0.00301"
"2.44200","0.20364","0.00304"
"2.44800","0.20418","0.00301"
"2.45400","0.20466","0.00306"
"2.46000","0.20514","0.00298"
"2.46600","0.20568","0.00287"
"2.47200","0.20615","0.00276"
"2.47800","0.20669","0.00270"
"2.48400","0.20717","0.00267"
"2.49000","0.20771","0.00278"
"2.49600","0.20819","0.00269"
"2.50200","0.20873","0.00260"
"2.50800","0.20920","0.00256"
"2.51400","0.20974","0.00235"
"2.52000","0.21022","0.00236"
"2.52600","0.21070","0.00251"
"2.53200","0.21124","0.00246"
"2.53800","0.21171","0.00244"
"2.54400","0.21225","0.00236"
"2.55000","0.21273","0.00225"
"2.55600","0.21321","0.00229"
"2.56200","0.21369","0.00237"
"2.56800","0.21423","0.00257"
"2.57400","0.21470","0.00279"
"2.58000","0.21524","0.00284"
"2.58600","0.21572","0.00284"
"2.59200","0.21620","0.00279"
"2.59800","0.21668","0.00269"
"2.60400","0.21722","0.00269"
"2.61000","0.21769","0.00287"
