End date,"12/21/2016"
Specimen label,"24T_90"
Maximum Load,"1.06486",N

Time,Extension,Load
(s),(mm),(N)
"1.80600","0.15055","0.00135"
"1.81200","0.15109","0.00134"
"1.81800","0.15157","0.00135"
"1.82400","0.15204","0.00132"
"1.83000","0.15258","0.00123"
"1.83600","0.15306","0.00120"
"1.84200","0.15360","0.00119"
"1.84800","0.15408","0.00117"
"1.85400","0.15462","0.00120"
"1.86000","0.15515","0.00125"
"1.86600","0.15563","0.00126"
"1.87200","0.15617","0.00123"
"1.87800","0.15665","0.00116"
"1.88400","0.15719","0.00109"
"1.89000","0.15766","0.00108"
"1.89600","0.15814","0.00099"
"1.90200","0.15862","0.00092"
"1.90800","0.15916","0.00092"
"1.91400","0.15964","0.00089"
"1.92000","0.16012","0.00090"
"1.92600","0.16059","0.00097"
"1.93200","0.16113","0.00112"
"1.93800","0.16161","0.00126"
"1.94400","0.16215","0.00134"
"1.95000","0.16263","0.00139"
"1.95600","0.16317","0.00140"
"1.96200","0.16364","0.00132"
"1.96800","0.16412","0.00123"
"1.97400","0.16466","0.00121"
"1.98000","0.16514","0.00119"
"1.98600","0.16562","0.00117"
"1.99200","0.16616","0.00120"
"1.99800","0.16663","0.00123"
"2.00400","0.16717","0.00125"
"2.01000","0.16765","0.00127"
"2.01600","0.16819","0.00129"
"2.02200","0.16867","0.00135"
"2.02800","0.16920","0.00143"
"2.03400","0.16968","0.00145"
"2.04000","0.17016","0.00155"
"2.04600","0.17064","0.00164"
"2.05200","0.17118","0.00167"
"2.05800","0.17166","0.00167"
"2.06400","0.17213","0.00161"
"2.07000","0.17267","0.00157"
"2.07600","0.17315","0.00154"
"2.08200","0.17363","0.00147"
"2.08800","0.17417","0.00145"
"2.09400","0.17465","0.00135"
"2.10000","0.17518","0.00124"
"2.10600","0.17566","0.00119"
"2.11200","0.17614","0.00115"
"2.11800","0.17668","0.00109"
"2.12400","0.17716","0.00108"
"2.13000","0.17769","0.00112"
"2.13600","0.17817","0.00119"
"2.14200","0.17865","0.00127"
"2.14800","0.17919","0.00128"
"2.15400","0.17967","0.00135"
"2.16000","0.18021","0.00141"
"2.16600","0.18068","0.00136"
"2.17200","0.18116","0.00134"
"2.17800","0.18170","0.00128"
"2.18400","0.18218","0.00128"
"2.19000","0.18266","0.00122"
"2.19600","0.18314","0.00116"
"2.20200","0.18361","0.00122"
"2.20800","0.18409","0.00130"
"2.21400","0.18463","0.00134"
"2.22000","0.18511","0.00141"
"2.22600","0.18559","0.00147"
"2.23200","0.18607","0.00145"
"2.23800","0.18660","0.00138"
"2.24400","0.18708","0.00129"
"2.25000","0.18756","0.00122"
"2.25600","0.18810","0.00119"
"2.26200","0.18858","0.00118"
"2.26800","0.18905","0.00118"
"2.27400","0.18959","0.00122"
"2.28000","0.19007","0.00128"
"2.28600","0.19061","0.00139"
"2.29200","0.19109","0.00143"
"2.29800","0.19157","0.00131"
"2.30400","0.19210","0.00118"
"2.31000","0.19258","0.00112"
"2.31600","0.19306","0.00110"
"2.32200","0.19354","0.00118"
"2.32800","0.19408","0.00126"
"2.33400","0.19456","0.00128"
"2.34000","0.19509","0.00132"
