End date,"12/23/2016"
Specimen label,"21BG_UNK"
Maximum Load,"0.01081",N

Time,Extension,Load
(s),(mm),(N)
"2.76000","0.23019","0.00059"
"2.76600","0.23073","0.00066"
"2.77200","0.23121","0.00071"
"2.77800","0.23168","0.00073"
"2.78400","0.23222","0.00075"
"2.79000","0.23270","0.00083"
"2.79600","0.23318","0.00091"
"2.80200","0.23372","0.00108"
"2.80800","0.23420","0.00122"
"2.81400","0.23467","0.00121"
"2.82000","0.23521","0.00123"
"2.82600","0.23569","0.00133"
"2.83200","0.23617","0.00134"
"2.83800","0.23665","0.00140"
"2.84400","0.23719","0.00131"
"2.85000","0.23766","0.00113"
"2.85600","0.23820","0.00101"
"2.86200","0.23868","0.00091"
"2.86800","0.23916","0.00088"
"2.87400","0.23970","0.00090"
"2.88000","0.24017","0.00077"
"2.88600","0.24071","0.00063"
"2.89200","0.24119","0.00050"
"2.89800","0.24167","0.00035"
"2.90400","0.24221","0.00029"
"2.91000","0.24269","0.00024"
"2.91600","0.24322","0.00020"
"2.92200","0.24370","0.00023"
"2.92800","0.24418","0.00031"
"2.93400","0.24472","0.00051"
"2.94000","0.24520","0.00063"
"2.94600","0.24573","0.00069"
"2.95200","0.24621","0.00078"
"2.95800","0.24675","0.00082"
"2.96400","0.24723","0.00069"
"2.97000","0.24771","0.00068"
"2.97600","0.24819","0.00081"
"2.98200","0.24866","0.00083"
"2.98800","0.24920","0.00084"
"2.99400","0.24968","0.00077"
"3.00000","0.25016","0.00062"
"3.00600","0.25070","0.00048"
"3.01200","0.25118","0.00034"
"3.01800","0.25171","0.00030"
"3.02400","0.25219","0.00035"
"3.03000","0.25273","0.00033"
"3.03600","0.25321","0.00044"
"3.04200","0.25375","0.00063"
"3.04800","0.25423","0.00068"
"3.05400","0.25476","0.00072"
"3.06000","0.25524","0.00066"
"3.06600","0.25572","0.00055"
"3.07200","0.25626","0.00054"
"3.07800","0.25674","0.00060"
"3.08400","0.25721","0.00065"
"3.09000","0.25775","0.00080"
"3.09600","0.25823","0.00082"
"3.10200","0.25877","0.00077"
"3.10800","0.25925","0.00085"
"3.11400","0.25973","0.00086"
"3.12000","0.26020","0.00087"
"3.12600","0.26068","0.00089"
"3.13200","0.26122","0.00080"
"3.13800","0.26170","0.00076"
"3.14400","0.26218","0.00071"
"3.15000","0.26272","0.00064"
"3.15600","0.26319","0.00060"
"3.16200","0.26367","0.00050"
"3.16800","0.26421","0.00050"
"3.17400","0.26469","0.00056"
"3.18000","0.26523","0.00057"
"3.18600","0.26570","0.00056"
"3.19200","0.26624","0.00058"
"3.19800","0.26672","0.00052"
"3.20400","0.26720","0.00046"
"3.21000","0.26768","0.00044"
"3.21600","0.26822","0.00040"
"3.22200","0.26869","0.00046"
"3.22800","0.26917","0.00047"
"3.23400","0.26965","0.00039"
"3.24000","0.27013","0.00040"
"3.24600","0.27067","0.00042"
"3.25200","0.27115","0.00049"
"3.25800","0.27162","0.00060"
"3.26400","0.27216","0.00066"
"3.27000","0.27264","0.00075"
"3.27600","0.27318","0.00075"
"3.28200","0.27366","0.00066"
"3.28800","0.27413","0.00063"
"3.29400","0.27467","0.00056"
"3.30000","0.27515","0.00045"
"3.30600","0.27569","0.00043"
"3.31200","0.27617","0.00042"
"3.31800","0.27671","0.00047"
"3.32400","0.27718","0.00057"
"3.33000","0.27772","0.00065"
"3.33600","0.27820","0.00072"
"3.34200","0.27868","0.00082"
"3.34800","0.27922","0.00083"
"3.35400","0.27970","0.00083"
"3.36000","0.28017","0.00082"
"3.36600","0.28071","0.00085"
"3.37200","0.28119","0.00091"
"3.37800","0.28167","0.00089"
"3.38400","0.28215","0.00081"
"3.39000","0.28268","0.00082"
"3.39600","0.28316","0.00081"
"3.40200","0.28364","0.00082"
"3.40800","0.28418","0.00086"
"3.41400","0.28466","0.00076"
"3.42000","0.28514","0.00071"
"3.42600","0.28567","0.00073"
"3.43200","0.28615","0.00085"
"3.43800","0.28669","0.00100"
"3.44400","0.28717","0.00107"
"3.45000","0.28771","0.00108"
"3.45600","0.28819","0.00117"
"3.46200","0.28872","0.00117"
"3.46800","0.28920","0.00109"
"3.47400","0.28968","0.00103"
"3.48000","0.29022","0.00084"
"3.48600","0.29070","0.00071"
"3.49200","0.29118","0.00064"
"3.49800","0.29165","0.00059"
"3.50400","0.29219","0.00077"
"3.51000","0.29267","0.00096"
"3.51600","0.29315","0.00101"
"3.52200","0.29369","0.00101"
"3.52800","0.29416","0.00091"
"3.53400","0.29464","0.00076"
"3.54000","0.29518","0.00075"
"3.54600","0.29566","0.00072"
"3.55200","0.29614","0.00077"
"3.55800","0.29668","0.00083"
"3.56400","0.29715","0.00070"
"3.57000","0.29769","0.00061"
"3.57600","0.29817","0.00062"
"3.58200","0.29871","0.00062"
"3.58800","0.29919","0.00071"
"3.59400","0.29972","0.00077"
"3.60000","0.30020","0.00077"
"3.60600","0.30074","0.00077"
"3.61200","0.30122","0.00077"
"3.61800","0.30176","0.00087"
"3.62400","0.30224","0.00103"
"3.63000","0.30271","0.00103"
"3.63600","0.30325","0.00101"
"3.64200","0.30373","0.00102"
"3.64800","0.30421","0.00092"
"3.65400","0.30475","0.00083"
"3.66000","0.30523","0.00078"
"3.66600","0.30570","0.00072"
"3.67200","0.30618","0.00077"
"3.67800","0.30672","0.00080"
"3.68400","0.30720","0.00085"
"3.69000","0.30774","0.00091"
"3.69600","0.30822","0.00086"
"3.70200","0.30869","0.00081"
"3.70800","0.30923","0.00084"
"3.71400","0.30971","0.00087"
"3.72000","0.31019","0.00090"
"3.72600","0.31067","0.00090"
"3.73200","0.31120","0.00082"
"3.73800","0.31168","0.00082"
"3.74400","0.31222","0.00077"
"3.75000","0.31270","0.00083"
"3.75600","0.31318","0.00100"
"3.76200","0.31372","0.00105"
"3.76800","0.31419","0.00106"
"3.77400","0.31467","0.00107"
"3.78000","0.31515","0.00110"
"3.78600","0.31569","0.00108"
"3.79200","0.31617","0.00105"
"3.79800","0.31665","0.00096"
"3.80400","0.31712","0.00084"
"3.81000","0.31766","0.00073"
"3.81600","0.31814","0.00062"
"3.82200","0.31868","0.00056"
"3.82800","0.31916","0.00045"
"3.83400","0.31963","0.00040"
"3.84000","0.32017","0.00044"
"3.84600","0.32065","0.00041"
"3.85200","0.32113","0.00047"
"3.85800","0.32167","0.00060"
"3.86400","0.32215","0.00073"
"3.87000","0.32262","0.00085"
"3.87600","0.32310","0.00096"
"3.88200","0.32364","0.00096"
"3.88800","0.32412","0.00095"
