End date,"12/23/2016"
Specimen label,"21AT_UNK"
Maximum Load,"0.00834",N

Time,Extension,Load
(s),(mm),(N)
"1.71600","0.14314","0.00007"
"1.72200","0.14361","-0.00018"
"1.72800","0.14415","-0.00035"
"1.73400","0.14463","-0.00043"
"1.74000","0.14511","-0.00046"
"1.74600","0.14565","-0.00029"
"1.75200","0.14613","-0.00008"
"1.75800","0.14660","0.00000"
"1.76400","0.14714","0.00008"
"1.77000","0.14762","0.00006"
"1.77600","0.14810","0.00009"
"1.78200","0.14864","0.00011"
"1.78800","0.14912","0.00011"
"1.79400","0.14959","0.00007"
"1.80000","0.15013","0.00002"
"1.80600","0.15061","-0.00003"
"1.81200","0.15109","0.00001"
"1.81800","0.15163","0.00005"
"1.82400","0.15210","0.00000"
"1.83000","0.15258","-0.00010"
"1.83600","0.15306","-0.00031"
"1.84200","0.15360","-0.00043"
"1.84800","0.15408","-0.00039"
"1.85400","0.15462","-0.00038"
"1.86000","0.15509","-0.00046"
"1.86600","0.15563","-0.00050"
"1.87200","0.15611","-0.00055"
"1.87800","0.15659","-0.00054"
"1.88400","0.15707","-0.00051"
"1.89000","0.15761","-0.00047"
"1.89600","0.15808","-0.00025"
"1.90200","0.15856","-0.00017"
"1.90800","0.15904","-0.00019"
"1.91400","0.15958","-0.00020"
"1.92000","0.16006","-0.00013"
"1.92600","0.16053","0.00002"
"1.93200","0.16107","0.00015"
"1.93800","0.16155","0.00016"
"1.94400","0.16203","0.00023"
"1.95000","0.16257","0.00028"
"1.95600","0.16305","0.00015"
"1.96200","0.16352","0.00012"
"1.96800","0.16406","0.00007"
"1.97400","0.16454","-0.00016"
"1.98000","0.16502","-0.00024"
"1.98600","0.16556","-0.00030"
"1.99200","0.16604","-0.00029"
"1.99800","0.16657","-0.00022"
"2.00400","0.16705","-0.00034"
"2.01000","0.16759","-0.00054"
"2.01600","0.16807","-0.00064"
"2.02200","0.16861","-0.00070"
"2.02800","0.16908","-0.00059"
