End date,"1/22/2017"
Specimen label,"3CT_17_run2"
Maximum Load,"0.29793",N

Time,Extension,Load
(s),(mm),(N)
"1.66200","10.83661","0.03909"
"1.66800","10.83709","0.03911"
"1.67400","10.83757","0.03907"
"1.68000","10.83811","0.03897"
"1.68600","10.83859","0.03888"
"1.69200","10.83912","0.03880"
"1.69800","10.83960","0.03870"
"1.70400","10.84008","0.03853"
"1.71000","10.84062","0.03842"
"1.71600","10.84110","0.03844"
"1.72200","10.84158","0.03855"
"1.72800","10.84206","0.03866"
"1.73400","10.84259","0.03875"
"1.74000","10.84307","0.03885"
"1.74600","10.84355","0.03892"
"1.75200","10.84409","0.03901"
"1.75800","10.84457","0.03908"
"1.76400","10.84505","0.03909"
"1.77000","10.84558","0.03898"
"1.77600","10.84606","0.03885"
"1.78200","10.84654","0.03881"
"1.78800","10.84702","0.03879"
"1.79400","10.84756","0.03877"
"1.80000","10.84803","0.03879"
"1.80600","10.84857","0.03884"
"1.81200","10.84905","0.03886"
"1.81800","10.84953","0.03894"
"1.82400","10.85007","0.03908"
"1.83000","10.85054","0.03917"
"1.83600","10.85102","0.03917"
"1.84200","10.85156","0.03913"
"1.84800","10.85204","0.03906"
"1.85400","10.85258","0.03901"
"1.86000","10.85306","0.03893"
"1.86600","10.85359","0.03888"
"1.87200","10.85407","0.03880"
"1.87800","10.85455","0.03882"
"1.88400","10.85503","0.03888"
"1.89000","10.85551","0.03892"
"1.89600","10.85605","0.03900"
"1.90200","10.85652","0.03907"
"1.90800","10.85706","0.03913"
"1.91400","10.85754","0.03920"
"1.92000","10.85802","0.03917"
"1.92600","10.85856","0.03917"
"1.93200","10.85903","0.03914"
"1.93800","10.85957","0.03910"
"1.94400","10.86005","0.03911"
"1.95000","10.86059","0.03922"
"1.95600","10.86107","0.03934"
"1.96200","10.86155","0.03948"
"1.96800","10.86208","0.03955"
"1.97400","10.86256","0.03959"
"1.98000","10.86304","0.03968"
"1.98600","10.86358","0.03980"
"1.99200","10.86406","0.03986"
"1.99800","10.86460","0.03988"
"2.00400","10.86507","0.03982"
"2.01000","10.86561","0.03982"
"2.01600","10.86609","0.03987"
"2.02200","10.86657","0.03996"
"2.02800","10.86705","0.04001"
"2.03400","10.86758","0.04000"
"2.04000","10.86806","0.04004"
"2.04600","10.86854","0.04010"
"2.05200","10.86908","0.04018"
"2.05800","10.86956","0.04022"
"2.06400","10.87010","0.04020"
"2.07000","10.87057","0.04018"
"2.07600","10.87111","0.04022"
"2.08200","10.87159","0.04025"
"2.08800","10.87207","0.04031"
"2.09400","10.87261","0.04035"
"2.10000","10.87309","0.04036"
"2.10600","10.87356","0.04033"
"2.11200","10.87410","0.04027"
"2.11800","10.87458","0.04022"
"2.12400","10.87512","0.04017"
"2.13000","10.87560","0.04016"
"2.13600","10.87607","0.04016"
"2.14200","10.87655","0.04014"
"2.14800","10.87709","0.04011"
"2.15400","10.87757","0.04012"
"2.16000","10.87811","0.04012"
"2.16600","10.87858","0.04018"
"2.17200","10.87906","0.04023"
"2.17800","10.87960","0.04020"
"2.18400","10.88008","0.04011"
"2.19000","10.88062","0.03999"
"2.19600","10.88110","0.03987"
"2.20200","10.88157","0.03979"
"2.20800","10.88211","0.03976"
"2.21400","10.88259","0.03975"
"2.22000","10.88307","0.03980"
"2.22600","10.88361","0.03986"
"2.23200","10.88409","0.03985"
"2.23800","10.88456","0.03975"
"2.24400","10.88510","0.03964"
"2.25000","10.88558","0.03958"
"2.25600","10.88606","0.03952"
"2.26200","10.88660","0.03943"
"2.26800","10.88708","0.03940"
"2.27400","10.88755","0.03936"
"2.28000","10.88809","0.03931"
"2.28600","10.88857","0.03929"
"2.29200","10.88905","0.03931"
"2.29800","10.88959","0.03931"
"2.30400","10.89007","0.03931"
"2.31000","10.89054","0.03933"
"2.31600","10.89108","0.03937"
"2.32200","10.89156","0.03937"
"2.32800","10.89204","0.03938"
"2.33400","10.89258","0.03944"
"2.34000","10.89305","0.03954"
"2.34600","10.89353","0.03959"
"2.35200","10.89407","0.03959"
"2.35800","10.89455","0.03956"
"2.36400","10.89503","0.03956"
"2.37000","10.89551","0.03953"
"2.37600","10.89604","0.03950"
"2.38200","10.89652","0.03951"
"2.38800","10.89700","0.03949"
"2.39400","10.89754","0.03946"
"2.40000","10.89802","0.03954"
"2.40600","10.89856","0.03967"
"2.41200","10.89903","0.03979"
"2.41800","10.89951","0.03981"
"2.42400","10.90005","0.03978"
"2.43000","10.90053","0.03976"
"2.43600","10.90101","0.03974"
"2.44200","10.90149","0.03973"
"2.44800","10.90202","0.03974"
"2.45400","10.90250","0.03983"
"2.46000","10.90304","0.03989"
"2.46600","10.90352","0.03991"
"2.47200","10.90406","0.03983"
"2.47800","10.90453","0.03972"
"2.48400","10.90507","0.03965"
"2.49000","10.90555","0.03964"
"2.49600","10.90609","0.03975"
"2.50200","10.90657","0.03982"
"2.50800","10.90711","0.03991"
"2.51400","10.90758","0.04000"
"2.52000","10.90806","0.04008"
"2.52600","10.90860","0.04010"
"2.53200","10.90908","0.04007"
"2.53800","10.90956","0.04000"
"2.54400","10.91010","0.03997"
"2.55000","10.91057","0.04007"
"2.55600","10.91105","0.04021"
"2.56200","10.91159","0.04032"
"2.56800","10.91207","0.04040"
"2.57400","10.91255","0.04049"
"2.58000","10.91308","0.04061"
"2.58600","10.91356","0.04070"
"2.59200","10.91404","0.04076"
"2.59800","10.91458","0.04078"
"2.60400","10.91506","0.04080"
"2.61000","10.91560","0.04090"
"2.61600","10.91607","0.04105"
"2.62200","10.91661","0.04115"
"2.62800","10.91709","0.04114"
"2.63400","10.91763","0.04118"
"2.64000","10.91811","0.04121"
"2.64600","10.91864","0.04126"
"2.65200","10.91912","0.04128"
"2.65800","10.91960","0.04127"
