End date,"1/22/2017"
Specimen label,"14BT_14"
Maximum Load,"0.55606",N

Time,Extension,Load
(s),(mm),(N)
"2.83200","0.23617","0.00364"
"2.83800","0.23671","0.00371"
"2.84400","0.23719","0.00386"
"2.85000","0.23766","0.00389"
"2.85600","0.23820","0.00392"
"2.86200","0.23868","0.00383"
"2.86800","0.23916","0.00382"
"2.87400","0.23964","0.00387"
"2.88000","0.24017","0.00401"
"2.88600","0.24065","0.00425"
"2.89200","0.24113","0.00447"
"2.89800","0.24161","0.00456"
"2.90400","0.24215","0.00460"
"2.91000","0.24263","0.00449"
"2.91600","0.24316","0.00435"
"2.92200","0.24364","0.00419"
"2.92800","0.24418","0.00407"
"2.93400","0.24466","0.00399"
"2.94000","0.24514","0.00397"
"2.94600","0.24568","0.00393"
"2.95200","0.24615","0.00387"
"2.95800","0.24669","0.00383"
"2.96400","0.24717","0.00391"
"2.97000","0.24771","0.00405"
"2.97600","0.24819","0.00406"
"2.98200","0.24866","0.00395"
"2.98800","0.24920","0.00385"
"2.99400","0.24968","0.00372"
"3.00000","0.25022","0.00364"
"3.00600","0.25070","0.00371"
"3.01200","0.25124","0.00379"
"3.01800","0.25171","0.00389"
"3.02400","0.25219","0.00401"
"3.03000","0.25267","0.00409"
"3.03600","0.25321","0.00411"
"3.04200","0.25369","0.00400"
"3.04800","0.25423","0.00389"
"3.05400","0.25470","0.00384"
"3.06000","0.25524","0.00384"
"3.06600","0.25572","0.00392"
"3.07200","0.25626","0.00401"
"3.07800","0.25674","0.00412"
"3.08400","0.25721","0.00412"
"3.09000","0.25775","0.00409"
"3.09600","0.25823","0.00398"
"3.10200","0.25871","0.00395"
"3.10800","0.25925","0.00402"
"3.11400","0.25973","0.00423"
"3.12000","0.26020","0.00436"
"3.12600","0.26074","0.00432"
"3.13200","0.26122","0.00424"
"3.13800","0.26176","0.00426"
"3.14400","0.26224","0.00435"
"3.15000","0.26272","0.00447"
"3.15600","0.26319","0.00461"
"3.16200","0.26367","0.00463"
"3.16800","0.26421","0.00461"
"3.17400","0.26469","0.00460"
"3.18000","0.26523","0.00460"
"3.18600","0.26570","0.00465"
"3.19200","0.26618","0.00459"
"3.19800","0.26672","0.00437"
"3.20400","0.26720","0.00425"
"3.21000","0.26768","0.00415"
"3.21600","0.26822","0.00411"
"3.22200","0.26869","0.00430"
"3.22800","0.26923","0.00446"
"3.23400","0.26971","0.00448"
"3.24000","0.27019","0.00444"
"3.24600","0.27073","0.00435"
"3.25200","0.27121","0.00422"
"3.25800","0.27168","0.00416"
"3.26400","0.27222","0.00417"
"3.27000","0.27270","0.00409"
"3.27600","0.27324","0.00395"
"3.28200","0.27372","0.00382"
"3.28800","0.27419","0.00373"
"3.29400","0.27473","0.00368"
"3.30000","0.27521","0.00369"
"3.30600","0.27569","0.00376"
"3.31200","0.27623","0.00372"
"3.31800","0.27671","0.00375"
"3.32400","0.27718","0.00386"
"3.33000","0.27772","0.00375"
"3.33600","0.27820","0.00370"
"3.34200","0.27868","0.00376"
"3.34800","0.27916","0.00373"
"3.35400","0.27970","0.00379"
"3.36000","0.28017","0.00391"
"3.36600","0.28065","0.00403"
"3.37200","0.28113","0.00426"
"3.37800","0.28167","0.00434"
"3.38400","0.28215","0.00421"
"3.39000","0.28268","0.00409"
"3.39600","0.28316","0.00396"
"3.40200","0.28364","0.00383"
"3.40800","0.28418","0.00379"
"3.41400","0.28466","0.00387"
"3.42000","0.28514","0.00403"
"3.42600","0.28567","0.00401"
"3.43200","0.28615","0.00405"
"3.43800","0.28663","0.00409"
"3.44400","0.28711","0.00407"
"3.45000","0.28765","0.00406"
"3.45600","0.28813","0.00403"
"3.46200","0.28860","0.00392"
"3.46800","0.28914","0.00383"
"3.47400","0.28962","0.00388"
"3.48000","0.29016","0.00402"
"3.48600","0.29064","0.00422"
"3.49200","0.29118","0.00433"
"3.49800","0.29165","0.00435"
"3.50400","0.29219","0.00449"
"3.51000","0.29267","0.00451"
"3.51600","0.29315","0.00460"
"3.52200","0.29369","0.00467"
"3.52800","0.29416","0.00464"
"3.53400","0.29470","0.00455"
"3.54000","0.29518","0.00460"
"3.54600","0.29566","0.00478"
"3.55200","0.29620","0.00486"
"3.55800","0.29668","0.00496"
"3.56400","0.29721","0.00513"
"3.57000","0.29769","0.00531"
"3.57600","0.29823","0.00540"
"3.58200","0.29871","0.00544"
"3.58800","0.29919","0.00537"
"3.59400","0.29967","0.00524"
"3.60000","0.30020","0.00502"
"3.60600","0.30068","0.00496"
"3.61200","0.30122","0.00493"
"3.61800","0.30170","0.00501"
"3.62400","0.30224","0.00507"
"3.63000","0.30271","0.00504"
"3.63600","0.30325","0.00500"
"3.64200","0.30373","0.00495"
"3.64800","0.30421","0.00479"
"3.65400","0.30475","0.00472"
"3.66000","0.30523","0.00471"
"3.66600","0.30570","0.00464"
"3.67200","0.30618","0.00463"
"3.67800","0.30666","0.00457"
"3.68400","0.30720","0.00451"
"3.69000","0.30768","0.00452"
"3.69600","0.30816","0.00455"
"3.70200","0.30869","0.00450"
"3.70800","0.30917","0.00442"
"3.71400","0.30965","0.00433"
"3.72000","0.31019","0.00438"
"3.72600","0.31067","0.00440"
"3.73200","0.31120","0.00445"
"3.73800","0.31168","0.00453"
"3.74400","0.31222","0.00465"
"3.75000","0.31270","0.00483"
"3.75600","0.31324","0.00498"
"3.76200","0.31372","0.00505"
"3.76800","0.31419","0.00501"
"3.77400","0.31473","0.00497"
"3.78000","0.31521","0.00494"
"3.78600","0.31569","0.00481"
"3.79200","0.31623","0.00460"
"3.79800","0.31671","0.00444"
"3.80400","0.31718","0.00438"
"3.81000","0.31772","0.00440"
"3.81600","0.31820","0.00439"
"3.82200","0.31868","0.00444"
"3.82800","0.31922","0.00465"
"3.83400","0.31969","0.00490"
"3.84000","0.32017","0.00502"
"3.84600","0.32065","0.00504"
"3.85200","0.32119","0.00502"
"3.85800","0.32167","0.00494"
"3.86400","0.32215","0.00496"
"3.87000","0.32262","0.00504"
"3.87600","0.32316","0.00518"
"3.88200","0.32364","0.00535"
"3.88800","0.32412","0.00559"
"3.89400","0.32466","0.00559"
"3.90000","0.32514","0.00563"
"3.90600","0.32567","0.00561"
"3.91200","0.32615","0.00546"
"3.91800","0.32663","0.00543"
"3.92400","0.32717","0.00549"
"3.93000","0.32765","0.00546"
"3.93600","0.32812","0.00537"
"3.94200","0.32866","0.00530"
"3.94800","0.32914","0.00536"
"3.95400","0.32962","0.00540"
"3.96000","0.33010","0.00533"
"3.96600","0.33064","0.00522"
"3.97200","0.33111","0.00529"
"3.97800","0.33159","0.00536"
"3.98400","0.33207","0.00537"
"3.99000","0.33261","0.00535"
"3.99600","0.33309","0.00523"
"4.00200","0.33357","0.00508"
"4.00800","0.33410","0.00503"
"4.01400","0.33458","0.00486"
"4.02000","0.33512","0.00469"
"4.02600","0.33560","0.00459"
"4.03200","0.33608","0.00464"
"4.03800","0.33662","0.00478"
"4.04400","0.33715","0.00482"
"4.05000","0.33763","0.00486"
"4.05600","0.33817","0.00496"
"4.06200","0.33871","0.00499"
"4.06800","0.33919","0.00498"
"4.07400","0.33972","0.00509"
"4.08000","0.34020","0.00523"
"4.08600","0.34074","0.00531"
"4.09200","0.34122","0.00520"
"4.09800","0.34170","0.00496"
"4.10400","0.34224","0.00486"
"4.11000","0.34271","0.00480"
"4.11600","0.34319","0.00492"
"4.12200","0.34373","0.00509"
"4.12800","0.34421","0.00521"
"4.13400","0.34469","0.00521"
"4.14000","0.34522","0.00522"
"4.14600","0.34570","0.00530"
"4.15200","0.34618","0.00532"
"4.15800","0.34672","0.00532"
"4.16400","0.34720","0.00528"
"4.17000","0.34774","0.00535"
"4.17600","0.34821","0.00523"
"4.18200","0.34869","0.00499"
"4.18800","0.34923","0.00487"
"4.19400","0.34971","0.00477"
"4.20000","0.35025","0.00478"
"4.20600","0.35073","0.00488"
"4.21200","0.35126","0.00485"
"4.21800","0.35174","0.00478"
"4.22400","0.35222","0.00482"
"4.23000","0.35270","0.00491"
"4.23600","0.35324","0.00501"
"4.24200","0.35371","0.00503"
"4.24800","0.35419","0.00506"
"4.25400","0.35467","0.00517"
"4.26000","0.35521","0.00522"
"4.26600","0.35569","0.00530"
"4.27200","0.35623","0.00541"
"4.27800","0.35670","0.00543"
"4.28400","0.35724","0.00539"
"4.29000","0.35772","0.00541"
"4.29600","0.35820","0.00536"
"4.30200","0.35874","0.00533"
"4.30800","0.35922","0.00530"
"4.31400","0.35969","0.00521"
"4.32000","0.36023","0.00517"
"4.32600","0.36071","0.00508"
"4.33200","0.36119","0.00495"
"4.33800","0.36173","0.00489"
"4.34400","0.36220","0.00493"
"4.35000","0.36274","0.00495"
"4.35600","0.36322","0.00508"
"4.36200","0.36376","0.00518"
"4.36800","0.36424","0.00525"
"4.37400","0.36472","0.00534"
"4.38000","0.36519","0.00529"
"4.38600","0.36573","0.00527"
"4.39200","0.36621","0.00520"
"4.39800","0.36669","0.00509"
"4.40400","0.36717","0.00519"
"4.41000","0.36771","0.00524"
"4.41600","0.36818","0.00526"
"4.42200","0.36866","0.00543"
"4.42800","0.36920","0.00552"
"4.43400","0.36968","0.00569"
"4.44000","0.37016","0.00574"
"4.44600","0.37070","0.00566"
"4.45200","0.37117","0.00556"
"4.45800","0.37165","0.00542"
"4.46400","0.37219","0.00534"
"4.47000","0.37267","0.00533"
"4.47600","0.37315","0.00542"
"4.48200","0.37368","0.00550"
"4.48800","0.37416","0.00546"
"4.49400","0.37464","0.00533"
"4.50000","0.37512","0.00529"
"4.50600","0.37566","0.00524"
"4.51200","0.37614","0.00521"
"4.51800","0.37661","0.00511"
"4.52400","0.37709","0.00495"
"4.53000","0.37763","0.00477"
"4.53600","0.37811","0.00458"
"4.54200","0.37865","0.00450"
"4.54800","0.37913","0.00447"
"4.55400","0.37966","0.00454"
"4.56000","0.38014","0.00470"
"4.56600","0.38068","0.00484"
"4.57200","0.38116","0.00500"
"4.57800","0.38164","0.00517"
"4.58400","0.38217","0.00527"
"4.59000","0.38265","0.00533"
"4.59600","0.38319","0.00529"
"4.60200","0.38367","0.00518"
"4.60800","0.38415","0.00510"
"4.61400","0.38469","0.00511"
"4.62000","0.38516","0.00516"
"4.62600","0.38570","0.00510"
"4.63200","0.38618","0.00515"
"4.63800","0.38672","0.00528"
"4.64400","0.38720","0.00534"
"4.65000","0.38774","0.00550"
"4.65600","0.38821","0.00573"
"4.66200","0.38869","0.00582"
"4.66800","0.38923","0.00575"
"4.67400","0.38971","0.00564"
"4.68000","0.39019","0.00562"
"4.68600","0.39072","0.00569"
"4.69200","0.39120","0.00565"
"4.69800","0.39174","0.00557"
"4.70400","0.39222","0.00561"
"4.71000","0.39276","0.00558"
"4.71600","0.39324","0.00547"
"4.72200","0.39371","0.00545"
"4.72800","0.39419","0.00536"
"4.73400","0.39473","0.00523"
"4.74000","0.39521","0.00512"
"4.74600","0.39569","0.00514"
"4.75200","0.39623","0.00517"
"4.75800","0.39670","0.00512"
"4.76400","0.39718","0.00518"
"4.77000","0.39772","0.00541"
"4.77600","0.39820","0.00563"
"4.78200","0.39874","0.00579"
"4.78800","0.39921","0.00600"
"4.79400","0.39975","0.00604"
"4.80000","0.40023","0.00598"
"4.80600","0.40071","0.00603"
"4.81200","0.40125","0.00607"
"4.81800","0.40173","0.00592"
"4.82400","0.40220","0.00569"
"4.83000","0.40268","0.00552"
"4.83600","0.40322","0.00541"
"4.84200","0.40370","0.00539"
"4.84800","0.40418","0.00540"
"4.85400","0.40472","0.00549"
"4.86000","0.40519","0.00548"
