End date,"2/26/2017"
Specimen label,"6AT_44"
Maximum Load,"0.06217",N

Time,Extension,Load
(s),(mm),(N)
"1.49400","0.12472","0.00216"
"1.50000","0.12520","0.00225"
"1.50600","0.12574","0.00238"
"1.51200","0.12622","0.00244"
"1.51800","0.12669","0.00248"
"1.52400","0.12717","0.00241"
"1.53000","0.12771","0.00227"
"1.53600","0.12819","0.00228"
"1.54200","0.12867","0.00227"
"1.54800","0.12915","0.00221"
"1.55400","0.12968","0.00211"
"1.56000","0.13016","0.00193"
"1.56600","0.13064","0.00172"
"1.57200","0.13118","0.00151"
"1.57800","0.13166","0.00146"
"1.58400","0.13219","0.00150"
"1.59000","0.13267","0.00151"
"1.59600","0.13315","0.00159"
"1.60200","0.13369","0.00179"
"1.60800","0.13417","0.00197"
"1.61400","0.13465","0.00202"
"1.62000","0.13518","0.00203"
"1.62600","0.13566","0.00205"
"1.63200","0.13614","0.00209"
"1.63800","0.13668","0.00203"
"1.64400","0.13716","0.00198"
"1.65000","0.13770","0.00207"
"1.65600","0.13817","0.00209"
"1.66200","0.13871","0.00210"
"1.66800","0.13919","0.00227"
"1.67400","0.13967","0.00234"
"1.68000","0.14021","0.00224"
"1.68600","0.14068","0.00213"
"1.69200","0.14116","0.00203"
"1.69800","0.14164","0.00201"
"1.70400","0.14212","0.00193"
"1.71000","0.14266","0.00184"
"1.71600","0.14314","0.00180"
"1.72200","0.14361","0.00169"
"1.72800","0.14415","0.00151"
"1.73400","0.14463","0.00127"
"1.74000","0.14511","0.00117"
"1.74600","0.14565","0.00115"
"1.75200","0.14613","0.00121"
"1.75800","0.14660","0.00131"
"1.76400","0.14714","0.00135"
"1.77000","0.14762","0.00134"
"1.77600","0.14810","0.00139"
"1.78200","0.14864","0.00150"
"1.78800","0.14912","0.00165"
"1.79400","0.14965","0.00177"
"1.80000","0.15013","0.00182"
"1.80600","0.15061","0.00167"
"1.81200","0.15115","0.00158"
"1.81800","0.15163","0.00159"
"1.82400","0.15210","0.00170"
"1.83000","0.15264","0.00188"
"1.83600","0.15312","0.00203"
"1.84200","0.15360","0.00205"
"1.84800","0.15414","0.00199"
"1.85400","0.15462","0.00184"
"1.86000","0.15509","0.00174"
"1.86600","0.15563","0.00174"
"1.87200","0.15611","0.00186"
"1.87800","0.15659","0.00199"
"1.88400","0.15713","0.00200"
"1.89000","0.15761","0.00199"
"1.89600","0.15808","0.00198"
"1.90200","0.15862","0.00190"
"1.90800","0.15910","0.00190"
"1.91400","0.15964","0.00201"
"1.92000","0.16012","0.00214"
"1.92600","0.16065","0.00218"
"1.93200","0.16113","0.00210"
"1.93800","0.16167","0.00205"
"1.94400","0.16221","0.00200"
"1.95000","0.16269","0.00189"
"1.95600","0.16323","0.00180"
"1.96200","0.16370","0.00165"
"1.96800","0.16424","0.00169"
"1.97400","0.16472","0.00180"
"1.98000","0.16520","0.00184"
"1.98600","0.16568","0.00188"
"1.99200","0.16616","0.00201"
"1.99800","0.16669","0.00211"
"2.00400","0.16717","0.00222"
"2.01000","0.16765","0.00227"
"2.01600","0.16813","0.00228"
"2.02200","0.16867","0.00222"
"2.02800","0.16914","0.00216"
"2.03400","0.16962","0.00229"
"2.04000","0.17016","0.00232"
"2.04600","0.17064","0.00232"
"2.05200","0.17118","0.00232"
"2.05800","0.17166","0.00231"
"2.06400","0.17219","0.00228"
"2.07000","0.17267","0.00230"
"2.07600","0.17321","0.00231"
"2.08200","0.17369","0.00214"
"2.08800","0.17423","0.00196"
"2.09400","0.17471","0.00196"
"2.10000","0.17524","0.00189"
"2.10600","0.17572","0.00175"
"2.11200","0.17620","0.00172"
"2.11800","0.17668","0.00188"
"2.12400","0.17722","0.00198"
"2.13000","0.17769","0.00205"
"2.13600","0.17817","0.00207"
"2.14200","0.17865","0.00206"
"2.14800","0.17919","0.00215"
"2.15400","0.17967","0.00223"
"2.16000","0.18015","0.00216"
"2.16600","0.18062","0.00201"
"2.17200","0.18110","0.00191"
"2.17800","0.18164","0.00186"
"2.18400","0.18212","0.00190"
"2.19000","0.18260","0.00200"
"2.19600","0.18314","0.00209"
"2.20200","0.18361","0.00225"
"2.20800","0.18415","0.00237"
"2.21400","0.18463","0.00236"
"2.22000","0.18511","0.00227"
"2.22600","0.18565","0.00216"
"2.23200","0.18612","0.00211"
"2.23800","0.18660","0.00208"
"2.24400","0.18708","0.00223"
"2.25000","0.18756","0.00232"
"2.25600","0.18810","0.00240"
"2.26200","0.18858","0.00248"
"2.26800","0.18905","0.00258"
"2.27400","0.18959","0.00257"
"2.28000","0.19007","0.00258"
"2.28600","0.19055","0.00255"
"2.29200","0.19109","0.00251"
"2.29800","0.19157","0.00246"
"2.30400","0.19210","0.00242"
"2.31000","0.19258","0.00246"
"2.31600","0.19306","0.00246"
"2.32200","0.19360","0.00235"
"2.32800","0.19408","0.00214"
"2.33400","0.19461","0.00196"
"2.34000","0.19509","0.00197"
"2.34600","0.19557","0.00205"
"2.35200","0.19611","0.00207"
"2.35800","0.19665","0.00207"
"2.36400","0.19713","0.00205"
"2.37000","0.19766","0.00201"
"2.37600","0.19820","0.00208"
"2.38200","0.19868","0.00226"
"2.38800","0.19922","0.00234"
"2.39400","0.19970","0.00240"
"2.40000","0.20018","0.00237"
"2.40600","0.20065","0.00233"
"2.41200","0.20119","0.00225"
"2.41800","0.20167","0.00212"
"2.42400","0.20215","0.00203"
"2.43000","0.20269","0.00209"
"2.43600","0.20316","0.00215"
"2.44200","0.20370","0.00207"
"2.44800","0.20418","0.00200"
"2.45400","0.20472","0.00206"
"2.46000","0.20520","0.00213"
"2.46600","0.20568","0.00223"
"2.47200","0.20621","0.00238"
"2.47800","0.20669","0.00247"
"2.48400","0.20717","0.00253"
"2.49000","0.20771","0.00251"
"2.49600","0.20819","0.00251"
"2.50200","0.20873","0.00265"
"2.50800","0.20920","0.00271"
"2.51400","0.20974","0.00271"
"2.52000","0.21022","0.00261"
"2.52600","0.21070","0.00240"
"2.53200","0.21124","0.00210"
"2.53800","0.21171","0.00183"
"2.54400","0.21219","0.00159"
"2.55000","0.21273","0.00155"
"2.55600","0.21321","0.00173"
"2.56200","0.21369","0.00194"
"2.56800","0.21417","0.00205"
"2.57400","0.21470","0.00196"
"2.58000","0.21518","0.00199"
"2.58600","0.21572","0.00213"
"2.59200","0.21620","0.00214"
"2.59800","0.21674","0.00229"
"2.60400","0.21722","0.00236"
"2.61000","0.21775","0.00228"
"2.61600","0.21823","0.00213"
"2.62200","0.21871","0.00201"
"2.62800","0.21925","0.00186"
"2.63400","0.21973","0.00192"
"2.64000","0.22020","0.00199"
"2.64600","0.22074","0.00205"
"2.65200","0.22122","0.00223"
"2.65800","0.22170","0.00229"
"2.66400","0.22224","0.00245"
"2.67000","0.22272","0.00266"
"2.67600","0.22319","0.00282"
"2.68200","0.22367","0.00290"
"2.68800","0.22421","0.00291"
