End date,"2/26/2017"
Specimen label,"1AT_2.2"
Maximum Load,"0.00830",N

Time,Extension,Load
(s),(mm),(N)
"2.10600","0.17572","0.00007"
"2.11200","0.17620","-0.00001"
"2.11800","0.17668","0.00005"
"2.12400","0.17722","0.00016"
"2.13000","0.17769","0.00018"
"2.13600","0.17817","0.00007"
"2.14200","0.17871","0.00000"
"2.14800","0.17919","-0.00004"
"2.15400","0.17973","0.00001"
"2.16000","0.18021","0.00006"
"2.16600","0.18068","0.00012"
"2.17200","0.18122","0.00024"
"2.17800","0.18170","0.00040"
"2.18400","0.18224","0.00053"
"2.19000","0.18272","0.00068"
"2.19600","0.18320","0.00086"
"2.20200","0.18373","0.00090"
"2.20800","0.18421","0.00091"
"2.21400","0.18469","0.00090"
"2.22000","0.18523","0.00078"
"2.22600","0.18571","0.00076"
"2.23200","0.18624","0.00071"
"2.23800","0.18672","0.00066"
"2.24400","0.18720","0.00051"
"2.25000","0.18774","0.00047"
"2.25600","0.18822","0.00054"
"2.26200","0.18870","0.00058"
"2.26800","0.18923","0.00054"
"2.27400","0.18971","0.00044"
"2.28000","0.19025","0.00029"
"2.28600","0.19073","0.00013"
"2.29200","0.19127","-0.00012"
"2.29800","0.19175","-0.00014"
"2.30400","0.19222","-0.00006"
"2.31000","0.19276","-0.00010"
"2.31600","0.19324","-0.00006"
"2.32200","0.19372","-0.00001"
"2.32800","0.19426","0.00000"
"2.33400","0.19473","0.00012"
"2.34000","0.19521","0.00035"
"2.34600","0.19575","0.00051"
"2.35200","0.19623","0.00057"
"2.35800","0.19671","0.00061"
"2.36400","0.19725","0.00064"
"2.37000","0.19772","0.00055"
"2.37600","0.19820","0.00033"
"2.38200","0.19874","0.00022"
"2.38800","0.19922","0.00012"
"2.39400","0.19970","0.00013"
"2.40000","0.20024","0.00015"
"2.40600","0.20071","0.00020"
"2.41200","0.20119","0.00023"
"2.41800","0.20173","0.00030"
"2.42400","0.20221","0.00039"
"2.43000","0.20269","0.00046"
"2.43600","0.20322","0.00047"
"2.44200","0.20370","0.00050"
"2.44800","0.20418","0.00058"
"2.45400","0.20472","0.00056"
"2.46000","0.20520","0.00042"
"2.46600","0.20568","0.00021"
"2.47200","0.20621","-0.00001"
"2.47800","0.20669","0.00003"
"2.48400","0.20723","0.00013"
"2.49000","0.20771","0.00017"
"2.49600","0.20825","0.00017"
"2.50200","0.20873","0.00011"
"2.50800","0.20926","0.00011"
"2.51400","0.20974","0.00022"
"2.52000","0.21022","0.00037"
"2.52600","0.21076","0.00059"
"2.53200","0.21124","0.00068"
"2.53800","0.21171","0.00070"
"2.54400","0.21225","0.00063"
"2.55000","0.21273","0.00061"
"2.55600","0.21321","0.00053"
"2.56200","0.21369","0.00050"
"2.56800","0.21417","0.00044"
"2.57400","0.21470","0.00047"
"2.58000","0.21518","0.00048"
"2.58600","0.21566","0.00037"
"2.59200","0.21620","0.00036"
"2.59800","0.21668","0.00034"
"2.60400","0.21722","0.00032"
"2.61000","0.21769","0.00033"
"2.61600","0.21817","0.00038"
"2.62200","0.21871","0.00045"
"2.62800","0.21919","0.00051"
"2.63400","0.21967","0.00058"
"2.64000","0.22020","0.00067"
"2.64600","0.22068","0.00070"
"2.65200","0.22116","0.00067"
"2.65800","0.22170","0.00075"
"2.66400","0.22218","0.00076"
"2.67000","0.22266","0.00071"
"2.67600","0.22319","0.00061"
"2.68200","0.22367","0.00054"
"2.68800","0.22415","0.00057"
"2.69400","0.22469","0.00066"
"2.70000","0.22517","0.00065"
"2.70600","0.22565","0.00065"
"2.71200","0.22618","0.00062"
"2.71800","0.22666","0.00047"
"2.72400","0.22714","0.00048"
"2.73000","0.22768","0.00044"
"2.73600","0.22816","0.00044"
"2.74200","0.22864","0.00046"
"2.74800","0.22917","0.00043"
"2.75400","0.22971","0.00037"
"2.76000","0.23019","0.00032"
"2.76600","0.23067","0.00035"
"2.77200","0.23121","0.00051"
"2.77800","0.23168","0.00065"
"2.78400","0.23222","0.00085"
"2.79000","0.23270","0.00109"
"2.79600","0.23324","0.00117"
"2.80200","0.23372","0.00116"
"2.80800","0.23420","0.00106"
"2.81400","0.23473","0.00082"
"2.82000","0.23521","0.00063"
"2.82600","0.23569","0.00061"
"2.83200","0.23623","0.00059"
"2.83800","0.23671","0.00057"
"2.84400","0.23719","0.00051"
"2.85000","0.23772","0.00048"
"2.85600","0.23820","0.00049"
"2.86200","0.23874","0.00053"
"2.86800","0.23922","0.00058"
"2.87400","0.23970","0.00059"
"2.88000","0.24023","0.00070"
"2.88600","0.24071","0.00073"
"2.89200","0.24125","0.00071"
"2.89800","0.24173","0.00070"
"2.90400","0.24221","0.00057"
"2.91000","0.24275","0.00052"
"2.91600","0.24322","0.00059"
"2.92200","0.24370","0.00068"
"2.92800","0.24424","0.00071"
"2.93400","0.24478","0.00052"
"2.94000","0.24526","0.00036"
"2.94600","0.24579","0.00028"
"2.95200","0.24627","0.00020"
"2.95800","0.24675","0.00014"
"2.96400","0.24723","0.00015"
"2.97000","0.24777","0.00019"
"2.97600","0.24825","0.00027"
"2.98200","0.24872","0.00032"
"2.98800","0.24920","0.00039"
"2.99400","0.24968","0.00048"
"3.00000","0.25022","0.00056"
"3.00600","0.25070","0.00070"
"3.01200","0.25124","0.00083"
"3.01800","0.25171","0.00100"
"3.02400","0.25219","0.00101"
"3.03000","0.25273","0.00084"
"3.03600","0.25321","0.00065"
"3.04200","0.25369","0.00046"
"3.04800","0.25423","0.00028"
"3.05400","0.25470","0.00019"
"3.06000","0.25518","0.00023"
"3.06600","0.25572","0.00034"
"3.07200","0.25620","0.00051"
"3.07800","0.25674","0.00063"
"3.08400","0.25721","0.00067"
"3.09000","0.25775","0.00069"
"3.09600","0.25823","0.00079"
"3.10200","0.25871","0.00082"
"3.10800","0.25919","0.00070"
"3.11400","0.25973","0.00068"
"3.12000","0.26020","0.00067"
"3.12600","0.26068","0.00062"
"3.13200","0.26116","0.00062"
"3.13800","0.26170","0.00060"
"3.14400","0.26218","0.00063"
"3.15000","0.26272","0.00072"
"3.15600","0.26319","0.00074"
"3.16200","0.26367","0.00060"
"3.16800","0.26421","0.00039"
"3.17400","0.26469","0.00024"
"3.18000","0.26517","0.00032"
"3.18600","0.26564","0.00049"
"3.19200","0.26618","0.00056"
"3.19800","0.26666","0.00056"
"3.20400","0.26714","0.00054"
"3.21000","0.26768","0.00058"
"3.21600","0.26816","0.00057"
"3.22200","0.26869","0.00055"
"3.22800","0.26917","0.00052"
"3.23400","0.26965","0.00058"
"3.24000","0.27019","0.00062"
"3.24600","0.27067","0.00065"
"3.25200","0.27121","0.00066"
"3.25800","0.27168","0.00060"
"3.26400","0.27216","0.00056"
"3.27000","0.27270","0.00040"
"3.27600","0.27318","0.00021"
"3.28200","0.27372","0.00012"
"3.28800","0.27419","0.00005"
"3.29400","0.27467","0.00000"
"3.30000","0.27521","-0.00012"
"3.30600","0.27569","-0.00018"
"3.31200","0.27623","-0.00015"
"3.31800","0.27671","-0.00011"
"3.32400","0.27718","-0.00001"
"3.33000","0.27772","-0.00001"
"3.33600","0.27820","-0.00005"
"3.34200","0.27868","-0.00007"
"3.34800","0.27922","-0.00006"
"3.35400","0.27970","0.00000"
"3.36000","0.28023","0.00009"
"3.36600","0.28071","0.00014"
"3.37200","0.28119","0.00010"
"3.37800","0.28173","0.00010"
"3.38400","0.28221","0.00009"
"3.39000","0.28274","-0.00004"
"3.39600","0.28322","0.00000"
"3.40200","0.28370","0.00012"
"3.40800","0.28418","0.00024"
"3.41400","0.28472","0.00032"
"3.42000","0.28520","0.00029"
"3.42600","0.28567","0.00018"
"3.43200","0.28621","0.00017"
"3.43800","0.28669","0.00013"
"3.44400","0.28717","-0.00002"
"3.45000","0.28771","-0.00014"
"3.45600","0.28819","-0.00015"
"3.46200","0.28866","0.00003"
"3.46800","0.28920","0.00018"
"3.47400","0.28968","0.00031"
"3.48000","0.29016","0.00045"
"3.48600","0.29070","0.00063"
"3.49200","0.29118","0.00072"
"3.49800","0.29165","0.00078"
"3.50400","0.29219","0.00080"
"3.51000","0.29267","0.00074"
"3.51600","0.29315","0.00066"
"3.52200","0.29363","0.00070"
"3.52800","0.29416","0.00069"
