End date,"2/12/2017"
Specimen label,"9CG_76"
Maximum Load,"0.71948",N

Time,Extension,Load
(s),(mm),(N)
"2.82000","14.66446","0.02136"
"2.82600","14.66500","0.02119"
"2.83200","14.66548","0.02121"
"2.83800","14.66595","0.02135"
"2.84400","14.66649","0.02137"
"2.85000","14.66697","0.02132"
"2.85600","14.66751","0.02114"
"2.86200","14.66799","0.02104"
"2.86800","14.66847","0.02102"
"2.87400","14.66900","0.02106"
"2.88000","14.66948","0.02124"
"2.88600","14.66996","0.02143"
"2.89200","14.67044","0.02143"
"2.89800","14.67098","0.02142"
"2.90400","14.67146","0.02146"
"2.91000","14.67193","0.02137"
"2.91600","14.67247","0.02134"
"2.92200","14.67295","0.02133"
"2.92800","14.67343","0.02124"
"2.93400","14.67397","0.02121"
"2.94000","14.67445","0.02122"
"2.94600","14.67492","0.02118"
"2.95200","14.67540","0.02120"
"2.95800","14.67594","0.02120"
"2.96400","14.67642","0.02119"
"2.97000","14.67690","0.02135"
"2.97600","14.67743","0.02154"
"2.98200","14.67791","0.02176"
"2.98800","14.67839","0.02179"
"2.99400","14.67893","0.02173"
"3.00000","14.67941","0.02172"
"3.00600","14.67994","0.02183"
"3.01200","14.68042","0.02199"
"3.01800","14.68090","0.02214"
"3.02400","14.68138","0.02226"
"3.03000","14.68192","0.02232"
"3.03600","14.68240","0.02222"
"3.04200","14.68287","0.02209"
"3.04800","14.68335","0.02201"
"3.05400","14.68389","0.02183"
"3.06000","14.68437","0.02180"
"3.06600","14.68485","0.02175"
"3.07200","14.68539","0.02170"
"3.07800","14.68586","0.02152"
"3.08400","14.68640","0.02138"
"3.09000","14.68688","0.02131"
"3.09600","14.68742","0.02129"
"3.10200","14.68790","0.02128"
"3.10800","14.68844","0.02127"
"3.11400","14.68891","0.02143"
"3.12000","14.68945","0.02154"
"3.12600","14.68993","0.02158"
"3.13200","14.69047","0.02163"
"3.13800","14.69095","0.02164"
"3.14400","14.69148","0.02160"
"3.15000","14.69196","0.02164"
"3.15600","14.69250","0.02173"
"3.16200","14.69298","0.02176"
"3.16800","14.69352","0.02179"
"3.17400","14.69400","0.02183"
"3.18000","14.69447","0.02174"
"3.18600","14.69495","0.02165"
"3.19200","14.69549","0.02162"
"3.19800","14.69597","0.02158"
"3.20400","14.69651","0.02149"
"3.21000","14.69699","0.02129"
"3.21600","14.69746","0.02117"
"3.22200","14.69800","0.02113"
"3.22800","14.69848","0.02100"
"3.23400","14.69902","0.02093"
"3.24000","14.69950","0.02104"
"3.24600","14.69998","0.02125"
"3.25200","14.70051","0.02133"
"3.25800","14.70099","0.02126"
"3.26400","14.70147","0.02126"
"3.27000","14.70195","0.02133"
"3.27600","14.70249","0.02121"
"3.28200","14.70296","0.02115"
"3.28800","14.70344","0.02114"
"3.29400","14.70398","0.02103"
"3.30000","14.70446","0.02088"
"3.30600","14.70494","0.02076"
"3.31200","14.70548","0.02075"
"3.31800","14.70595","0.02085"
"3.32400","14.70649","0.02088"
"3.33000","14.70697","0.02095"
"3.33600","14.70745","0.02096"
"3.34200","14.70793","0.02096"
"3.34800","14.70846","0.02118"
"3.35400","14.70894","0.02136"
"3.36000","14.70948","0.02145"
"3.36600","14.70996","0.02153"
"3.37200","14.71050","0.02166"
"3.37800","14.71098","0.02176"
"3.38400","14.71145","0.02191"
"3.39000","14.71199","0.02197"
"3.39600","14.71247","0.02191"
"3.40200","14.71295","0.02162"
"3.40800","14.71349","0.02138"
"3.41400","14.71397","0.02127"
"3.42000","14.71444","0.02112"
"3.42600","14.71492","0.02109"
"3.43200","14.71546","0.02110"
"3.43800","14.71594","0.02115"
"3.44400","14.71642","0.02112"
"3.45000","14.71696","0.02102"
"3.45600","14.71743","0.02100"
"3.46200","14.71791","0.02117"
"3.46800","14.71845","0.02113"
"3.47400","14.71893","0.02105"
"3.48000","14.71941","0.02107"
"3.48600","14.71994","0.02129"
"3.49200","14.72042","0.02154"
"3.49800","14.72096","0.02186"
"3.50400","14.72144","0.02208"
"3.51000","14.72192","0.02193"
"3.51600","14.72246","0.02170"
"3.52200","14.72293","0.02162"
"3.52800","14.72341","0.02168"
"3.53400","14.72389","0.02162"
"3.54000","14.72443","0.02149"
"3.54600","14.72491","0.02142"
"3.55200","14.72544","0.02132"
"3.55800","14.72592","0.02130"
"3.56400","14.72640","0.02137"
"3.57000","14.72688","0.02150"
"3.57600","14.72742","0.02157"
"3.58200","14.72790","0.02160"
"3.58800","14.72843","0.02156"
"3.59400","14.72891","0.02156"
"3.60000","14.72939","0.02161"
"3.60600","14.72987","0.02168"
"3.61200","14.73041","0.02177"
"3.61800","14.73089","0.02187"
"3.62400","14.73142","0.02185"
"3.63000","14.73190","0.02178"
"3.63600","14.73244","0.02169"
"3.64200","14.73298","0.02158"
"3.64800","14.73346","0.02156"
"3.65400","14.73399","0.02146"
"3.66000","14.73447","0.02136"
"3.66600","14.73495","0.02135"
"3.67200","14.73549","0.02145"
"3.67800","14.73597","0.02149"
"3.68400","14.73645","0.02152"
"3.69000","14.73698","0.02166"
"3.69600","14.73746","0.02177"
"3.70200","14.73794","0.02180"
"3.70800","14.73842","0.02178"
"3.71400","14.73896","0.02164"
"3.72000","14.73944","0.02166"
"3.72600","14.73997","0.02167"
"3.73200","14.74045","0.02184"
"3.73800","14.74099","0.02207"
"3.74400","14.74147","0.02217"
"3.75000","14.74195","0.02218"
"3.75600","14.74248","0.02213"
"3.76200","14.74296","0.02203"
"3.76800","14.74344","0.02190"
"3.77400","14.74398","0.02193"
"3.78000","14.74452","0.02198"
"3.78600","14.74500","0.02196"
"3.79200","14.74553","0.02193"
"3.79800","14.74601","0.02200"
"3.80400","14.74655","0.02203"
"3.81000","14.74703","0.02194"
"3.81600","14.74751","0.02184"
"3.82200","14.74799","0.02201"
"3.82800","14.74846","0.02219"
"3.83400","14.74894","0.02238"
"3.84000","14.74942","0.02243"
"3.84600","14.74996","0.02237"
"3.85200","14.75044","0.02227"
"3.85800","14.75098","0.02210"
"3.86400","14.75145","0.02191"
"3.87000","14.75193","0.02180"
"3.87600","14.75247","0.02178"
"3.88200","14.75295","0.02173"
"3.88800","14.75349","0.02168"
"3.89400","14.75396","0.02169"
"3.90000","14.75450","0.02162"
"3.90600","14.75498","0.02156"
"3.91200","14.75546","0.02149"
"3.91800","14.75600","0.02152"
"3.92400","14.75648","0.02154"
"3.93000","14.75701","0.02153"
"3.93600","14.75749","0.02151"
"3.94200","14.75797","0.02149"
"3.94800","14.75851","0.02157"
"3.95400","14.75899","0.02170"
"3.96000","14.75947","0.02176"
"3.96600","14.76000","0.02178"
"3.97200","14.76048","0.02189"
"3.97800","14.76096","0.02192"
"3.98400","14.76144","0.02188"
"3.99000","14.76192","0.02196"
"3.99600","14.76245","0.02224"
"4.00200","14.76293","0.02235"
"4.00800","14.76341","0.02227"
"4.01400","14.76389","0.02221"
"4.02000","14.76443","0.02216"
"4.02600","14.76491","0.02203"
"4.03200","14.76538","0.02185"
"4.03800","14.76592","0.02158"
"4.04400","14.76640","0.02137"
"4.05000","14.76688","0.02142"
"4.05600","14.76742","0.02153"
"4.06200","14.76790","0.02178"
"4.06800","14.76843","0.02199"
"4.07400","14.76891","0.02217"
"4.08000","14.76945","0.02237"
"4.08600","14.76993","0.02241"
"4.09200","14.77041","0.02233"
"4.09800","14.77088","0.02234"
"4.10400","14.77142","0.02236"
"4.11000","14.77190","0.02221"
"4.11600","14.77238","0.02208"
"4.12200","14.77286","0.02200"
"4.12800","14.77334","0.02194"
"4.13400","14.77387","0.02185"
"4.14000","14.77435","0.02182"
"4.14600","14.77483","0.02184"
"4.15200","14.77537","0.02193"
"4.15800","14.77585","0.02189"
"4.16400","14.77639","0.02189"
"4.17000","14.77686","0.02186"
"4.17600","14.77740","0.02178"
"4.18200","14.77788","0.02175"
"4.18800","14.77842","0.02192"
"4.19400","14.77890","0.02213"
"4.20000","14.77944","0.02222"
"4.20600","14.77991","0.02208"
"4.21200","14.78045","0.02199"
"4.21800","14.78099","0.02184"
"4.22400","14.78147","0.02170"
"4.23000","14.78201","0.02160"
"4.23600","14.78248","0.02157"
"4.24200","14.78296","0.02170"
"4.24800","14.78350","0.02207"
"4.25400","14.78398","0.02228"
"4.26000","14.78446","0.02236"
"4.26600","14.78500","0.02230"
"4.27200","14.78547","0.02225"
"4.27800","14.78595","0.02221"
"4.28400","14.78649","0.02225"
"4.29000","14.78697","0.02213"
"4.29600","14.78745","0.02202"
"4.30200","14.78798","0.02213"
"4.30800","14.78846","0.02199"
"4.31400","14.78900","0.02185"
"4.32000","14.78948","0.02180"
"4.32600","14.78996","0.02188"
"4.33200","14.79050","0.02205"
"4.33800","14.79097","0.02228"
"4.34400","14.79151","0.02237"
"4.35000","14.79199","0.02241"
"4.35600","14.79247","0.02241"
"4.36200","14.79301","0.02229"
"4.36800","14.79349","0.02215"
"4.37400","14.79402","0.02202"
"4.38000","14.79450","0.02195"
"4.38600","14.79498","0.02180"
"4.39200","14.79546","0.02177"
"4.39800","14.79600","0.02191"
"4.40400","14.79648","0.02195"
"4.41000","14.79695","0.02191"
"4.41600","14.79743","0.02196"
"4.42200","14.79797","0.02203"
"4.42800","14.79845","0.02210"
"4.43400","14.79893","0.02227"
"4.44000","14.79946","0.02249"
"4.44600","14.79994","0.02263"
"4.45200","14.80042","0.02259"
"4.45800","14.80096","0.02251"
"4.46400","14.80144","0.02249"
"4.47000","14.80198","0.02248"
"4.47600","14.80245","0.02231"
"4.48200","14.80293","0.02224"
"4.48800","14.80347","0.02233"
"4.49400","14.80395","0.02244"
"4.50000","14.80449","0.02244"
"4.50600","14.80497","0.02234"
"4.51200","14.80550","0.02227"
"4.51800","14.80598","0.02215"
"4.52400","14.80646","0.02200"
"4.53000","14.80700","0.02203"
"4.53600","14.80748","0.02205"
"4.54200","14.80795","0.02204"
"4.54800","14.80843","0.02211"
"4.55400","14.80891","0.02226"
"4.56000","14.80945","0.02226"
"4.56600","14.80993","0.02235"
"4.57200","14.81041","0.02252"
"4.57800","14.81088","0.02254"
"4.58400","14.81142","0.02237"
"4.59000","14.81190","0.02210"
"4.59600","14.81238","0.02199"
"4.60200","14.81292","0.02186"
"4.60800","14.81340","0.02158"
"4.61400","14.81393","0.02138"
"4.62000","14.81441","0.02146"
"4.62600","14.81489","0.02158"
"4.63200","14.81543","0.02174"
"4.63800","14.81591","0.02180"
"4.64400","14.81644","0.02190"
"4.65000","14.81692","0.02199"
"4.65600","14.81740","0.02217"
"4.66200","14.81794","0.02238"
"4.66800","14.81842","0.02248"
"4.67400","14.81890","0.02244"
"4.68000","14.81943","0.02243"
"4.68600","14.81991","0.02236"
"4.69200","14.82039","0.02214"
"4.69800","14.82087","0.02193"
"4.70400","14.82135","0.02182"
"4.71000","14.82189","0.02180"
"4.71600","14.82236","0.02184"
"4.72200","14.82284","0.02185"
"4.72800","14.82338","0.02183"
"4.73400","14.82386","0.02197"
"4.74000","14.82440","0.02211"
"4.74600","14.82488","0.02230"
"4.75200","14.82541","0.02254"
"4.75800","14.82589","0.02278"
"4.76400","14.82643","0.02286"
"4.77000","14.82691","0.02293"
"4.77600","14.82745","0.02283"
"4.78200","14.82798","0.02276"
"4.78800","14.82846","0.02256"
"4.79400","14.82900","0.02235"
"4.80000","14.82948","0.02224"
"4.80600","14.83002","0.02215"
"4.81200","14.83049","0.02205"
"4.81800","14.83097","0.02199"
"4.82400","14.83151","0.02202"
"4.83000","14.83199","0.02218"
"4.83600","14.83247","0.02247"
"4.84200","14.83295","0.02262"
"4.84800","14.83348","0.02265"
"4.85400","14.83396","0.02269"
"4.86000","14.83444","0.02265"
"4.86600","14.83498","0.02262"
