End date,"12/23/2016"
Specimen label,"17BC_36"
Maximum Load,"1.60068",N

Time,Extension,Load
(s),(mm),(N)
"1.71000","0.14272","0.00397"
"1.71600","0.14320","0.00388"
"1.72200","0.14367","0.00380"
"1.72800","0.14421","0.00380"
"1.73400","0.14469","0.00400"
"1.74000","0.14523","0.00416"
"1.74600","0.14571","0.00422"
"1.75200","0.14619","0.00416"
"1.75800","0.14672","0.00408"
"1.76400","0.14720","0.00397"
"1.77000","0.14768","0.00394"
"1.77600","0.14822","0.00393"
"1.78200","0.14870","0.00390"
"1.78800","0.14917","0.00375"
"1.79400","0.14971","0.00359"
"1.80000","0.15019","0.00356"
"1.80600","0.15067","0.00355"
"1.81200","0.15121","0.00349"
"1.81800","0.15169","0.00345"
"1.82400","0.15222","0.00346"
"1.83000","0.15270","0.00356"
"1.83600","0.15324","0.00377"
"1.84200","0.15372","0.00399"
"1.84800","0.15426","0.00408"
"1.85400","0.15474","0.00402"
"1.86000","0.15521","0.00392"
"1.86600","0.15575","0.00395"
"1.87200","0.15623","0.00409"
"1.87800","0.15677","0.00415"
"1.88400","0.15725","0.00413"
"1.89000","0.15772","0.00406"
"1.89600","0.15826","0.00403"
"1.90200","0.15874","0.00410"
"1.90800","0.15922","0.00415"
"1.91400","0.15970","0.00425"
"1.92000","0.16018","0.00438"
"1.92600","0.16071","0.00439"
"1.93200","0.16119","0.00435"
"1.93800","0.16167","0.00428"
"1.94400","0.16221","0.00420"
"1.95000","0.16269","0.00408"
"1.95600","0.16317","0.00404"
"1.96200","0.16370","0.00401"
"1.96800","0.16424","0.00398"
"1.97400","0.16472","0.00396"
"1.98000","0.16526","0.00408"
"1.98600","0.16574","0.00416"
"1.99200","0.16627","0.00426"
"1.99800","0.16675","0.00427"
"2.00400","0.16729","0.00433"
"2.01000","0.16777","0.00441"
"2.01600","0.16825","0.00450"
"2.02200","0.16879","0.00460"
"2.02800","0.16926","0.00462"
"2.03400","0.16974","0.00454"
"2.04000","0.17028","0.00446"
"2.04600","0.17076","0.00439"
"2.05200","0.17124","0.00433"
"2.05800","0.17172","0.00425"
"2.06400","0.17225","0.00418"
"2.07000","0.17273","0.00419"
"2.07600","0.17321","0.00424"
"2.08200","0.17369","0.00436"
"2.08800","0.17423","0.00446"
"2.09400","0.17471","0.00451"
"2.10000","0.17518","0.00459"
"2.10600","0.17572","0.00468"
"2.11200","0.17620","0.00476"
"2.11800","0.17674","0.00486"
"2.12400","0.17722","0.00483"
"2.13000","0.17775","0.00479"
"2.13600","0.17823","0.00475"
"2.14200","0.17871","0.00476"
"2.14800","0.17925","0.00489"
"2.15400","0.17973","0.00498"
"2.16000","0.18021","0.00494"
"2.16600","0.18074","0.00489"
"2.17200","0.18122","0.00476"
"2.17800","0.18170","0.00465"
