End date,"12/23/2016"
Specimen label,"24DG_92"
Maximum Load,"0.21653",N

Time,Extension,Load
(s),(mm),(N)
"1.96200","0.16376","0.00193"
"1.96800","0.16424","0.00190"
"1.97400","0.16472","0.00183"
"1.98000","0.16526","0.00182"
"1.98600","0.16574","0.00180"
"1.99200","0.16621","0.00171"
"1.99800","0.16675","0.00167"
"2.00400","0.16723","0.00167"
"2.01000","0.16777","0.00172"
"2.01600","0.16825","0.00183"
"2.02200","0.16873","0.00199"
"2.02800","0.16926","0.00206"
"2.03400","0.16974","0.00202"
"2.04000","0.17022","0.00199"
"2.04600","0.17076","0.00197"
"2.05200","0.17124","0.00196"
"2.05800","0.17172","0.00200"
"2.06400","0.17219","0.00206"
"2.07000","0.17273","0.00199"
"2.07600","0.17321","0.00194"
"2.08200","0.17375","0.00192"
"2.08800","0.17423","0.00191"
"2.09400","0.17471","0.00189"
"2.10000","0.17524","0.00187"
"2.10600","0.17572","0.00187"
"2.11200","0.17620","0.00187"
"2.11800","0.17668","0.00185"
"2.12400","0.17722","0.00180"
"2.13000","0.17769","0.00178"
"2.13600","0.17817","0.00175"
"2.14200","0.17871","0.00172"
"2.14800","0.17919","0.00172"
"2.15400","0.17973","0.00177"
"2.16000","0.18021","0.00181"
"2.16600","0.18074","0.00185"
"2.17200","0.18122","0.00187"
"2.17800","0.18170","0.00187"
"2.18400","0.18218","0.00188"
"2.19000","0.18272","0.00193"
"2.19600","0.18320","0.00200"
"2.20200","0.18367","0.00207"
"2.20800","0.18421","0.00212"
"2.21400","0.18469","0.00216"
"2.22000","0.18517","0.00214"
"2.22600","0.18571","0.00213"
"2.23200","0.18618","0.00201"
"2.23800","0.18666","0.00182"
"2.24400","0.18720","0.00169"
"2.25000","0.18768","0.00164"
"2.25600","0.18816","0.00166"
"2.26200","0.18864","0.00167"
"2.26800","0.18917","0.00169"
"2.27400","0.18965","0.00175"
"2.28000","0.19013","0.00181"
"2.28600","0.19067","0.00191"
"2.29200","0.19115","0.00201"
"2.29800","0.19169","0.00204"
"2.30400","0.19216","0.00192"
"2.31000","0.19270","0.00192"
"2.31600","0.19318","0.00206"
"2.32200","0.19372","0.00217"
"2.32800","0.19420","0.00222"
"2.33400","0.19467","0.00219"
"2.34000","0.19515","0.00212"
"2.34600","0.19563","0.00215"
"2.35200","0.19617","0.00216"
"2.35800","0.19665","0.00211"
"2.36400","0.19713","0.00209"
"2.37000","0.19766","0.00207"
"2.37600","0.19814","0.00204"
"2.38200","0.19862","0.00196"
"2.38800","0.19916","0.00188"
"2.39400","0.19964","0.00186"
"2.40000","0.20012","0.00192"
"2.40600","0.20065","0.00200"
"2.41200","0.20113","0.00210"
"2.41800","0.20167","0.00217"
"2.42400","0.20221","0.00218"
"2.43000","0.20269","0.00216"
"2.43600","0.20322","0.00204"
"2.44200","0.20370","0.00192"
"2.44800","0.20424","0.00194"
"2.45400","0.20472","0.00204"
"2.46000","0.20526","0.00211"
"2.46600","0.20574","0.00221"
"2.47200","0.20621","0.00222"
"2.47800","0.20675","0.00225"
"2.48400","0.20723","0.00229"
"2.49000","0.20771","0.00240"
"2.49600","0.20819","0.00252"
"2.50200","0.20873","0.00252"
"2.50800","0.20920","0.00242"
"2.51400","0.20968","0.00230"
"2.52000","0.21016","0.00215"
"2.52600","0.21070","0.00205"
"2.53200","0.21118","0.00197"
"2.53800","0.21165","0.00186"
"2.54400","0.21219","0.00182"
"2.55000","0.21267","0.00186"
"2.55600","0.21315","0.00182"
"2.56200","0.21369","0.00183"
"2.56800","0.21423","0.00178"
"2.57400","0.21470","0.00170"
"2.58000","0.21524","0.00175"
"2.58600","0.21572","0.00177"
"2.59200","0.21620","0.00190"
"2.59800","0.21674","0.00210"
"2.60400","0.21722","0.00226"
"2.61000","0.21769","0.00234"
"2.61600","0.21823","0.00233"
"2.62200","0.21871","0.00226"
"2.62800","0.21919","0.00219"
"2.63400","0.21973","0.00204"
"2.64000","0.22020","0.00192"
"2.64600","0.22068","0.00186"
"2.65200","0.22122","0.00186"
"2.65800","0.22170","0.00186"
"2.66400","0.22218","0.00184"
"2.67000","0.22266","0.00183"
"2.67600","0.22319","0.00191"
"2.68200","0.22367","0.00201"
"2.68800","0.22415","0.00210"
"2.69400","0.22463","0.00223"
"2.70000","0.22517","0.00231"
"2.70600","0.22571","0.00237"
"2.71200","0.22618","0.00236"
"2.71800","0.22666","0.00232"
"2.72400","0.22720","0.00228"
"2.73000","0.22768","0.00231"
"2.73600","0.22822","0.00238"
"2.74200","0.22869","0.00239"
"2.74800","0.22917","0.00233"
"2.75400","0.22965","0.00223"
"2.76000","0.23013","0.00222"
"2.76600","0.23067","0.00222"
"2.77200","0.23115","0.00222"
"2.77800","0.23162","0.00225"
"2.78400","0.23210","0.00222"
"2.79000","0.23264","0.00219"
"2.79600","0.23312","0.00217"
"2.80200","0.23366","0.00215"
"2.80800","0.23414","0.00216"
"2.81400","0.23461","0.00219"
"2.82000","0.23515","0.00216"
"2.82600","0.23563","0.00219"
