End date,"12/23/2016"
Specimen label,"22BG_75"
Maximum Load,"0.92771",N

Time,Extension,Load
(s),(mm),(N)
"2.25600","0.18810","0.00123"
"2.26200","0.18864","0.00117"
"2.26800","0.18911","0.00116"
"2.27400","0.18959","0.00115"
"2.28000","0.19013","0.00125"
"2.28600","0.19061","0.00129"
"2.29200","0.19115","0.00130"
"2.29800","0.19163","0.00125"
"2.30400","0.19216","0.00120"
"2.31000","0.19264","0.00122"
"2.31600","0.19318","0.00119"
"2.32200","0.19366","0.00115"
"2.32800","0.19420","0.00124"
"2.33400","0.19467","0.00127"
"2.34000","0.19515","0.00125"
"2.34600","0.19569","0.00126"
"2.35200","0.19617","0.00125"
"2.35800","0.19665","0.00123"
"2.36400","0.19719","0.00122"
"2.37000","0.19766","0.00121"
"2.37600","0.19814","0.00119"
"2.38200","0.19868","0.00111"
"2.38800","0.19916","0.00103"
"2.39400","0.19964","0.00098"
"2.40000","0.20018","0.00095"
"2.40600","0.20065","0.00095"
"2.41200","0.20113","0.00097"
"2.41800","0.20167","0.00094"
"2.42400","0.20215","0.00090"
"2.43000","0.20269","0.00088"
"2.43600","0.20316","0.00087"
"2.44200","0.20370","0.00087"
"2.44800","0.20418","0.00091"
"2.45400","0.20466","0.00086"
"2.46000","0.20520","0.00081"
"2.46600","0.20568","0.00087"
"2.47200","0.20621","0.00092"
"2.47800","0.20669","0.00094"
"2.48400","0.20717","0.00090"
"2.49000","0.20771","0.00091"
"2.49600","0.20819","0.00105"
"2.50200","0.20867","0.00118"
"2.50800","0.20920","0.00128"
"2.51400","0.20968","0.00136"
"2.52000","0.21016","0.00130"
"2.52600","0.21064","0.00118"
"2.53200","0.21118","0.00112"
"2.53800","0.21165","0.00113"
"2.54400","0.21213","0.00115"
"2.55000","0.21267","0.00113"
"2.55600","0.21315","0.00103"
"2.56200","0.21363","0.00093"
"2.56800","0.21417","0.00089"
"2.57400","0.21470","0.00085"
"2.58000","0.21518","0.00094"
"2.58600","0.21572","0.00099"
"2.59200","0.21620","0.00097"
"2.59800","0.21674","0.00098"
"2.60400","0.21722","0.00096"
"2.61000","0.21775","0.00089"
"2.61600","0.21823","0.00079"
"2.62200","0.21877","0.00069"
"2.62800","0.21925","0.00074"
"2.63400","0.21973","0.00085"
"2.64000","0.22020","0.00099"
"2.64600","0.22074","0.00116"
"2.65200","0.22122","0.00124"
"2.65800","0.22170","0.00125"
"2.66400","0.22224","0.00115"
"2.67000","0.22272","0.00113"
"2.67600","0.22319","0.00117"
"2.68200","0.22373","0.00119"
"2.68800","0.22421","0.00123"
"2.69400","0.22469","0.00131"
"2.70000","0.22517","0.00124"
"2.70600","0.22571","0.00123"
"2.71200","0.22618","0.00134"
"2.71800","0.22666","0.00142"
"2.72400","0.22720","0.00140"
"2.73000","0.22768","0.00126"
"2.73600","0.22822","0.00107"
"2.74200","0.22869","0.00097"
"2.74800","0.22923","0.00100"
"2.75400","0.22971","0.00102"
"2.76000","0.23019","0.00107"
"2.76600","0.23073","0.00110"
"2.77200","0.23121","0.00104"
"2.77800","0.23168","0.00097"
"2.78400","0.23216","0.00090"
"2.79000","0.23264","0.00090"
"2.79600","0.23318","0.00097"
"2.80200","0.23366","0.00099"
"2.80800","0.23414","0.00103"
"2.81400","0.23461","0.00103"
"2.82000","0.23515","0.00112"
"2.82600","0.23563","0.00124"
"2.83200","0.23611","0.00130"
"2.83800","0.23659","0.00126"
"2.84400","0.23713","0.00123"
"2.85000","0.23760","0.00122"
"2.85600","0.23808","0.00123"
"2.86200","0.23856","0.00123"
"2.86800","0.23910","0.00115"
"2.87400","0.23958","0.00100"
"2.88000","0.24011","0.00095"
"2.88600","0.24065","0.00099"
"2.89200","0.24119","0.00110"
"2.89800","0.24167","0.00120"
"2.90400","0.24221","0.00121"
"2.91000","0.24269","0.00122"
"2.91600","0.24322","0.00112"
"2.92200","0.24370","0.00107"
"2.92800","0.24424","0.00114"
"2.93400","0.24472","0.00121"
"2.94000","0.24520","0.00111"
"2.94600","0.24568","0.00108"
"2.95200","0.24621","0.00099"
"2.95800","0.24669","0.00092"
"2.96400","0.24717","0.00094"
"2.97000","0.24771","0.00098"
"2.97600","0.24819","0.00106"
"2.98200","0.24866","0.00114"
"2.98800","0.24920","0.00113"
"2.99400","0.24968","0.00114"
"3.00000","0.25022","0.00120"
"3.00600","0.25070","0.00126"
"3.01200","0.25124","0.00131"
"3.01800","0.25171","0.00128"
"3.02400","0.25225","0.00132"
"3.03000","0.25273","0.00138"
"3.03600","0.25327","0.00138"
"3.04200","0.25381","0.00148"
"3.04800","0.25428","0.00159"
"3.05400","0.25476","0.00157"
"3.06000","0.25530","0.00145"
"3.06600","0.25578","0.00133"
"3.07200","0.25626","0.00126"
"3.07800","0.25674","0.00133"
"3.08400","0.25721","0.00133"
"3.09000","0.25769","0.00119"
"3.09600","0.25817","0.00104"
"3.10200","0.25865","0.00095"
"3.10800","0.25919","0.00103"
"3.11400","0.25967","0.00123"
"3.12000","0.26014","0.00139"
"3.12600","0.26068","0.00151"
"3.13200","0.26116","0.00153"
"3.13800","0.26164","0.00145"
"3.14400","0.26218","0.00146"
"3.15000","0.26266","0.00149"
"3.15600","0.26313","0.00152"
"3.16200","0.26367","0.00161"
"3.16800","0.26415","0.00163"
"3.17400","0.26469","0.00155"
"3.18000","0.26517","0.00154"
"3.18600","0.26570","0.00148"
"3.19200","0.26618","0.00140"
"3.19800","0.26672","0.00137"
"3.20400","0.26720","0.00136"
"3.21000","0.26768","0.00133"
"3.21600","0.26822","0.00131"
"3.22200","0.26869","0.00132"
"3.22800","0.26917","0.00139"
"3.23400","0.26971","0.00139"
"3.24000","0.27019","0.00130"
"3.24600","0.27067","0.00129"
"3.25200","0.27121","0.00126"
