End date,"12/23/2016"
Specimen label,"22DT_77"
Maximum Load,"0.02078",N

Time,Extension,Load
(s),(mm),(N)
"1.93800","0.16167","-0.00039"
"1.94400","0.16221","-0.00036"
"1.95000","0.16269","-0.00022"
"1.95600","0.16317","-0.00010"
"1.96200","0.16370","-0.00010"
"1.96800","0.16418","-0.00014"
"1.97400","0.16472","-0.00014"
"1.98000","0.16520","-0.00017"
"1.98600","0.16574","-0.00020"
"1.99200","0.16621","-0.00029"
"1.99800","0.16669","-0.00053"
"2.00400","0.16723","-0.00066"
"2.01000","0.16771","-0.00070"
"2.01600","0.16819","-0.00070"
"2.02200","0.16873","-0.00059"
"2.02800","0.16920","-0.00045"
"2.03400","0.16974","-0.00023"
"2.04000","0.17022","-0.00011"
"2.04600","0.17076","-0.00012"
"2.05200","0.17124","-0.00002"
"2.05800","0.17178","0.00008"
"2.06400","0.17225","-0.00006"
"2.07000","0.17273","-0.00019"
"2.07600","0.17327","-0.00023"
"2.08200","0.17375","-0.00025"
"2.08800","0.17423","-0.00030"
"2.09400","0.17471","-0.00040"
"2.10000","0.17524","-0.00045"
"2.10600","0.17572","-0.00047"
"2.11200","0.17620","-0.00055"
"2.11800","0.17674","-0.00053"
"2.12400","0.17722","-0.00041"
"2.13000","0.17769","-0.00032"
"2.13600","0.17823","-0.00018"
"2.14200","0.17871","-0.00017"
"2.14800","0.17925","-0.00022"
"2.15400","0.17973","-0.00015"
"2.16000","0.18021","-0.00015"
"2.16600","0.18074","-0.00009"
"2.17200","0.18122","-0.00004"
"2.17800","0.18176","-0.00015"
"2.18400","0.18224","-0.00021"
"2.19000","0.18278","-0.00018"
"2.19600","0.18325","-0.00018"
"2.20200","0.18373","-0.00019"
"2.20800","0.18427","-0.00015"
"2.21400","0.18475","-0.00016"
"2.22000","0.18523","-0.00022"
"2.22600","0.18577","-0.00025"
"2.23200","0.18624","-0.00021"
"2.23800","0.18672","-0.00014"
"2.24400","0.18720","-0.00017"
"2.25000","0.18768","-0.00024"
"2.25600","0.18822","-0.00033"
"2.26200","0.18870","-0.00040"
"2.26800","0.18917","-0.00034"
"2.27400","0.18971","-0.00027"
"2.28000","0.19019","-0.00033"
"2.28600","0.19067","-0.00039"
"2.29200","0.19121","-0.00045"
"2.29800","0.19169","-0.00046"
"2.30400","0.19216","-0.00036"
"2.31000","0.19270","-0.00028"
"2.31600","0.19318","-0.00029"
"2.32200","0.19366","-0.00028"
"2.32800","0.19420","-0.00034"
"2.33400","0.19467","-0.00042"
"2.34000","0.19521","-0.00048"
"2.34600","0.19569","-0.00061"
"2.35200","0.19617","-0.00067"
"2.35800","0.19671","-0.00070"
"2.36400","0.19719","-0.00075"
"2.37000","0.19766","-0.00065"
"2.37600","0.19814","-0.00061"
"2.38200","0.19868","-0.00060"
"2.38800","0.19916","-0.00047"
"2.39400","0.19964","-0.00033"
"2.40000","0.20018","-0.00023"
"2.40600","0.20065","-0.00015"
"2.41200","0.20113","-0.00005"
"2.41800","0.20161","0.00001"
"2.42400","0.20215","0.00000"
"2.43000","0.20263","0.00001"
"2.43600","0.20311","0.00001"
"2.44200","0.20364","-0.00009"
"2.44800","0.20412","-0.00021"
"2.45400","0.20466","-0.00027"
"2.46000","0.20514","-0.00033"
"2.46600","0.20568","-0.00040"
"2.47200","0.20621","-0.00048"
"2.47800","0.20669","-0.00055"
"2.48400","0.20723","-0.00059"
"2.49000","0.20771","-0.00060"
"2.49600","0.20825","-0.00061"
"2.50200","0.20873","-0.00057"
"2.50800","0.20920","-0.00060"
"2.51400","0.20974","-0.00064"
"2.52000","0.21022","-0.00049"
"2.52600","0.21070","-0.00043"
"2.53200","0.21124","-0.00037"
"2.53800","0.21171","-0.00028"
"2.54400","0.21225","-0.00029"
"2.55000","0.21273","-0.00035"
"2.55600","0.21321","-0.00034"
"2.56200","0.21375","-0.00039"
"2.56800","0.21423","-0.00036"
"2.57400","0.21470","-0.00034"
"2.58000","0.21524","-0.00036"
"2.58600","0.21572","-0.00037"
"2.59200","0.21620","-0.00039"
"2.59800","0.21674","-0.00035"
"2.60400","0.21722","-0.00023"
"2.61000","0.21775","-0.00013"
"2.61600","0.21823","-0.00006"
"2.62200","0.21877","0.00003"
"2.62800","0.21925","0.00002"
"2.63400","0.21973","0.00010"
"2.64000","0.22026","0.00015"
"2.64600","0.22074","0.00002"
