End date,"11/4/2016"
Specimen label,""
Maximum Load,"1.49282",N

Time,Extension,Load
(s),(mm),(N)
"1.66800","0.13913","0.00046"
"1.67400","0.13967","0.00047"
"1.68000","0.14015","0.00054"
"1.68600","0.14062","0.00066"
"1.69200","0.14116","0.00074"
"1.69800","0.14164","0.00076"
"1.70400","0.14218","0.00078"
"1.71000","0.14266","0.00080"
"1.71600","0.14314","0.00068"
"1.72200","0.14367","0.00064"
"1.72800","0.14415","0.00065"
"1.73400","0.14463","0.00069"
"1.74000","0.14517","0.00080"
"1.74600","0.14565","0.00086"
"1.75200","0.14613","0.00085"
"1.75800","0.14666","0.00083"
"1.76400","0.14714","0.00080"
"1.77000","0.14762","0.00087"
"1.77600","0.14816","0.00086"
"1.78200","0.14864","0.00084"
"1.78800","0.14912","0.00083"
"1.79400","0.14965","0.00081"
"1.80000","0.15013","0.00079"
"1.80600","0.15067","0.00080"
"1.81200","0.15115","0.00086"
"1.81800","0.15163","0.00086"
"1.82400","0.15216","0.00084"
"1.83000","0.15264","0.00082"
"1.83600","0.15312","0.00082"
"1.84200","0.15366","0.00085"
"1.84800","0.15414","0.00085"
"1.85400","0.15462","0.00092"
"1.86000","0.15515","0.00095"
"1.86600","0.15563","0.00090"
"1.87200","0.15611","0.00097"
"1.87800","0.15665","0.00100"
"1.88400","0.15713","0.00103"
"1.89000","0.15761","0.00110"
"1.89600","0.15814","0.00109"
"1.90200","0.15868","0.00111"
"1.90800","0.15916","0.00125"
"1.91400","0.15964","0.00134"
"1.92000","0.16012","0.00139"
"1.92600","0.16065","0.00140"
"1.93200","0.16113","0.00129"
"1.93800","0.16161","0.00118"
"1.94400","0.16215","0.00105"
"1.95000","0.16263","0.00086"
"1.95600","0.16317","0.00066"
"1.96200","0.16364","0.00058"
"1.96800","0.16418","0.00060"
"1.97400","0.16466","0.00073"
"1.98000","0.16514","0.00085"
"1.98600","0.16568","0.00095"
"1.99200","0.16616","0.00101"
"1.99800","0.16663","0.00100"
"2.00400","0.16717","0.00102"
"2.01000","0.16765","0.00099"
"2.01600","0.16819","0.00095"
"2.02200","0.16867","0.00097"
"2.02800","0.16914","0.00101"
"2.03400","0.16968","0.00106"
"2.04000","0.17022","0.00116"
"2.04600","0.17070","0.00112"
"2.05200","0.17124","0.00111"
"2.05800","0.17172","0.00112"
"2.06400","0.17219","0.00111"
"2.07000","0.17267","0.00117"
"2.07600","0.17321","0.00129"
"2.08200","0.17369","0.00128"
"2.08800","0.17417","0.00132"
"2.09400","0.17471","0.00137"
"2.10000","0.17518","0.00138"
"2.10600","0.17566","0.00137"
"2.11200","0.17614","0.00135"
"2.11800","0.17668","0.00132"
"2.12400","0.17716","0.00130"
"2.13000","0.17769","0.00124"
"2.13600","0.17817","0.00130"
"2.14200","0.17865","0.00139"
"2.14800","0.17919","0.00136"
"2.15400","0.17967","0.00124"
"2.16000","0.18015","0.00103"
"2.16600","0.18068","0.00087"
"2.17200","0.18116","0.00091"
"2.17800","0.18170","0.00100"
"2.18400","0.18218","0.00107"
"2.19000","0.18266","0.00104"
"2.19600","0.18320","0.00098"
"2.20200","0.18367","0.00097"
"2.20800","0.18421","0.00103"
"2.21400","0.18469","0.00107"
"2.22000","0.18517","0.00108"
"2.22600","0.18565","0.00106"
"2.23200","0.18612","0.00101"
"2.23800","0.18660","0.00097"
"2.24400","0.18714","0.00104"
"2.25000","0.18762","0.00110"
"2.25600","0.18810","0.00113"
"2.26200","0.18858","0.00113"
"2.26800","0.18911","0.00107"
"2.27400","0.18959","0.00099"
"2.28000","0.19007","0.00090"
"2.28600","0.19055","0.00091"
"2.29200","0.19109","0.00101"
"2.29800","0.19157","0.00104"
"2.30400","0.19210","0.00106"
"2.31000","0.19258","0.00114"
"2.31600","0.19312","0.00119"
"2.32200","0.19360","0.00121"
"2.32800","0.19414","0.00121"
"2.33400","0.19461","0.00122"
"2.34000","0.19515","0.00120"
"2.34600","0.19563","0.00118"
"2.35200","0.19611","0.00110"
"2.35800","0.19665","0.00109"
