End date,"11/4/2016"
Specimen label,"63G_21"
Maximum Load,"-0.00015",N

Time,Extension,Load
(s),(mm),(N)
"1.60800","-0.43449","-0.00472"
"1.61400","-0.43395","-0.00479"
"1.62000","-0.43347","-0.00483"
"1.62600","-0.43300","-0.00484"
"1.63200","-0.43246","-0.00486"
"1.63800","-0.43198","-0.00493"
"1.64400","-0.43150","-0.00504"
"1.65000","-0.43102","-0.00511"
"1.65600","-0.43048","-0.00510"
"1.66200","-0.43001","-0.00507"
"1.66800","-0.42947","-0.00504"
"1.67400","-0.42899","-0.00501"
"1.68000","-0.42851","-0.00501"
"1.68600","-0.42797","-0.00490"
"1.69200","-0.42744","-0.00484"
"1.69800","-0.42696","-0.00474"
"1.70400","-0.42648","-0.00466"
"1.71000","-0.42594","-0.00464"
"1.71600","-0.42546","-0.00463"
"1.72200","-0.42492","-0.00458"
"1.72800","-0.42445","-0.00462"
"1.73400","-0.42391","-0.00464"
"1.74000","-0.42343","-0.00471"
"1.74600","-0.42295","-0.00473"
"1.75200","-0.42247","-0.00467"
"1.75800","-0.42193","-0.00460"
"1.76400","-0.42146","-0.00456"
"1.77000","-0.42092","-0.00452"
"1.77600","-0.42044","-0.00448"
"1.78200","-0.41990","-0.00448"
"1.78800","-0.41942","-0.00450"
"1.79400","-0.41889","-0.00452"
"1.80000","-0.41841","-0.00453"
"1.80600","-0.41787","-0.00460"
"1.81200","-0.41739","-0.00460"
"1.81800","-0.41685","-0.00459"
"1.82400","-0.41637","-0.00460"
"1.83000","-0.41584","-0.00456"
"1.83600","-0.41536","-0.00457"
"1.84200","-0.41482","-0.00459"
"1.84800","-0.41434","-0.00451"
"1.85400","-0.41386","-0.00445"
"1.86000","-0.41333","-0.00443"
"1.86600","-0.41285","-0.00444"
"1.87200","-0.41237","-0.00446"
"1.87800","-0.41183","-0.00450"
"1.88400","-0.41135","-0.00460"
"1.89000","-0.41087","-0.00472"
"1.89600","-0.41040","-0.00476"
"1.90200","-0.40992","-0.00481"
"1.90800","-0.40938","-0.00482"
"1.91400","-0.40890","-0.00480"
"1.92000","-0.40842","-0.00477"
"1.92600","-0.40788","-0.00474"
"1.93200","-0.40741","-0.00467"
"1.93800","-0.40687","-0.00455"
"1.94400","-0.40639","-0.00448"
"1.95000","-0.40591","-0.00444"
"1.95600","-0.40537","-0.00441"
"1.96200","-0.40489","-0.00444"
"1.96800","-0.40436","-0.00444"
