End date,"2/12/2017"
Specimen label,"10BG_Unk2"
Maximum Load,"0.64592",N

Time,Extension,Load
(s),(mm),(N)
"2.05200","0.17124","0.00400"
"2.05800","0.17172","0.00405"
"2.06400","0.17225","0.00401"
"2.07000","0.17273","0.00412"
"2.07600","0.17321","0.00416"
"2.08200","0.17375","0.00426"
"2.08800","0.17423","0.00433"
"2.09400","0.17471","0.00446"
"2.10000","0.17518","0.00462"
"2.10600","0.17572","0.00471"
"2.11200","0.17620","0.00472"
"2.11800","0.17668","0.00476"
"2.12400","0.17722","0.00483"
"2.13000","0.17769","0.00485"
"2.13600","0.17817","0.00477"
"2.14200","0.17871","0.00472"
"2.14800","0.17919","0.00465"
"2.15400","0.17973","0.00459"
"2.16000","0.18021","0.00454"
"2.16600","0.18068","0.00446"
"2.17200","0.18122","0.00438"
"2.17800","0.18170","0.00427"
"2.18400","0.18218","0.00424"
"2.19000","0.18272","0.00441"
"2.19600","0.18320","0.00477"
"2.20200","0.18367","0.00513"
"2.20800","0.18421","0.00538"
"2.21400","0.18469","0.00540"
"2.22000","0.18517","0.00531"
"2.22600","0.18571","0.00516"
"2.23200","0.18618","0.00490"
"2.23800","0.18666","0.00472"
"2.24400","0.18720","0.00470"
"2.25000","0.18768","0.00495"
"2.25600","0.18816","0.00500"
"2.26200","0.18864","0.00493"
"2.26800","0.18917","0.00490"
"2.27400","0.18965","0.00485"
"2.28000","0.19019","0.00480"
"2.28600","0.19067","0.00485"
"2.29200","0.19121","0.00506"
"2.29800","0.19169","0.00534"
"2.30400","0.19216","0.00543"
"2.31000","0.19270","0.00545"
"2.31600","0.19318","0.00543"
"2.32200","0.19372","0.00529"
"2.32800","0.19420","0.00516"
"2.33400","0.19467","0.00509"
"2.34000","0.19515","0.00517"
"2.34600","0.19569","0.00521"
"2.35200","0.19617","0.00532"
"2.35800","0.19665","0.00546"
"2.36400","0.19719","0.00563"
"2.37000","0.19766","0.00571"
"2.37600","0.19820","0.00573"
"2.38200","0.19868","0.00579"
"2.38800","0.19916","0.00575"
"2.39400","0.19970","0.00563"
"2.40000","0.20018","0.00549"
"2.40600","0.20065","0.00536"
"2.41200","0.20119","0.00539"
"2.41800","0.20167","0.00551"
"2.42400","0.20221","0.00558"
"2.43000","0.20269","0.00550"
"2.43600","0.20322","0.00535"
"2.44200","0.20370","0.00519"
"2.44800","0.20424","0.00495"
"2.45400","0.20472","0.00483"
"2.46000","0.20520","0.00483"
"2.46600","0.20574","0.00488"
"2.47200","0.20621","0.00508"
"2.47800","0.20675","0.00525"
"2.48400","0.20723","0.00533"
"2.49000","0.20771","0.00539"
"2.49600","0.20819","0.00550"
"2.50200","0.20873","0.00552"
"2.50800","0.20920","0.00550"
"2.51400","0.20974","0.00547"
"2.52000","0.21022","0.00539"
"2.52600","0.21076","0.00530"
"2.53200","0.21124","0.00528"
"2.53800","0.21171","0.00535"
"2.54400","0.21225","0.00534"
"2.55000","0.21273","0.00521"
"2.55600","0.21327","0.00515"
"2.56200","0.21375","0.00506"
"2.56800","0.21423","0.00499"
"2.57400","0.21476","0.00495"
"2.58000","0.21524","0.00512"
"2.58600","0.21578","0.00531"
"2.59200","0.21626","0.00544"
"2.59800","0.21674","0.00550"
"2.60400","0.21728","0.00559"
"2.61000","0.21775","0.00555"
"2.61600","0.21823","0.00533"
"2.62200","0.21871","0.00509"
"2.62800","0.21925","0.00493"
"2.63400","0.21973","0.00499"
"2.64000","0.22020","0.00507"
"2.64600","0.22068","0.00521"
"2.65200","0.22116","0.00524"
"2.65800","0.22170","0.00528"
"2.66400","0.22218","0.00528"
"2.67000","0.22266","0.00527"
"2.67600","0.22313","0.00520"
"2.68200","0.22367","0.00522"
"2.68800","0.22415","0.00523"
"2.69400","0.22463","0.00521"
"2.70000","0.22517","0.00535"
"2.70600","0.22565","0.00551"
"2.71200","0.22618","0.00549"
"2.71800","0.22666","0.00554"
"2.72400","0.22720","0.00557"
"2.73000","0.22768","0.00563"
"2.73600","0.22816","0.00569"
"2.74200","0.22869","0.00576"
"2.74800","0.22917","0.00587"
"2.75400","0.22965","0.00590"
"2.76000","0.23013","0.00572"
"2.76600","0.23061","0.00548"
"2.77200","0.23115","0.00528"
"2.77800","0.23162","0.00518"
"2.78400","0.23216","0.00528"
"2.79000","0.23264","0.00537"
"2.79600","0.23312","0.00541"
"2.80200","0.23366","0.00555"
"2.80800","0.23414","0.00577"
"2.81400","0.23461","0.00595"
"2.82000","0.23515","0.00602"
"2.82600","0.23563","0.00606"
"2.83200","0.23617","0.00605"
"2.83800","0.23665","0.00603"
