End date,"12/17/2016"
Specimen label,"15CG_21"
Maximum Load,"0.00672",N

Time,Extension,Load
(s),(mm),(N)
"1.63800","0.13662","0.00058"
"1.64400","0.13716","0.00057"
"1.65000","0.13764","0.00058"
"1.65600","0.13811","0.00053"
"1.66200","0.13865","0.00062"
"1.66800","0.13913","0.00078"
"1.67400","0.13967","0.00082"
"1.68000","0.14015","0.00085"
"1.68600","0.14068","0.00090"
"1.69200","0.14116","0.00098"
"1.69800","0.14170","0.00107"
"1.70400","0.14218","0.00111"
"1.71000","0.14266","0.00116"
"1.71600","0.14314","0.00115"
"1.72200","0.14367","0.00108"
"1.72800","0.14415","0.00107"
"1.73400","0.14463","0.00107"
"1.74000","0.14517","0.00099"
"1.74600","0.14565","0.00094"
"1.75200","0.14619","0.00086"
"1.75800","0.14666","0.00084"
"1.76400","0.14720","0.00080"
"1.77000","0.14768","0.00073"
"1.77600","0.14816","0.00071"
"1.78200","0.14870","0.00074"
"1.78800","0.14917","0.00072"
"1.79400","0.14965","0.00069"
"1.80000","0.15019","0.00068"
"1.80600","0.15067","0.00069"
"1.81200","0.15121","0.00070"
"1.81800","0.15169","0.00071"
"1.82400","0.15216","0.00071"
"1.83000","0.15270","0.00070"
"1.83600","0.15318","0.00069"
"1.84200","0.15366","0.00071"
"1.84800","0.15420","0.00077"
"1.85400","0.15468","0.00079"
"1.86000","0.15515","0.00087"
"1.86600","0.15569","0.00100"
"1.87200","0.15617","0.00103"
"1.87800","0.15665","0.00100"
"1.88400","0.15719","0.00098"
"1.89000","0.15766","0.00082"
"1.89600","0.15820","0.00080"
"1.90200","0.15868","0.00084"
"1.90800","0.15916","0.00084"
"1.91400","0.15970","0.00085"
"1.92000","0.16018","0.00087"
"1.92600","0.16071","0.00096"
"1.93200","0.16119","0.00105"
"1.93800","0.16173","0.00106"
"1.94400","0.16221","0.00108"
"1.95000","0.16269","0.00104"
"1.95600","0.16323","0.00091"
"1.96200","0.16370","0.00086"
"1.96800","0.16424","0.00088"
"1.97400","0.16472","0.00085"
"1.98000","0.16520","0.00083"
"1.98600","0.16574","0.00081"
"1.99200","0.16621","0.00080"
"1.99800","0.16669","0.00077"
"2.00400","0.16717","0.00074"
"2.01000","0.16771","0.00075"
"2.01600","0.16819","0.00076"
"2.02200","0.16873","0.00071"
"2.02800","0.16920","0.00076"
"2.03400","0.16968","0.00085"
"2.04000","0.17022","0.00090"
"2.04600","0.17070","0.00097"
"2.05200","0.17118","0.00105"
"2.05800","0.17172","0.00109"
"2.06400","0.17219","0.00116"
"2.07000","0.17267","0.00112"
"2.07600","0.17321","0.00114"
"2.08200","0.17369","0.00114"
"2.08800","0.17417","0.00110"
"2.09400","0.17465","0.00114"
"2.10000","0.17518","0.00117"
"2.10600","0.17566","0.00113"
"2.11200","0.17614","0.00104"
"2.11800","0.17668","0.00093"
"2.12400","0.17716","0.00089"
"2.13000","0.17763","0.00095"
"2.13600","0.17817","0.00101"
"2.14200","0.17865","0.00110"
"2.14800","0.17913","0.00117"
"2.15400","0.17967","0.00118"
"2.16000","0.18015","0.00122"
"2.16600","0.18068","0.00127"
"2.17200","0.18116","0.00119"
"2.17800","0.18164","0.00114"
"2.18400","0.18218","0.00118"
"2.19000","0.18266","0.00120"
"2.19600","0.18320","0.00120"
"2.20200","0.18367","0.00115"
"2.20800","0.18421","0.00120"
"2.21400","0.18469","0.00121"
"2.22000","0.18517","0.00113"
"2.22600","0.18571","0.00106"
"2.23200","0.18618","0.00106"
"2.23800","0.18672","0.00110"
"2.24400","0.18720","0.00115"
"2.25000","0.18768","0.00119"
"2.25600","0.18822","0.00117"
"2.26200","0.18870","0.00114"
"2.26800","0.18923","0.00112"
"2.27400","0.18971","0.00102"
"2.28000","0.19019","0.00093"
"2.28600","0.19073","0.00087"
"2.29200","0.19121","0.00085"
"2.29800","0.19175","0.00083"
"2.30400","0.19222","0.00085"
"2.31000","0.19270","0.00094"
"2.31600","0.19324","0.00106"
"2.32200","0.19372","0.00115"
"2.32800","0.19426","0.00126"
"2.33400","0.19473","0.00131"
"2.34000","0.19521","0.00127"
"2.34600","0.19575","0.00123"
"2.35200","0.19623","0.00120"
"2.35800","0.19671","0.00117"
"2.36400","0.19719","0.00116"
"2.37000","0.19772","0.00119"
"2.37600","0.19820","0.00122"
"2.38200","0.19868","0.00130"
"2.38800","0.19922","0.00133"
"2.39400","0.19970","0.00134"
"2.40000","0.20024","0.00129"
"2.40600","0.20071","0.00123"
"2.41200","0.20119","0.00119"
"2.41800","0.20173","0.00114"
"2.42400","0.20221","0.00107"
"2.43000","0.20269","0.00109"
"2.43600","0.20322","0.00117"
"2.44200","0.20370","0.00123"
"2.44800","0.20418","0.00132"
"2.45400","0.20472","0.00131"
"2.46000","0.20520","0.00126"
"2.46600","0.20574","0.00126"
"2.47200","0.20621","0.00131"
"2.47800","0.20675","0.00140"
"2.48400","0.20723","0.00146"
"2.49000","0.20771","0.00142"
"2.49600","0.20819","0.00140"
"2.50200","0.20867","0.00133"
"2.50800","0.20920","0.00125"
"2.51400","0.20968","0.00118"
"2.52000","0.21016","0.00114"
"2.52600","0.21070","0.00114"
"2.53200","0.21118","0.00110"
"2.53800","0.21165","0.00103"
"2.54400","0.21219","0.00100"
"2.55000","0.21267","0.00095"
"2.55600","0.21321","0.00093"
"2.56200","0.21369","0.00095"
"2.56800","0.21417","0.00100"
"2.57400","0.21470","0.00101"
"2.58000","0.21518","0.00099"
"2.58600","0.21566","0.00103"
"2.59200","0.21620","0.00107"
"2.59800","0.21668","0.00109"
"2.60400","0.21716","0.00106"
"2.61000","0.21763","0.00110"
"2.61600","0.21817","0.00116"
"2.62200","0.21865","0.00113"
"2.62800","0.21919","0.00117"
"2.63400","0.21967","0.00122"
"2.64000","0.22015","0.00117"
"2.64600","0.22068","0.00113"
"2.65200","0.22116","0.00111"
"2.65800","0.22164","0.00114"
"2.66400","0.22212","0.00118"
"2.67000","0.22266","0.00116"
"2.67600","0.22313","0.00112"
"2.68200","0.22361","0.00113"
"2.68800","0.22415","0.00114"
"2.69400","0.22463","0.00116"
"2.70000","0.22517","0.00117"
"2.70600","0.22565","0.00123"
"2.71200","0.22618","0.00133"
"2.71800","0.22666","0.00147"
"2.72400","0.22714","0.00157"
"2.73000","0.22768","0.00160"
"2.73600","0.22816","0.00147"
"2.74200","0.22864","0.00135"
"2.74800","0.22917","0.00129"
"2.75400","0.22965","0.00120"
"2.76000","0.23013","0.00119"
"2.76600","0.23067","0.00122"
"2.77200","0.23115","0.00120"
"2.77800","0.23162","0.00115"
"2.78400","0.23216","0.00112"
"2.79000","0.23264","0.00112"
"2.79600","0.23312","0.00111"
"2.80200","0.23366","0.00113"
"2.80800","0.23420","0.00112"
"2.81400","0.23467","0.00108"
"2.82000","0.23521","0.00103"
"2.82600","0.23569","0.00101"
"2.83200","0.23623","0.00099"
"2.83800","0.23671","0.00092"
"2.84400","0.23724","0.00099"
"2.85000","0.23772","0.00108"
"2.85600","0.23820","0.00118"
