End date,"12/17/2016"
Specimen label,"6CT_42"
Maximum Load,"0.30066",N

Time,Extension,Load
(s),(mm),(N)
"1.59600","0.13315","0.00378"
"1.60200","0.13363","0.00386"
"1.60800","0.13411","0.00392"
"1.61400","0.13459","0.00390"
"1.62000","0.13512","0.00379"
"1.62600","0.13560","0.00366"
"1.63200","0.13608","0.00363"
"1.63800","0.13662","0.00365"
"1.64400","0.13710","0.00367"
"1.65000","0.13758","0.00372"
"1.65600","0.13811","0.00379"
"1.66200","0.13859","0.00380"
"1.66800","0.13913","0.00380"
"1.67400","0.13961","0.00383"
"1.68000","0.14015","0.00383"
"1.68600","0.14062","0.00377"
"1.69200","0.14110","0.00382"
"1.69800","0.14164","0.00390"
"1.70400","0.14212","0.00395"
"1.71000","0.14260","0.00396"
"1.71600","0.14308","0.00402"
"1.72200","0.14361","0.00405"
"1.72800","0.14409","0.00406"
"1.73400","0.14457","0.00405"
"1.74000","0.14511","0.00406"
"1.74600","0.14559","0.00408"
"1.75200","0.14613","0.00405"
"1.75800","0.14660","0.00404"
"1.76400","0.14708","0.00400"
"1.77000","0.14762","0.00390"
"1.77600","0.14810","0.00383"
"1.78200","0.14864","0.00384"
"1.78800","0.14912","0.00387"
"1.79400","0.14965","0.00391"
"1.80000","0.15013","0.00389"
"1.80600","0.15067","0.00390"
"1.81200","0.15115","0.00398"
"1.81800","0.15169","0.00398"
"1.82400","0.15216","0.00394"
"1.83000","0.15270","0.00392"
"1.83600","0.15318","0.00388"
"1.84200","0.15366","0.00388"
"1.84800","0.15420","0.00385"
"1.85400","0.15468","0.00387"
"1.86000","0.15515","0.00391"
"1.86600","0.15563","0.00393"
"1.87200","0.15611","0.00398"
"1.87800","0.15659","0.00403"
"1.88400","0.15713","0.00402"
"1.89000","0.15761","0.00407"
"1.89600","0.15808","0.00412"
"1.90200","0.15862","0.00406"
"1.90800","0.15910","0.00394"
"1.91400","0.15964","0.00392"
"1.92000","0.16012","0.00392"
"1.92600","0.16065","0.00395"
"1.93200","0.16113","0.00391"
"1.93800","0.16167","0.00383"
"1.94400","0.16215","0.00381"
"1.95000","0.16269","0.00382"
"1.95600","0.16317","0.00388"
"1.96200","0.16370","0.00400"
"1.96800","0.16418","0.00410"
"1.97400","0.16472","0.00418"
"1.98000","0.16520","0.00420"
"1.98600","0.16568","0.00416"
"1.99200","0.16621","0.00418"
"1.99800","0.16669","0.00417"
"2.00400","0.16717","0.00416"
"2.01000","0.16765","0.00417"
"2.01600","0.16819","0.00417"
"2.02200","0.16867","0.00419"
"2.02800","0.16914","0.00422"
"2.03400","0.16962","0.00422"
"2.04000","0.17016","0.00417"
"2.04600","0.17064","0.00405"
"2.05200","0.17112","0.00397"
"2.05800","0.17166","0.00395"
"2.06400","0.17213","0.00391"
"2.07000","0.17261","0.00387"
"2.07600","0.17315","0.00385"
"2.08200","0.17363","0.00384"
"2.08800","0.17417","0.00384"
"2.09400","0.17465","0.00380"
"2.10000","0.17512","0.00374"
"2.10600","0.17566","0.00376"
"2.11200","0.17614","0.00383"
"2.11800","0.17662","0.00385"
"2.12400","0.17710","0.00392"
"2.13000","0.17763","0.00399"
"2.13600","0.17811","0.00396"
"2.14200","0.17865","0.00391"
"2.14800","0.17913","0.00387"
"2.15400","0.17961","0.00386"
"2.16000","0.18015","0.00386"
"2.16600","0.18062","0.00387"
"2.17200","0.18110","0.00399"
"2.17800","0.18158","0.00409"
"2.18400","0.18206","0.00413"
"2.19000","0.18260","0.00416"
"2.19600","0.18308","0.00412"
"2.20200","0.18355","0.00405"
"2.20800","0.18409","0.00402"
"2.21400","0.18457","0.00401"
"2.22000","0.18511","0.00399"
"2.22600","0.18559","0.00406"
"2.23200","0.18612","0.00414"
"2.23800","0.18660","0.00420"
"2.24400","0.18714","0.00424"
"2.25000","0.18762","0.00422"
"2.25600","0.18816","0.00424"
"2.26200","0.18864","0.00428"
"2.26800","0.18911","0.00425"
"2.27400","0.18965","0.00423"
"2.28000","0.19013","0.00425"
"2.28600","0.19067","0.00416"
"2.29200","0.19115","0.00411"
"2.29800","0.19163","0.00412"
"2.30400","0.19216","0.00412"
"2.31000","0.19264","0.00408"
"2.31600","0.19312","0.00404"
"2.32200","0.19366","0.00406"
"2.32800","0.19414","0.00409"
"2.33400","0.19467","0.00411"
"2.34000","0.19515","0.00411"
"2.34600","0.19569","0.00410"
"2.35200","0.19617","0.00413"
"2.35800","0.19665","0.00417"
"2.36400","0.19719","0.00419"
"2.37000","0.19766","0.00419"
"2.37600","0.19820","0.00418"
"2.38200","0.19868","0.00420"
"2.38800","0.19922","0.00425"
"2.39400","0.19970","0.00430"
"2.40000","0.20018","0.00429"
"2.40600","0.20071","0.00432"
"2.41200","0.20119","0.00440"
"2.41800","0.20167","0.00438"
"2.42400","0.20215","0.00435"
"2.43000","0.20269","0.00424"
"2.43600","0.20316","0.00417"
"2.44200","0.20364","0.00416"
"2.44800","0.20418","0.00417"
"2.45400","0.20466","0.00419"
"2.46000","0.20520","0.00426"
"2.46600","0.20568","0.00431"
"2.47200","0.20621","0.00434"
"2.47800","0.20669","0.00442"
"2.48400","0.20717","0.00444"
"2.49000","0.20765","0.00444"
"2.49600","0.20819","0.00447"
"2.50200","0.20867","0.00444"
"2.50800","0.20914","0.00442"
"2.51400","0.20968","0.00445"
"2.52000","0.21016","0.00450"
"2.52600","0.21064","0.00456"
"2.53200","0.21118","0.00450"
"2.53800","0.21165","0.00440"
"2.54400","0.21213","0.00428"
"2.55000","0.21267","0.00421"
"2.55600","0.21315","0.00419"
"2.56200","0.21363","0.00416"
"2.56800","0.21417","0.00411"
"2.57400","0.21464","0.00413"
"2.58000","0.21518","0.00411"
"2.58600","0.21566","0.00408"
"2.59200","0.21614","0.00408"
"2.59800","0.21668","0.00411"
"2.60400","0.21716","0.00410"
"2.61000","0.21763","0.00409"
"2.61600","0.21817","0.00413"
"2.62200","0.21865","0.00419"
"2.62800","0.21913","0.00421"
"2.63400","0.21967","0.00416"
"2.64000","0.22015","0.00423"
"2.64600","0.22062","0.00426"
"2.65200","0.22116","0.00427"
"2.65800","0.22164","0.00427"
"2.66400","0.22218","0.00428"
"2.67000","0.22266","0.00419"
"2.67600","0.22313","0.00415"
"2.68200","0.22367","0.00418"
"2.68800","0.22415","0.00419"
"2.69400","0.22463","0.00417"
"2.70000","0.22517","0.00415"
"2.70600","0.22565","0.00417"
"2.71200","0.22612","0.00417"
"2.71800","0.22666","0.00415"
"2.72400","0.22714","0.00423"
"2.73000","0.22768","0.00434"
"2.73600","0.22816","0.00440"
"2.74200","0.22864","0.00447"
"2.74800","0.22917","0.00452"
"2.75400","0.22965","0.00446"
"2.76000","0.23019","0.00433"
"2.76600","0.23067","0.00421"
"2.77200","0.23115","0.00421"
"2.77800","0.23168","0.00422"
"2.78400","0.23216","0.00417"
"2.79000","0.23264","0.00414"
"2.79600","0.23318","0.00413"
"2.80200","0.23366","0.00410"
"2.80800","0.23420","0.00412"
"2.81400","0.23467","0.00418"
"2.82000","0.23515","0.00416"
"2.82600","0.23569","0.00416"
"2.83200","0.23617","0.00416"
"2.83800","0.23665","0.00420"
"2.84400","0.23719","0.00423"
"2.85000","0.23766","0.00423"
"2.85600","0.23820","0.00421"
"2.86200","0.23868","0.00419"
"2.86800","0.23922","0.00413"
"2.87400","0.23970","0.00416"
"2.88000","0.24023","0.00422"
"2.88600","0.24071","0.00426"
"2.89200","0.24125","0.00427"
"2.89800","0.24173","0.00426"
"2.90400","0.24221","0.00423"
"2.91000","0.24269","0.00426"
"2.91600","0.24322","0.00431"
"2.92200","0.24370","0.00441"
"2.92800","0.24418","0.00446"
"2.93400","0.24466","0.00445"
"2.94000","0.24520","0.00445"
"2.94600","0.24568","0.00447"
"2.95200","0.24621","0.00446"
"2.95800","0.24669","0.00445"
"2.96400","0.24717","0.00442"
"2.97000","0.24765","0.00435"
"2.97600","0.24819","0.00426"
"2.98200","0.24866","0.00418"
"2.98800","0.24914","0.00418"
"2.99400","0.24968","0.00421"
"3.00000","0.25016","0.00422"
"3.00600","0.25064","0.00420"
"3.01200","0.25118","0.00416"
"3.01800","0.25165","0.00416"
"3.02400","0.25219","0.00425"
"3.03000","0.25267","0.00432"
"3.03600","0.25321","0.00438"
"3.04200","0.25369","0.00440"
"3.04800","0.25417","0.00433"
"3.05400","0.25464","0.00434"
"3.06000","0.25518","0.00444"
"3.06600","0.25566","0.00450"
"3.07200","0.25614","0.00457"
"3.07800","0.25668","0.00462"
"3.08400","0.25715","0.00459"
"3.09000","0.25763","0.00452"
"3.09600","0.25817","0.00445"
"3.10200","0.25865","0.00435"
"3.10800","0.25913","0.00429"
"3.11400","0.25967","0.00424"
"3.12000","0.26014","0.00425"
"3.12600","0.26068","0.00437"
"3.13200","0.26116","0.00445"
"3.13800","0.26164","0.00451"
"3.14400","0.26212","0.00451"
"3.15000","0.26266","0.00446"
"3.15600","0.26313","0.00447"
"3.16200","0.26367","0.00441"
"3.16800","0.26415","0.00431"
"3.17400","0.26469","0.00437"
"3.18000","0.26517","0.00447"
"3.18600","0.26564","0.00450"
"3.19200","0.26618","0.00452"
"3.19800","0.26666","0.00453"
"3.20400","0.26714","0.00454"
"3.21000","0.26762","0.00453"
"3.21600","0.26816","0.00456"
"3.22200","0.26863","0.00460"
"3.22800","0.26911","0.00460"
"3.23400","0.26965","0.00455"
