End date,"12/17/2016"
Specimen label,"15CG_Unk"
Maximum Load,"0.01489",N

Time,Extension,Load
(s),(mm),(N)
"2.36400","0.19725","0.00382"
"2.37000","0.19772","0.00386"
"2.37600","0.19826","0.00388"
"2.38200","0.19874","0.00382"
"2.38800","0.19922","0.00374"
"2.39400","0.19970","0.00370"
"2.40000","0.20024","0.00370"
"2.40600","0.20071","0.00369"
"2.41200","0.20119","0.00368"
"2.41800","0.20173","0.00378"
"2.42400","0.20221","0.00390"
"2.43000","0.20275","0.00404"
"2.43600","0.20322","0.00410"
"2.44200","0.20376","0.00414"
"2.44800","0.20424","0.00409"
"2.45400","0.20478","0.00402"
"2.46000","0.20526","0.00397"
"2.46600","0.20574","0.00389"
"2.47200","0.20627","0.00388"
"2.47800","0.20675","0.00390"
"2.48400","0.20723","0.00393"
"2.49000","0.20777","0.00395"
"2.49600","0.20825","0.00397"
"2.50200","0.20873","0.00404"
"2.50800","0.20926","0.00410"
"2.51400","0.20974","0.00416"
"2.52000","0.21022","0.00417"
"2.52600","0.21076","0.00417"
"2.53200","0.21124","0.00418"
"2.53800","0.21177","0.00420"
"2.54400","0.21225","0.00426"
"2.55000","0.21273","0.00427"
"2.55600","0.21327","0.00427"
"2.56200","0.21375","0.00424"
"2.56800","0.21429","0.00427"
"2.57400","0.21476","0.00426"
"2.58000","0.21530","0.00423"
"2.58600","0.21578","0.00420"
"2.59200","0.21626","0.00420"
"2.59800","0.21680","0.00418"
"2.60400","0.21728","0.00416"
"2.61000","0.21775","0.00414"
"2.61600","0.21829","0.00414"
"2.62200","0.21877","0.00411"
"2.62800","0.21925","0.00407"
"2.63400","0.21973","0.00404"
"2.64000","0.22026","0.00402"
"2.64600","0.22074","0.00403"
"2.65200","0.22122","0.00407"
"2.65800","0.22176","0.00415"
"2.66400","0.22224","0.00426"
"2.67000","0.22272","0.00434"
"2.67600","0.22325","0.00436"
"2.68200","0.22373","0.00437"
"2.68800","0.22421","0.00434"
"2.69400","0.22475","0.00430"
"2.70000","0.22523","0.00433"
"2.70600","0.22571","0.00437"
"2.71200","0.22618","0.00443"
"2.71800","0.22672","0.00448"
"2.72400","0.22720","0.00448"
"2.73000","0.22768","0.00447"
"2.73600","0.22816","0.00439"
"2.74200","0.22869","0.00434"
"2.74800","0.22917","0.00433"
"2.75400","0.22965","0.00435"
"2.76000","0.23019","0.00440"
"2.76600","0.23067","0.00438"
"2.77200","0.23115","0.00436"
"2.77800","0.23168","0.00434"
"2.78400","0.23216","0.00430"
"2.79000","0.23270","0.00431"
"2.79600","0.23318","0.00434"
"2.80200","0.23366","0.00438"
"2.80800","0.23420","0.00438"
"2.81400","0.23467","0.00434"
"2.82000","0.23515","0.00436"
"2.82600","0.23569","0.00434"
"2.83200","0.23623","0.00433"
"2.83800","0.23671","0.00427"
"2.84400","0.23724","0.00422"
"2.85000","0.23772","0.00420"
"2.85600","0.23820","0.00421"
"2.86200","0.23874","0.00430"
"2.86800","0.23922","0.00441"
"2.87400","0.23970","0.00446"
"2.88000","0.24023","0.00448"
"2.88600","0.24071","0.00451"
"2.89200","0.24119","0.00449"
"2.89800","0.24167","0.00449"
"2.90400","0.24221","0.00449"
"2.91000","0.24269","0.00455"
"2.91600","0.24322","0.00462"
"2.92200","0.24370","0.00467"
"2.92800","0.24424","0.00472"
"2.93400","0.24472","0.00469"
"2.94000","0.24520","0.00464"
"2.94600","0.24573","0.00460"
"2.95200","0.24621","0.00462"
"2.95800","0.24669","0.00469"
"2.96400","0.24723","0.00475"
"2.97000","0.24777","0.00478"
"2.97600","0.24825","0.00476"
"2.98200","0.24878","0.00471"
"2.98800","0.24926","0.00471"
"2.99400","0.24974","0.00469"
"3.00000","0.25028","0.00469"
"3.00600","0.25076","0.00471"
"3.01200","0.25124","0.00475"
"3.01800","0.25171","0.00482"
"3.02400","0.25219","0.00478"
"3.03000","0.25267","0.00473"
"3.03600","0.25321","0.00472"
"3.04200","0.25369","0.00479"
"3.04800","0.25423","0.00480"
"3.05400","0.25470","0.00480"
"3.06000","0.25518","0.00477"
"3.06600","0.25572","0.00478"
"3.07200","0.25620","0.00479"
"3.07800","0.25674","0.00483"
"3.08400","0.25721","0.00482"
"3.09000","0.25769","0.00475"
"3.09600","0.25823","0.00472"
"3.10200","0.25871","0.00470"
"3.10800","0.25925","0.00477"
"3.11400","0.25973","0.00477"
"3.12000","0.26026","0.00477"
"3.12600","0.26080","0.00479"
"3.13200","0.26128","0.00471"
"3.13800","0.26182","0.00465"
"3.14400","0.26230","0.00464"
"3.15000","0.26278","0.00468"
"3.15600","0.26325","0.00479"
"3.16200","0.26379","0.00487"
"3.16800","0.26427","0.00487"
"3.17400","0.26475","0.00492"
"3.18000","0.26523","0.00493"
"3.18600","0.26576","0.00491"
"3.19200","0.26624","0.00488"
"3.19800","0.26672","0.00485"
"3.20400","0.26726","0.00484"
"3.21000","0.26774","0.00485"
"3.21600","0.26822","0.00486"
"3.22200","0.26869","0.00491"
"3.22800","0.26923","0.00488"
"3.23400","0.26971","0.00483"
"3.24000","0.27019","0.00477"
"3.24600","0.27073","0.00473"
"3.25200","0.27121","0.00467"
"3.25800","0.27174","0.00461"
"3.26400","0.27222","0.00457"
"3.27000","0.27270","0.00451"
"3.27600","0.27324","0.00448"
"3.28200","0.27372","0.00450"
"3.28800","0.27419","0.00456"
"3.29400","0.27473","0.00459"
"3.30000","0.27521","0.00462"
"3.30600","0.27569","0.00470"
"3.31200","0.27617","0.00479"
"3.31800","0.27671","0.00484"
"3.32400","0.27718","0.00478"
"3.33000","0.27766","0.00469"
"3.33600","0.27814","0.00468"
"3.34200","0.27868","0.00469"
"3.34800","0.27916","0.00468"
"3.35400","0.27964","0.00472"
"3.36000","0.28017","0.00483"
"3.36600","0.28065","0.00482"
"3.37200","0.28119","0.00481"
"3.37800","0.28167","0.00487"
"3.38400","0.28215","0.00494"
"3.39000","0.28268","0.00494"
"3.39600","0.28322","0.00487"
"3.40200","0.28370","0.00478"
"3.40800","0.28424","0.00471"
"3.41400","0.28472","0.00468"
"3.42000","0.28526","0.00463"
"3.42600","0.28573","0.00463"
"3.43200","0.28627","0.00466"
"3.43800","0.28675","0.00467"
"3.44400","0.28723","0.00471"
"3.45000","0.28777","0.00473"
"3.45600","0.28825","0.00473"
"3.46200","0.28872","0.00471"
"3.46800","0.28926","0.00471"
"3.47400","0.28974","0.00470"
"3.48000","0.29022","0.00466"
"3.48600","0.29076","0.00465"
"3.49200","0.29123","0.00467"
"3.49800","0.29171","0.00477"
"3.50400","0.29225","0.00485"
"3.51000","0.29273","0.00492"
"3.51600","0.29327","0.00491"
"3.52200","0.29375","0.00496"
"3.52800","0.29428","0.00498"
"3.53400","0.29476","0.00497"
"3.54000","0.29524","0.00498"
"3.54600","0.29578","0.00496"
"3.55200","0.29626","0.00494"
"3.55800","0.29680","0.00494"
"3.56400","0.29727","0.00490"
"3.57000","0.29775","0.00487"
"3.57600","0.29829","0.00486"
"3.58200","0.29877","0.00488"
"3.58800","0.29925","0.00490"
"3.59400","0.29972","0.00493"
"3.60000","0.30026","0.00494"
"3.60600","0.30074","0.00488"
"3.61200","0.30122","0.00481"
"3.61800","0.30170","0.00481"
"3.62400","0.30224","0.00488"
"3.63000","0.30271","0.00496"
"3.63600","0.30325","0.00501"
"3.64200","0.30373","0.00504"
"3.64800","0.30421","0.00500"
"3.65400","0.30475","0.00500"
"3.66000","0.30523","0.00506"
"3.66600","0.30570","0.00510"
"3.67200","0.30624","0.00512"
"3.67800","0.30672","0.00507"
"3.68400","0.30726","0.00505"
"3.69000","0.30774","0.00504"
"3.69600","0.30827","0.00507"
"3.70200","0.30875","0.00512"
"3.70800","0.30929","0.00519"
"3.71400","0.30977","0.00521"
"3.72000","0.31025","0.00523"
"3.72600","0.31073","0.00520"
"3.73200","0.31126","0.00521"
"3.73800","0.31174","0.00525"
"3.74400","0.31222","0.00526"
"3.75000","0.31270","0.00520"
"3.75600","0.31318","0.00518"
"3.76200","0.31372","0.00512"
"3.76800","0.31419","0.00506"
"3.77400","0.31467","0.00497"
"3.78000","0.31521","0.00492"
"3.78600","0.31569","0.00499"
"3.79200","0.31617","0.00499"
