End date,"12/17/2016"
Specimen label,"15CG_21_run2"
Maximum Load,"0.15933",N

Time,Extension,Load
(s),(mm),(N)
"2.47200","0.20615","0.00083"
"2.47800","0.20663","0.00071"
"2.48400","0.20717","0.00066"
"2.49000","0.20765","0.00060"
"2.49600","0.20819","0.00057"
"2.50200","0.20867","0.00053"
"2.50800","0.20920","0.00051"
"2.51400","0.20968","0.00052"
"2.52000","0.21022","0.00065"
"2.52600","0.21070","0.00076"
"2.53200","0.21118","0.00082"
"2.53800","0.21171","0.00094"
"2.54400","0.21219","0.00101"
"2.55000","0.21267","0.00109"
"2.55600","0.21315","0.00111"
"2.56200","0.21369","0.00106"
"2.56800","0.21417","0.00105"
"2.57400","0.21464","0.00103"
"2.58000","0.21512","0.00094"
"2.58600","0.21566","0.00093"
"2.59200","0.21614","0.00089"
"2.59800","0.21662","0.00093"
"2.60400","0.21716","0.00091"
"2.61000","0.21763","0.00089"
"2.61600","0.21817","0.00093"
"2.62200","0.21865","0.00095"
"2.62800","0.21913","0.00094"
"2.63400","0.21967","0.00099"
"2.64000","0.22015","0.00102"
"2.64600","0.22062","0.00110"
"2.65200","0.22116","0.00120"
"2.65800","0.22170","0.00117"
"2.66400","0.22218","0.00115"
"2.67000","0.22266","0.00111"
"2.67600","0.22319","0.00102"
"2.68200","0.22367","0.00096"
"2.68800","0.22421","0.00097"
"2.69400","0.22469","0.00101"
"2.70000","0.22517","0.00105"
"2.70600","0.22565","0.00095"
"2.71200","0.22612","0.00087"
"2.71800","0.22666","0.00079"
"2.72400","0.22714","0.00069"
"2.73000","0.22762","0.00068"
"2.73600","0.22816","0.00069"
"2.74200","0.22864","0.00061"
"2.74800","0.22911","0.00060"
"2.75400","0.22959","0.00068"
"2.76000","0.23013","0.00073"
"2.76600","0.23061","0.00080"
"2.77200","0.23115","0.00095"
"2.77800","0.23162","0.00100"
"2.78400","0.23216","0.00100"
"2.79000","0.23264","0.00100"
"2.79600","0.23318","0.00094"
"2.80200","0.23366","0.00098"
"2.80800","0.23420","0.00098"
"2.81400","0.23467","0.00097"
"2.82000","0.23521","0.00105"
"2.82600","0.23569","0.00099"
"2.83200","0.23617","0.00091"
"2.83800","0.23665","0.00092"
"2.84400","0.23719","0.00099"
"2.85000","0.23766","0.00092"
"2.85600","0.23814","0.00081"
"2.86200","0.23868","0.00079"
"2.86800","0.23916","0.00083"
"2.87400","0.23964","0.00085"
"2.88000","0.24017","0.00081"
"2.88600","0.24065","0.00074"
"2.89200","0.24119","0.00071"
"2.89800","0.24167","0.00070"
"2.90400","0.24215","0.00073"
"2.91000","0.24269","0.00081"
"2.91600","0.24316","0.00090"
"2.92200","0.24364","0.00099"
"2.92800","0.24418","0.00103"
"2.93400","0.24472","0.00092"
"2.94000","0.24520","0.00078"
"2.94600","0.24573","0.00068"
"2.95200","0.24621","0.00068"
"2.95800","0.24675","0.00073"
"2.96400","0.24723","0.00080"
"2.97000","0.24771","0.00092"
"2.97600","0.24819","0.00099"
"2.98200","0.24872","0.00101"
"2.98800","0.24920","0.00103"
"2.99400","0.24968","0.00105"
"3.00000","0.25016","0.00112"
"3.00600","0.25070","0.00111"
"3.01200","0.25118","0.00099"
"3.01800","0.25171","0.00097"
"3.02400","0.25219","0.00093"
"3.03000","0.25267","0.00097"
"3.03600","0.25321","0.00110"
"3.04200","0.25369","0.00114"
"3.04800","0.25417","0.00113"
"3.05400","0.25470","0.00113"
"3.06000","0.25518","0.00109"
"3.06600","0.25566","0.00111"
"3.07200","0.25620","0.00122"
"3.07800","0.25668","0.00128"
"3.08400","0.25721","0.00135"
"3.09000","0.25769","0.00126"
"3.09600","0.25823","0.00112"
"3.10200","0.25871","0.00102"
"3.10800","0.25925","0.00095"
"3.11400","0.25973","0.00096"
"3.12000","0.26020","0.00098"
"3.12600","0.26068","0.00103"
"3.13200","0.26122","0.00103"
"3.13800","0.26170","0.00101"
"3.14400","0.26218","0.00101"
"3.15000","0.26266","0.00103"
"3.15600","0.26313","0.00104"
"3.16200","0.26367","0.00108"
"3.16800","0.26415","0.00117"
"3.17400","0.26463","0.00116"
"3.18000","0.26511","0.00108"
"3.18600","0.26564","0.00102"
"3.19200","0.26612","0.00089"
"3.19800","0.26660","0.00078"
"3.20400","0.26714","0.00078"
"3.21000","0.26762","0.00084"
"3.21600","0.26810","0.00094"
"3.22200","0.26863","0.00101"
"3.22800","0.26911","0.00105"
"3.23400","0.26965","0.00112"
"3.24000","0.27013","0.00117"
"3.24600","0.27067","0.00118"
"3.25200","0.27115","0.00126"
"3.25800","0.27162","0.00126"
"3.26400","0.27216","0.00128"
"3.27000","0.27264","0.00136"
"3.27600","0.27312","0.00141"
"3.28200","0.27366","0.00147"
"3.28800","0.27413","0.00148"
"3.29400","0.27461","0.00142"
"3.30000","0.27515","0.00136"
"3.30600","0.27563","0.00137"
"3.31200","0.27611","0.00134"
"3.31800","0.27665","0.00135"
"3.32400","0.27712","0.00119"
"3.33000","0.27766","0.00107"
"3.33600","0.27814","0.00108"
"3.34200","0.27868","0.00106"
"3.34800","0.27916","0.00105"
"3.35400","0.27964","0.00115"
"3.36000","0.28017","0.00122"
"3.36600","0.28071","0.00119"
"3.37200","0.28119","0.00118"
"3.37800","0.28173","0.00115"
"3.38400","0.28221","0.00117"
"3.39000","0.28274","0.00117"
"3.39600","0.28322","0.00113"
"3.40200","0.28370","0.00117"
"3.40800","0.28424","0.00115"
"3.41400","0.28472","0.00114"
"3.42000","0.28520","0.00116"
"3.42600","0.28573","0.00119"
"3.43200","0.28621","0.00115"
"3.43800","0.28669","0.00108"
"3.44400","0.28723","0.00101"
"3.45000","0.28771","0.00096"
"3.45600","0.28819","0.00085"
"3.46200","0.28866","0.00085"
"3.46800","0.28914","0.00104"
"3.47400","0.28968","0.00118"
"3.48000","0.29016","0.00119"
"3.48600","0.29064","0.00127"
"3.49200","0.29112","0.00126"
"3.49800","0.29165","0.00118"
"3.50400","0.29213","0.00111"
"3.51000","0.29267","0.00106"
"3.51600","0.29321","0.00105"
"3.52200","0.29369","0.00104"
"3.52800","0.29422","0.00103"
"3.53400","0.29470","0.00107"
"3.54000","0.29518","0.00110"
"3.54600","0.29572","0.00113"
"3.55200","0.29620","0.00120"
"3.55800","0.29674","0.00126"
"3.56400","0.29721","0.00127"
"3.57000","0.29769","0.00132"
"3.57600","0.29823","0.00133"
"3.58200","0.29871","0.00127"
"3.58800","0.29919","0.00127"
"3.59400","0.29967","0.00125"
"3.60000","0.30020","0.00124"
"3.60600","0.30068","0.00124"
"3.61200","0.30116","0.00131"
"3.61800","0.30170","0.00148"
"3.62400","0.30218","0.00162"
"3.63000","0.30265","0.00169"
"3.63600","0.30313","0.00174"
"3.64200","0.30367","0.00165"
"3.64800","0.30415","0.00146"
"3.65400","0.30469","0.00133"
"3.66000","0.30517","0.00125"
"3.66600","0.30570","0.00126"
"3.67200","0.30618","0.00125"
"3.67800","0.30666","0.00119"
"3.68400","0.30714","0.00123"
"3.69000","0.30768","0.00128"
"3.69600","0.30816","0.00129"
"3.70200","0.30863","0.00134"
"3.70800","0.30911","0.00134"
"3.71400","0.30965","0.00131"
"3.72000","0.31013","0.00132"
"3.72600","0.31061","0.00132"
"3.73200","0.31108","0.00139"
"3.73800","0.31162","0.00147"
"3.74400","0.31210","0.00150"
"3.75000","0.31258","0.00147"
"3.75600","0.31306","0.00138"
"3.76200","0.31360","0.00123"
"3.76800","0.31407","0.00124"
"3.77400","0.31455","0.00123"
"3.78000","0.31509","0.00118"
"3.78600","0.31557","0.00117"
"3.79200","0.31611","0.00114"
"3.79800","0.31659","0.00108"
"3.80400","0.31706","0.00102"
"3.81000","0.31760","0.00106"
"3.81600","0.31814","0.00119"
"3.82200","0.31862","0.00128"
"3.82800","0.31916","0.00126"
"3.83400","0.31963","0.00131"
"3.84000","0.32017","0.00127"
"3.84600","0.32065","0.00121"
"3.85200","0.32113","0.00123"
"3.85800","0.32167","0.00121"
"3.86400","0.32215","0.00110"
"3.87000","0.32268","0.00106"
"3.87600","0.32316","0.00104"
"3.88200","0.32364","0.00108"
"3.88800","0.32418","0.00116"
"3.89400","0.32466","0.00121"
"3.90000","0.32514","0.00126"
"3.90600","0.32567","0.00128"
"3.91200","0.32615","0.00127"
"3.91800","0.32669","0.00129"
"3.92400","0.32717","0.00127"
"3.93000","0.32771","0.00130"
"3.93600","0.32818","0.00144"
"3.94200","0.32872","0.00150"
"3.94800","0.32920","0.00148"
"3.95400","0.32974","0.00148"
"3.96000","0.33022","0.00147"
"3.96600","0.33070","0.00141"
"3.97200","0.33123","0.00135"
"3.97800","0.33171","0.00130"
"3.98400","0.33225","0.00130"
"3.99000","0.33273","0.00122"
"3.99600","0.33321","0.00109"
"4.00200","0.33375","0.00116"
"4.00800","0.33422","0.00126"
"4.01400","0.33470","0.00139"
"4.02000","0.33524","0.00152"
"4.02600","0.33572","0.00147"
"4.03200","0.33620","0.00134"
"4.03800","0.33667","0.00119"
"4.04400","0.33715","0.00108"
"4.05000","0.33769","0.00106"
"4.05600","0.33817","0.00103"
"4.06200","0.33865","0.00100"
"4.06800","0.33919","0.00104"
"4.07400","0.33966","0.00111"
"4.08000","0.34020","0.00113"
"4.08600","0.34068","0.00122"
"4.09200","0.34116","0.00125"
"4.09800","0.34170","0.00117"
"4.10400","0.34218","0.00116"
"4.11000","0.34265","0.00108"
"4.11600","0.34319","0.00093"
"4.12200","0.34367","0.00080"
"4.12800","0.34415","0.00083"
"4.13400","0.34469","0.00095"
"4.14000","0.34516","0.00107"
"4.14600","0.34564","0.00115"
"4.15200","0.34612","0.00131"
"4.15800","0.34666","0.00142"
"4.16400","0.34714","0.00142"
"4.17000","0.34762","0.00143"
"4.17600","0.34815","0.00141"
"4.18200","0.34863","0.00141"
"4.18800","0.34911","0.00144"
"4.19400","0.34965","0.00145"
"4.20000","0.35013","0.00152"
"4.20600","0.35061","0.00160"
"4.21200","0.35114","0.00162"
"4.21800","0.35162","0.00159"
"4.22400","0.35216","0.00155"
"4.23000","0.35264","0.00147"
"4.23600","0.35318","0.00140"
"4.24200","0.35366","0.00123"
"4.24800","0.35419","0.00109"
"4.25400","0.35467","0.00101"
"4.26000","0.35515","0.00099"
"4.26600","0.35569","0.00107"
"4.27200","0.35617","0.00123"
"4.27800","0.35664","0.00141"
"4.28400","0.35712","0.00160"
"4.29000","0.35766","0.00166"
"4.29600","0.35814","0.00161"
"4.30200","0.35862","0.00153"
"4.30800","0.35910","0.00145"
"4.31400","0.35963","0.00135"
"4.32000","0.36011","0.00127"
"4.32600","0.36059","0.00123"
"4.33200","0.36107","0.00123"
"4.33800","0.36161","0.00122"
"4.34400","0.36209","0.00119"
"4.35000","0.36256","0.00117"
"4.35600","0.36310","0.00112"
"4.36200","0.36358","0.00107"
"4.36800","0.36412","0.00108"
"4.37400","0.36460","0.00112"
"4.38000","0.36513","0.00116"
"4.38600","0.36567","0.00119"
"4.39200","0.36615","0.00114"
"4.39800","0.36669","0.00108"
"4.40400","0.36717","0.00110"
"4.41000","0.36771","0.00120"
"4.41600","0.36818","0.00127"
"4.42200","0.36866","0.00127"
"4.42800","0.36920","0.00126"
"4.43400","0.36968","0.00130"
"4.44000","0.37016","0.00125"
"4.44600","0.37070","0.00118"
"4.45200","0.37117","0.00124"
"4.45800","0.37165","0.00133"
"4.46400","0.37219","0.00134"
"4.47000","0.37267","0.00141"
"4.47600","0.37315","0.00142"
"4.48200","0.37368","0.00143"
"4.48800","0.37416","0.00138"
"4.49400","0.37470","0.00134"
"4.50000","0.37518","0.00136"
"4.50600","0.37566","0.00138"
"4.51200","0.37620","0.00141"
"4.51800","0.37667","0.00148"
"4.52400","0.37721","0.00145"
"4.53000","0.37775","0.00133"
"4.53600","0.37823","0.00130"
"4.54200","0.37871","0.00130"
"4.54800","0.37925","0.00123"
"4.55400","0.37972","0.00118"
"4.56000","0.38020","0.00116"
"4.56600","0.38068","0.00114"
"4.57200","0.38116","0.00121"
"4.57800","0.38164","0.00128"
"4.58400","0.38217","0.00135"
"4.59000","0.38265","0.00133"
"4.59600","0.38313","0.00120"
"4.60200","0.38367","0.00121"
"4.60800","0.38415","0.00122"
"4.61400","0.38463","0.00118"
"4.62000","0.38516","0.00114"
"4.62600","0.38564","0.00112"
"4.63200","0.38618","0.00104"
"4.63800","0.38666","0.00094"
"4.64400","0.38720","0.00089"
"4.65000","0.38768","0.00087"
"4.65600","0.38815","0.00086"
"4.66200","0.38869","0.00094"
"4.66800","0.38917","0.00112"
"4.67400","0.38971","0.00127"
"4.68000","0.39019","0.00130"
"4.68600","0.39072","0.00131"
"4.69200","0.39120","0.00134"
"4.69800","0.39174","0.00133"
"4.70400","0.39222","0.00131"
"4.71000","0.39270","0.00136"
"4.71600","0.39318","0.00147"
"4.72200","0.39371","0.00145"
"4.72800","0.39419","0.00132"
"4.73400","0.39467","0.00127"
"4.74000","0.39515","0.00131"
"4.74600","0.39563","0.00136"
"4.75200","0.39617","0.00145"
"4.75800","0.39664","0.00147"
"4.76400","0.39712","0.00145"
"4.77000","0.39766","0.00146"
"4.77600","0.39814","0.00144"
"4.78200","0.39862","0.00149"
"4.78800","0.39910","0.00151"
"4.79400","0.39963","0.00141"
"4.80000","0.40011","0.00133"
"4.80600","0.40065","0.00130"
"4.81200","0.40113","0.00124"
"4.81800","0.40167","0.00130"
"4.82400","0.40214","0.00127"
"4.83000","0.40262","0.00124"
"4.83600","0.40310","0.00122"
"4.84200","0.40358","0.00116"
"4.84800","0.40412","0.00121"
