End date,"2/25/2017"
Specimen label,"6BG_41"
Maximum Load,"1.72377",N

Time,Extension,Load
(s),(mm),(N)
"4.08600","0.34074","0.00131"
"4.09200","0.34122","0.00136"
"4.09800","0.34176","0.00138"
"4.10400","0.34224","0.00143"
"4.11000","0.34277","0.00139"
"4.11600","0.34325","0.00139"
"4.12200","0.34373","0.00152"
"4.12800","0.34427","0.00174"
"4.13400","0.34475","0.00193"
"4.14000","0.34528","0.00196"
"4.14600","0.34576","0.00203"
"4.15200","0.34630","0.00218"
"4.15800","0.34678","0.00219"
"4.16400","0.34726","0.00229"
"4.17000","0.34774","0.00235"
"4.17600","0.34821","0.00240"
"4.18200","0.34875","0.00240"
"4.18800","0.34923","0.00231"
"4.19400","0.34971","0.00218"
"4.20000","0.35019","0.00206"
"4.20600","0.35073","0.00204"
"4.21200","0.35120","0.00180"
"4.21800","0.35168","0.00162"
"4.22400","0.35222","0.00146"
"4.23000","0.35270","0.00145"
"4.23600","0.35324","0.00150"
"4.24200","0.35371","0.00143"
"4.24800","0.35419","0.00138"
"4.25400","0.35473","0.00127"
"4.26000","0.35521","0.00127"
"4.26600","0.35575","0.00121"
"4.27200","0.35623","0.00123"
"4.27800","0.35676","0.00130"
"4.28400","0.35724","0.00137"
"4.29000","0.35778","0.00134"
"4.29600","0.35826","0.00141"
"4.30200","0.35874","0.00143"
"4.30800","0.35928","0.00136"
"4.31400","0.35975","0.00138"
"4.32000","0.36023","0.00148"
"4.32600","0.36071","0.00152"
"4.33200","0.36125","0.00144"
"4.33800","0.36173","0.00149"
"4.34400","0.36220","0.00153"
"4.35000","0.36268","0.00139"
"4.35600","0.36322","0.00127"
"4.36200","0.36370","0.00126"
"4.36800","0.36418","0.00136"
"4.37400","0.36466","0.00131"
"4.38000","0.36519","0.00118"
"4.38600","0.36567","0.00116"
"4.39200","0.36615","0.00118"
"4.39800","0.36669","0.00126"
"4.40400","0.36717","0.00136"
"4.41000","0.36765","0.00152"
"4.41600","0.36818","0.00170"
"4.42200","0.36866","0.00177"
"4.42800","0.36914","0.00179"
"4.43400","0.36968","0.00183"
"4.44000","0.37016","0.00187"
"4.44600","0.37064","0.00188"
"4.45200","0.37117","0.00183"
"4.45800","0.37165","0.00182"
"4.46400","0.37213","0.00179"
"4.47000","0.37261","0.00186"
