End date,"2/25/2017"
Specimen label,"1DG_unk"
Maximum Load,"0.41180",N

Time,Extension,Load
(s),(mm),(N)
"1.81200","0.15121","0.00217"
"1.81800","0.15169","0.00207"
"1.82400","0.15216","0.00210"
"1.83000","0.15270","0.00211"
"1.83600","0.15318","0.00212"
"1.84200","0.15366","0.00221"
"1.84800","0.15414","0.00239"
"1.85400","0.15462","0.00244"
"1.86000","0.15515","0.00256"
"1.86600","0.15563","0.00278"
"1.87200","0.15611","0.00291"
"1.87800","0.15665","0.00293"
"1.88400","0.15713","0.00298"
"1.89000","0.15766","0.00304"
"1.89600","0.15814","0.00297"
"1.90200","0.15862","0.00291"
"1.90800","0.15916","0.00283"
"1.91400","0.15964","0.00268"
"1.92000","0.16018","0.00254"
"1.92600","0.16065","0.00250"
"1.93200","0.16119","0.00257"
"1.93800","0.16167","0.00264"
"1.94400","0.16221","0.00266"
"1.95000","0.16269","0.00272"
"1.95600","0.16323","0.00281"
"1.96200","0.16370","0.00278"
"1.96800","0.16424","0.00265"
"1.97400","0.16472","0.00260"
"1.98000","0.16520","0.00269"
"1.98600","0.16568","0.00286"
"1.99200","0.16621","0.00296"
"1.99800","0.16669","0.00298"
"2.00400","0.16717","0.00292"
"2.01000","0.16771","0.00290"
"2.01600","0.16819","0.00285"
"2.02200","0.16867","0.00287"
"2.02800","0.16920","0.00291"
"2.03400","0.16968","0.00281"
"2.04000","0.17016","0.00270"
"2.04600","0.17070","0.00273"
"2.05200","0.17118","0.00260"
"2.05800","0.17172","0.00251"
"2.06400","0.17219","0.00247"
"2.07000","0.17267","0.00254"
"2.07600","0.17321","0.00262"
"2.08200","0.17369","0.00279"
"2.08800","0.17423","0.00292"
"2.09400","0.17471","0.00304"
"2.10000","0.17518","0.00305"
"2.10600","0.17572","0.00309"
"2.11200","0.17620","0.00302"
"2.11800","0.17668","0.00286"
"2.12400","0.17716","0.00273"
"2.13000","0.17769","0.00274"
"2.13600","0.17817","0.00278"
"2.14200","0.17871","0.00260"
"2.14800","0.17919","0.00231"
"2.15400","0.17973","0.00214"
"2.16000","0.18021","0.00203"
"2.16600","0.18068","0.00204"
"2.17200","0.18122","0.00216"
"2.17800","0.18170","0.00230"
"2.18400","0.18224","0.00244"
"2.19000","0.18272","0.00257"
"2.19600","0.18320","0.00268"
"2.20200","0.18373","0.00272"
"2.20800","0.18421","0.00275"
"2.21400","0.18469","0.00287"
"2.22000","0.18523","0.00290"
"2.22600","0.18571","0.00284"
"2.23200","0.18618","0.00282"
"2.23800","0.18666","0.00277"
"2.24400","0.18720","0.00267"
"2.25000","0.18768","0.00257"
"2.25600","0.18816","0.00251"
"2.26200","0.18870","0.00258"
"2.26800","0.18917","0.00264"
"2.27400","0.18965","0.00268"
"2.28000","0.19019","0.00276"
"2.28600","0.19067","0.00269"
"2.29200","0.19115","0.00262"
"2.29800","0.19169","0.00262"
"2.30400","0.19216","0.00262"
"2.31000","0.19270","0.00258"
"2.31600","0.19318","0.00254"
"2.32200","0.19366","0.00265"
"2.32800","0.19420","0.00284"
"2.33400","0.19467","0.00291"
"2.34000","0.19515","0.00290"
"2.34600","0.19569","0.00287"
"2.35200","0.19617","0.00280"
"2.35800","0.19665","0.00276"
"2.36400","0.19713","0.00282"
"2.37000","0.19766","0.00300"
"2.37600","0.19814","0.00317"
"2.38200","0.19862","0.00314"
"2.38800","0.19916","0.00304"
"2.39400","0.19964","0.00289"
"2.40000","0.20012","0.00268"
"2.40600","0.20059","0.00258"
"2.41200","0.20113","0.00264"
"2.41800","0.20161","0.00268"
"2.42400","0.20209","0.00266"
"2.43000","0.20263","0.00263"
"2.43600","0.20311","0.00255"
"2.44200","0.20364","0.00256"
"2.44800","0.20412","0.00268"
"2.45400","0.20466","0.00268"
"2.46000","0.20520","0.00261"
"2.46600","0.20568","0.00264"
"2.47200","0.20621","0.00257"
"2.47800","0.20669","0.00256"
"2.48400","0.20723","0.00263"
"2.49000","0.20771","0.00275"
"2.49600","0.20819","0.00280"
"2.50200","0.20873","0.00282"
"2.50800","0.20920","0.00288"
"2.51400","0.20968","0.00292"
"2.52000","0.21022","0.00302"
"2.52600","0.21070","0.00313"
"2.53200","0.21118","0.00320"
"2.53800","0.21171","0.00322"
"2.54400","0.21219","0.00320"
"2.55000","0.21267","0.00321"
"2.55600","0.21321","0.00327"
"2.56200","0.21369","0.00333"
"2.56800","0.21423","0.00327"
"2.57400","0.21470","0.00331"
"2.58000","0.21524","0.00346"
"2.58600","0.21572","0.00339"
"2.59200","0.21626","0.00326"
"2.59800","0.21674","0.00322"
"2.60400","0.21728","0.00332"
"2.61000","0.21775","0.00345"
"2.61600","0.21829","0.00349"
"2.62200","0.21877","0.00333"
"2.62800","0.21925","0.00306"
"2.63400","0.21979","0.00287"
"2.64000","0.22026","0.00280"
"2.64600","0.22074","0.00275"
"2.65200","0.22122","0.00274"
"2.65800","0.22170","0.00277"
"2.66400","0.22218","0.00296"
"2.67000","0.22266","0.00307"
"2.67600","0.22319","0.00303"
"2.68200","0.22367","0.00306"
"2.68800","0.22415","0.00293"
"2.69400","0.22469","0.00276"
"2.70000","0.22517","0.00271"
"2.70600","0.22565","0.00279"
"2.71200","0.22618","0.00287"
"2.71800","0.22666","0.00301"
"2.72400","0.22720","0.00319"
"2.73000","0.22768","0.00345"
"2.73600","0.22822","0.00354"
"2.74200","0.22869","0.00349"
"2.74800","0.22923","0.00348"
"2.75400","0.22971","0.00342"
"2.76000","0.23019","0.00342"
"2.76600","0.23073","0.00348"
"2.77200","0.23121","0.00359"
"2.77800","0.23168","0.00369"
"2.78400","0.23216","0.00364"
"2.79000","0.23270","0.00356"
"2.79600","0.23318","0.00340"
"2.80200","0.23366","0.00320"
"2.80800","0.23414","0.00310"
"2.81400","0.23467","0.00308"
"2.82000","0.23515","0.00313"
"2.82600","0.23563","0.00303"
"2.83200","0.23617","0.00308"
"2.83800","0.23665","0.00332"
"2.84400","0.23713","0.00349"
"2.85000","0.23766","0.00358"
"2.85600","0.23814","0.00348"
"2.86200","0.23868","0.00341"
"2.86800","0.23916","0.00321"
"2.87400","0.23964","0.00307"
"2.88000","0.24017","0.00318"
"2.88600","0.24071","0.00344"
"2.89200","0.24119","0.00371"
"2.89800","0.24167","0.00383"
"2.90400","0.24221","0.00381"
"2.91000","0.24269","0.00369"
"2.91600","0.24322","0.00353"
"2.92200","0.24370","0.00339"
"2.92800","0.24418","0.00330"
"2.93400","0.24466","0.00315"
"2.94000","0.24514","0.00295"
"2.94600","0.24568","0.00299"
"2.95200","0.24615","0.00308"
"2.95800","0.24663","0.00327"
"2.96400","0.24711","0.00355"
"2.97000","0.24765","0.00366"
"2.97600","0.24813","0.00368"
"2.98200","0.24860","0.00378"
"2.98800","0.24914","0.00392"
