End date,"2/25/2017"
Specimen label,"1BG_5.2"
Maximum Load,"0.02768",N

Time,Extension,Load
(s),(mm),(N)
"2.05200","0.17118","0.00044"
"2.05800","0.17166","0.00053"
"2.06400","0.17219","0.00050"
"2.07000","0.17267","0.00048"
"2.07600","0.17315","0.00043"
"2.08200","0.17369","0.00043"
"2.08800","0.17417","0.00051"
"2.09400","0.17465","0.00057"
"2.10000","0.17518","0.00054"
"2.10600","0.17566","0.00055"
"2.11200","0.17614","0.00050"
"2.11800","0.17668","0.00039"
"2.12400","0.17716","0.00024"
"2.13000","0.17769","0.00017"
"2.13600","0.17817","0.00005"
"2.14200","0.17871","0.00000"
"2.14800","0.17919","0.00002"
"2.15400","0.17967","0.00022"
"2.16000","0.18015","0.00046"
"2.16600","0.18068","0.00070"
"2.17200","0.18116","0.00088"
"2.17800","0.18164","0.00100"
"2.18400","0.18212","0.00095"
"2.19000","0.18266","0.00091"
"2.19600","0.18314","0.00089"
"2.20200","0.18361","0.00094"
"2.20800","0.18415","0.00099"
"2.21400","0.18463","0.00114"
"2.22000","0.18511","0.00117"
"2.22600","0.18565","0.00113"
"2.23200","0.18612","0.00088"
"2.23800","0.18660","0.00066"
"2.24400","0.18714","0.00041"
"2.25000","0.18762","0.00018"
"2.25600","0.18810","0.00011"
"2.26200","0.18864","0.00003"
"2.26800","0.18911","-0.00016"
"2.27400","0.18965","-0.00032"
"2.28000","0.19013","-0.00039"
"2.28600","0.19061","-0.00033"
"2.29200","0.19109","-0.00011"
"2.29800","0.19163","0.00014"
"2.30400","0.19210","0.00035"
"2.31000","0.19258","0.00056"
"2.31600","0.19312","0.00075"
"2.32200","0.19360","0.00080"
"2.32800","0.19408","0.00071"
"2.33400","0.19461","0.00047"
"2.34000","0.19509","0.00036"
"2.34600","0.19557","0.00032"
"2.35200","0.19611","0.00032"
"2.35800","0.19659","0.00044"
"2.36400","0.19713","0.00056"
"2.37000","0.19760","0.00068"
"2.37600","0.19808","0.00083"
"2.38200","0.19862","0.00089"
"2.38800","0.19910","0.00079"
"2.39400","0.19964","0.00067"
"2.40000","0.20012","0.00051"
"2.40600","0.20065","0.00051"
"2.41200","0.20113","0.00063"
"2.41800","0.20167","0.00083"
"2.42400","0.20215","0.00094"
"2.43000","0.20263","0.00106"
"2.43600","0.20316","0.00118"
"2.44200","0.20364","0.00114"
"2.44800","0.20412","0.00093"
"2.45400","0.20466","0.00081"
"2.46000","0.20514","0.00084"
"2.46600","0.20568","0.00090"
"2.47200","0.20615","0.00088"
"2.47800","0.20663","0.00091"
"2.48400","0.20717","0.00087"
"2.49000","0.20765","0.00082"
"2.49600","0.20813","0.00083"
"2.50200","0.20867","0.00087"
"2.50800","0.20914","0.00098"
"2.51400","0.20968","0.00105"
"2.52000","0.21016","0.00102"
"2.52600","0.21064","0.00102"
"2.53200","0.21118","0.00083"
"2.53800","0.21165","0.00057"
"2.54400","0.21219","0.00043"
"2.55000","0.21267","0.00046"
"2.55600","0.21321","0.00044"
"2.56200","0.21369","0.00056"
"2.56800","0.21417","0.00066"
"2.57400","0.21470","0.00067"
"2.58000","0.21518","0.00062"
"2.58600","0.21566","0.00068"
"2.59200","0.21614","0.00075"
"2.59800","0.21668","0.00078"
"2.60400","0.21716","0.00085"
"2.61000","0.21769","0.00089"
"2.61600","0.21817","0.00081"
"2.62200","0.21865","0.00077"
"2.62800","0.21919","0.00070"
"2.63400","0.21967","0.00056"
"2.64000","0.22020","0.00053"
"2.64600","0.22068","0.00051"
"2.65200","0.22116","0.00043"
"2.65800","0.22164","0.00034"
"2.66400","0.22218","0.00025"
"2.67000","0.22266","0.00034"
"2.67600","0.22319","0.00049"
"2.68200","0.22367","0.00074"
"2.68800","0.22421","0.00089"
"2.69400","0.22469","0.00098"
"2.70000","0.22523","0.00104"
"2.70600","0.22571","0.00103"
"2.71200","0.22618","0.00103"
"2.71800","0.22666","0.00101"
"2.72400","0.22720","0.00088"
"2.73000","0.22768","0.00078"
"2.73600","0.22816","0.00077"
"2.74200","0.22864","0.00073"
"2.74800","0.22917","0.00067"
"2.75400","0.22965","0.00059"
"2.76000","0.23013","0.00060"
"2.76600","0.23061","0.00065"
"2.77200","0.23115","0.00084"
"2.77800","0.23162","0.00094"
"2.78400","0.23210","0.00090"
"2.79000","0.23264","0.00087"
"2.79600","0.23312","0.00084"
"2.80200","0.23360","0.00084"
"2.80800","0.23414","0.00084"
"2.81400","0.23461","0.00075"
"2.82000","0.23515","0.00066"
"2.82600","0.23563","0.00058"
"2.83200","0.23617","0.00056"
"2.83800","0.23665","0.00059"
"2.84400","0.23713","0.00064"
"2.85000","0.23766","0.00067"
"2.85600","0.23814","0.00070"
"2.86200","0.23862","0.00069"
"2.86800","0.23916","0.00061"
"2.87400","0.23964","0.00051"
"2.88000","0.24017","0.00044"
"2.88600","0.24065","0.00040"
"2.89200","0.24113","0.00042"
"2.89800","0.24161","0.00046"
"2.90400","0.24215","0.00068"
"2.91000","0.24263","0.00094"
"2.91600","0.24310","0.00102"
"2.92200","0.24364","0.00102"
"2.92800","0.24412","0.00101"
"2.93400","0.24460","0.00101"
"2.94000","0.24514","0.00100"
"2.94600","0.24562","0.00094"
"2.95200","0.24615","0.00081"
"2.95800","0.24663","0.00075"
"2.96400","0.24717","0.00068"
"2.97000","0.24765","0.00069"
"2.97600","0.24819","0.00081"
"2.98200","0.24866","0.00092"
"2.98800","0.24920","0.00087"
"2.99400","0.24968","0.00091"
"3.00000","0.25016","0.00092"
"3.00600","0.25070","0.00070"
"3.01200","0.25118","0.00050"
"3.01800","0.25171","0.00045"
"3.02400","0.25219","0.00049"
"3.03000","0.25267","0.00070"
"3.03600","0.25321","0.00095"
"3.04200","0.25369","0.00112"
"3.04800","0.25417","0.00111"
"3.05400","0.25470","0.00106"
"3.06000","0.25518","0.00105"
"3.06600","0.25566","0.00112"
"3.07200","0.25614","0.00119"
"3.07800","0.25662","0.00134"
"3.08400","0.25715","0.00140"
"3.09000","0.25763","0.00131"
"3.09600","0.25817","0.00116"
"3.10200","0.25865","0.00105"
"3.10800","0.25919","0.00101"
"3.11400","0.25967","0.00083"
"3.12000","0.26020","0.00077"
"3.12600","0.26068","0.00070"
"3.13200","0.26122","0.00057"
"3.13800","0.26170","0.00049"
"3.14400","0.26218","0.00047"
"3.15000","0.26272","0.00046"
"3.15600","0.26319","0.00046"
"3.16200","0.26367","0.00058"
"3.16800","0.26421","0.00072"
"3.17400","0.26469","0.00082"
"3.18000","0.26523","0.00085"
"3.18600","0.26570","0.00083"
"3.19200","0.26618","0.00073"
"3.19800","0.26672","0.00053"
"3.20400","0.26720","0.00056"
"3.21000","0.26768","0.00084"
"3.21600","0.26816","0.00104"
"3.22200","0.26863","0.00109"
"3.22800","0.26917","0.00114"
"3.23400","0.26965","0.00113"
"3.24000","0.27013","0.00116"
"3.24600","0.27067","0.00117"
"3.25200","0.27115","0.00109"
"3.25800","0.27168","0.00103"
"3.26400","0.27216","0.00109"
"3.27000","0.27270","0.00118"
"3.27600","0.27318","0.00121"
"3.28200","0.27366","0.00107"
"3.28800","0.27413","0.00097"
"3.29400","0.27467","0.00091"
"3.30000","0.27515","0.00093"
"3.30600","0.27563","0.00101"
"3.31200","0.27611","0.00127"
"3.31800","0.27665","0.00144"
"3.32400","0.27712","0.00152"
"3.33000","0.27766","0.00153"
"3.33600","0.27814","0.00144"
"3.34200","0.27868","0.00128"
"3.34800","0.27916","0.00112"
"3.35400","0.27964","0.00110"
"3.36000","0.28017","0.00116"
"3.36600","0.28065","0.00107"
"3.37200","0.28113","0.00096"
"3.37800","0.28161","0.00097"
"3.38400","0.28215","0.00105"
"3.39000","0.28263","0.00109"
"3.39600","0.28310","0.00114"
"3.40200","0.28358","0.00106"
"3.40800","0.28412","0.00090"
"3.41400","0.28460","0.00078"
"3.42000","0.28514","0.00077"
"3.42600","0.28561","0.00078"
"3.43200","0.28609","0.00085"
"3.43800","0.28663","0.00102"
"3.44400","0.28711","0.00113"
"3.45000","0.28759","0.00119"
"3.45600","0.28813","0.00117"
"3.46200","0.28860","0.00114"
"3.46800","0.28914","0.00111"
"3.47400","0.28962","0.00103"
"3.48000","0.29010","0.00099"
"3.48600","0.29064","0.00113"
"3.49200","0.29112","0.00123"
"3.49800","0.29159","0.00120"
"3.50400","0.29213","0.00123"
"3.51000","0.29261","0.00134"
"3.51600","0.29309","0.00142"
"3.52200","0.29363","0.00143"
"3.52800","0.29410","0.00137"
"3.53400","0.29464","0.00119"
"3.54000","0.29512","0.00102"
"3.54600","0.29566","0.00088"
"3.55200","0.29614","0.00079"
"3.55800","0.29668","0.00079"
"3.56400","0.29715","0.00085"
"3.57000","0.29769","0.00095"
"3.57600","0.29817","0.00103"
"3.58200","0.29865","0.00103"
"3.58800","0.29919","0.00099"
"3.59400","0.29967","0.00094"
"3.60000","0.30014","0.00087"
"3.60600","0.30068","0.00077"
"3.61200","0.30116","0.00073"
"3.61800","0.30164","0.00079"
"3.62400","0.30218","0.00077"
"3.63000","0.30265","0.00069"
"3.63600","0.30313","0.00068"
"3.64200","0.30361","0.00064"
"3.64800","0.30415","0.00067"
"3.65400","0.30463","0.00060"
"3.66000","0.30517","0.00071"
"3.66600","0.30564","0.00073"
"3.67200","0.30612","0.00070"
"3.67800","0.30666","0.00080"
"3.68400","0.30714","0.00098"
"3.69000","0.30768","0.00105"
"3.69600","0.30816","0.00096"
"3.70200","0.30869","0.00088"
"3.70800","0.30917","0.00080"
"3.71400","0.30965","0.00060"
"3.72000","0.31019","0.00053"
"3.72600","0.31067","0.00060"
"3.73200","0.31120","0.00080"
"3.73800","0.31168","0.00102"
"3.74400","0.31216","0.00122"
"3.75000","0.31270","0.00126"
"3.75600","0.31318","0.00120"
"3.76200","0.31372","0.00113"
"3.76800","0.31419","0.00105"
"3.77400","0.31467","0.00092"
"3.78000","0.31515","0.00084"
"3.78600","0.31569","0.00093"
"3.79200","0.31617","0.00099"
"3.79800","0.31665","0.00104"
"3.80400","0.31712","0.00098"
"3.81000","0.31766","0.00086"
"3.81600","0.31814","0.00083"
"3.82200","0.31862","0.00085"
"3.82800","0.31916","0.00093"
"3.83400","0.31963","0.00097"
"3.84000","0.32011","0.00089"
"3.84600","0.32065","0.00070"
"3.85200","0.32113","0.00057"
"3.85800","0.32161","0.00062"
"3.86400","0.32209","0.00071"
"3.87000","0.32262","0.00081"
"3.87600","0.32310","0.00084"
"3.88200","0.32358","0.00072"
"3.88800","0.32412","0.00050"
"3.89400","0.32460","0.00040"
"3.90000","0.32514","0.00051"
"3.90600","0.32561","0.00059"
