End date,"1/8/2017"
Specimen label,"10DG_59"
Maximum Load,"0.72436",N

Time,Extension,Load
(s),(mm),(N)
"3.22800","0.26911","0.00063"
"3.23400","0.26959","0.00076"
"3.24000","0.27013","0.00073"
"3.24600","0.27061","0.00060"
"3.25200","0.27109","0.00061"
"3.25800","0.27162","0.00068"
"3.26400","0.27210","0.00076"
"3.27000","0.27258","0.00072"
"3.27600","0.27306","0.00055"
"3.28200","0.27360","0.00031"
"3.28800","0.27408","0.00008"
"3.29400","0.27461","-0.00002"
"3.30000","0.27509","-0.00001"
"3.30600","0.27563","-0.00005"
"3.31200","0.27617","-0.00010"
"3.31800","0.27665","-0.00012"
"3.32400","0.27718","-0.00001"
"3.33000","0.27766","0.00002"
"3.33600","0.27820","0.00011"
"3.34200","0.27868","0.00022"
"3.34800","0.27916","0.00038"
"3.35400","0.27970","0.00043"
"3.36000","0.28017","0.00044"
"3.36600","0.28065","0.00041"
"3.37200","0.28113","0.00032"
"3.37800","0.28167","0.00023"
"3.38400","0.28215","0.00013"
"3.39000","0.28263","0.00004"
"3.39600","0.28316","-0.00007"
"3.40200","0.28364","-0.00009"
"3.40800","0.28418","0.00002"
"3.41400","0.28466","0.00016"
"3.42000","0.28514","0.00022"
"3.42600","0.28567","0.00025"
"3.43200","0.28615","0.00027"
"3.43800","0.28669","0.00029"
"3.44400","0.28717","0.00027"
"3.45000","0.28771","0.00028"
"3.45600","0.28819","0.00026"
"3.46200","0.28872","0.00012"
"3.46800","0.28920","0.00002"
"3.47400","0.28968","-0.00006"
"3.48000","0.29022","0.00002"
"3.48600","0.29070","0.00015"
"3.49200","0.29118","0.00033"
"3.49800","0.29165","0.00037"
"3.50400","0.29213","0.00041"
"3.51000","0.29267","0.00046"
"3.51600","0.29315","0.00048"
"3.52200","0.29363","0.00048"
"3.52800","0.29416","0.00050"
"3.53400","0.29464","0.00042"
"3.54000","0.29512","0.00032"
"3.54600","0.29566","0.00023"
"3.55200","0.29614","0.00023"
"3.55800","0.29668","0.00032"
"3.56400","0.29715","0.00032"
"3.57000","0.29769","0.00039"
"3.57600","0.29817","0.00044"
"3.58200","0.29871","0.00044"
"3.58800","0.29919","0.00047"
"3.59400","0.29972","0.00049"
"3.60000","0.30020","0.00051"
"3.60600","0.30068","0.00053"
"3.61200","0.30122","0.00048"
"3.61800","0.30170","0.00050"
"3.62400","0.30218","0.00051"
"3.63000","0.30271","0.00052"
"3.63600","0.30319","0.00052"
"3.64200","0.30367","0.00042"
"3.64800","0.30421","0.00032"
"3.65400","0.30469","0.00032"
"3.66000","0.30517","0.00033"
"3.66600","0.30570","0.00033"
"3.67200","0.30618","0.00032"
"3.67800","0.30666","0.00042"
"3.68400","0.30714","0.00047"
"3.69000","0.30762","0.00044"
"3.69600","0.30816","0.00035"
"3.70200","0.30863","0.00029"
"3.70800","0.30911","0.00028"
"3.71400","0.30965","0.00025"
"3.72000","0.31013","0.00030"
"3.72600","0.31067","0.00037"
"3.73200","0.31114","0.00035"
"3.73800","0.31168","0.00035"
"3.74400","0.31216","0.00027"
"3.75000","0.31270","0.00012"
"3.75600","0.31318","0.00002"
"3.76200","0.31366","-0.00005"
"3.76800","0.31419","-0.00007"
"3.77400","0.31467","-0.00007"
"3.78000","0.31515","-0.00008"
"3.78600","0.31569","-0.00001"
"3.79200","0.31617","0.00006"
"3.79800","0.31665","0.00015"
"3.80400","0.31718","0.00024"
"3.81000","0.31766","0.00032"
"3.81600","0.31814","0.00033"
"3.82200","0.31862","0.00032"
"3.82800","0.31916","0.00031"
"3.83400","0.31963","0.00029"
"3.84000","0.32011","0.00027"
"3.84600","0.32065","0.00013"
"3.85200","0.32113","0.00011"
"3.85800","0.32167","0.00019"
"3.86400","0.32215","0.00020"
"3.87000","0.32262","0.00020"
"3.87600","0.32316","0.00019"
"3.88200","0.32364","0.00018"
"3.88800","0.32418","0.00016"
"3.89400","0.32466","0.00022"
"3.90000","0.32514","0.00035"
"3.90600","0.32567","0.00042"
"3.91200","0.32615","0.00046"
"3.91800","0.32663","0.00049"
"3.92400","0.32717","0.00061"
"3.93000","0.32765","0.00065"
"3.93600","0.32818","0.00072"
"3.94200","0.32866","0.00065"
"3.94800","0.32920","0.00056"
"3.95400","0.32968","0.00049"
"3.96000","0.33022","0.00036"
"3.96600","0.33070","0.00024"
"3.97200","0.33117","0.00017"
"3.97800","0.33171","0.00006"
"3.98400","0.33219","0.00002"
"3.99000","0.33267","0.00005"
"3.99600","0.33315","0.00010"
"4.00200","0.33369","0.00027"
"4.00800","0.33416","0.00043"
"4.01400","0.33470","0.00058"
"4.02000","0.33518","0.00062"
"4.02600","0.33572","0.00057"
"4.03200","0.33620","0.00050"
"4.03800","0.33667","0.00053"
"4.04400","0.33715","0.00056"
"4.05000","0.33769","0.00062"
"4.05600","0.33817","0.00068"
"4.06200","0.33871","0.00077"
"4.06800","0.33919","0.00073"
"4.07400","0.33966","0.00056"
"4.08000","0.34020","0.00027"
"4.08600","0.34068","0.00011"
"4.09200","0.34122","0.00012"
"4.09800","0.34170","0.00020"
"4.10400","0.34218","0.00028"
"4.11000","0.34271","0.00028"
"4.11600","0.34319","0.00018"
"4.12200","0.34373","0.00013"
"4.12800","0.34421","0.00005"
"4.13400","0.34469","0.00010"
"4.14000","0.34522","0.00021"
"4.14600","0.34570","0.00029"
"4.15200","0.34624","0.00040"
"4.15800","0.34672","0.00053"
"4.16400","0.34720","0.00060"
"4.17000","0.34774","0.00054"
"4.17600","0.34821","0.00047"
"4.18200","0.34869","0.00031"
"4.18800","0.34923","0.00019"
"4.19400","0.34971","0.00012"
"4.20000","0.35019","0.00016"
"4.20600","0.35073","0.00012"
"4.21200","0.35120","0.00010"
"4.21800","0.35168","0.00017"
"4.22400","0.35216","0.00024"
"4.23000","0.35270","0.00024"
"4.23600","0.35318","0.00025"
"4.24200","0.35366","0.00029"
"4.24800","0.35419","0.00033"
"4.25400","0.35467","0.00032"
"4.26000","0.35515","0.00035"
"4.26600","0.35569","0.00038"
"4.27200","0.35617","0.00049"
"4.27800","0.35664","0.00052"
"4.28400","0.35712","0.00049"
"4.29000","0.35766","0.00049"
"4.29600","0.35814","0.00049"
"4.30200","0.35862","0.00055"
"4.30800","0.35910","0.00053"
"4.31400","0.35963","0.00047"
"4.32000","0.36011","0.00049"
"4.32600","0.36059","0.00057"
"4.33200","0.36113","0.00053"
"4.33800","0.36161","0.00042"
"4.34400","0.36209","0.00031"
"4.35000","0.36262","0.00028"
"4.35600","0.36310","0.00025"
"4.36200","0.36364","0.00017"
"4.36800","0.36412","0.00021"
"4.37400","0.36466","0.00036"
"4.38000","0.36513","0.00038"
"4.38600","0.36561","0.00044"
"4.39200","0.36615","0.00051"
"4.39800","0.36663","0.00056"
"4.40400","0.36717","0.00061"
"4.41000","0.36765","0.00056"
"4.41600","0.36818","0.00045"
"4.42200","0.36866","0.00042"
"4.42800","0.36914","0.00041"
"4.43400","0.36968","0.00040"
"4.44000","0.37016","0.00041"
"4.44600","0.37070","0.00029"
"4.45200","0.37117","0.00026"
"4.45800","0.37171","0.00028"
"4.46400","0.37219","0.00041"
"4.47000","0.37267","0.00054"
"4.47600","0.37321","0.00058"
"4.48200","0.37368","0.00057"
"4.48800","0.37416","0.00050"
"4.49400","0.37470","0.00044"
"4.50000","0.37518","0.00038"
"4.50600","0.37572","0.00030"
"4.51200","0.37620","0.00012"
"4.51800","0.37673","-0.00001"
"4.52400","0.37721","0.00000"
"4.53000","0.37769","0.00009"
"4.53600","0.37823","0.00016"
"4.54200","0.37871","0.00028"
"4.54800","0.37925","0.00040"
"4.55400","0.37972","0.00052"
"4.56000","0.38020","0.00048"
"4.56600","0.38068","0.00039"
"4.57200","0.38116","0.00031"
"4.57800","0.38170","0.00023"
"4.58400","0.38217","0.00026"
"4.59000","0.38265","0.00028"
"4.59600","0.38319","0.00030"
"4.60200","0.38367","0.00034"
"4.60800","0.38421","0.00050"
"4.61400","0.38469","0.00058"
"4.62000","0.38516","0.00059"
"4.62600","0.38570","0.00059"
"4.63200","0.38618","0.00051"
"4.63800","0.38666","0.00038"
"4.64400","0.38720","0.00027"
"4.65000","0.38768","0.00024"
"4.65600","0.38815","0.00022"
"4.66200","0.38869","0.00019"
"4.66800","0.38917","0.00031"
"4.67400","0.38971","0.00040"
"4.68000","0.39019","0.00040"
"4.68600","0.39066","0.00041"
"4.69200","0.39114","0.00039"
"4.69800","0.39168","0.00041"
"4.70400","0.39216","0.00039"
"4.71000","0.39270","0.00040"
"4.71600","0.39318","0.00032"
"4.72200","0.39365","0.00028"
"4.72800","0.39419","0.00031"
"4.73400","0.39467","0.00037"
"4.74000","0.39515","0.00051"
"4.74600","0.39569","0.00055"
"4.75200","0.39617","0.00056"
"4.75800","0.39670","0.00054"
"4.76400","0.39718","0.00049"
"4.77000","0.39766","0.00050"
"4.77600","0.39814","0.00052"
"4.78200","0.39868","0.00040"
"4.78800","0.39915","0.00038"
"4.79400","0.39963","0.00046"
