End date,"1/8/2017"
Specimen label,"11AT_NL"
Maximum Load,"0.06823",N

Time,Extension,Load
(s),(mm),(N)
"2.20800","0.18427","0.00014"
"2.21400","0.18475","0.00015"
"2.22000","0.18529","0.00007"
"2.22600","0.18577","0.00001"
"2.23200","0.18630","0.00008"
"2.23800","0.18678","0.00015"
"2.24400","0.18726","0.00017"
"2.25000","0.18774","0.00014"
"2.25600","0.18828","0.00016"
"2.26200","0.18876","0.00022"
"2.26800","0.18923","0.00010"
"2.27400","0.18977","0.00003"
"2.28000","0.19025","0.00001"
"2.28600","0.19073","-0.00017"
"2.29200","0.19121","-0.00032"
"2.29800","0.19175","-0.00040"
"2.30400","0.19222","-0.00045"
"2.31000","0.19270","-0.00040"
"2.31600","0.19324","-0.00030"
"2.32200","0.19372","-0.00022"
"2.32800","0.19420","-0.00024"
"2.33400","0.19473","-0.00031"
"2.34000","0.19521","-0.00036"
"2.34600","0.19575","-0.00033"
"2.35200","0.19623","-0.00024"
"2.35800","0.19677","-0.00018"
"2.36400","0.19725","-0.00018"
"2.37000","0.19772","-0.00015"
"2.37600","0.19820","-0.00010"
"2.38200","0.19874","0.00002"
"2.38800","0.19922","0.00016"
"2.39400","0.19970","0.00020"
"2.40000","0.20018","0.00008"
"2.40600","0.20071","0.00001"
"2.41200","0.20119","0.00000"
"2.41800","0.20167","0.00002"
"2.42400","0.20221","-0.00001"
"2.43000","0.20269","-0.00001"
"2.43600","0.20322","0.00010"
"2.44200","0.20370","0.00026"
"2.44800","0.20418","0.00030"
"2.45400","0.20472","0.00027"
"2.46000","0.20520","0.00026"
"2.46600","0.20568","0.00028"
"2.47200","0.20621","0.00040"
"2.47800","0.20669","0.00040"
"2.48400","0.20723","0.00036"
"2.49000","0.20771","0.00029"
"2.49600","0.20819","0.00022"
"2.50200","0.20873","0.00014"
"2.50800","0.20920","0.00017"
"2.51400","0.20974","0.00028"
"2.52000","0.21022","0.00043"
"2.52600","0.21070","0.00047"
"2.53200","0.21118","0.00051"
"2.53800","0.21171","0.00054"
"2.54400","0.21219","0.00048"
"2.55000","0.21267","0.00045"
"2.55600","0.21315","0.00044"
"2.56200","0.21369","0.00049"
"2.56800","0.21417","0.00045"
"2.57400","0.21470","0.00038"
"2.58000","0.21518","0.00035"
"2.58600","0.21572","0.00039"
"2.59200","0.21620","0.00032"
"2.59800","0.21668","0.00021"
"2.60400","0.21722","0.00009"
"2.61000","0.21769","-0.00001"
"2.61600","0.21817","-0.00001"
"2.62200","0.21871","0.00002"
"2.62800","0.21919","0.00009"
"2.63400","0.21967","0.00011"
"2.64000","0.22020","0.00006"
"2.64600","0.22068","0.00010"
"2.65200","0.22116","0.00011"
"2.65800","0.22170","0.00010"
"2.66400","0.22218","0.00016"
"2.67000","0.22272","0.00021"
"2.67600","0.22319","0.00017"
"2.68200","0.22367","0.00010"
"2.68800","0.22421","0.00007"
"2.69400","0.22469","-0.00005"
"2.70000","0.22523","-0.00002"
"2.70600","0.22571","0.00013"
"2.71200","0.22618","0.00032"
"2.71800","0.22672","0.00044"
"2.72400","0.22720","0.00044"
"2.73000","0.22774","0.00037"
"2.73600","0.22822","0.00030"
"2.74200","0.22875","0.00021"
"2.74800","0.22923","0.00014"
"2.75400","0.22977","0.00015"
"2.76000","0.23025","0.00023"
"2.76600","0.23073","0.00029"
"2.77200","0.23121","0.00033"
"2.77800","0.23174","0.00033"
"2.78400","0.23222","0.00032"
"2.79000","0.23270","0.00029"
"2.79600","0.23324","0.00026"
"2.80200","0.23372","0.00010"
"2.80800","0.23420","-0.00014"
"2.81400","0.23473","-0.00027"
"2.82000","0.23521","-0.00037"
"2.82600","0.23569","-0.00047"
"2.83200","0.23623","-0.00045"
"2.83800","0.23671","-0.00042"
"2.84400","0.23719","-0.00043"
"2.85000","0.23772","-0.00042"
