End date,"1/8/2017"
Specimen label,"20DT_UNK"
Maximum Load,"0.19153",N

Time,Extension,Load
(s),(mm),(N)
"2.31000","0.19276","0.00297"
"2.31600","0.19324","0.00295"
"2.32200","0.19372","0.00303"
"2.32800","0.19426","0.00312"
"2.33400","0.19473","0.00311"
"2.34000","0.19521","0.00307"
"2.34600","0.19569","0.00301"
"2.35200","0.19617","0.00294"
"2.35800","0.19671","0.00286"
"2.36400","0.19719","0.00279"
"2.37000","0.19766","0.00283"
"2.37600","0.19814","0.00294"
"2.38200","0.19868","0.00304"
"2.38800","0.19916","0.00307"
"2.39400","0.19970","0.00308"
"2.40000","0.20018","0.00309"
"2.40600","0.20065","0.00308"
"2.41200","0.20119","0.00310"
"2.41800","0.20167","0.00312"
"2.42400","0.20215","0.00317"
"2.43000","0.20269","0.00325"
"2.43600","0.20316","0.00335"
"2.44200","0.20364","0.00346"
"2.44800","0.20418","0.00348"
"2.45400","0.20466","0.00350"
"2.46000","0.20520","0.00349"
"2.46600","0.20568","0.00345"
"2.47200","0.20621","0.00338"
"2.47800","0.20669","0.00339"
"2.48400","0.20717","0.00338"
"2.49000","0.20765","0.00337"
"2.49600","0.20819","0.00331"
"2.50200","0.20867","0.00323"
"2.50800","0.20914","0.00321"
"2.51400","0.20968","0.00313"
"2.52000","0.21016","0.00302"
"2.52600","0.21064","0.00295"
"2.53200","0.21118","0.00292"
"2.53800","0.21165","0.00296"
"2.54400","0.21219","0.00297"
"2.55000","0.21267","0.00308"
"2.55600","0.21315","0.00319"
"2.56200","0.21363","0.00324"
"2.56800","0.21411","0.00331"
"2.57400","0.21464","0.00333"
"2.58000","0.21512","0.00338"
"2.58600","0.21560","0.00348"
"2.59200","0.21614","0.00356"
"2.59800","0.21662","0.00360"
"2.60400","0.21716","0.00360"
"2.61000","0.21763","0.00355"
"2.61600","0.21811","0.00352"
"2.62200","0.21865","0.00349"
"2.62800","0.21913","0.00341"
"2.63400","0.21967","0.00329"
"2.64000","0.22015","0.00320"
"2.64600","0.22062","0.00318"
"2.65200","0.22116","0.00320"
"2.65800","0.22164","0.00328"
"2.66400","0.22212","0.00336"
"2.67000","0.22266","0.00345"
"2.67600","0.22313","0.00353"
"2.68200","0.22367","0.00357"
"2.68800","0.22415","0.00357"
"2.69400","0.22469","0.00358"
"2.70000","0.22517","0.00363"
"2.70600","0.22565","0.00362"
"2.71200","0.22618","0.00359"
"2.71800","0.22666","0.00353"
"2.72400","0.22714","0.00349"
"2.73000","0.22768","0.00343"
"2.73600","0.22816","0.00339"
"2.74200","0.22864","0.00335"
"2.74800","0.22917","0.00329"
"2.75400","0.22965","0.00327"
"2.76000","0.23019","0.00329"
"2.76600","0.23067","0.00330"
"2.77200","0.23121","0.00336"
"2.77800","0.23168","0.00339"
"2.78400","0.23222","0.00344"
"2.79000","0.23270","0.00345"
"2.79600","0.23324","0.00340"
"2.80200","0.23372","0.00341"
"2.80800","0.23420","0.00344"
"2.81400","0.23473","0.00343"
"2.82000","0.23521","0.00339"
"2.82600","0.23569","0.00338"
"2.83200","0.23623","0.00339"
"2.83800","0.23671","0.00337"
"2.84400","0.23724","0.00339"
"2.85000","0.23772","0.00344"
"2.85600","0.23820","0.00353"
"2.86200","0.23868","0.00354"
"2.86800","0.23922","0.00354"
"2.87400","0.23970","0.00356"
"2.88000","0.24017","0.00361"
"2.88600","0.24071","0.00374"
"2.89200","0.24119","0.00385"
"2.89800","0.24173","0.00392"
"2.90400","0.24221","0.00391"
"2.91000","0.24269","0.00389"
"2.91600","0.24322","0.00388"
"2.92200","0.24370","0.00389"
"2.92800","0.24418","0.00384"
"2.93400","0.24472","0.00378"
"2.94000","0.24520","0.00373"
"2.94600","0.24568","0.00371"
"2.95200","0.24621","0.00372"
"2.95800","0.24669","0.00371"
"2.96400","0.24717","0.00371"
"2.97000","0.24771","0.00367"
"2.97600","0.24819","0.00363"
"2.98200","0.24866","0.00351"
"2.98800","0.24920","0.00343"
"2.99400","0.24968","0.00339"
"3.00000","0.25016","0.00339"
"3.00600","0.25064","0.00341"
"3.01200","0.25112","0.00352"
"3.01800","0.25165","0.00364"
"3.02400","0.25213","0.00370"
"3.03000","0.25261","0.00367"
"3.03600","0.25315","0.00367"
"3.04200","0.25363","0.00372"
"3.04800","0.25411","0.00379"
"3.05400","0.25464","0.00386"
"3.06000","0.25512","0.00393"
"3.06600","0.25566","0.00392"
"3.07200","0.25614","0.00391"
"3.07800","0.25662","0.00385"
"3.08400","0.25715","0.00379"
"3.09000","0.25763","0.00370"
"3.09600","0.25817","0.00361"
"3.10200","0.25865","0.00364"
"3.10800","0.25913","0.00375"
"3.11400","0.25967","0.00390"
"3.12000","0.26014","0.00402"
"3.12600","0.26062","0.00403"
"3.13200","0.26110","0.00403"
"3.13800","0.26164","0.00401"
"3.14400","0.26212","0.00402"
"3.15000","0.26260","0.00394"
"3.15600","0.26313","0.00386"
"3.16200","0.26361","0.00382"
"3.16800","0.26415","0.00377"
"3.17400","0.26463","0.00378"
"3.18000","0.26517","0.00376"
"3.18600","0.26564","0.00375"
"3.19200","0.26618","0.00372"
"3.19800","0.26666","0.00367"
"3.20400","0.26714","0.00368"
"3.21000","0.26768","0.00373"
"3.21600","0.26816","0.00383"
"3.22200","0.26863","0.00393"
"3.22800","0.26917","0.00398"
"3.23400","0.26965","0.00396"
"3.24000","0.27013","0.00401"
"3.24600","0.27067","0.00407"
"3.25200","0.27115","0.00407"
"3.25800","0.27168","0.00407"
"3.26400","0.27216","0.00400"
"3.27000","0.27264","0.00392"
"3.27600","0.27318","0.00388"
"3.28200","0.27366","0.00392"
"3.28800","0.27413","0.00402"
"3.29400","0.27467","0.00405"
"3.30000","0.27515","0.00406"
"3.30600","0.27569","0.00405"
"3.31200","0.27617","0.00405"
"3.31800","0.27671","0.00409"
"3.32400","0.27718","0.00408"
"3.33000","0.27772","0.00407"
"3.33600","0.27820","0.00408"
"3.34200","0.27868","0.00414"
"3.34800","0.27922","0.00423"
"3.35400","0.27970","0.00431"
"3.36000","0.28017","0.00441"
"3.36600","0.28065","0.00448"
"3.37200","0.28119","0.00443"
"3.37800","0.28167","0.00429"
"3.38400","0.28215","0.00422"
"3.39000","0.28268","0.00410"
"3.39600","0.28322","0.00402"
"3.40200","0.28370","0.00398"
"3.40800","0.28418","0.00406"
"3.41400","0.28472","0.00419"
"3.42000","0.28520","0.00431"
"3.42600","0.28573","0.00434"
"3.43200","0.28621","0.00430"
"3.43800","0.28669","0.00422"
"3.44400","0.28723","0.00414"
"3.45000","0.28771","0.00415"
"3.45600","0.28825","0.00424"
"3.46200","0.28872","0.00431"
"3.46800","0.28920","0.00435"
"3.47400","0.28974","0.00442"
"3.48000","0.29022","0.00447"
"3.48600","0.29070","0.00450"
"3.49200","0.29123","0.00450"
"3.49800","0.29171","0.00453"
"3.50400","0.29219","0.00452"
"3.51000","0.29267","0.00448"
"3.51600","0.29315","0.00444"
"3.52200","0.29369","0.00442"
"3.52800","0.29416","0.00440"
"3.53400","0.29464","0.00443"
"3.54000","0.29518","0.00441"
"3.54600","0.29566","0.00435"
"3.55200","0.29614","0.00434"
"3.55800","0.29668","0.00436"
"3.56400","0.29715","0.00437"
"3.57000","0.29763","0.00439"
"3.57600","0.29817","0.00440"
"3.58200","0.29865","0.00437"
"3.58800","0.29913","0.00436"
"3.59400","0.29961","0.00436"
"3.60000","0.30014","0.00435"
"3.60600","0.30068","0.00433"
"3.61200","0.30116","0.00427"
"3.61800","0.30164","0.00423"
