End date,"1/8/2017"
Specimen label,"19AG_UNK"
Maximum Load,"0.01075",N

Time,Extension,Load
(s),(mm),(N)
"1.68000","0.14015","0.00808"
"1.68600","0.14068","0.00800"
"1.69200","0.14122","0.00786"
"1.69800","0.14170","0.00775"
"1.70400","0.14218","0.00774"
"1.71000","0.14272","0.00784"
"1.71600","0.14320","0.00800"
"1.72200","0.14373","0.00816"
"1.72800","0.14421","0.00824"
"1.73400","0.14469","0.00824"
"1.74000","0.14523","0.00821"
"1.74600","0.14571","0.00818"
"1.75200","0.14619","0.00816"
"1.75800","0.14672","0.00814"
"1.76400","0.14720","0.00806"
"1.77000","0.14768","0.00799"
"1.77600","0.14816","0.00792"
"1.78200","0.14870","0.00788"
"1.78800","0.14917","0.00789"
"1.79400","0.14965","0.00792"
"1.80000","0.15019","0.00800"
"1.80600","0.15067","0.00797"
"1.81200","0.15121","0.00790"
"1.81800","0.15169","0.00780"
"1.82400","0.15222","0.00766"
"1.83000","0.15270","0.00758"
"1.83600","0.15324","0.00761"
"1.84200","0.15372","0.00761"
"1.84800","0.15420","0.00760"
"1.85400","0.15474","0.00764"
"1.86000","0.15521","0.00769"
"1.86600","0.15569","0.00778"
"1.87200","0.15617","0.00781"
"1.87800","0.15671","0.00788"
"1.88400","0.15719","0.00793"
"1.89000","0.15766","0.00790"
"1.89600","0.15820","0.00787"
"1.90200","0.15868","0.00789"
"1.90800","0.15916","0.00790"
"1.91400","0.15964","0.00791"
"1.92000","0.16018","0.00793"
"1.92600","0.16065","0.00796"
"1.93200","0.16113","0.00796"
"1.93800","0.16167","0.00790"
"1.94400","0.16215","0.00782"
"1.95000","0.16263","0.00775"
"1.95600","0.16317","0.00772"
"1.96200","0.16364","0.00775"
"1.96800","0.16418","0.00778"
"1.97400","0.16472","0.00772"
"1.98000","0.16520","0.00774"
"1.98600","0.16568","0.00777"
"1.99200","0.16621","0.00774"
"1.99800","0.16669","0.00771"
"2.00400","0.16717","0.00774"
"2.01000","0.16771","0.00784"
"2.01600","0.16819","0.00791"
"2.02200","0.16867","0.00795"
"2.02800","0.16914","0.00799"
"2.03400","0.16968","0.00805"
"2.04000","0.17016","0.00805"
"2.04600","0.17064","0.00797"
"2.05200","0.17112","0.00794"
"2.05800","0.17166","0.00791"
"2.06400","0.17213","0.00784"
"2.07000","0.17261","0.00776"
"2.07600","0.17315","0.00765"
"2.08200","0.17363","0.00754"
"2.08800","0.17411","0.00742"
"2.09400","0.17465","0.00739"
"2.10000","0.17512","0.00750"
"2.10600","0.17566","0.00761"
"2.11200","0.17614","0.00764"
"2.11800","0.17668","0.00764"
"2.12400","0.17716","0.00757"
"2.13000","0.17769","0.00749"
"2.13600","0.17817","0.00747"
"2.14200","0.17871","0.00748"
"2.14800","0.17919","0.00758"
"2.15400","0.17967","0.00761"
"2.16000","0.18021","0.00755"
"2.16600","0.18068","0.00744"
"2.17200","0.18116","0.00739"
"2.17800","0.18164","0.00738"
"2.18400","0.18218","0.00739"
"2.19000","0.18266","0.00737"
"2.19600","0.18314","0.00737"
"2.20200","0.18367","0.00738"
"2.20800","0.18415","0.00737"
"2.21400","0.18463","0.00742"
"2.22000","0.18517","0.00748"
"2.22600","0.18565","0.00754"
"2.23200","0.18618","0.00761"
"2.23800","0.18672","0.00768"
"2.24400","0.18720","0.00771"
"2.25000","0.18774","0.00768"
"2.25600","0.18822","0.00761"
"2.26200","0.18876","0.00759"
"2.26800","0.18923","0.00762"
"2.27400","0.18971","0.00763"
"2.28000","0.19025","0.00767"
"2.28600","0.19073","0.00776"
"2.29200","0.19127","0.00784"
"2.29800","0.19175","0.00787"
"2.30400","0.19222","0.00792"
"2.31000","0.19270","0.00794"
"2.31600","0.19318","0.00792"
"2.32200","0.19372","0.00787"
"2.32800","0.19420","0.00788"
"2.33400","0.19467","0.00787"
"2.34000","0.19515","0.00776"
"2.34600","0.19569","0.00770"
"2.35200","0.19617","0.00770"
"2.35800","0.19665","0.00766"
"2.36400","0.19719","0.00764"
"2.37000","0.19766","0.00769"
"2.37600","0.19820","0.00777"
"2.38200","0.19868","0.00781"
"2.38800","0.19916","0.00783"
"2.39400","0.19970","0.00785"
"2.40000","0.20018","0.00779"
"2.40600","0.20071","0.00774"
"2.41200","0.20119","0.00780"
"2.41800","0.20167","0.00786"
"2.42400","0.20221","0.00786"
"2.43000","0.20269","0.00782"
"2.43600","0.20316","0.00783"
"2.44200","0.20364","0.00774"
"2.44800","0.20418","0.00764"
"2.45400","0.20466","0.00757"
"2.46000","0.20514","0.00760"
"2.46600","0.20568","0.00770"
"2.47200","0.20615","0.00776"
"2.47800","0.20663","0.00783"
"2.48400","0.20711","0.00787"
"2.49000","0.20765","0.00782"
"2.49600","0.20813","0.00787"
"2.50200","0.20861","0.00798"
"2.50800","0.20914","0.00807"
"2.51400","0.20962","0.00813"
"2.52000","0.21010","0.00810"
"2.52600","0.21064","0.00803"
"2.53200","0.21112","0.00800"
"2.53800","0.21165","0.00795"
"2.54400","0.21213","0.00794"
"2.55000","0.21267","0.00796"
"2.55600","0.21315","0.00795"
"2.56200","0.21363","0.00790"
"2.56800","0.21417","0.00786"
"2.57400","0.21464","0.00782"
"2.58000","0.21512","0.00777"
"2.58600","0.21566","0.00777"
"2.59200","0.21614","0.00783"
"2.59800","0.21662","0.00785"
"2.60400","0.21716","0.00789"
"2.61000","0.21763","0.00796"
"2.61600","0.21817","0.00795"
"2.62200","0.21865","0.00791"
"2.62800","0.21913","0.00788"
"2.63400","0.21967","0.00789"
"2.64000","0.22015","0.00785"
"2.64600","0.22062","0.00785"
"2.65200","0.22116","0.00784"
"2.65800","0.22164","0.00780"
"2.66400","0.22212","0.00787"
"2.67000","0.22266","0.00796"
"2.67600","0.22313","0.00798"
"2.68200","0.22361","0.00798"
"2.68800","0.22415","0.00801"
"2.69400","0.22463","0.00802"
"2.70000","0.22517","0.00799"
"2.70600","0.22565","0.00789"
"2.71200","0.22612","0.00784"
"2.71800","0.22666","0.00782"
"2.72400","0.22714","0.00783"
"2.73000","0.22762","0.00779"
"2.73600","0.22816","0.00777"
"2.74200","0.22864","0.00782"
"2.74800","0.22911","0.00786"
"2.75400","0.22965","0.00788"
"2.76000","0.23013","0.00788"
"2.76600","0.23067","0.00790"
"2.77200","0.23115","0.00788"
"2.77800","0.23168","0.00785"
"2.78400","0.23216","0.00792"
"2.79000","0.23264","0.00797"
"2.79600","0.23318","0.00802"
"2.80200","0.23366","0.00809"
"2.80800","0.23420","0.00807"
"2.81400","0.23467","0.00804"
"2.82000","0.23515","0.00796"
"2.82600","0.23569","0.00787"
"2.83200","0.23617","0.00782"
"2.83800","0.23671","0.00780"
"2.84400","0.23719","0.00783"
"2.85000","0.23772","0.00797"
"2.85600","0.23820","0.00798"
"2.86200","0.23868","0.00798"
"2.86800","0.23922","0.00793"
"2.87400","0.23970","0.00788"
"2.88000","0.24017","0.00782"
"2.88600","0.24071","0.00781"
"2.89200","0.24119","0.00782"
"2.89800","0.24167","0.00780"
"2.90400","0.24221","0.00790"
"2.91000","0.24269","0.00803"
"2.91600","0.24316","0.00801"
"2.92200","0.24370","0.00797"
"2.92800","0.24418","0.00801"
"2.93400","0.24466","0.00808"
"2.94000","0.24520","0.00803"
"2.94600","0.24568","0.00803"
"2.95200","0.24615","0.00807"
"2.95800","0.24669","0.00799"
"2.96400","0.24717","0.00793"
"2.97000","0.24765","0.00791"
"2.97600","0.24819","0.00786"
"2.98200","0.24866","0.00780"
"2.98800","0.24914","0.00777"
"2.99400","0.24962","0.00773"
"3.00000","0.25016","0.00774"
"3.00600","0.25064","0.00778"
"3.01200","0.25118","0.00788"
"3.01800","0.25165","0.00799"
"3.02400","0.25213","0.00805"
"3.03000","0.25261","0.00809"
"3.03600","0.25309","0.00811"
"3.04200","0.25357","0.00808"
"3.04800","0.25411","0.00806"
"3.05400","0.25458","0.00813"
"3.06000","0.25506","0.00819"
"3.06600","0.25560","0.00820"
"3.07200","0.25608","0.00818"
"3.07800","0.25662","0.00814"
"3.08400","0.25710","0.00807"
"3.09000","0.25757","0.00798"
"3.09600","0.25811","0.00801"
"3.10200","0.25859","0.00811"
"3.10800","0.25913","0.00806"
"3.11400","0.25961","0.00794"
"3.12000","0.26014","0.00791"
"3.12600","0.26062","0.00796"
"3.13200","0.26116","0.00810"
