End date,"12/16/2016"
Specimen label,"6DG_Unk"
Maximum Load,"0.12815",N

Time,Extension,Load
(s),(mm),(N)
"1.50600","0.12568","0.00039"
"1.51200","0.12616","0.00035"
"1.51800","0.12669","0.00031"
"1.52400","0.12717","0.00040"
"1.53000","0.12765","0.00037"
"1.53600","0.12819","0.00030"
"1.54200","0.12867","0.00032"
"1.54800","0.12921","0.00036"
"1.55400","0.12968","0.00046"
"1.56000","0.13016","0.00052"
"1.56600","0.13070","0.00049"
"1.57200","0.13118","0.00055"
"1.57800","0.13172","0.00046"
"1.58400","0.13219","0.00035"
"1.59000","0.13267","0.00024"
"1.59600","0.13321","0.00012"
"1.60200","0.13369","0.00011"
"1.60800","0.13417","0.00011"
"1.61400","0.13471","0.00005"
"1.62000","0.13518","0.00008"
"1.62600","0.13566","0.00016"
"1.63200","0.13620","0.00022"
"1.63800","0.13668","0.00030"
"1.64400","0.13716","0.00035"
"1.65000","0.13770","0.00037"
"1.65600","0.13817","0.00051"
"1.66200","0.13865","0.00055"
"1.66800","0.13919","0.00048"
"1.67400","0.13967","0.00043"
"1.68000","0.14021","0.00037"
"1.68600","0.14068","0.00031"
"1.69200","0.14116","0.00027"
"1.69800","0.14170","0.00025"
"1.70400","0.14224","0.00038"
"1.71000","0.14272","0.00053"
"1.71600","0.14320","0.00060"
"1.72200","0.14373","0.00069"
"1.72800","0.14421","0.00071"
"1.73400","0.14475","0.00068"
"1.74000","0.14523","0.00062"
"1.74600","0.14571","0.00047"
"1.75200","0.14625","0.00029"
"1.75800","0.14672","0.00020"
"1.76400","0.14726","0.00007"
"1.77000","0.14774","0.00007"
"1.77600","0.14822","0.00005"
"1.78200","0.14876","0.00008"
"1.78800","0.14923","0.00020"
"1.79400","0.14977","0.00030"
"1.80000","0.15025","0.00035"
"1.80600","0.15073","0.00039"
"1.81200","0.15121","0.00042"
"1.81800","0.15175","0.00041"
"1.82400","0.15222","0.00042"
"1.83000","0.15270","0.00044"
"1.83600","0.15318","0.00052"
"1.84200","0.15372","0.00055"
"1.84800","0.15420","0.00054"
"1.85400","0.15474","0.00060"
"1.86000","0.15521","0.00059"
"1.86600","0.15569","0.00048"
"1.87200","0.15623","0.00046"
"1.87800","0.15671","0.00037"
"1.88400","0.15725","0.00021"
"1.89000","0.15772","0.00014"
"1.89600","0.15820","0.00013"
"1.90200","0.15874","0.00024"
"1.90800","0.15922","0.00039"
"1.91400","0.15976","0.00048"
"1.92000","0.16024","0.00062"
"1.92600","0.16077","0.00073"
"1.93200","0.16125","0.00064"
"1.93800","0.16179","0.00057"
"1.94400","0.16227","0.00045"
"1.95000","0.16281","0.00023"
"1.95600","0.16329","0.00010"
"1.96200","0.16376","0.00005"
"1.96800","0.16424","0.00010"
"1.97400","0.16472","0.00021"
"1.98000","0.16526","0.00022"
"1.98600","0.16574","0.00024"
"1.99200","0.16621","0.00017"
"1.99800","0.16675","0.00011"
"2.00400","0.16723","0.00021"
"2.01000","0.16771","0.00029"
"2.01600","0.16825","0.00030"
"2.02200","0.16873","0.00025"
"2.02800","0.16920","0.00009"
"2.03400","0.16968","-0.00006"
"2.04000","0.17022","-0.00011"
"2.04600","0.17070","-0.00016"
"2.05200","0.17118","-0.00019"
"2.05800","0.17172","-0.00016"
"2.06400","0.17219","-0.00014"
"2.07000","0.17267","-0.00004"
"2.07600","0.17321","0.00011"
"2.08200","0.17369","0.00020"
"2.08800","0.17423","0.00033"
"2.09400","0.17471","0.00038"
"2.10000","0.17524","0.00036"
"2.10600","0.17572","0.00041"
"2.11200","0.17620","0.00034"
"2.11800","0.17668","0.00028"
"2.12400","0.17716","0.00037"
"2.13000","0.17763","0.00040"
"2.13600","0.17811","0.00044"
"2.14200","0.17865","0.00049"
"2.14800","0.17913","0.00057"
"2.15400","0.17961","0.00073"
"2.16000","0.18015","0.00075"
"2.16600","0.18062","0.00064"
"2.17200","0.18110","0.00062"
"2.17800","0.18164","0.00060"
"2.18400","0.18212","0.00069"
"2.19000","0.18266","0.00075"
"2.19600","0.18314","0.00066"
"2.20200","0.18361","0.00062"
"2.20800","0.18415","0.00062"
"2.21400","0.18463","0.00058"
"2.22000","0.18517","0.00066"
"2.22600","0.18565","0.00077"
"2.23200","0.18618","0.00079"
"2.23800","0.18672","0.00085"
"2.24400","0.18720","0.00081"
"2.25000","0.18774","0.00065"
"2.25600","0.18822","0.00060"
"2.26200","0.18870","0.00057"
"2.26800","0.18917","0.00047"
"2.27400","0.18971","0.00036"
"2.28000","0.19019","0.00024"
"2.28600","0.19067","0.00022"
"2.29200","0.19121","0.00018"
"2.29800","0.19169","0.00015"
"2.30400","0.19216","0.00021"
"2.31000","0.19270","0.00033"
"2.31600","0.19318","0.00037"
"2.32200","0.19372","0.00042"
"2.32800","0.19420","0.00030"
"2.33400","0.19473","0.00026"
"2.34000","0.19521","0.00028"
"2.34600","0.19569","0.00024"
"2.35200","0.19617","0.00018"
"2.35800","0.19671","0.00002"
"2.36400","0.19719","-0.00014"
"2.37000","0.19766","-0.00013"
"2.37600","0.19820","0.00000"
"2.38200","0.19868","0.00020"
"2.38800","0.19916","0.00041"
"2.39400","0.19970","0.00047"
"2.40000","0.20018","0.00045"
"2.40600","0.20065","0.00044"
"2.41200","0.20119","0.00033"
"2.41800","0.20167","0.00021"
"2.42400","0.20221","0.00032"
"2.43000","0.20269","0.00039"
"2.43600","0.20316","0.00043"
"2.44200","0.20370","0.00047"
"2.44800","0.20418","0.00035"
"2.45400","0.20472","0.00027"
"2.46000","0.20520","0.00023"
"2.46600","0.20574","0.00016"
"2.47200","0.20621","0.00023"
"2.47800","0.20669","0.00029"
"2.48400","0.20723","0.00046"
"2.49000","0.20771","0.00064"
"2.49600","0.20825","0.00075"
"2.50200","0.20873","0.00078"
"2.50800","0.20926","0.00069"
"2.51400","0.20974","0.00049"
"2.52000","0.21028","0.00040"
"2.52600","0.21076","0.00041"
"2.53200","0.21124","0.00038"
"2.53800","0.21171","0.00042"
"2.54400","0.21225","0.00045"
"2.55000","0.21273","0.00045"
"2.55600","0.21321","0.00049"
"2.56200","0.21369","0.00047"
"2.56800","0.21417","0.00056"
"2.57400","0.21470","0.00059"
"2.58000","0.21518","0.00048"
"2.58600","0.21566","0.00035"
"2.59200","0.21614","0.00023"
"2.59800","0.21668","0.00009"
"2.60400","0.21716","0.00010"
"2.61000","0.21763","0.00021"
"2.61600","0.21811","0.00026"
"2.62200","0.21865","0.00043"
"2.62800","0.21913","0.00050"
"2.63400","0.21967","0.00052"
"2.64000","0.22015","0.00045"
"2.64600","0.22062","0.00037"
"2.65200","0.22116","0.00030"
"2.65800","0.22164","0.00033"
"2.66400","0.22212","0.00035"
"2.67000","0.22260","0.00043"
"2.67600","0.22313","0.00052"
"2.68200","0.22361","0.00055"
"2.68800","0.22409","0.00059"
"2.69400","0.22457","0.00063"
"2.70000","0.22511","0.00063"
"2.70600","0.22559","0.00076"
"2.71200","0.22612","0.00083"
"2.71800","0.22660","0.00088"
"2.72400","0.22714","0.00091"
"2.73000","0.22762","0.00069"
"2.73600","0.22816","0.00054"
"2.74200","0.22864","0.00047"
"2.74800","0.22917","0.00028"
"2.75400","0.22965","0.00020"
"2.76000","0.23019","0.00023"
"2.76600","0.23067","0.00028"
"2.77200","0.23121","0.00046"
"2.77800","0.23168","0.00054"
"2.78400","0.23216","0.00067"
"2.79000","0.23270","0.00082"
"2.79600","0.23318","0.00086"
"2.80200","0.23372","0.00087"
"2.80800","0.23420","0.00083"
"2.81400","0.23473","0.00061"
"2.82000","0.23521","0.00046"
"2.82600","0.23575","0.00038"
"2.83200","0.23623","0.00021"
"2.83800","0.23671","0.00011"
"2.84400","0.23724","0.00017"
"2.85000","0.23772","0.00031"
"2.85600","0.23820","0.00048"
"2.86200","0.23874","0.00049"
"2.86800","0.23922","0.00049"
"2.87400","0.23976","0.00056"
"2.88000","0.24023","0.00050"
"2.88600","0.24077","0.00050"
"2.89200","0.24125","0.00052"
"2.89800","0.24173","0.00051"
"2.90400","0.24227","0.00062"
"2.91000","0.24275","0.00078"
"2.91600","0.24322","0.00087"
"2.92200","0.24376","0.00096"
"2.92800","0.24424","0.00083"
"2.93400","0.24472","0.00068"
"2.94000","0.24526","0.00060"
"2.94600","0.24573","0.00046"
"2.95200","0.24621","0.00036"
"2.95800","0.24675","0.00037"
"2.96400","0.24723","0.00043"
"2.97000","0.24771","0.00056"
"2.97600","0.24825","0.00060"
"2.98200","0.24872","0.00060"
"2.98800","0.24920","0.00057"
"2.99400","0.24974","0.00053"
"3.00000","0.25022","0.00056"
"3.00600","0.25070","0.00065"
"3.01200","0.25124","0.00066"
"3.01800","0.25171","0.00065"
"3.02400","0.25225","0.00071"
"3.03000","0.25273","0.00068"
"3.03600","0.25321","0.00062"
"3.04200","0.25375","0.00058"
"3.04800","0.25423","0.00059"
"3.05400","0.25470","0.00067"
"3.06000","0.25524","0.00072"
"3.06600","0.25572","0.00061"
"3.07200","0.25620","0.00063"
"3.07800","0.25668","0.00056"
"3.08400","0.25721","0.00049"
"3.09000","0.25769","0.00054"
"3.09600","0.25817","0.00054"
"3.10200","0.25871","0.00054"
"3.10800","0.25919","0.00054"
"3.11400","0.25967","0.00038"
"3.12000","0.26020","0.00025"
"3.12600","0.26068","0.00013"
