End date,"12/16/2016"
Specimen label,"15AG_19"
Maximum Load,"0.22100",N

Time,Extension,Load
(s),(mm),(N)
"2.06400","0.17225","0.00083"
"2.07000","0.17273","0.00080"
"2.07600","0.17321","0.00092"
"2.08200","0.17375","0.00088"
"2.08800","0.17423","0.00090"
"2.09400","0.17471","0.00104"
"2.10000","0.17524","0.00114"
"2.10600","0.17572","0.00124"
"2.11200","0.17620","0.00141"
"2.11800","0.17674","0.00146"
"2.12400","0.17722","0.00148"
"2.13000","0.17775","0.00152"
"2.13600","0.17823","0.00149"
"2.14200","0.17877","0.00153"
"2.14800","0.17925","0.00155"
"2.15400","0.17973","0.00145"
"2.16000","0.18027","0.00154"
"2.16600","0.18080","0.00161"
"2.17200","0.18128","0.00151"
"2.17800","0.18176","0.00147"
"2.18400","0.18230","0.00139"
"2.19000","0.18278","0.00131"
"2.19600","0.18331","0.00125"
"2.20200","0.18379","0.00115"
"2.20800","0.18427","0.00118"
"2.21400","0.18475","0.00114"
"2.22000","0.18523","0.00109"
"2.22600","0.18577","0.00099"
"2.23200","0.18624","0.00081"
"2.23800","0.18672","0.00069"
"2.24400","0.18720","0.00076"
"2.25000","0.18768","0.00085"
"2.25600","0.18816","0.00099"
"2.26200","0.18870","0.00112"
"2.26800","0.18917","0.00115"
"2.27400","0.18965","0.00117"
"2.28000","0.19019","0.00117"
"2.28600","0.19067","0.00125"
"2.29200","0.19115","0.00142"
"2.29800","0.19169","0.00152"
"2.30400","0.19216","0.00163"
"2.31000","0.19264","0.00169"
"2.31600","0.19318","0.00165"
"2.32200","0.19366","0.00166"
"2.32800","0.19420","0.00170"
"2.33400","0.19467","0.00165"
"2.34000","0.19515","0.00168"
"2.34600","0.19569","0.00167"
"2.35200","0.19617","0.00149"
"2.35800","0.19665","0.00149"
"2.36400","0.19713","0.00139"
"2.37000","0.19766","0.00122"
"2.37600","0.19814","0.00115"
"2.38200","0.19862","0.00105"
"2.38800","0.19916","0.00095"
"2.39400","0.19964","0.00106"
"2.40000","0.20012","0.00107"
"2.40600","0.20065","0.00097"
"2.41200","0.20113","0.00080"
"2.41800","0.20161","0.00077"
"2.42400","0.20215","0.00090"
"2.43000","0.20263","0.00111"
"2.43600","0.20316","0.00116"
"2.44200","0.20364","0.00120"
"2.44800","0.20418","0.00114"
"2.45400","0.20466","0.00103"
"2.46000","0.20520","0.00102"
"2.46600","0.20574","0.00098"
"2.47200","0.20621","0.00099"
"2.47800","0.20669","0.00108"
"2.48400","0.20723","0.00099"
"2.49000","0.20771","0.00099"
"2.49600","0.20825","0.00112"
"2.50200","0.20873","0.00114"
"2.50800","0.20920","0.00121"
"2.51400","0.20974","0.00128"
"2.52000","0.21022","0.00130"
"2.52600","0.21070","0.00134"
"2.53200","0.21124","0.00138"
"2.53800","0.21171","0.00149"
"2.54400","0.21219","0.00162"
"2.55000","0.21273","0.00154"
"2.55600","0.21321","0.00147"
"2.56200","0.21369","0.00144"
"2.56800","0.21423","0.00134"
"2.57400","0.21470","0.00127"
"2.58000","0.21518","0.00114"
"2.58600","0.21572","0.00105"
"2.59200","0.21620","0.00112"
"2.59800","0.21674","0.00108"
"2.60400","0.21722","0.00111"
"2.61000","0.21775","0.00118"
"2.61600","0.21823","0.00110"
"2.62200","0.21877","0.00112"
"2.62800","0.21925","0.00122"
"2.63400","0.21973","0.00111"
"2.64000","0.22026","0.00105"
"2.64600","0.22074","0.00106"
"2.65200","0.22122","0.00115"
"2.65800","0.22176","0.00130"
"2.66400","0.22224","0.00141"
"2.67000","0.22272","0.00149"
"2.67600","0.22325","0.00158"
"2.68200","0.22373","0.00160"
"2.68800","0.22427","0.00163"
"2.69400","0.22475","0.00170"
"2.70000","0.22523","0.00171"
"2.70600","0.22577","0.00177"
"2.71200","0.22624","0.00178"
"2.71800","0.22672","0.00177"
"2.72400","0.22726","0.00177"
"2.73000","0.22774","0.00175"
"2.73600","0.22822","0.00162"
"2.74200","0.22875","0.00160"
"2.74800","0.22923","0.00150"
"2.75400","0.22977","0.00138"
"2.76000","0.23025","0.00147"
"2.76600","0.23073","0.00147"
"2.77200","0.23127","0.00153"
"2.77800","0.23174","0.00169"
"2.78400","0.23222","0.00173"
"2.79000","0.23270","0.00175"
"2.79600","0.23324","0.00188"
"2.80200","0.23372","0.00189"
"2.80800","0.23420","0.00188"
"2.81400","0.23467","0.00179"
"2.82000","0.23515","0.00166"
"2.82600","0.23569","0.00162"
"2.83200","0.23617","0.00158"
"2.83800","0.23665","0.00150"
"2.84400","0.23719","0.00151"
"2.85000","0.23766","0.00145"
"2.85600","0.23814","0.00156"
"2.86200","0.23868","0.00167"
"2.86800","0.23916","0.00163"
"2.87400","0.23970","0.00157"
"2.88000","0.24017","0.00149"
"2.88600","0.24065","0.00133"
"2.89200","0.24119","0.00130"
"2.89800","0.24167","0.00133"
"2.90400","0.24221","0.00150"
"2.91000","0.24269","0.00166"
"2.91600","0.24322","0.00163"
"2.92200","0.24370","0.00155"
"2.92800","0.24418","0.00154"
"2.93400","0.24472","0.00149"
"2.94000","0.24520","0.00163"
"2.94600","0.24568","0.00174"
"2.95200","0.24621","0.00178"
"2.95800","0.24669","0.00186"
"2.96400","0.24717","0.00188"
"2.97000","0.24771","0.00185"
"2.97600","0.24819","0.00188"
"2.98200","0.24872","0.00176"
"2.98800","0.24920","0.00175"
