End date,"1/21/2017"
Specimen label,"19DT_NT"
Maximum Load,"0.07495",N

Time,Extension,Load
(s),(mm),(N)
"1.81800","0.15169","-0.00517"
"1.82400","0.15216","-0.00520"
"1.83000","0.15270","-0.00520"
"1.83600","0.15318","-0.00525"
"1.84200","0.15366","-0.00534"
"1.84800","0.15414","-0.00524"
"1.85400","0.15468","-0.00513"
"1.86000","0.15515","-0.00512"
"1.86600","0.15563","-0.00508"
"1.87200","0.15617","-0.00522"
"1.87800","0.15671","-0.00538"
"1.88400","0.15719","-0.00548"
"1.89000","0.15772","-0.00559"
"1.89600","0.15820","-0.00569"
"1.90200","0.15868","-0.00571"
"1.90800","0.15922","-0.00566"
"1.91400","0.15970","-0.00558"
"1.92000","0.16018","-0.00546"
"1.92600","0.16065","-0.00531"
"1.93200","0.16119","-0.00507"
"1.93800","0.16167","-0.00503"
"1.94400","0.16215","-0.00510"
"1.95000","0.16269","-0.00511"
"1.95600","0.16317","-0.00511"
"1.96200","0.16370","-0.00518"
"1.96800","0.16418","-0.00511"
"1.97400","0.16466","-0.00513"
"1.98000","0.16520","-0.00521"
"1.98600","0.16568","-0.00538"
"1.99200","0.16616","-0.00551"
"1.99800","0.16669","-0.00541"
"2.00400","0.16717","-0.00536"
"2.01000","0.16771","-0.00525"
"2.01600","0.16819","-0.00508"
"2.02200","0.16873","-0.00502"
"2.02800","0.16926","-0.00510"
"2.03400","0.16974","-0.00509"
"2.04000","0.17028","-0.00507"
"2.04600","0.17076","-0.00508"
"2.05200","0.17124","-0.00510"
"2.05800","0.17178","-0.00517"
"2.06400","0.17225","-0.00533"
"2.07000","0.17273","-0.00546"
"2.07600","0.17321","-0.00556"
"2.08200","0.17369","-0.00551"
"2.08800","0.17423","-0.00538"
"2.09400","0.17471","-0.00535"
"2.10000","0.17518","-0.00513"
"2.10600","0.17572","-0.00488"
"2.11200","0.17620","-0.00483"
"2.11800","0.17668","-0.00490"
"2.12400","0.17722","-0.00517"
