End date,"1/21/2017"
Specimen label,"14DT_NoLabel"
Maximum Load,"0.00887",N

Time,Extension,Load
(s),(mm),(N)
"3.86400","0.32215","0.00052"
"3.87000","0.32268","0.00055"
"3.87600","0.32316","0.00060"
"3.88200","0.32364","0.00056"
"3.88800","0.32412","0.00051"
"3.89400","0.32466","0.00045"
"3.90000","0.32514","0.00047"
"3.90600","0.32561","0.00054"
"3.91200","0.32615","0.00056"
"3.91800","0.32663","0.00058"
"3.92400","0.32711","0.00065"
"3.93000","0.32765","0.00065"
"3.93600","0.32812","0.00056"
"3.94200","0.32860","0.00042"
"3.94800","0.32914","0.00025"
"3.95400","0.32962","0.00017"
"3.96000","0.33016","0.00015"
"3.96600","0.33064","0.00012"
"3.97200","0.33117","0.00003"
"3.97800","0.33165","0.00001"
"3.98400","0.33219","0.00002"
"3.99000","0.33267","-0.00007"
"3.99600","0.33321","-0.00023"
"4.00200","0.33369","-0.00032"
"4.00800","0.33422","-0.00028"
"4.01400","0.33470","-0.00024"
"4.02000","0.33524","-0.00017"
"4.02600","0.33572","0.00001"
"4.03200","0.33620","0.00019"
"4.03800","0.33673","0.00028"
"4.04400","0.33721","0.00033"
"4.05000","0.33769","0.00027"
"4.05600","0.33817","0.00016"
"4.06200","0.33871","0.00006"
"4.06800","0.33919","0.00008"
"4.07400","0.33966","0.00005"
"4.08000","0.34020","0.00013"
"4.08600","0.34068","0.00019"
"4.09200","0.34122","0.00017"
"4.09800","0.34170","0.00016"
"4.10400","0.34218","0.00017"
"4.11000","0.34271","0.00033"
"4.11600","0.34319","0.00043"
"4.12200","0.34367","0.00046"
"4.12800","0.34421","0.00040"
"4.13400","0.34469","0.00035"
"4.14000","0.34522","0.00021"
"4.14600","0.34570","0.00009"
"4.15200","0.34624","0.00007"
"4.15800","0.34672","0.00006"
"4.16400","0.34726","0.00005"
"4.17000","0.34774","0.00007"
"4.17600","0.34821","0.00003"
"4.18200","0.34875","-0.00003"
"4.18800","0.34923","-0.00014"
"4.19400","0.34971","-0.00019"
"4.20000","0.35025","-0.00008"
"4.20600","0.35073","0.00002"
"4.21200","0.35120","0.00004"
"4.21800","0.35174","0.00010"
"4.22400","0.35222","0.00021"
"4.23000","0.35270","0.00016"
"4.23600","0.35324","0.00003"
"4.24200","0.35371","0.00000"
"4.24800","0.35419","0.00003"
"4.25400","0.35473","0.00005"
"4.26000","0.35521","0.00007"
"4.26600","0.35569","0.00012"
"4.27200","0.35623","0.00020"
"4.27800","0.35670","0.00024"
"4.28400","0.35724","0.00030"
"4.29000","0.35772","0.00040"
"4.29600","0.35820","0.00044"
"4.30200","0.35874","0.00046"
"4.30800","0.35922","0.00041"
"4.31400","0.35969","0.00035"
"4.32000","0.36023","0.00032"
"4.32600","0.36071","0.00039"
"4.33200","0.36119","0.00041"
"4.33800","0.36167","0.00033"
"4.34400","0.36215","0.00024"
"4.35000","0.36268","0.00012"
"4.35600","0.36316","-0.00005"
"4.36200","0.36364","-0.00011"
"4.36800","0.36418","-0.00013"
"4.37400","0.36466","-0.00009"
"4.38000","0.36513","0.00000"
"4.38600","0.36561","0.00011"
"4.39200","0.36615","0.00007"
"4.39800","0.36663","0.00001"
"4.40400","0.36717","0.00000"
"4.41000","0.36765","-0.00001"
"4.41600","0.36818","-0.00004"
"4.42200","0.36866","-0.00005"
"4.42800","0.36914","0.00001"
"4.43400","0.36968","0.00019"
"4.44000","0.37016","0.00032"
"4.44600","0.37070","0.00038"
"4.45200","0.37117","0.00032"
"4.45800","0.37165","0.00022"
"4.46400","0.37219","0.00019"
"4.47000","0.37267","0.00019"
"4.47600","0.37315","0.00016"
"4.48200","0.37368","0.00012"
"4.48800","0.37416","0.00010"
"4.49400","0.37470","0.00008"
