End date,"12/23/2016"
Specimen label,"21CT_65"
Maximum Load,"0.01464",N

Time,Extension,Load
(s),(mm),(N)
"1.50000","0.12520","0.00332"
"1.50600","0.12574","0.00322"
"1.51200","0.12622","0.00328"
"1.51800","0.12669","0.00330"
"1.52400","0.12723","0.00332"
"1.53000","0.12777","0.00333"
"1.53600","0.12825","0.00326"
"1.54200","0.12879","0.00329"
"1.54800","0.12932","0.00330"
"1.55400","0.12980","0.00323"
"1.56000","0.13028","0.00312"
"1.56600","0.13076","0.00305"
"1.57200","0.13124","0.00305"
"1.57800","0.13178","0.00318"
"1.58400","0.13225","0.00328"
"1.59000","0.13273","0.00338"
"1.59600","0.13321","0.00353"
"1.60200","0.13375","0.00364"
"1.60800","0.13423","0.00364"
"1.61400","0.13471","0.00359"
"1.62000","0.13524","0.00346"
"1.62600","0.13572","0.00343"
"1.63200","0.13620","0.00350"
"1.63800","0.13674","0.00344"
"1.64400","0.13722","0.00345"
"1.65000","0.13770","0.00343"
"1.65600","0.13823","0.00337"
"1.66200","0.13871","0.00338"
"1.66800","0.13925","0.00332"
"1.67400","0.13973","0.00324"
"1.68000","0.14027","0.00327"
"1.68600","0.14074","0.00328"
"1.69200","0.14122","0.00330"
"1.69800","0.14176","0.00332"
"1.70400","0.14224","0.00330"
"1.71000","0.14272","0.00330"
"1.71600","0.14320","0.00336"
"1.72200","0.14373","0.00339"
"1.72800","0.14421","0.00344"
"1.73400","0.14469","0.00349"
"1.74000","0.14523","0.00345"
"1.74600","0.14571","0.00342"
"1.75200","0.14619","0.00337"
"1.75800","0.14666","0.00329"
"1.76400","0.14720","0.00320"
"1.77000","0.14768","0.00300"
"1.77600","0.14816","0.00292"
"1.78200","0.14870","0.00292"
"1.78800","0.14917","0.00288"
"1.79400","0.14965","0.00289"
"1.80000","0.15019","0.00287"
"1.80600","0.15067","0.00276"
"1.81200","0.15115","0.00281"
"1.81800","0.15169","0.00294"
"1.82400","0.15216","0.00302"
"1.83000","0.15264","0.00312"
"1.83600","0.15312","0.00315"
"1.84200","0.15366","0.00322"
"1.84800","0.15414","0.00333"
"1.85400","0.15462","0.00337"
"1.86000","0.15515","0.00341"
"1.86600","0.15563","0.00333"
"1.87200","0.15617","0.00319"
"1.87800","0.15665","0.00317"
"1.88400","0.15719","0.00314"
"1.89000","0.15766","0.00312"
"1.89600","0.15814","0.00314"
"1.90200","0.15868","0.00309"
"1.90800","0.15916","0.00304"
"1.91400","0.15964","0.00304"
"1.92000","0.16018","0.00307"
"1.92600","0.16065","0.00312"
"1.93200","0.16119","0.00320"
"1.93800","0.16167","0.00318"
"1.94400","0.16215","0.00321"
"1.95000","0.16269","0.00329"
"1.95600","0.16317","0.00331"
"1.96200","0.16370","0.00331"
"1.96800","0.16418","0.00320"
"1.97400","0.16472","0.00310"
"1.98000","0.16520","0.00312"
"1.98600","0.16574","0.00313"
"1.99200","0.16621","0.00320"
"1.99800","0.16669","0.00337"
"2.00400","0.16723","0.00344"
"2.01000","0.16771","0.00341"
"2.01600","0.16819","0.00337"
"2.02200","0.16873","0.00322"
"2.02800","0.16920","0.00317"
"2.03400","0.16974","0.00306"
"2.04000","0.17022","0.00298"
"2.04600","0.17076","0.00292"
"2.05200","0.17124","0.00276"
"2.05800","0.17172","0.00264"
"2.06400","0.17225","0.00269"
"2.07000","0.17273","0.00273"
"2.07600","0.17321","0.00278"
"2.08200","0.17375","0.00294"
"2.08800","0.17423","0.00310"
"2.09400","0.17471","0.00319"
"2.10000","0.17524","0.00322"
"2.10600","0.17572","0.00325"
"2.11200","0.17620","0.00335"
"2.11800","0.17668","0.00337"
"2.12400","0.17722","0.00332"
"2.13000","0.17769","0.00330"
"2.13600","0.17817","0.00321"
"2.14200","0.17865","0.00309"
"2.14800","0.17919","0.00310"
"2.15400","0.17967","0.00313"
"2.16000","0.18021","0.00317"
"2.16600","0.18068","0.00319"
"2.17200","0.18122","0.00313"
"2.17800","0.18170","0.00319"
"2.18400","0.18224","0.00335"
"2.19000","0.18272","0.00347"
"2.19600","0.18320","0.00362"
"2.20200","0.18373","0.00365"
"2.20800","0.18421","0.00357"
"2.21400","0.18469","0.00357"
"2.22000","0.18523","0.00355"
"2.22600","0.18571","0.00345"
"2.23200","0.18618","0.00335"
"2.23800","0.18666","0.00326"
"2.24400","0.18720","0.00326"
"2.25000","0.18768","0.00325"
"2.25600","0.18822","0.00326"
"2.26200","0.18870","0.00337"
"2.26800","0.18917","0.00341"
"2.27400","0.18971","0.00341"
"2.28000","0.19019","0.00343"
"2.28600","0.19067","0.00349"
"2.29200","0.19121","0.00351"
"2.29800","0.19169","0.00350"
"2.30400","0.19216","0.00338"
"2.31000","0.19270","0.00338"
"2.31600","0.19318","0.00347"
"2.32200","0.19372","0.00358"
"2.32800","0.19420","0.00376"
"2.33400","0.19467","0.00379"
"2.34000","0.19521","0.00363"
"2.34600","0.19569","0.00352"
"2.35200","0.19617","0.00341"
"2.35800","0.19671","0.00331"
"2.36400","0.19719","0.00336"
"2.37000","0.19766","0.00334"
"2.37600","0.19814","0.00334"
"2.38200","0.19868","0.00346"
"2.38800","0.19916","0.00350"
"2.39400","0.19964","0.00351"
"2.40000","0.20012","0.00349"
"2.40600","0.20065","0.00339"
"2.41200","0.20113","0.00337"
"2.41800","0.20161","0.00333"
"2.42400","0.20215","0.00331"
"2.43000","0.20263","0.00342"
"2.43600","0.20311","0.00343"
"2.44200","0.20364","0.00346"
"2.44800","0.20412","0.00348"
"2.45400","0.20466","0.00338"
"2.46000","0.20514","0.00336"
"2.46600","0.20568","0.00339"
"2.47200","0.20615","0.00338"
"2.47800","0.20669","0.00350"
"2.48400","0.20717","0.00362"
"2.49000","0.20765","0.00373"
"2.49600","0.20819","0.00383"
"2.50200","0.20867","0.00379"
"2.50800","0.20920","0.00364"
"2.51400","0.20968","0.00362"
"2.52000","0.21022","0.00356"
"2.52600","0.21070","0.00351"
"2.53200","0.21124","0.00352"
"2.53800","0.21171","0.00355"
"2.54400","0.21219","0.00355"
"2.55000","0.21273","0.00356"
"2.55600","0.21321","0.00351"
"2.56200","0.21369","0.00348"
"2.56800","0.21423","0.00343"
"2.57400","0.21470","0.00345"
"2.58000","0.21524","0.00342"
"2.58600","0.21572","0.00330"
"2.59200","0.21626","0.00319"
"2.59800","0.21674","0.00326"
"2.60400","0.21728","0.00322"
"2.61000","0.21775","0.00319"
"2.61600","0.21829","0.00320"
"2.62200","0.21877","0.00324"
"2.62800","0.21925","0.00332"
"2.63400","0.21973","0.00342"
"2.64000","0.22026","0.00358"
"2.64600","0.22074","0.00375"
"2.65200","0.22122","0.00382"
"2.65800","0.22176","0.00377"
"2.66400","0.22224","0.00376"
"2.67000","0.22272","0.00363"
"2.67600","0.22325","0.00348"
"2.68200","0.22373","0.00344"
"2.68800","0.22427","0.00338"
"2.69400","0.22475","0.00340"
"2.70000","0.22523","0.00338"
"2.70600","0.22577","0.00333"
"2.71200","0.22624","0.00343"
"2.71800","0.22672","0.00347"
"2.72400","0.22726","0.00347"
"2.73000","0.22774","0.00358"
"2.73600","0.22822","0.00360"
"2.74200","0.22875","0.00360"
"2.74800","0.22923","0.00366"
"2.75400","0.22971","0.00373"
"2.76000","0.23025","0.00382"
"2.76600","0.23073","0.00380"
"2.77200","0.23121","0.00367"
"2.77800","0.23174","0.00355"
"2.78400","0.23222","0.00344"
"2.79000","0.23270","0.00337"
"2.79600","0.23324","0.00342"
"2.80200","0.23372","0.00347"
"2.80800","0.23420","0.00350"
"2.81400","0.23473","0.00353"
"2.82000","0.23521","0.00346"
"2.82600","0.23569","0.00331"
"2.83200","0.23623","0.00323"
"2.83800","0.23671","0.00315"
"2.84400","0.23724","0.00317"
"2.85000","0.23772","0.00321"
"2.85600","0.23820","0.00328"
"2.86200","0.23868","0.00339"
"2.86800","0.23922","0.00351"
"2.87400","0.23970","0.00359"
"2.88000","0.24017","0.00369"
"2.88600","0.24071","0.00379"
"2.89200","0.24119","0.00379"
"2.89800","0.24167","0.00383"
"2.90400","0.24221","0.00377"
"2.91000","0.24269","0.00373"
"2.91600","0.24322","0.00375"
"2.92200","0.24370","0.00376"
"2.92800","0.24418","0.00392"
"2.93400","0.24466","0.00402"
"2.94000","0.24520","0.00404"
"2.94600","0.24568","0.00406"
"2.95200","0.24615","0.00400"
"2.95800","0.24669","0.00388"
"2.96400","0.24717","0.00380"
"2.97000","0.24771","0.00366"
"2.97600","0.24819","0.00355"
"2.98200","0.24872","0.00352"
"2.98800","0.24920","0.00352"
"2.99400","0.24974","0.00366"
"3.00000","0.25022","0.00391"
"3.00600","0.25070","0.00400"
"3.01200","0.25118","0.00402"
"3.01800","0.25165","0.00402"
"3.02400","0.25213","0.00401"
"3.03000","0.25267","0.00403"
"3.03600","0.25315","0.00389"
"3.04200","0.25369","0.00373"
"3.04800","0.25417","0.00367"
"3.05400","0.25464","0.00356"
"3.06000","0.25518","0.00353"
"3.06600","0.25566","0.00363"
"3.07200","0.25614","0.00368"
"3.07800","0.25668","0.00372"
"3.08400","0.25715","0.00373"
"3.09000","0.25769","0.00369"
"3.09600","0.25817","0.00370"
"3.10200","0.25871","0.00358"
"3.10800","0.25925","0.00347"
"3.11400","0.25973","0.00340"
"3.12000","0.26026","0.00330"
"3.12600","0.26074","0.00326"
"3.13200","0.26128","0.00332"
"3.13800","0.26176","0.00344"
"3.14400","0.26224","0.00352"
"3.15000","0.26272","0.00350"
"3.15600","0.26325","0.00348"
"3.16200","0.26373","0.00365"
"3.16800","0.26421","0.00380"
"3.17400","0.26475","0.00384"
"3.18000","0.26523","0.00392"
"3.18600","0.26570","0.00391"
"3.19200","0.26618","0.00386"
"3.19800","0.26672","0.00385"
"3.20400","0.26720","0.00375"
"3.21000","0.26768","0.00367"
"3.21600","0.26822","0.00358"
"3.22200","0.26869","0.00353"
"3.22800","0.26923","0.00366"
"3.23400","0.26971","0.00373"
"3.24000","0.27025","0.00371"
"3.24600","0.27079","0.00365"
"3.25200","0.27127","0.00363"
"3.25800","0.27174","0.00362"
"3.26400","0.27228","0.00377"
"3.27000","0.27276","0.00383"
"3.27600","0.27324","0.00380"
"3.28200","0.27378","0.00376"
"3.28800","0.27425","0.00368"
"3.29400","0.27473","0.00376"
"3.30000","0.27521","0.00377"
"3.30600","0.27575","0.00373"
"3.31200","0.27623","0.00372"
"3.31800","0.27671","0.00370"
"3.32400","0.27724","0.00367"
"3.33000","0.27772","0.00374"
"3.33600","0.27820","0.00380"
"3.34200","0.27868","0.00373"
"3.34800","0.27916","0.00369"
"3.35400","0.27970","0.00364"
"3.36000","0.28017","0.00367"
"3.36600","0.28065","0.00375"
"3.37200","0.28119","0.00377"
"3.37800","0.28167","0.00385"
"3.38400","0.28221","0.00391"
"3.39000","0.28268","0.00396"
