End date,"12/21/2016"
Specimen label,"24BG_95_run3"
Maximum Load,"0.04333",N

Time,Extension,Load
(s),(mm),(N)
"4.06200","19.18425","0.00707"
"4.06800","19.18473","0.00720"
"4.07400","19.18521","0.00727"
"4.08000","19.18574","0.00736"
"4.08600","19.18622","0.00743"
"4.09200","19.18670","0.00738"
"4.09800","19.18724","0.00726"
"4.10400","19.18772","0.00714"
"4.11000","19.18820","0.00708"
"4.11600","19.18867","0.00708"
"4.12200","19.18915","0.00708"
"4.12800","19.18969","0.00712"
"4.13400","19.19017","0.00714"
"4.14000","19.19065","0.00706"
"4.14600","19.19113","0.00701"
"4.15200","19.19166","0.00698"
"4.15800","19.19214","0.00696"
"4.16400","19.19262","0.00700"
"4.17000","19.19316","0.00701"
"4.17600","19.19364","0.00704"
"4.18200","19.19411","0.00712"
"4.18800","19.19465","0.00718"
"4.19400","19.19513","0.00721"
"4.20000","19.19567","0.00719"
"4.20600","19.19615","0.00715"
"4.21200","19.19669","0.00724"
"4.21800","19.19716","0.00731"
"4.22400","19.19764","0.00735"
"4.23000","19.19812","0.00734"
"4.23600","19.19866","0.00716"
"4.24200","19.19914","0.00700"
"4.24800","19.19962","0.00692"
"4.25400","19.20009","0.00685"
"4.26000","19.20063","0.00685"
"4.26600","19.20111","0.00689"
"4.27200","19.20159","0.00690"
"4.27800","19.20213","0.00698"
"4.28400","19.20260","0.00704"
"4.29000","19.20308","0.00705"
"4.29600","19.20362","0.00707"
"4.30200","19.20410","0.00707"
"4.30800","19.20458","0.00702"
"4.31400","19.20506","0.00701"
"4.32000","19.20560","0.00696"
"4.32600","19.20607","0.00695"
"4.33200","19.20661","0.00697"
"4.33800","19.20715","0.00694"
"4.34400","19.20763","0.00692"
"4.35000","19.20816","0.00693"
"4.35600","19.20870","0.00693"
"4.36200","19.20918","0.00693"
"4.36800","19.20966","0.00696"
"4.37400","19.21014","0.00695"
"4.38000","19.21068","0.00698"
"4.38600","19.21115","0.00704"
"4.39200","19.21163","0.00709"
"4.39800","19.21217","0.00713"
"4.40400","19.21265","0.00704"
"4.41000","19.21319","0.00694"
"4.41600","19.21367","0.00688"
"4.42200","19.21414","0.00686"
"4.42800","19.21468","0.00691"
"4.43400","19.21516","0.00690"
"4.44000","19.21570","0.00685"
"4.44600","19.21618","0.00685"
"4.45200","19.21666","0.00693"
"4.45800","19.21719","0.00702"
"4.46400","19.21767","0.00712"
"4.47000","19.21821","0.00722"
"4.47600","19.21869","0.00730"
"4.48200","19.21922","0.00737"
"4.48800","19.21970","0.00739"
"4.49400","19.22024","0.00741"
"4.50000","19.22072","0.00738"
"4.50600","19.22126","0.00730"
"4.51200","19.22174","0.00714"
"4.51800","19.22222","0.00697"
"4.52400","19.22269","0.00686"
"4.53000","19.22317","0.00686"
"4.53600","19.22371","0.00686"
"4.54200","19.22419","0.00688"
"4.54800","19.22467","0.00692"
"4.55400","19.22520","0.00686"
"4.56000","19.22568","0.00678"
"4.56600","19.22616","0.00670"
"4.57200","19.22670","0.00661"
"4.57800","19.22718","0.00661"
"4.58400","19.22766","0.00671"
"4.59000","19.22819","0.00683"
"4.59600","19.22867","0.00700"
"4.60200","19.22921","0.00714"
"4.60800","19.22969","0.00722"
"4.61400","19.23017","0.00729"
"4.62000","19.23071","0.00734"
"4.62600","19.23118","0.00740"
"4.63200","19.23172","0.00743"
"4.63800","19.23220","0.00738"
"4.64400","19.23274","0.00732"
"4.65000","19.23322","0.00728"
"4.65600","19.23369","0.00719"
"4.66200","19.23423","0.00723"
"4.66800","19.23471","0.00727"
"4.67400","19.23519","0.00727"
"4.68000","19.23567","0.00735"
"4.68600","19.23621","0.00740"
"4.69200","19.23668","0.00735"
"4.69800","19.23716","0.00736"
"4.70400","19.23764","0.00730"
"4.71000","19.23818","0.00727"
"4.71600","19.23866","0.00731"
"4.72200","19.23914","0.00725"
"4.72800","19.23961","0.00724"
"4.73400","19.24015","0.00725"
"4.74000","19.24063","0.00721"
"4.74600","19.24111","0.00719"
"4.75200","19.24165","0.00714"
"4.75800","19.24212","0.00707"
"4.76400","19.24260","0.00702"
"4.77000","19.24314","0.00695"
"4.77600","19.24362","0.00694"
"4.78200","19.24416","0.00698"
"4.78800","19.24464","0.00707"
"4.79400","19.24511","0.00717"
"4.80000","19.24565","0.00727"
"4.80600","19.24613","0.00734"
"4.81200","19.24661","0.00737"
"4.81800","19.24709","0.00734"
"4.82400","19.24757","0.00724"
"4.83000","19.24810","0.00720"
"4.83600","19.24858","0.00721"
"4.84200","19.24906","0.00724"
"4.84800","19.24960","0.00723"
"4.85400","19.25008","0.00715"
"4.86000","19.25056","0.00707"
"4.86600","19.25109","0.00706"
