End date,"12/21/2016"
Specimen label,"23DGG_81"
Maximum Load,"0.23561",N

Time,Extension,Load
(s),(mm),(N)
"2.61600","0.21817","0.00129"
"2.62200","0.21865","0.00140"
"2.62800","0.21913","0.00146"
"2.63400","0.21961","0.00143"
"2.64000","0.22015","0.00142"
"2.64600","0.22062","0.00142"
"2.65200","0.22110","0.00147"
"2.65800","0.22164","0.00142"
"2.66400","0.22212","0.00136"
"2.67000","0.22266","0.00141"
"2.67600","0.22319","0.00140"
"2.68200","0.22367","0.00137"
"2.68800","0.22421","0.00139"
"2.69400","0.22469","0.00131"
"2.70000","0.22523","0.00128"
"2.70600","0.22571","0.00135"
"2.71200","0.22624","0.00134"
"2.71800","0.22672","0.00129"
"2.72400","0.22726","0.00121"
"2.73000","0.22774","0.00117"
"2.73600","0.22822","0.00118"
"2.74200","0.22875","0.00105"
"2.74800","0.22923","0.00090"
"2.75400","0.22977","0.00091"
"2.76000","0.23025","0.00097"
"2.76600","0.23073","0.00109"
"2.77200","0.23127","0.00119"
"2.77800","0.23174","0.00129"
"2.78400","0.23222","0.00139"
"2.79000","0.23276","0.00149"
"2.79600","0.23324","0.00149"
"2.80200","0.23372","0.00150"
"2.80800","0.23426","0.00156"
"2.81400","0.23473","0.00160"
"2.82000","0.23521","0.00163"
"2.82600","0.23575","0.00165"
"2.83200","0.23623","0.00161"
"2.83800","0.23671","0.00163"
"2.84400","0.23724","0.00154"
"2.85000","0.23772","0.00147"
"2.85600","0.23820","0.00140"
"2.86200","0.23874","0.00131"
"2.86800","0.23922","0.00126"
"2.87400","0.23970","0.00125"
"2.88000","0.24023","0.00120"
"2.88600","0.24071","0.00117"
"2.89200","0.24119","0.00111"
"2.89800","0.24173","0.00111"
"2.90400","0.24221","0.00122"
"2.91000","0.24269","0.00128"
"2.91600","0.24316","0.00128"
"2.92200","0.24370","0.00132"
"2.92800","0.24418","0.00131"
"2.93400","0.24472","0.00129"
"2.94000","0.24520","0.00122"
"2.94600","0.24568","0.00114"
"2.95200","0.24621","0.00113"
"2.95800","0.24669","0.00109"
"2.96400","0.24723","0.00105"
"2.97000","0.24771","0.00107"
"2.97600","0.24825","0.00112"
"2.98200","0.24872","0.00119"
"2.98800","0.24926","0.00124"
"2.99400","0.24974","0.00115"
"3.00000","0.25022","0.00115"
"3.00600","0.25076","0.00123"
"3.01200","0.25124","0.00129"
"3.01800","0.25171","0.00132"
"3.02400","0.25225","0.00131"
"3.03000","0.25273","0.00129"
"3.03600","0.25321","0.00134"
"3.04200","0.25369","0.00141"
"3.04800","0.25417","0.00143"
"3.05400","0.25470","0.00150"
"3.06000","0.25518","0.00150"
"3.06600","0.25566","0.00147"
"3.07200","0.25620","0.00141"
