"","date","analysis_date","filename","specimen_label","max_load","dist_max","median","variance","num_threads_used"
"147","2/12/17","4/4/18","PV_170212_1Specimen_RawData_1.csv","10BG_Unk1","0.11691",0.124743259,9999,9999,1
"148","2/12/17","4/4/18","PV_170212_1Specimen_RawData_10.csv","12BT_95","0.39216",9999,9999,9999,0
"149","2/12/17","4/4/18","PV_170212_1Specimen_RawData_2.csv","10BG_Unk2","0.64592",0.210576725,0.16628,0.064850822,4
"150","2/12/17","4/4/18","PV_170212_1Specimen_RawData_4.csv","9AG_77","1.5865",0.083622028,0.17626,0.083442361,17
"151","2/12/17","4/4/18","PV_170212_1Specimen_RawData_5.csv","9AG_80","0.51878",9999,9999,9999,0
"152","2/12/17","4/4/18","PV_170212_1Specimen_RawData_6.csv","9AG_79","0.58789",0.10352635,0.13127,0.077608371,11
"153","2/12/17","4/4/18","PV_170212_1Specimen_RawData_7.csv","9DT_73","0.29008",0.146639851,0.136565,0.038153708,6
"154","2/12/17","4/4/18","PV_170212_1Specimen_RawData_8.csv","9AG_76","0.2751",0.15507094,0.14218,0.018483771,2
"155","2/12/17","4/4/18","PV_170212_1Specimen_RawData_9.csv","9DG_77","0.07952",0.15507094,9999,9999,1
"156","2/12/17","4/4/18","PV_170212_2Specimen_RawData_1.csv","12BT_91","0.13297",0.12149331,0.089335,0.046110433,2
"157","2/12/17","4/4/18","PV_170212_2Specimen_RawData_10.csv","14AG_70","1.15301",0.088335087,0.102825,0.07115767,16
"158","2/12/17","4/4/18","PV_170212_2Specimen_RawData_2.csv","9CG_75","0.27909",0.088335087,9999,9999,1
"159","2/12/17","4/4/18","PV_170212_2Specimen_RawData_3.csv","9CG_75_run2","0.46556",0.088698978,0.092225,0.005055813,2
"160","2/12/17","4/4/18","PV_170212_2Specimen_RawData_5.csv","9CG_78","0.35192",0.088698978,9999,9999,1
"161","2/12/17","4/4/18","PV_170212_2Specimen_RawData_6.csv","9CG_76","0.71948",0.088698978,9999,9999,1
"162","2/12/17","4/4/18","PV_170212_2Specimen_RawData_8.csv","14AG_11","0.25222",0.080447788,0.10092,0.067594978,4
"163","2/12/17","4/4/18","PV_170212_2Specimen_RawData_9.csv","14AG_Unk","0.65532",0.203847252,0.19333,0.055423354,9
"164","2/12/17","4/4/18","PV_170212_3Specimen_RawData_1.csv","13BG_8","0.33378",0.217405584,0.16436,0.081337102,5
"165","2/12/17","4/4/18","PV_170212_3Specimen_RawData_3.csv","13BG_2","0.49497",0.169185749,0.173235,0.034422788,4
"166","2/12/17","4/4/18","PV_170212_3Specimen_RawData_5.csv","5AG_40","0.07374",0.169185749,9999,9999,1
"167","2/12/17","4/4/18","PV_170212_3Specimen_RawData_6.csv","5AG_30","0.15115",0.169185749,9999,9999,1
"168","2/12/17","4/4/18","PV_170212_3Specimen_RawData_8.csv","17DG_34","0.10603",0.085531155,0.079135,0.009171175,2
"169","2/12/17","4/4/18","PV_170212_3Specimen_RawData_9.csv","4AT_30","0.08356",0.085531155,9999,9999,1
"170","2/25/17","4/4/18","PV_170225_1Specimen_RawData_1.csv","2AT_11","0.12005",0.085531155,9999,9999,1
"171","2/25/17","4/4/18","PV_170225_1Specimen_RawData_10.csv","1BG_5","0.25051",0.226430299,0.14798,0.112486547,2
"172","2/25/17","4/4/18","PV_170225_1Specimen_RawData_2.csv","2AT_11","0.09713",0.226430299,9999,9999,1
"173","2/25/17","4/4/18","PV_170225_1Specimen_RawData_3.csv","2AT_13","0.10934",0.226430299,9999,9999,1
"174","2/25/17","4/4/18","PV_170225_1Specimen_RawData_5.csv","2AT_15","0.21246",0.075269265,0.07825,0.076173464,3
"175","2/25/17","4/4/18","PV_170225_1Specimen_RawData_6.csv","5CG_38","0.28303",0.075269265,9999,9999,1
"176","2/25/17","4/4/18","PV_170225_1Specimen_RawData_7.csv","5CG_36","0.35865",0.119941492,0.12132,0.037677791,5
"177","2/25/17","4/4/18","PV_170225_1Specimen_RawData_8.csv","5CG_33","0.06402",0.119941492,9999,9999,1
"178","2/25/17","4/4/18","PV_170225_1Specimen_RawData_9.csv","1BG_8","0.26037",0.092878316,0.101295,0.064309876,6
"179","2/25/17","4/4/18","PV_170225_2Specimen_RawData_2.csv","1BG_6","0.15376",0.080197782,0.091625,0.026914948,4
"180","2/25/17","4/4/18","PV_170225_2Specimen_RawData_3.csv","6BG_41","1.72377",0.232369346,0.17186,0.061317732,17
"181","2/25/17","4/4/18","PV_170225_2Specimen_RawData_4.csv","1CT_3","0.09211",0.065706294,0.06977,0.014705242,3
"182","2/25/17","4/4/18","PV_170225_2Specimen_RawData_6.csv","5DT_35","0.1718",0.121682354,0.12178,0.031282192,5
"183","2/25/17","4/4/18","PV_170225_2Specimen_RawData_7.csv","1DG_2","0.0985",0.121682354,9999,9999,1
"184","2/25/17","4/4/18","PV_170225_2Specimen_RawData_8.csv","1DG_unk","0.4118",0.082363003,0.08329,0.041871062,3
"185","2/26/17","4/4/18","PV_170226_1Specimen_RawData_1.csv","1AT_2","0.0747",0.082363003,9999,9999,1
"186","2/26/17","4/4/18","PV_170226_1Specimen_RawData_10.csv","2BG_13","0.69358",0.082363003,9999,9999,1
"187","2/26/17","4/4/18","PV_170226_1Specimen_RawData_5.csv","4BG_28","0.36069",0.123130034,0.12378,0.05497037,5
"188","2/26/17","4/4/18","PV_170226_1Specimen_RawData_6.csv","4BG_29","0.86594",0.105323175,0.124525,0.085046263,10
"189","2/26/17","4/4/18","PV_170226_1Specimen_RawData_8.csv","6AT_44","0.06217",0.105323175,9999,9999,1
"190","2/26/17","4/4/18","PV_170226_1Specimen_RawData_9.csv","6AT_47","0.19279",0.186534705,0.12424,0.089321729,2
"191","2/26/17","4/4/18","PV_170226_2Specimen_RawData_10.csv","7AG_53","0.0332",9999,9999,9999,0
"192","2/26/17","4/4/18","PV_170226_2Specimen_RawData_2.csv","7BT_54","0.12958",0.126896929,0.134595,0.011037937,2
"193","2/26/17","4/4/18","PV_170226_2Specimen_RawData_3.csv","5BT_33","0.16845",0.10284964,0.090585,0.017585746,2
"194","2/26/17","4/4/18","PV_170226_2Specimen_RawData_4.csv","7DT_51","0.08631",0.10284964,9999,9999,1
"195","2/26/17","4/4/18","PV_170226_2Specimen_RawData_6.csv","8CG_70","0.1626",0.10284964,9999,9999,1
"196","2/26/17","4/4/18","PV_170226_2Specimen_RawData_7.csv","8AG_unk","0.27619",0.107229284,0.11319,0.078261736,4
"197","2/26/17","4/4/18","PV_170226_2Specimen_RawData_8.csv","8AG_68","0.28868",0.118437107,0.117045,0.049034261,6
"198","2/26/17","4/4/18","PV_170226_2Specimen_RawData_9.csv","8AG_69","0.14711",0.118437107,9999,9999,1
"199","2/26/17","4/4/18","PV_170226_3Specimen_RawData_1.csv","7AG_53","0.03831",9999,9999,9999,0
"200","2/26/17","4/4/18","PV_170226_3Specimen_RawData_2.csv","7CG_50","0.10801",0.118437107,9999,9999,1
"201","2/26/17","4/4/18","PV_170226_3Specimen_RawData_4.csv","7CG_56","0.48809",0.130460666,0.174935,0.067925523,4
"202","2/26/17","4/4/18","PV_170226_3Specimen_RawData_6.csv","4CT_32_pl","0.14378",0.130460666,9999,9999,1
"203","11/4/2016","04/05/18","PV_161104Specimen_RawData_5.csv","","1.49282",9999,9999,9999,0
"204","11/4/2016","04/05/18","PV_161104Specimen_RawData_7.csv","63G_","2.3994",0.129151527456258,0.13533,0.0660431069669611,31
"205","11/4/2016","04/05/18","PV_161104Specimen_RawData_8.csv","63G21","0.01685",0.119673513075515,0.13442,0.070229969847147,31
"206","11/14/2016","04/05/18","PV_161114Specimen_RawData_1.csv","20AG60","0.05133",0.119673513075515,0.13442,0.070229969847147,31
"207","11/14/2016","04/05/18","PV_161114Specimen_RawData_2.csv","20AG60","1.40394",0.201161822341429,0.200465,0.0511095757824957,6
