End date,"12/18/2016"
Specimen label,"16AT_Unk"
Maximum Load,"0.14730",N

Time,Extension,Load
(s),(mm),(N)
"1.82400","0.15216","0.00008"
"1.83000","0.15264","0.00010"
"1.83600","0.15318","0.00009"
"1.84200","0.15366","0.00007"
"1.84800","0.15420","0.00017"
"1.85400","0.15468","0.00030"
"1.86000","0.15521","0.00045"
"1.86600","0.15569","0.00049"
"1.87200","0.15623","0.00037"
"1.87800","0.15671","0.00014"
"1.88400","0.15719","-0.00001"
"1.89000","0.15772","-0.00015"
"1.89600","0.15820","-0.00026"
"1.90200","0.15868","-0.00020"
"1.90800","0.15922","-0.00021"
"1.91400","0.15970","-0.00017"
"1.92000","0.16024","-0.00015"
"1.92600","0.16071","-0.00016"
"1.93200","0.16125","-0.00014"
"1.93800","0.16173","-0.00011"
"1.94400","0.16221","0.00001"
"1.95000","0.16275","0.00018"
"1.95600","0.16323","0.00024"
"1.96200","0.16376","0.00024"
"1.96800","0.16424","0.00021"
"1.97400","0.16472","0.00013"
"1.98000","0.16526","0.00005"
"1.98600","0.16574","0.00008"
"1.99200","0.16627","0.00007"
"1.99800","0.16675","0.00010"
"2.00400","0.16723","0.00012"
"2.01000","0.16777","0.00007"
"2.01600","0.16825","0.00009"
"2.02200","0.16879","0.00012"
"2.02800","0.16926","0.00011"
"2.03400","0.16974","0.00014"
"2.04000","0.17022","0.00010"
"2.04600","0.17070","0.00002"
"2.05200","0.17124","0.00002"
"2.05800","0.17172","0.00000"
"2.06400","0.17219","0.00007"
"2.07000","0.17273","0.00015"
"2.07600","0.17321","0.00024"
"2.08200","0.17375","0.00038"
"2.08800","0.17423","0.00035"
"2.09400","0.17476","0.00029"
"2.10000","0.17524","0.00030"
"2.10600","0.17572","0.00032"
"2.11200","0.17626","0.00031"
"2.11800","0.17674","0.00034"
"2.12400","0.17722","0.00040"
"2.13000","0.17775","0.00040"
"2.13600","0.17823","0.00034"
"2.14200","0.17877","0.00026"
"2.14800","0.17925","0.00022"
"2.15400","0.17979","0.00008"
"2.16000","0.18027","-0.00002"
"2.16600","0.18074","0.00004"
"2.17200","0.18122","0.00008"
"2.17800","0.18176","0.00012"
"2.18400","0.18224","0.00026"
"2.19000","0.18272","0.00039"
"2.19600","0.18325","0.00045"
"2.20200","0.18373","0.00058"
"2.20800","0.18421","0.00065"
"2.21400","0.18475","0.00072"
"2.22000","0.18523","0.00066"
"2.22600","0.18577","0.00054"
"2.23200","0.18624","0.00054"
"2.23800","0.18672","0.00049"
"2.24400","0.18726","0.00042"
"2.25000","0.18774","0.00040"
"2.25600","0.18822","0.00039"
"2.26200","0.18870","0.00033"
"2.26800","0.18923","0.00030"
"2.27400","0.18971","0.00021"
"2.28000","0.19019","0.00014"
"2.28600","0.19073","0.00012"
"2.29200","0.19121","0.00012"
"2.29800","0.19169","0.00026"
"2.30400","0.19222","0.00044"
"2.31000","0.19270","0.00050"
"2.31600","0.19318","0.00051"
"2.32200","0.19372","0.00037"
"2.32800","0.19420","0.00020"
"2.33400","0.19467","0.00009"
"2.34000","0.19521","-0.00001"
"2.34600","0.19569","-0.00007"
"2.35200","0.19617","-0.00008"
"2.35800","0.19671","-0.00017"
"2.36400","0.19719","-0.00018"
"2.37000","0.19772","-0.00014"
"2.37600","0.19820","-0.00016"
"2.38200","0.19868","-0.00006"
"2.38800","0.19922","0.00004"
"2.39400","0.19970","0.00007"
"2.40000","0.20024","0.00017"
"2.40600","0.20071","0.00022"
"2.41200","0.20119","0.00025"
"2.41800","0.20173","0.00032"
"2.42400","0.20221","0.00038"
"2.43000","0.20269","0.00052"
"2.43600","0.20322","0.00062"
"2.44200","0.20370","0.00055"
"2.44800","0.20418","0.00049"
"2.45400","0.20472","0.00039"
"2.46000","0.20520","0.00028"
"2.46600","0.20574","0.00025"
"2.47200","0.20621","0.00028"
"2.47800","0.20675","0.00033"
"2.48400","0.20723","0.00030"
"2.49000","0.20777","0.00025"
"2.49600","0.20825","0.00022"
"2.50200","0.20879","0.00020"
"2.50800","0.20926","0.00017"
"2.51400","0.20980","0.00014"
"2.52000","0.21028","0.00009"
"2.52600","0.21076","-0.00003"
"2.53200","0.21130","-0.00014"
"2.53800","0.21177","-0.00019"
"2.54400","0.21225","-0.00022"
"2.55000","0.21279","-0.00015"
"2.55600","0.21327","-0.00007"
"2.56200","0.21375","-0.00001"
"2.56800","0.21423","0.00006"
"2.57400","0.21476","0.00002"
"2.58000","0.21524","-0.00004"
"2.58600","0.21572","-0.00004"
"2.59200","0.21620","-0.00001"
"2.59800","0.21674","0.00012"
"2.60400","0.21722","0.00023"
"2.61000","0.21769","0.00022"
"2.61600","0.21823","0.00023"
"2.62200","0.21871","0.00024"
"2.62800","0.21925","0.00026"
"2.63400","0.21973","0.00034"
"2.64000","0.22026","0.00033"
"2.64600","0.22074","0.00027"
"2.65200","0.22128","0.00016"
"2.65800","0.22176","0.00012"
"2.66400","0.22230","0.00017"
"2.67000","0.22278","0.00020"
"2.67600","0.22325","0.00016"
"2.68200","0.22373","0.00015"
"2.68800","0.22427","0.00005"
"2.69400","0.22475","0.00000"
"2.70000","0.22523","0.00014"
"2.70600","0.22577","0.00032"
"2.71200","0.22624","0.00045"
"2.71800","0.22672","0.00051"
"2.72400","0.22726","0.00045"
"2.73000","0.22774","0.00042"
"2.73600","0.22822","0.00041"
"2.74200","0.22869","0.00037"
"2.74800","0.22917","0.00035"
"2.75400","0.22971","0.00034"
"2.76000","0.23019","0.00028"
"2.76600","0.23067","0.00028"
"2.77200","0.23121","0.00033"
"2.77800","0.23168","0.00037"
"2.78400","0.23222","0.00041"
"2.79000","0.23270","0.00043"
"2.79600","0.23324","0.00038"
"2.80200","0.23372","0.00025"
"2.80800","0.23420","0.00012"
"2.81400","0.23473","0.00009"
"2.82000","0.23521","0.00017"
"2.82600","0.23569","0.00020"
"2.83200","0.23617","0.00024"
"2.83800","0.23665","0.00024"
"2.84400","0.23719","0.00016"
"2.85000","0.23766","0.00011"
"2.85600","0.23814","0.00013"
"2.86200","0.23862","0.00014"
"2.86800","0.23916","0.00002"
"2.87400","0.23964","-0.00009"
"2.88000","0.24011","-0.00011"
"2.88600","0.24065","-0.00014"
"2.89200","0.24113","-0.00024"
"2.89800","0.24161","-0.00017"
"2.90400","0.24215","-0.00009"
"2.91000","0.24263","-0.00009"
"2.91600","0.24316","-0.00007"
"2.92200","0.24364","-0.00012"
"2.92800","0.24418","-0.00023"
"2.93400","0.24466","-0.00028"
"2.94000","0.24520","-0.00024"
"2.94600","0.24573","-0.00011"
"2.95200","0.24621","-0.00005"
"2.95800","0.24675","-0.00013"
"2.96400","0.24723","-0.00012"
"2.97000","0.24771","-0.00007"
"2.97600","0.24825","-0.00009"
"2.98200","0.24872","-0.00005"
"2.98800","0.24920","0.00003"
"2.99400","0.24968","0.00005"
"3.00000","0.25022","-0.00001"
"3.00600","0.25070","-0.00005"
"3.01200","0.25124","-0.00003"
"3.01800","0.25171","-0.00005"
"3.02400","0.25219","-0.00012"
"3.03000","0.25273","-0.00011"
"3.03600","0.25321","-0.00004"
"3.04200","0.25375","0.00001"
"3.04800","0.25423","0.00002"
"3.05400","0.25470","-0.00005"
"3.06000","0.25524","-0.00010"
"3.06600","0.25572","-0.00008"
"3.07200","0.25626","-0.00007"
"3.07800","0.25674","-0.00010"
"3.08400","0.25727","-0.00004"
"3.09000","0.25775","0.00002"
"3.09600","0.25829","0.00005"
"3.10200","0.25877","0.00008"
"3.10800","0.25925","0.00007"
"3.11400","0.25973","0.00003"
"3.12000","0.26026","-0.00005"
"3.12600","0.26074","-0.00015"
"3.13200","0.26122","-0.00019"
"3.13800","0.26170","-0.00016"
"3.14400","0.26224","-0.00015"
"3.15000","0.26272","-0.00011"
"3.15600","0.26319","-0.00013"
"3.16200","0.26373","-0.00010"
"3.16800","0.26421","0.00011"
"3.17400","0.26475","0.00022"
"3.18000","0.26523","0.00023"
"3.18600","0.26570","0.00020"
"3.19200","0.26624","0.00011"
"3.19800","0.26672","0.00012"
"3.20400","0.26726","0.00015"
"3.21000","0.26774","0.00013"
"3.21600","0.26822","0.00013"
"3.22200","0.26875","0.00015"
"3.22800","0.26929","0.00012"
"3.23400","0.26977","0.00005"
"3.24000","0.27031","-0.00004"
"3.24600","0.27079","-0.00012"
"3.25200","0.27127","-0.00012"
"3.25800","0.27174","-0.00011"
"3.26400","0.27228","-0.00006"
"3.27000","0.27276","-0.00009"
"3.27600","0.27324","-0.00006"
"3.28200","0.27372","0.00005"
"3.28800","0.27419","0.00012"
"3.29400","0.27473","0.00013"
"3.30000","0.27521","0.00006"
"3.30600","0.27569","0.00001"
"3.31200","0.27623","-0.00003"
"3.31800","0.27671","-0.00011"
"3.32400","0.27718","-0.00018"
"3.33000","0.27772","-0.00006"
"3.33600","0.27820","-0.00003"
"3.34200","0.27868","-0.00007"
"3.34800","0.27916","-0.00001"
"3.35400","0.27970","0.00007"
"3.36000","0.28017","0.00014"
"3.36600","0.28071","0.00024"
"3.37200","0.28119","0.00030"
"3.37800","0.28173","0.00037"
"3.38400","0.28221","0.00040"
"3.39000","0.28268","0.00045"
"3.39600","0.28322","0.00042"
"3.40200","0.28370","0.00036"
"3.40800","0.28418","0.00026"
"3.41400","0.28466","0.00022"
"3.42000","0.28514","0.00023"
"3.42600","0.28561","0.00013"
"3.43200","0.28615","0.00005"
"3.43800","0.28663","0.00004"
"3.44400","0.28711","-0.00001"
"3.45000","0.28765","-0.00003"
"3.45600","0.28813","-0.00009"
"3.46200","0.28860","-0.00019"
"3.46800","0.28914","-0.00025"
"3.47400","0.28962","-0.00032"
"3.48000","0.29016","-0.00025"
"3.48600","0.29064","-0.00015"
"3.49200","0.29118","-0.00019"
"3.49800","0.29171","-0.00017"
"3.50400","0.29219","-0.00018"
"3.51000","0.29273","-0.00019"
"3.51600","0.29327","-0.00014"
"3.52200","0.29375","-0.00009"
"3.52800","0.29428","-0.00004"
"3.53400","0.29476","0.00003"
"3.54000","0.29524","0.00002"
"3.54600","0.29578","0.00011"
"3.55200","0.29626","0.00019"
"3.55800","0.29674","0.00019"
"3.56400","0.29727","0.00027"
"3.57000","0.29775","0.00042"
"3.57600","0.29823","0.00041"
"3.58200","0.29877","0.00033"
"3.58800","0.29925","0.00026"
"3.59400","0.29972","0.00011"
"3.60000","0.30020","-0.00002"
"3.60600","0.30074","-0.00016"
"3.61200","0.30122","-0.00025"
"3.61800","0.30176","-0.00023"
"3.62400","0.30224","-0.00026"
"3.63000","0.30271","-0.00017"
"3.63600","0.30325","-0.00005"
"3.64200","0.30373","0.00001"
"3.64800","0.30427","0.00007"
"3.65400","0.30481","0.00003"
"3.66000","0.30529","0.00004"
"3.66600","0.30576","0.00012"
"3.67200","0.30630","0.00012"
"3.67800","0.30678","0.00004"
"3.68400","0.30726","-0.00005"
"3.69000","0.30774","-0.00014"
"3.69600","0.30827","-0.00016"
"3.70200","0.30875","-0.00010"
"3.70800","0.30923","-0.00006"
"3.71400","0.30971","0.00002"
"3.72000","0.31025","0.00013"
"3.72600","0.31073","0.00017"
"3.73200","0.31120","0.00016"
"3.73800","0.31174","0.00010"
"3.74400","0.31222","0.00003"
"3.75000","0.31270","0.00004"
"3.75600","0.31324","0.00009"
"3.76200","0.31372","0.00012"
"3.76800","0.31419","0.00015"
"3.77400","0.31473","0.00007"
"3.78000","0.31521","-0.00005"
"3.78600","0.31575","-0.00005"
"3.79200","0.31623","-0.00003"
"3.79800","0.31676","0.00005"
"3.80400","0.31724","0.00014"
