End date,"12/18/2016"
Specimen label,"16CT_29_run2"
Maximum Load,"0.16028",N

Time,Extension,Load
(s),(mm),(N)
"4.09800","10.60361","0.03661"
"4.10400","10.60409","0.03685"
"4.11000","10.60457","0.03700"
"4.11600","10.60511","0.03703"
"4.12200","10.60559","0.03700"
"4.12800","10.60607","0.03698"
"4.13400","10.60660","0.03708"
"4.14000","10.60708","0.03717"
"4.14600","10.60756","0.03724"
"4.15200","10.60804","0.03742"
"4.15800","10.60857","0.03741"
"4.16400","10.60905","0.03736"
"4.17000","10.60953","0.03734"
"4.17600","10.61007","0.03726"
"4.18200","10.61055","0.03715"
"4.18800","10.61109","0.03710"
"4.19400","10.61156","0.03688"
"4.20000","10.61204","0.03678"
"4.20600","10.61258","0.03674"
"4.21200","10.61306","0.03689"
"4.21800","10.61354","0.03709"
"4.22400","10.61408","0.03718"
"4.23000","10.61455","0.03729"
"4.23600","10.61503","0.03736"
"4.24200","10.61557","0.03733"
"4.24800","10.61605","0.03739"
"4.25400","10.61653","0.03753"
"4.26000","10.61701","0.03765"
"4.26600","10.61754","0.03777"
"4.27200","10.61802","0.03779"
"4.27800","10.61850","0.03776"
"4.28400","10.61904","0.03784"
"4.29000","10.61952","0.03800"
"4.29600","10.62000","0.03803"
"4.30200","10.62047","0.03797"
"4.30800","10.62101","0.03798"
"4.31400","10.62149","0.03813"
"4.32000","10.62197","0.03828"
"4.32600","10.62251","0.03840"
"4.33200","10.62299","0.03855"
"4.33800","10.62352","0.03854"
"4.34400","10.62400","0.03838"
"4.35000","10.62448","0.03828"
"4.35600","10.62502","0.03818"
"4.36200","10.62550","0.03825"
"4.36800","10.62603","0.03830"
"4.37400","10.62651","0.03820"
"4.38000","10.62699","0.03819"
"4.38600","10.62753","0.03829"
"4.39200","10.62801","0.03840"
"4.39800","10.62855","0.03845"
"4.40400","10.62902","0.03846"
"4.41000","10.62956","0.03844"
"4.41600","10.63004","0.03838"
"4.42200","10.63058","0.03834"
"4.42800","10.63106","0.03834"
"4.43400","10.63160","0.03834"
"4.44000","10.63207","0.03835"
"4.44600","10.63255","0.03841"
"4.45200","10.63309","0.03841"
"4.45800","10.63357","0.03842"
"4.46400","10.63405","0.03856"
"4.47000","10.63459","0.03866"
"4.47600","10.63506","0.03855"
"4.48200","10.63560","0.03844"
"4.48800","10.63608","0.03839"
"4.49400","10.63662","0.03834"
"4.50000","10.63710","0.03834"
"4.50600","10.63758","0.03833"
"4.51200","10.63811","0.03834"
"4.51800","10.63859","0.03841"
"4.52400","10.63907","0.03857"
"4.53000","10.63961","0.03879"
"4.53600","10.64009","0.03890"
"4.54200","10.64056","0.03897"
"4.54800","10.64110","0.03909"
"4.55400","10.64158","0.03908"
"4.56000","10.64212","0.03894"
"4.56600","10.64260","0.03879"
"4.57200","10.64314","0.03876"
"4.57800","10.64361","0.03890"
"4.58400","10.64409","0.03909"
"4.59000","10.64457","0.03937"
"4.59600","10.64505","0.03957"
"4.60200","10.64559","0.03961"
"4.60800","10.64606","0.03962"
"4.61400","10.64654","0.03975"
"4.62000","10.64702","0.03984"
"4.62600","10.64756","0.03994"
"4.63200","10.64804","0.03999"
"4.63800","10.64858","0.03988"
"4.64400","10.64905","0.03967"
"4.65000","10.64953","0.03957"
"4.65600","10.65001","0.03968"
"4.66200","10.65055","0.03987"
"4.66800","10.65103","0.04002"
"4.67400","10.65150","0.04006"
"4.68000","10.65204","0.04008"
"4.68600","10.65252","0.04003"
"4.69200","10.65300","0.03989"
"4.69800","10.65354","0.03980"
"4.70400","10.65402","0.03985"
"4.71000","10.65455","0.03983"
"4.71600","10.65509","0.03972"
"4.72200","10.65557","0.03979"
"4.72800","10.65605","0.03991"
"4.73400","10.65659","0.03998"
"4.74000","10.65706","0.04011"
"4.74600","10.65754","0.04024"
"4.75200","10.65802","0.04036"
"4.75800","10.65856","0.04047"
"4.76400","10.65904","0.04067"
"4.77000","10.65952","0.04077"
"4.77600","10.65999","0.04077"
"4.78200","10.66053","0.04071"
"4.78800","10.66101","0.04065"
"4.79400","10.66149","0.04070"
"4.80000","10.66197","0.04065"
"4.80600","10.66251","0.04059"
"4.81200","10.66298","0.04049"
"4.81800","10.66346","0.04045"
"4.82400","10.66400","0.04041"
"4.83000","10.66448","0.04048"
"4.83600","10.66502","0.04049"
"4.84200","10.66550","0.04034"
"4.84800","10.66597","0.04019"
"4.85400","10.66651","0.03996"
"4.86000","10.66699","0.03981"
"4.86600","10.66747","0.03983"
