End date,"12/18/2016"
Specimen label,"16AT_26_run2"
Maximum Load,"0.19149",N

Time,Extension,Load
(s),(mm),(N)
"1.88400","0.15719","0.00079"
"1.89000","0.15766","0.00073"
"1.89600","0.15820","0.00058"
"1.90200","0.15868","0.00053"
"1.90800","0.15916","0.00056"
"1.91400","0.15964","0.00052"
"1.92000","0.16012","0.00053"
"1.92600","0.16065","0.00058"
"1.93200","0.16113","0.00061"
"1.93800","0.16161","0.00065"
"1.94400","0.16215","0.00071"
"1.95000","0.16263","0.00085"
"1.95600","0.16311","0.00094"
"1.96200","0.16364","0.00092"
"1.96800","0.16412","0.00095"
"1.97400","0.16466","0.00098"
"1.98000","0.16514","0.00085"
"1.98600","0.16568","0.00078"
"1.99200","0.16616","0.00086"
"1.99800","0.16669","0.00089"
"2.00400","0.16717","0.00093"
"2.01000","0.16765","0.00096"
"2.01600","0.16819","0.00099"
"2.02200","0.16867","0.00102"
"2.02800","0.16920","0.00096"
"2.03400","0.16968","0.00094"
"2.04000","0.17016","0.00100"
"2.04600","0.17064","0.00088"
"2.05200","0.17118","0.00081"
"2.05800","0.17166","0.00094"
"2.06400","0.17213","0.00103"
"2.07000","0.17261","0.00114"
"2.07600","0.17315","0.00123"
"2.08200","0.17363","0.00119"
"2.08800","0.17411","0.00112"
"2.09400","0.17465","0.00097"
"2.10000","0.17512","0.00084"
"2.10600","0.17566","0.00083"
"2.11200","0.17614","0.00077"
"2.11800","0.17662","0.00083"
"2.12400","0.17716","0.00096"
"2.13000","0.17763","0.00096"
"2.13600","0.17817","0.00096"
"2.14200","0.17865","0.00097"
"2.14800","0.17919","0.00099"
"2.15400","0.17967","0.00097"
"2.16000","0.18015","0.00083"
"2.16600","0.18068","0.00070"
"2.17200","0.18116","0.00060"
"2.17800","0.18164","0.00057"
"2.18400","0.18218","0.00067"
"2.19000","0.18266","0.00083"
"2.19600","0.18314","0.00090"
"2.20200","0.18361","0.00101"
"2.20800","0.18415","0.00110"
"2.21400","0.18463","0.00108"
"2.22000","0.18511","0.00094"
"2.22600","0.18559","0.00087"
"2.23200","0.18612","0.00076"
"2.23800","0.18660","0.00074"
"2.24400","0.18708","0.00075"
"2.25000","0.18756","0.00086"
"2.25600","0.18810","0.00086"
"2.26200","0.18858","0.00076"
"2.26800","0.18911","0.00081"
"2.27400","0.18959","0.00083"
"2.28000","0.19013","0.00071"
"2.28600","0.19067","0.00059"
"2.29200","0.19115","0.00062"
"2.29800","0.19169","0.00065"
"2.30400","0.19216","0.00068"
"2.31000","0.19264","0.00064"
"2.31600","0.19312","0.00068"
"2.32200","0.19366","0.00081"
"2.32800","0.19414","0.00088"
"2.33400","0.19461","0.00094"
"2.34000","0.19509","0.00096"
"2.34600","0.19563","0.00081"
"2.35200","0.19611","0.00065"
"2.35800","0.19665","0.00054"
"2.36400","0.19713","0.00046"
"2.37000","0.19766","0.00044"
"2.37600","0.19814","0.00048"
"2.38200","0.19868","0.00060"
"2.38800","0.19916","0.00070"
"2.39400","0.19964","0.00071"
"2.40000","0.20018","0.00072"
"2.40600","0.20065","0.00076"
"2.41200","0.20119","0.00073"
"2.41800","0.20167","0.00066"
"2.42400","0.20221","0.00053"
"2.43000","0.20269","0.00045"
"2.43600","0.20322","0.00044"
"2.44200","0.20370","0.00054"
"2.44800","0.20418","0.00067"
"2.45400","0.20472","0.00074"
"2.46000","0.20520","0.00074"
"2.46600","0.20568","0.00076"
"2.47200","0.20615","0.00079"
"2.47800","0.20663","0.00075"
"2.48400","0.20717","0.00085"
"2.49000","0.20765","0.00094"
"2.49600","0.20813","0.00097"
"2.50200","0.20867","0.00108"
"2.50800","0.20914","0.00120"
"2.51400","0.20968","0.00113"
"2.52000","0.21016","0.00105"
"2.52600","0.21064","0.00093"
"2.53200","0.21118","0.00090"
"2.53800","0.21165","0.00090"
"2.54400","0.21213","0.00087"
"2.55000","0.21267","0.00089"
"2.55600","0.21315","0.00100"
"2.56200","0.21369","0.00102"
"2.56800","0.21417","0.00109"
"2.57400","0.21470","0.00118"
"2.58000","0.21518","0.00117"
"2.58600","0.21572","0.00119"
"2.59200","0.21620","0.00119"
"2.59800","0.21668","0.00114"
"2.60400","0.21716","0.00112"
"2.61000","0.21769","0.00110"
"2.61600","0.21817","0.00112"
"2.62200","0.21865","0.00126"
"2.62800","0.21913","0.00127"
"2.63400","0.21967","0.00130"
"2.64000","0.22015","0.00136"
"2.64600","0.22062","0.00128"
"2.65200","0.22110","0.00114"
"2.65800","0.22164","0.00105"
"2.66400","0.22212","0.00096"
"2.67000","0.22266","0.00087"
"2.67600","0.22313","0.00081"
"2.68200","0.22361","0.00079"
"2.68800","0.22415","0.00074"
"2.69400","0.22463","0.00069"
"2.70000","0.22517","0.00068"
"2.70600","0.22565","0.00074"
"2.71200","0.22612","0.00077"
"2.71800","0.22666","0.00072"
"2.72400","0.22714","0.00069"
"2.73000","0.22768","0.00076"
"2.73600","0.22816","0.00088"
"2.74200","0.22869","0.00097"
"2.74800","0.22917","0.00103"
"2.75400","0.22965","0.00105"
"2.76000","0.23013","0.00097"
"2.76600","0.23067","0.00093"
"2.77200","0.23115","0.00091"
"2.77800","0.23162","0.00085"
"2.78400","0.23216","0.00085"
"2.79000","0.23264","0.00094"
"2.79600","0.23312","0.00106"
"2.80200","0.23366","0.00113"
"2.80800","0.23414","0.00122"
"2.81400","0.23461","0.00122"
"2.82000","0.23515","0.00123"
"2.82600","0.23563","0.00118"
"2.83200","0.23617","0.00112"
"2.83800","0.23665","0.00113"
"2.84400","0.23719","0.00111"
"2.85000","0.23766","0.00103"
"2.85600","0.23820","0.00093"
"2.86200","0.23868","0.00081"
"2.86800","0.23922","0.00077"
"2.87400","0.23970","0.00084"
"2.88000","0.24017","0.00086"
"2.88600","0.24071","0.00099"
"2.89200","0.24119","0.00110"
"2.89800","0.24167","0.00120"
"2.90400","0.24215","0.00125"
"2.91000","0.24269","0.00123"
"2.91600","0.24316","0.00124"
"2.92200","0.24370","0.00127"
"2.92800","0.24418","0.00123"
"2.93400","0.24466","0.00122"
"2.94000","0.24520","0.00119"
"2.94600","0.24568","0.00111"
"2.95200","0.24615","0.00104"
"2.95800","0.24669","0.00106"
"2.96400","0.24717","0.00107"
"2.97000","0.24765","0.00111"
"2.97600","0.24819","0.00113"
"2.98200","0.24866","0.00107"
"2.98800","0.24920","0.00103"
"2.99400","0.24968","0.00098"
"3.00000","0.25022","0.00095"
"3.00600","0.25070","0.00090"
"3.01200","0.25124","0.00082"
"3.01800","0.25171","0.00097"
"3.02400","0.25225","0.00104"
"3.03000","0.25273","0.00104"
"3.03600","0.25321","0.00108"
"3.04200","0.25375","0.00114"
"3.04800","0.25423","0.00114"
"3.05400","0.25470","0.00113"
"3.06000","0.25524","0.00108"
"3.06600","0.25572","0.00107"
"3.07200","0.25620","0.00114"
"3.07800","0.25668","0.00116"
"3.08400","0.25715","0.00125"
"3.09000","0.25769","0.00146"
"3.09600","0.25817","0.00152"
"3.10200","0.25865","0.00150"
"3.10800","0.25913","0.00154"
"3.11400","0.25967","0.00145"
"3.12000","0.26014","0.00142"
"3.12600","0.26062","0.00139"
"3.13200","0.26116","0.00138"
"3.13800","0.26164","0.00143"
"3.14400","0.26218","0.00136"
"3.15000","0.26266","0.00133"
