End date,"12/18/2016"
Specimen label,"16AT_26"
Maximum Load,"0.01147",N

Time,Extension,Load
(s),(mm),(N)
"1.85400","0.98342","0.01071"
"1.86000","0.98390","0.01064"
"1.86600","0.98437","0.01061"
"1.87200","0.98491","0.01069"
"1.87800","0.98539","0.01074"
"1.88400","0.98587","0.01070"
"1.89000","0.98635","0.01058"
"1.89600","0.98683","0.01062"
"1.90200","0.98736","0.01065"
"1.90800","0.98784","0.01065"
"1.91400","0.98832","0.01073"
"1.92000","0.98886","0.01080"
"1.92600","0.98934","0.01077"
"1.93200","0.98982","0.01080"
"1.93800","0.99035","0.01083"
"1.94400","0.99083","0.01077"
"1.95000","0.99137","0.01071"
"1.95600","0.99185","0.01064"
"1.96200","0.99239","0.01066"
"1.96800","0.99292","0.01062"
"1.97400","0.99340","0.01058"
"1.98000","0.99394","0.01061"
"1.98600","0.99442","0.01065"
"1.99200","0.99496","0.01064"
"1.99800","0.99544","0.01063"
"2.00400","0.99597","0.01068"
"2.01000","0.99645","0.01080"
"2.01600","0.99699","0.01094"
"2.02200","0.99747","0.01095"
"2.02800","0.99795","0.01091"
"2.03400","0.99849","0.01087"
"2.04000","0.99896","0.01082"
"2.04600","0.99950","0.01080"
"2.05200","0.99998","0.01071"
"2.05800","1.00046","0.01063"
"2.06400","1.00100","0.01070"
"2.07000","1.00147","0.01078"
"2.07600","1.00195","0.01074"
"2.08200","1.00249","0.01074"
"2.08800","1.00297","0.01077"
"2.09400","1.00345","0.01084"
"2.10000","1.00393","0.01098"
"2.10600","1.00446","0.01102"
"2.11200","1.00494","0.01104"
"2.11800","1.00542","0.01105"
"2.12400","1.00596","0.01099"
"2.13000","1.00644","0.01089"
"2.13600","1.00698","0.01075"
"2.14200","1.00745","0.01060"
"2.14800","1.00799","0.01051"
"2.15400","1.00847","0.01039"
"2.16000","1.00895","0.01034"
"2.16600","1.00949","0.01040"
"2.17200","1.00996","0.01046"
"2.17800","1.01044","0.01051"
"2.18400","1.01092","0.01060"
"2.19000","1.01146","0.01067"
"2.19600","1.01194","0.01072"
"2.20200","1.01242","0.01078"
"2.20800","1.01295","0.01076"
"2.21400","1.01343","0.01077"
"2.22000","1.01391","0.01073"
"2.22600","1.01445","0.01068"
"2.23200","1.01493","0.01066"
"2.23800","1.01541","0.01061"
"2.24400","1.01588","0.01059"
"2.25000","1.01642","0.01061"
"2.25600","1.01690","0.01059"
"2.26200","1.01738","0.01063"
"2.26800","1.01792","0.01069"
"2.27400","1.01840","0.01070"
"2.28000","1.01893","0.01073"
"2.28600","1.01947","0.01072"
"2.29200","1.01995","0.01071"
"2.29800","1.02043","0.01078"
"2.30400","1.02097","0.01083"
"2.31000","1.02144","0.01079"
"2.31600","1.02192","0.01084"
"2.32200","1.02246","0.01091"
"2.32800","1.02294","0.01091"
"2.33400","1.02342","0.01093"
"2.34000","1.02390","0.01088"
"2.34600","1.02443","0.01088"
"2.35200","1.02491","0.01082"
"2.35800","1.02539","0.01072"
"2.36400","1.02587","0.01073"
"2.37000","1.02641","0.01075"
"2.37600","1.02689","0.01076"
"2.38200","1.02736","0.01079"
"2.38800","1.02790","0.01080"
"2.39400","1.02838","0.01077"
"2.40000","1.02886","0.01075"
"2.40600","1.02940","0.01072"
"2.41200","1.02987","0.01079"
"2.41800","1.03041","0.01087"
"2.42400","1.03089","0.01083"
"2.43000","1.03143","0.01087"
"2.43600","1.03191","0.01092"
"2.44200","1.03239","0.01094"
"2.44800","1.03292","0.01099"
"2.45400","1.03340","0.01102"
"2.46000","1.03394","0.01096"
"2.46600","1.03442","0.01092"
"2.47200","1.03490","0.01089"
"2.47800","1.03544","0.01081"
"2.48400","1.03591","0.01077"
"2.49000","1.03639","0.01070"
"2.49600","1.03687","0.01069"
"2.50200","1.03735","0.01070"
"2.50800","1.03789","0.01069"
"2.51400","1.03836","0.01077"
"2.52000","1.03884","0.01091"
"2.52600","1.03938","0.01096"
"2.53200","1.03986","0.01099"
"2.53800","1.04034","0.01099"
"2.54400","1.04088","0.01090"
"2.55000","1.04135","0.01080"
"2.55600","1.04189","0.01070"
"2.56200","1.04237","0.01062"
"2.56800","1.04291","0.01062"
"2.57400","1.04345","0.01059"
"2.58000","1.04393","0.01064"
"2.58600","1.04446","0.01062"
"2.59200","1.04494","0.01053"
"2.59800","1.04548","0.01053"
"2.60400","1.04596","0.01063"
"2.61000","1.04650","0.01078"
"2.61600","1.04697","0.01090"
"2.62200","1.04745","0.01092"
"2.62800","1.04793","0.01089"
"2.63400","1.04847","0.01087"
"2.64000","1.04895","0.01082"
"2.64600","1.04943","0.01081"
"2.65200","1.04990","0.01087"
"2.65800","1.05044","0.01090"
"2.66400","1.05092","0.01097"
"2.67000","1.05140","0.01100"
"2.67600","1.05194","0.01100"
"2.68200","1.05242","0.01099"
"2.68800","1.05295","0.01096"
"2.69400","1.05343","0.01098"
"2.70000","1.05397","0.01105"
"2.70600","1.05445","0.01104"
"2.71200","1.05499","0.01098"
"2.71800","1.05546","0.01094"
"2.72400","1.05600","0.01088"
"2.73000","1.05648","0.01089"
"2.73600","1.05696","0.01076"
"2.74200","1.05750","0.01061"
"2.74800","1.05798","0.01061"
"2.75400","1.05845","0.01057"
"2.76000","1.05899","0.01057"
"2.76600","1.05947","0.01070"
"2.77200","1.05995","0.01088"
"2.77800","1.06043","0.01097"
"2.78400","1.06091","0.01096"
"2.79000","1.06144","0.01091"
"2.79600","1.06192","0.01094"
"2.80200","1.06240","0.01097"
"2.80800","1.06288","0.01095"
"2.81400","1.06342","0.01107"
"2.82000","1.06389","0.01109"
"2.82600","1.06437","0.01103"
"2.83200","1.06485","0.01104"
"2.83800","1.06539","0.01096"
"2.84400","1.06587","0.01088"
"2.85000","1.06641","0.01086"
"2.85600","1.06688","0.01082"
"2.86200","1.06736","0.01080"
"2.86800","1.06790","0.01079"
"2.87400","1.06838","0.01074"
"2.88000","1.06886","0.01073"
"2.88600","1.06934","0.01073"
"2.89200","1.06987","0.01072"
"2.89800","1.07035","0.01079"
"2.90400","1.07083","0.01080"
"2.91000","1.07131","0.01074"
"2.91600","1.07185","0.01067"
"2.92200","1.07233","0.01065"
"2.92800","1.07280","0.01076"
"2.93400","1.07334","0.01086"
"2.94000","1.07382","0.01086"
"2.94600","1.07436","0.01090"
"2.95200","1.07484","0.01094"
"2.95800","1.07537","0.01095"
"2.96400","1.07585","0.01103"
"2.97000","1.07633","0.01111"
"2.97600","1.07687","0.01108"
"2.98200","1.07735","0.01108"
"2.98800","1.07783","0.01108"
"2.99400","1.07836","0.01115"
"3.00000","1.07884","0.01132"
"3.00600","1.07938","0.01137"
"3.01200","1.07992","0.01134"
"3.01800","1.08040","0.01129"
"3.02400","1.08094","0.01117"
"3.03000","1.08141","0.01111"
"3.03600","1.08189","0.01103"
"3.04200","1.08243","0.01102"
"3.04800","1.08291","0.01112"
"3.05400","1.08339","0.01119"
"3.06000","1.08386","0.01114"
"3.06600","1.08434","0.01111"
"3.07200","1.08488","0.01107"
"3.07800","1.08536","0.01098"
"3.08400","1.08590","0.01084"
"3.09000","1.08638","0.01074"
"3.09600","1.08691","0.01084"
"3.10200","1.08739","0.01096"
"3.10800","1.08793","0.01104"
"3.11400","1.08841","0.01118"
"3.12000","1.08889","0.01129"
"3.12600","1.08943","0.01134"
"3.13200","1.08990","0.01144"
"3.13800","1.09038","0.01145"
"3.14400","1.09092","0.01140"
"3.15000","1.09140","0.01133"
"3.15600","1.09194","0.01120"
"3.16200","1.09241","0.01109"
"3.16800","1.09289","0.01104"
"3.17400","1.09343","0.01096"
"3.18000","1.09391","0.01091"
"3.18600","1.09445","0.01086"
"3.19200","1.09493","0.01087"
"3.19800","1.09540","0.01100"
"3.20400","1.09594","0.01109"
"3.21000","1.09642","0.01108"
"3.21600","1.09696","0.01116"
"3.22200","1.09744","0.01119"
"3.22800","1.09792","0.01122"
"3.23400","1.09845","0.01129"
"3.24000","1.09893","0.01129"
"3.24600","1.09947","0.01121"
"3.25200","1.09995","0.01103"
"3.25800","1.10049","0.01085"
"3.26400","1.10096","0.01077"
"3.27000","1.10144","0.01072"
"3.27600","1.10198","0.01065"
"3.28200","1.10246","0.01067"
"3.28800","1.10294","0.01069"
"3.29400","1.10348","0.01076"
"3.30000","1.10395","0.01090"
"3.30600","1.10443","0.01102"
"3.31200","1.10497","0.01107"
"3.31800","1.10545","0.01112"
"3.32400","1.10593","0.01122"
"3.33000","1.10647","0.01135"
"3.33600","1.10694","0.01142"
"3.34200","1.10742","0.01133"
"3.34800","1.10796","0.01131"
"3.35400","1.10844","0.01123"
"3.36000","1.10892","0.01111"
"3.36400","1.10928","0.01107"
