End date,"12/18/2016"
Specimen label,"16DG_31_run2"
Maximum Load,"0.05678",N

Time,Extension,Load
(s),(mm),(N)
"1.86000","39.55454","0.01729"
"1.86600","39.55508","0.01729"
"1.87200","39.55556","0.01733"
"1.87800","39.55603","0.01745"
"1.88400","39.55651","0.01749"
"1.89000","39.55700","0.01750"
"1.89600","39.55753","0.01768"
"1.90200","39.55801","0.01775"
"1.90800","39.55849","0.01773"
"1.91400","39.55903","0.01777"
"1.92000","39.55951","0.01778"
"1.92600","39.55998","0.01785"
"1.93200","39.56052","0.01778"
"1.93800","39.56100","0.01764"
"1.94400","39.56154","0.01766"
"1.95000","39.56202","0.01774"
"1.95600","39.56249","0.01778"
"1.96200","39.56303","0.01784"
"1.96800","39.56351","0.01777"
"1.97400","39.56405","0.01772"
"1.98000","39.56459","0.01765"
"1.98600","39.56506","0.01761"
"1.99200","39.56554","0.01748"
"1.99800","39.56608","0.01734"
"2.00400","39.56656","0.01730"
"2.01000","39.56709","0.01740"
"2.01600","39.56758","0.01753"
"2.02200","39.56805","0.01761"
"2.02800","39.56853","0.01784"
"2.03400","39.56907","0.01804"
"2.04000","39.56955","0.01811"
"2.04600","39.57003","0.01807"
"2.05200","39.57050","0.01803"
"2.05800","39.57104","0.01796"
"2.06400","39.57153","0.01786"
"2.07000","39.57200","0.01782"
"2.07600","39.57248","0.01781"
"2.08200","39.57302","0.01782"
"2.08800","39.57350","0.01779"
"2.09400","39.57397","0.01791"
"2.10000","39.57445","0.01803"
"2.10600","39.57499","0.01802"
"2.11200","39.57547","0.01805"
"2.11800","39.57601","0.01814"
"2.12400","39.57648","0.01822"
"2.13000","39.57702","0.01825"
"2.13600","39.57750","0.01825"
"2.14200","39.57804","0.01835"
"2.14800","39.57852","0.01844"
"2.15400","39.57905","0.01837"
"2.16000","39.57954","0.01837"
"2.16600","39.58001","0.01833"
"2.17200","39.58049","0.01817"
"2.17800","39.58103","0.01807"
"2.18400","39.58151","0.01798"
"2.19000","39.58199","0.01795"
"2.19600","39.58246","0.01786"
"2.20200","39.58300","0.01786"
"2.20800","39.58348","0.01788"
"2.21400","39.58396","0.01802"
"2.22000","39.58450","0.01811"
"2.22600","39.58498","0.01825"
"2.23200","39.58551","0.01837"
"2.23800","39.58599","0.01839"
"2.24400","39.58653","0.01838"
"2.25000","39.58701","0.01837"
"2.25600","39.58755","0.01828"
"2.26200","39.58803","0.01816"
"2.26800","39.58856","0.01815"
"2.27400","39.58910","0.01824"
"2.28000","39.58958","0.01841"
"2.28600","39.59012","0.01859"
"2.29200","39.59060","0.01875"
"2.29800","39.59107","0.01887"
"2.30400","39.59161","0.01887"
"2.31000","39.59209","0.01877"
"2.31600","39.59257","0.01862"
"2.32200","39.59305","0.01852"
"2.32800","39.59352","0.01860"
"2.33400","39.59407","0.01865"
"2.34000","39.59454","0.01867"
"2.34600","39.59502","0.01865"
"2.35200","39.59550","0.01866"
"2.35800","39.59598","0.01872"
"2.36400","39.59652","0.01879"
"2.37000","39.59699","0.01885"
"2.37600","39.59747","0.01895"
"2.38200","39.59801","0.01898"
"2.38800","39.59849","0.01899"
"2.39400","39.59902","0.01905"
"2.40000","39.59950","0.01902"
"2.40600","39.59998","0.01888"
"2.41200","39.60052","0.01871"
"2.41800","39.60099","0.01857"
"2.42400","39.60154","0.01856"
"2.43000","39.60202","0.01864"
"2.43600","39.60255","0.01868"
"2.44200","39.60303","0.01870"
"2.44800","39.60351","0.01870"
"2.45400","39.60399","0.01869"
"2.46000","39.60453","0.01881"
"2.46600","39.60501","0.01896"
"2.47200","39.60548","0.01907"
"2.47800","39.60602","0.01921"
"2.48400","39.60650","0.01931"
"2.49000","39.60697","0.01921"
"2.49600","39.60746","0.01922"
"2.50200","39.60799","0.01926"
"2.50800","39.60847","0.01933"
"2.51400","39.60901","0.01927"
"2.52000","39.60949","0.01923"
"2.52600","39.60997","0.01909"
"2.53200","39.61050","0.01897"
"2.53800","39.61098","0.01888"
"2.54400","39.61152","0.01887"
"2.55000","39.61200","0.01884"
"2.55600","39.61254","0.01872"
"2.56200","39.61301","0.01873"
"2.56800","39.61355","0.01876"
"2.57400","39.61403","0.01875"
"2.58000","39.61451","0.01882"
"2.58600","39.61505","0.01893"
"2.59200","39.61552","0.01908"
"2.59800","39.61601","0.01914"
"2.60400","39.61649","0.01910"
"2.61000","39.61697","0.01910"
"2.61600","39.61750","0.01914"
"2.62200","39.61798","0.01920"
"2.62800","39.61846","0.01928"
"2.63400","39.61899","0.01938"
"2.64000","39.61947","0.01935"
"2.64600","39.61995","0.01928"
"2.65200","39.62049","0.01931"
"2.65800","39.62096","0.01936"
"2.66400","39.62144","0.01940"
"2.67000","39.62199","0.01941"
"2.67600","39.62246","0.01938"
"2.68200","39.62294","0.01942"
"2.68800","39.62348","0.01945"
"2.69400","39.62402","0.01945"
"2.70000","39.62450","0.01945"
"2.70600","39.62503","0.01935"
"2.71200","39.62551","0.01928"
"2.71800","39.62605","0.01928"
"2.72400","39.62653","0.01920"
"2.73000","39.62701","0.01900"
"2.73600","39.62748","0.01872"
"2.74200","39.62802","0.01860"
"2.74800","39.62850","0.01858"
"2.75400","39.62898","0.01849"
"2.76000","39.62946","0.01847"
"2.76600","39.63000","0.01847"
"2.77200","39.63048","0.01853"
"2.77800","39.63101","0.01859"
"2.78400","39.63149","0.01869"
"2.79000","39.63203","0.01876"
"2.79600","39.63251","0.01885"
"2.80200","39.63299","0.01893"
"2.80800","39.63352","0.01897"
"2.81400","39.63400","0.01896"
"2.82000","39.63448","0.01897"
"2.82600","39.63502","0.01903"
"2.83200","39.63549","0.01908"
"2.83800","39.63604","0.01903"
"2.84400","39.63652","0.01905"
"2.85000","39.63705","0.01915"
"2.85600","39.63753","0.01920"
"2.86200","39.63807","0.01925"
"2.86800","39.63855","0.01937"
"2.87400","39.63903","0.01945"
"2.88000","39.63950","0.01961"
"2.88600","39.64004","0.01966"
"2.89200","39.64052","0.01971"
"2.89800","39.64100","0.01967"
"2.90400","39.64154","0.01958"
"2.91000","39.64201","0.01960"
"2.91600","39.64249","0.01970"
"2.92200","39.64303","0.01967"
"2.92800","39.64351","0.01972"
"2.93400","39.64405","0.01974"
"2.94000","39.64452","0.01968"
"2.94600","39.64507","0.01963"
"2.95200","39.64554","0.01949"
"2.95800","39.64602","0.01936"
"2.96400","39.64655","0.01933"
"2.97000","39.64704","0.01946"
