End date,"1/22/2017"
Specimen label,"18BG_46 run 2"
Maximum Load,"0.06005",N

Time,Extension,Load
(s),(mm),(N)
"1.75200","29.54327","0.04731"
"1.75800","29.54374","0.04715"
"1.76400","29.54422","0.04704"
"1.77000","29.54470","0.04697"
"1.77600","29.54524","0.04700"
"1.78200","29.54572","0.04701"
"1.78800","29.54619","0.04712"
"1.79400","29.54673","0.04728"
"1.80000","29.54721","0.04740"
"1.80600","29.54769","0.04749"
"1.81200","29.54823","0.04762"
"1.81800","29.54870","0.04772"
"1.82400","29.54918","0.04774"
"1.83000","29.54966","0.04767"
"1.83600","29.55020","0.04752"
"1.84200","29.55068","0.04749"
"1.84800","29.55116","0.04742"
"1.85400","29.55169","0.04733"
"1.86000","29.55217","0.04730"
"1.86600","29.55265","0.04734"
"1.87200","29.55319","0.04748"
"1.87800","29.55373","0.04755"
"1.88400","29.55421","0.04747"
"1.89000","29.55468","0.04737"
"1.89600","29.55522","0.04737"
"1.90200","29.55570","0.04736"
"1.90800","29.55618","0.04735"
"1.91400","29.55666","0.04726"
"1.92000","29.55720","0.04718"
"1.92600","29.55767","0.04709"
"1.93200","29.55815","0.04711"
"1.93800","29.55863","0.04723"
"1.94400","29.55917","0.04746"
"1.95000","29.55965","0.04761"
"1.95600","29.56013","0.04761"
"1.96200","29.56066","0.04754"
"1.96800","29.56114","0.04744"
"1.97400","29.56162","0.04730"
"1.98000","29.56216","0.04716"
"1.98600","29.56264","0.04717"
"1.99200","29.56311","0.04724"
"1.99800","29.56365","0.04731"
"2.00400","29.56413","0.04740"
"2.01000","29.56467","0.04760"
"2.01600","29.56515","0.04769"
"2.02200","29.56569","0.04770"
"2.02800","29.56617","0.04770"
"2.03400","29.56670","0.04760"
"2.04000","29.56718","0.04753"
"2.04600","29.56766","0.04740"
"2.05200","29.56820","0.04722"
"2.05800","29.56867","0.04701"
"2.06400","29.56915","0.04687"
"2.07000","29.56969","0.04682"
"2.07600","29.57017","0.04672"
"2.08200","29.57065","0.04659"
"2.08800","29.57119","0.04655"
"2.09400","29.57166","0.04654"
"2.10000","29.57214","0.04656"
"2.10600","29.57262","0.04660"
"2.11200","29.57316","0.04670"
"2.11800","29.57364","0.04690"
"2.12400","29.57418","0.04715"
"2.13000","29.57465","0.04744"
"2.13600","29.57513","0.04758"
"2.14200","29.57567","0.04760"
"2.14800","29.57615","0.04759"
"2.15400","29.57668","0.04764"
"2.16000","29.57717","0.04756"
"2.16600","29.57770","0.04736"
"2.17200","29.57818","0.04723"
"2.17800","29.57872","0.04715"
"2.18400","29.57920","0.04710"
"2.19000","29.57974","0.04709"
"2.19600","29.58021","0.04714"
"2.20200","29.58069","0.04722"
"2.20800","29.58117","0.04730"
"2.21400","29.58171","0.04739"
"2.22000","29.58219","0.04749"
"2.22600","29.58266","0.04756"
"2.23200","29.58320","0.04753"
"2.23800","29.58368","0.04759"
"2.24400","29.58416","0.04749"
"2.25000","29.58470","0.04746"
"2.25600","29.58518","0.04743"
"2.26200","29.58572","0.04732"
"2.26800","29.58619","0.04719"
"2.27400","29.58667","0.04714"
"2.28000","29.58721","0.04717"
"2.28600","29.58769","0.04727"
"2.29200","29.58823","0.04730"
"2.29800","29.58876","0.04718"
"2.30400","29.58924","0.04702"
"2.31000","29.58972","0.04693"
"2.31600","29.59026","0.04698"
"2.32200","29.59074","0.04718"
"2.32800","29.59122","0.04735"
"2.33400","29.59175","0.04735"
"2.34000","29.59223","0.04736"
"2.34600","29.59271","0.04744"
"2.35200","29.59319","0.04757"
"2.35800","29.59373","0.04767"
"2.36400","29.59421","0.04758"
"2.37000","29.59468","0.04761"
"2.37600","29.59516","0.04772"
"2.38200","29.59570","0.04773"
"2.38800","29.59618","0.04773"
"2.39400","29.59666","0.04768"
"2.40000","29.59713","0.04765"
"2.40600","29.59767","0.04755"
"2.41200","29.59815","0.04742"
"2.41800","29.59863","0.04733"
"2.42400","29.59917","0.04731"
"2.43000","29.59965","0.04739"
"2.43600","29.60018","0.04744"
"2.44200","29.60066","0.04749"
"2.44800","29.60120","0.04749"
"2.45400","29.60168","0.04744"
"2.46000","29.60222","0.04748"
"2.46600","29.60270","0.04754"
"2.47200","29.60317","0.04757"
"2.47800","29.60365","0.04759"
"2.48400","29.60413","0.04765"
"2.49000","29.60467","0.04771"
"2.49600","29.60515","0.04771"
"2.50200","29.60563","0.04762"
"2.50800","29.60610","0.04750"
"2.51400","29.60664","0.04742"
"2.52000","29.60712","0.04751"
"2.52600","29.60760","0.04763"
"2.53200","29.60814","0.04773"
"2.53800","29.60861","0.04772"
"2.54400","29.60909","0.04770"
"2.55000","29.60963","0.04766"
"2.55600","29.61011","0.04768"
"2.56200","29.61059","0.04771"
"2.56800","29.61113","0.04779"
"2.57400","29.61160","0.04783"
"2.58000","29.61214","0.04773"
"2.58600","29.61262","0.04762"
"2.59200","29.61316","0.04760"
"2.59800","29.61370","0.04765"
"2.60400","29.61418","0.04765"
"2.61000","29.61472","0.04757"
"2.61600","29.61519","0.04739"
"2.62200","29.61567","0.04729"
"2.62800","29.61621","0.04727"
"2.63400","29.61669","0.04726"
"2.64000","29.61717","0.04730"
"2.64600","29.61764","0.04747"
"2.65200","29.61818","0.04751"
"2.65800","29.61866","0.04743"
"2.66400","29.61914","0.04742"
"2.67000","29.61967","0.04740"
"2.67600","29.62016","0.04743"
"2.68200","29.62069","0.04740"
"2.68800","29.62117","0.04740"
"2.69400","29.62165","0.04745"
"2.70000","29.62219","0.04747"
"2.70600","29.62267","0.04746"
"2.71200","29.62320","0.04753"
"2.71800","29.62368","0.04756"
"2.72400","29.62422","0.04752"
"2.73000","29.62470","0.04755"
"2.73600","29.62524","0.04758"
"2.74200","29.62572","0.04762"
"2.74800","29.62625","0.04765"
"2.75400","29.62673","0.04774"
"2.76000","29.62721","0.04787"
"2.76600","29.62775","0.04785"
"2.77200","29.62823","0.04773"
"2.77800","29.62871","0.04772"
"2.78400","29.62924","0.04763"
"2.79000","29.62972","0.04758"
"2.79600","29.63020","0.04764"
"2.80200","29.63068","0.04772"
"2.80800","29.63122","0.04770"
"2.81400","29.63169","0.04776"
"2.82000","29.63217","0.04788"
"2.82600","29.63271","0.04793"
"2.83200","29.63319","0.04795"
"2.83800","29.63372","0.04794"
"2.84400","29.63420","0.04788"
"2.85000","29.63468","0.04784"
"2.85600","29.63522","0.04781"
"2.86200","29.63570","0.04785"
"2.86800","29.63624","0.04787"
"2.87400","29.63677","0.04781"
"2.88000","29.63725","0.04777"
"2.88600","29.63773","0.04769"
"2.89200","29.63827","0.04765"
"2.89800","29.63875","0.04759"
"2.90400","29.63923","0.04761"
"2.91000","29.63976","0.04765"
"2.91600","29.64024","0.04760"
"2.92200","29.64072","0.04757"
"2.92800","29.64120","0.04771"
"2.93400","29.64174","0.04775"
"2.94000","29.64222","0.04769"
"2.94600","29.64269","0.04760"
"2.95200","29.64318","0.04750"
"2.95800","29.64371","0.04745"
"2.96400","29.64419","0.04745"
"2.97000","29.64467","0.04757"
"2.97600","29.64515","0.04771"
"2.98200","29.64568","0.04778"
"2.98800","29.64616","0.04789"
"2.99400","29.64664","0.04811"
"3.00000","29.64718","0.04825"
"3.00600","29.64766","0.04828"
"3.01200","29.64813","0.04833"
"3.01800","29.64867","0.04831"
"3.02400","29.64915","0.04829"
"3.03000","29.64969","0.04840"
"3.03600","29.65017","0.04850"
"3.04200","29.65065","0.04851"
"3.04800","29.65119","0.04842"
"3.05400","29.65166","0.04832"
"3.06000","29.65220","0.04820"
"3.06600","29.65268","0.04797"
