End date,"11/14/2016"
Specimen label,"20BT63.2"
Maximum Load,"0.14899",N

Time,Extension,Load
(s),(mm),(N)
"2.04000","0.17016","0.00115"
"2.04600","0.17070","0.00120"
"2.05200","0.17118","0.00128"
"2.05800","0.17166","0.00136"
"2.06400","0.17219","0.00138"
"2.07000","0.17267","0.00139"
"2.07600","0.17315","0.00151"
"2.08200","0.17363","0.00157"
"2.08800","0.17417","0.00151"
"2.09400","0.17465","0.00142"
"2.10000","0.17518","0.00135"
"2.10600","0.17566","0.00128"
"2.11200","0.17614","0.00113"
"2.11800","0.17668","0.00093"
"2.12400","0.17716","0.00077"
"2.13000","0.17763","0.00075"
"2.13600","0.17817","0.00090"
"2.14200","0.17865","0.00114"
"2.14800","0.17919","0.00124"
"2.15400","0.17967","0.00133"
"2.16000","0.18015","0.00143"
"2.16600","0.18062","0.00155"
"2.17200","0.18116","0.00177"
"2.17800","0.18164","0.00180"
"2.18400","0.18212","0.00174"
"2.19000","0.18266","0.00152"
"2.19600","0.18314","0.00127"
"2.20200","0.18361","0.00108"
"2.20800","0.18415","0.00103"
"2.21400","0.18463","0.00106"
"2.22000","0.18511","0.00115"
"2.22600","0.18559","0.00127"
"2.23200","0.18612","0.00131"
"2.23800","0.18660","0.00132"
"2.24400","0.18708","0.00145"
"2.25000","0.18762","0.00159"
"2.25600","0.18816","0.00167"
"2.26200","0.18864","0.00176"
"2.26800","0.18917","0.00200"
"2.27400","0.18965","0.00223"
"2.28000","0.19019","0.00236"
"2.28600","0.19067","0.00225"
"2.29200","0.19121","0.00223"
"2.29800","0.19169","0.00226"
"2.30400","0.19216","0.00244"
"2.31000","0.19270","0.00256"
"2.31600","0.19318","0.00264"
"2.32200","0.19366","0.00250"
"2.32800","0.19420","0.00233"
"2.33400","0.19467","0.00225"
"2.34000","0.19521","0.00204"
"2.34600","0.19569","0.00182"
"2.35200","0.19623","0.00171"
"2.35800","0.19671","0.00166"
"2.36400","0.19725","0.00162"
"2.37000","0.19772","0.00157"
"2.37600","0.19820","0.00141"
"2.38200","0.19868","0.00139"
"2.38800","0.19922","0.00147"
"2.39400","0.19970","0.00156"
"2.40000","0.20018","0.00166"
"2.40600","0.20071","0.00168"
"2.41200","0.20119","0.00166"
"2.41800","0.20173","0.00152"
"2.42400","0.20221","0.00129"
"2.43000","0.20269","0.00107"
"2.43600","0.20322","0.00100"
"2.44200","0.20370","0.00087"
"2.44800","0.20418","0.00090"
"2.45400","0.20472","0.00112"
"2.46000","0.20520","0.00126"
"2.46600","0.20568","0.00150"
"2.47200","0.20621","0.00174"
"2.47800","0.20669","0.00189"
"2.48400","0.20717","0.00193"
"2.49000","0.20771","0.00208"
"2.49600","0.20819","0.00188"
"2.50200","0.20867","0.00172"
"2.50800","0.20920","0.00163"
"2.51400","0.20968","0.00167"
"2.52000","0.21022","0.00180"
"2.52600","0.21070","0.00200"
"2.53200","0.21118","0.00219"
"2.53800","0.21171","0.00243"
"2.54400","0.21219","0.00242"
"2.55000","0.21273","0.00225"
"2.55600","0.21321","0.00211"
"2.56200","0.21369","0.00183"
"2.56800","0.21423","0.00170"
"2.57400","0.21470","0.00164"
"2.58000","0.21524","0.00157"
"2.58600","0.21572","0.00148"
"2.59200","0.21620","0.00175"
"2.59800","0.21674","0.00203"
"2.60400","0.21722","0.00223"
"2.61000","0.21769","0.00225"
"2.61600","0.21823","0.00233"
"2.62200","0.21871","0.00224"
"2.62800","0.21919","0.00209"
"2.63400","0.21973","0.00195"
"2.64000","0.22020","0.00183"
"2.64600","0.22068","0.00174"
"2.65200","0.22116","0.00170"
"2.65800","0.22170","0.00170"
"2.66400","0.22218","0.00159"
"2.67000","0.22266","0.00144"
"2.67600","0.22319","0.00132"
"2.68200","0.22367","0.00126"
"2.68800","0.22421","0.00135"
"2.69400","0.22469","0.00147"
"2.70000","0.22517","0.00147"
"2.70600","0.22571","0.00154"
"2.71200","0.22618","0.00180"
"2.71800","0.22672","0.00209"
"2.72400","0.22720","0.00218"
"2.73000","0.22768","0.00228"
"2.73600","0.22822","0.00226"
"2.74200","0.22869","0.00211"
"2.74800","0.22917","0.00205"
"2.75400","0.22965","0.00224"
"2.76000","0.23019","0.00237"
"2.76600","0.23067","0.00242"
"2.77200","0.23121","0.00236"
"2.77800","0.23168","0.00240"
"2.78400","0.23216","0.00226"
"2.79000","0.23264","0.00211"
"2.79600","0.23318","0.00206"
"2.80200","0.23366","0.00189"
"2.80800","0.23414","0.00170"
"2.81400","0.23467","0.00168"
"2.82000","0.23515","0.00166"
