End date,"11/14/2016"
Specimen label,"20BT60"
Maximum Load,"0.35281",N

Time,Extension,Load
(s),(mm),(N)
"2.52600","0.21076","0.00189"
"2.53200","0.21124","0.00195"
"2.53800","0.21171","0.00185"
"2.54400","0.21225","0.00165"
"2.55000","0.21273","0.00148"
"2.55600","0.21321","0.00140"
"2.56200","0.21375","0.00146"
"2.56800","0.21423","0.00160"
"2.57400","0.21470","0.00167"
"2.58000","0.21518","0.00174"
"2.58600","0.21572","0.00188"
"2.59200","0.21620","0.00199"
"2.59800","0.21668","0.00219"
"2.60400","0.21722","0.00234"
"2.61000","0.21769","0.00250"
"2.61600","0.21823","0.00241"
"2.62200","0.21871","0.00231"
"2.62800","0.21925","0.00236"
"2.63400","0.21973","0.00251"
"2.64000","0.22020","0.00269"
"2.64600","0.22068","0.00290"
"2.65200","0.22122","0.00306"
"2.65800","0.22170","0.00309"
"2.66400","0.22218","0.00317"
"2.67000","0.22266","0.00329"
"2.67600","0.22313","0.00328"
"2.68200","0.22367","0.00298"
"2.68800","0.22415","0.00262"
"2.69400","0.22463","0.00231"
"2.70000","0.22517","0.00217"
"2.70600","0.22565","0.00209"
"2.71200","0.22612","0.00209"
"2.71800","0.22666","0.00195"
"2.72400","0.22714","0.00185"
"2.73000","0.22768","0.00180"
"2.73600","0.22816","0.00178"
"2.74200","0.22864","0.00188"
"2.74800","0.22917","0.00214"
"2.75400","0.22971","0.00242"
"2.76000","0.23019","0.00241"
"2.76600","0.23073","0.00223"
"2.77200","0.23121","0.00212"
"2.77800","0.23174","0.00218"
"2.78400","0.23222","0.00242"
"2.79000","0.23270","0.00259"
"2.79600","0.23318","0.00275"
"2.80200","0.23372","0.00265"
"2.80800","0.23420","0.00244"
"2.81400","0.23467","0.00231"
"2.82000","0.23521","0.00219"
"2.82600","0.23569","0.00210"
"2.83200","0.23617","0.00178"
"2.83800","0.23671","0.00157"
"2.84400","0.23719","0.00163"
"2.85000","0.23772","0.00194"
"2.85600","0.23820","0.00221"
"2.86200","0.23868","0.00231"
"2.86800","0.23922","0.00225"
"2.87400","0.23970","0.00204"
"2.88000","0.24023","0.00183"
"2.88600","0.24071","0.00189"
"2.89200","0.24125","0.00200"
"2.89800","0.24173","0.00206"
"2.90400","0.24227","0.00202"
"2.91000","0.24275","0.00189"
"2.91600","0.24328","0.00177"
"2.92200","0.24376","0.00197"
"2.92800","0.24430","0.00232"
"2.93400","0.24478","0.00249"
"2.94000","0.24526","0.00254"
"2.94600","0.24573","0.00258"
"2.95200","0.24621","0.00249"
"2.95800","0.24675","0.00251"
"2.96400","0.24723","0.00263"
"2.97000","0.24771","0.00289"
"2.97600","0.24825","0.00290"
"2.98200","0.24872","0.00291"
"2.98800","0.24920","0.00286"
"2.99400","0.24974","0.00288"
"3.00000","0.25022","0.00277"
"3.00600","0.25076","0.00264"
"3.01200","0.25124","0.00257"
"3.01800","0.25171","0.00247"
"3.02400","0.25225","0.00232"
"3.03000","0.25273","0.00220"
"3.03600","0.25321","0.00215"
"3.04200","0.25375","0.00207"
"3.04800","0.25423","0.00192"
"3.05400","0.25476","0.00162"
"3.06000","0.25524","0.00156"
"3.06600","0.25578","0.00183"
"3.07200","0.25626","0.00205"
"3.07800","0.25674","0.00232"
"3.08400","0.25721","0.00272"
"3.09000","0.25775","0.00294"
"3.09600","0.25823","0.00303"
"3.10200","0.25871","0.00304"
"3.10800","0.25925","0.00292"
"3.11400","0.25973","0.00263"
"3.12000","0.26020","0.00233"
"3.12600","0.26074","0.00214"
"3.13200","0.26122","0.00188"
"3.13800","0.26170","0.00181"
"3.14400","0.26224","0.00171"
"3.15000","0.26272","0.00166"
"3.15600","0.26319","0.00164"
"3.16200","0.26373","0.00153"
"3.16800","0.26421","0.00144"
