End date,"11/14/2016"
Specimen label,"20AG60"
Maximum Load,"1.40394",N

Time,Extension,Load
(s),(mm),(N)
"2.58600","17.62057","0.05206"
"2.59200","17.62111","0.05217"
"2.59800","17.62159","0.05221"
"2.60400","17.62207","0.05226"
"2.61000","17.62261","0.05230"
"2.61600","17.62308","0.05231"
"2.62200","17.62362","0.05232"
"2.62800","17.62410","0.05233"
"2.63400","17.62458","0.05229"
"2.64000","17.62512","0.05224"
"2.64600","17.62560","0.05224"
"2.65200","17.62613","0.05223"
"2.65800","17.62661","0.05226"
"2.66400","17.62709","0.05225"
"2.67000","17.62763","0.05223"
"2.67600","17.62811","0.05223"
"2.68200","17.62864","0.05225"
"2.68800","17.62912","0.05228"
"2.69400","17.62960","0.05229"
"2.70000","17.63014","0.05228"
"2.70600","17.63062","0.05229"
"2.71200","17.63116","0.05229"
"2.71800","17.63164","0.05225"
"2.72400","17.63211","0.05225"
"2.73000","17.63265","0.05225"
"2.73600","17.63313","0.05223"
"2.74200","17.63361","0.05224"
"2.74800","17.63415","0.05224"
"2.75400","17.63462","0.05227"
"2.76000","17.63516","0.05229"
"2.76600","17.63564","0.05229"
"2.77200","17.63618","0.05233"
"2.77800","17.63666","0.05233"
"2.78400","17.63720","0.05229"
"2.79000","17.63767","0.05228"
"2.79600","17.63815","0.05227"
"2.80200","17.63869","0.05224"
"2.80800","17.63917","0.05224"
"2.81400","17.63971","0.05227"
"2.82000","17.64018","0.05232"
"2.82600","17.64066","0.05239"
"2.83200","17.64120","0.05246"
"2.83800","17.64168","0.05251"
"2.84400","17.64216","0.05250"
"2.85000","17.64264","0.05246"
"2.85600","17.64317","0.05246"
"2.86200","17.64365","0.05247"
"2.86800","17.64413","0.05247"
"2.87400","17.64461","0.05245"
"2.88000","17.64515","0.05242"
"2.88600","17.64563","0.05239"
"2.89200","17.64616","0.05241"
"2.89800","17.64664","0.05245"
"2.90400","17.64712","0.05251"
"2.91000","17.64760","0.05258"
"2.91600","17.64814","0.05258"
"2.92200","17.64861","0.05257"
"2.92800","17.64909","0.05259"
"2.93400","17.64957","0.05258"
"2.94000","17.65011","0.05260"
"2.94600","17.65059","0.05260"
"2.95200","17.65107","0.05259"
"2.95800","17.65160","0.05259"
"2.96400","17.65208","0.05258"
"2.97000","17.65256","0.05257"
"2.97600","17.65310","0.05255"
"2.98200","17.65358","0.05254"
"2.98800","17.65406","0.05255"
"2.99400","17.65454","0.05257"
"3.00000","17.65507","0.05253"
"3.00600","17.65555","0.05250"
"3.01200","17.65609","0.05250"
"3.01800","17.65657","0.05252"
"3.02400","17.65705","0.05255"
"3.03000","17.65758","0.05254"
"3.03600","17.65806","0.05256"
"3.04200","17.65860","0.05261"
"3.04800","17.65908","0.05261"
"3.05400","17.65956","0.05263"
"3.06000","17.66010","0.05265"
"3.06600","17.66057","0.05269"
"3.07200","17.66105","0.05275"
"3.07800","17.66159","0.05281"
"3.08400","17.66207","0.05282"
"3.09000","17.66261","0.05282"
"3.09600","17.66308","0.05282"
"3.10200","17.66356","0.05282"
"3.10800","17.66410","0.05286"
"3.11400","17.66458","0.05287"
"3.12000","17.66506","0.05287"
"3.12600","17.66559","0.05286"
"3.13200","17.66607","0.05283"
"3.13800","17.66655","0.05277"
"3.14400","17.66709","0.05276"
"3.15000","17.66757","0.05275"
"3.15600","17.66805","0.05275"
"3.16200","17.66858","0.05273"
"3.16800","17.66906","0.05270"
"3.17400","17.66960","0.05270"
"3.18000","17.67008","0.05268"
"3.18600","17.67062","0.05267"
"3.19200","17.67109","0.05269"
"3.19800","17.67163","0.05272"
