End date,"1/7/2017"
Specimen label,"DT18_41"
Maximum Load,"0.02543",N

Time,Extension,Load
(s),(mm),(N)
"3.14400","0.26218","0.00086"
"3.15000","0.26272","0.00087"
"3.15600","0.26319","0.00086"
"3.16200","0.26373","0.00076"
"3.16800","0.26421","0.00055"
"3.17400","0.26475","0.00053"
"3.18000","0.26523","0.00073"
"3.18600","0.26576","0.00089"
"3.19200","0.26624","0.00100"
"3.19800","0.26672","0.00110"
"3.20400","0.26726","0.00112"
"3.21000","0.26774","0.00108"
"3.21600","0.26828","0.00095"
"3.22200","0.26875","0.00086"
"3.22800","0.26923","0.00081"
"3.23400","0.26977","0.00070"
"3.24000","0.27025","0.00069"
"3.24600","0.27079","0.00062"
"3.25200","0.27127","0.00046"
"3.25800","0.27174","0.00033"
"3.26400","0.27228","0.00037"
"3.27000","0.27276","0.00037"
"3.27600","0.27324","0.00036"
"3.28200","0.27372","0.00027"
"3.28800","0.27425","0.00024"
"3.29400","0.27473","0.00020"
"3.30000","0.27521","0.00013"
"3.30600","0.27575","0.00012"
"3.31200","0.27623","0.00012"
"3.31800","0.27677","0.00011"
"3.32400","0.27724","0.00015"
"3.33000","0.27772","0.00020"
"3.33600","0.27826","0.00022"
"3.34200","0.27874","0.00031"
"3.34800","0.27928","0.00030"
"3.35400","0.27976","0.00034"
"3.36000","0.28023","0.00046"
"3.36600","0.28071","0.00045"
"3.37200","0.28125","0.00036"
"3.37800","0.28173","0.00044"
"3.38400","0.28227","0.00055"
"3.39000","0.28274","0.00067"
"3.39600","0.28322","0.00073"
"3.40200","0.28370","0.00061"
"3.40800","0.28424","0.00057"
"3.41400","0.28472","0.00053"
"3.42000","0.28526","0.00045"
"3.42600","0.28573","0.00048"
"3.43200","0.28621","0.00059"
"3.43800","0.28675","0.00065"
"3.44400","0.28723","0.00072"
"3.45000","0.28777","0.00081"
"3.45600","0.28825","0.00080"
"3.46200","0.28872","0.00077"
"3.46800","0.28926","0.00078"
"3.47400","0.28974","0.00086"
"3.48000","0.29022","0.00097"
"3.48600","0.29076","0.00099"
"3.49200","0.29123","0.00099"
"3.49800","0.29171","0.00100"
"3.50400","0.29219","0.00096"
"3.51000","0.29273","0.00089"
"3.51600","0.29321","0.00088"
"3.52200","0.29375","0.00094"
"3.52800","0.29422","0.00096"
"3.53400","0.29470","0.00083"
"3.54000","0.29524","0.00073"
"3.54600","0.29572","0.00069"
"3.55200","0.29620","0.00057"
"3.55800","0.29674","0.00055"
"3.56400","0.29721","0.00060"
"3.57000","0.29769","0.00069"
"3.57600","0.29817","0.00070"
"3.58200","0.29871","0.00054"
"3.58800","0.29919","0.00038"
"3.59400","0.29967","0.00040"
"3.60000","0.30020","0.00047"
"3.60600","0.30068","0.00058"
"3.61200","0.30116","0.00068"
"3.61800","0.30170","0.00067"
"3.62400","0.30218","0.00072"
"3.63000","0.30265","0.00082"
"3.63600","0.30319","0.00089"
"3.64200","0.30367","0.00091"
"3.64800","0.30421","0.00086"
"3.65400","0.30469","0.00088"
"3.66000","0.30523","0.00085"
"3.66600","0.30570","0.00074"
"3.67200","0.30624","0.00072"
"3.67800","0.30672","0.00082"
"3.68400","0.30720","0.00092"
"3.69000","0.30774","0.00096"
"3.69600","0.30822","0.00096"
"3.70200","0.30869","0.00090"
"3.70800","0.30923","0.00089"
"3.71400","0.30971","0.00094"
"3.72000","0.31019","0.00106"
"3.72600","0.31073","0.00114"
"3.73200","0.31120","0.00109"
"3.73800","0.31174","0.00102"
"3.74400","0.31222","0.00079"
"3.75000","0.31276","0.00056"
"3.75600","0.31324","0.00049"
"3.76200","0.31372","0.00043"
"3.76800","0.31425","0.00040"
"3.77400","0.31473","0.00054"
"3.78000","0.31521","0.00070"
"3.78600","0.31575","0.00081"
"3.79200","0.31623","0.00084"
"3.79800","0.31671","0.00072"
"3.80400","0.31724","0.00058"
"3.81000","0.31772","0.00044"
"3.81600","0.31826","0.00031"
"3.82200","0.31874","0.00026"
"3.82800","0.31928","0.00023"
"3.83400","0.31975","0.00015"
"3.84000","0.32023","0.00024"
"3.84600","0.32071","0.00043"
"3.85200","0.32125","0.00051"
"3.85800","0.32173","0.00052"
"3.86400","0.32221","0.00056"
"3.87000","0.32274","0.00062"
"3.87600","0.32322","0.00063"
"3.88200","0.32370","0.00058"
"3.88800","0.32424","0.00052"
"3.89400","0.32472","0.00047"
"3.90000","0.32520","0.00037"
"3.90600","0.32573","0.00029"
"3.91200","0.32621","0.00031"
"3.91800","0.32675","0.00027"
"3.92400","0.32723","0.00027"
"3.93000","0.32771","0.00038"
"3.93600","0.32824","0.00048"
"3.94200","0.32872","0.00063"
"3.94800","0.32920","0.00078"
"3.95400","0.32974","0.00089"
"3.96000","0.33022","0.00096"
"3.96600","0.33076","0.00089"
"3.97200","0.33123","0.00090"
"3.97800","0.33177","0.00094"
"3.98400","0.33225","0.00092"
"3.99000","0.33273","0.00093"
"3.99600","0.33321","0.00094"
"4.00200","0.33369","0.00090"
"4.00800","0.33422","0.00083"
"4.01400","0.33470","0.00089"
"4.02000","0.33518","0.00091"
"4.02600","0.33566","0.00081"
"4.03200","0.33620","0.00063"
"4.03800","0.33667","0.00048"
"4.04400","0.33715","0.00043"
"4.05000","0.33769","0.00031"
"4.05600","0.33817","0.00042"
"4.06200","0.33865","0.00057"
"4.06800","0.33919","0.00068"
"4.07400","0.33966","0.00091"
"4.08000","0.34020","0.00112"
"4.08600","0.34068","0.00123"
"4.09200","0.34122","0.00119"
"4.09800","0.34170","0.00118"
"4.10400","0.34224","0.00114"
"4.11000","0.34271","0.00102"
"4.11600","0.34319","0.00095"
"4.12200","0.34373","0.00101"
"4.12800","0.34421","0.00107"
"4.13400","0.34469","0.00101"
"4.14000","0.34516","0.00097"
"4.14600","0.34570","0.00104"
"4.15200","0.34618","0.00108"
"4.15800","0.34666","0.00108"
"4.16400","0.34714","0.00103"
"4.17000","0.34768","0.00092"
"4.17600","0.34815","0.00086"
"4.18200","0.34863","0.00090"
"4.18800","0.34917","0.00094"
"4.19400","0.34965","0.00086"
"4.20000","0.35019","0.00075"
"4.20600","0.35067","0.00059"
"4.21200","0.35120","0.00046"
"4.21800","0.35168","0.00030"
"4.22400","0.35222","0.00031"
"4.23000","0.35270","0.00046"
"4.23600","0.35324","0.00071"
"4.24200","0.35371","0.00096"
"4.24800","0.35425","0.00117"
"4.25400","0.35479","0.00137"
"4.26000","0.35527","0.00143"
"4.26600","0.35575","0.00134"
"4.27200","0.35629","0.00122"
"4.27800","0.35676","0.00110"
"4.28400","0.35730","0.00099"
"4.29000","0.35778","0.00089"
"4.29600","0.35826","0.00085"
"4.30200","0.35880","0.00082"
"4.30800","0.35928","0.00079"
"4.31400","0.35975","0.00071"
"4.32000","0.36029","0.00063"
"4.32600","0.36077","0.00062"
"4.33200","0.36125","0.00065"
"4.33800","0.36173","0.00065"
"4.34400","0.36220","0.00063"
"4.35000","0.36274","0.00057"
"4.35600","0.36322","0.00048"
"4.36200","0.36376","0.00041"
"4.36800","0.36424","0.00033"
"4.37400","0.36478","0.00031"
"4.38000","0.36525","0.00035"
"4.38600","0.36579","0.00044"
"4.39200","0.36627","0.00054"
"4.39800","0.36675","0.00067"
"4.40400","0.36729","0.00085"
"4.41000","0.36777","0.00097"
"4.41600","0.36824","0.00101"
"4.42200","0.36878","0.00112"
"4.42800","0.36926","0.00123"
"4.43400","0.36974","0.00125"
"4.44000","0.37022","0.00122"
"4.44600","0.37070","0.00118"
"4.45200","0.37123","0.00111"
"4.45800","0.37171","0.00102"
"4.46400","0.37225","0.00101"
"4.47000","0.37273","0.00095"
"4.47600","0.37321","0.00084"
"4.48200","0.37374","0.00076"
"4.48800","0.37422","0.00068"
"4.49400","0.37470","0.00065"
"4.50000","0.37524","0.00063"
"4.50600","0.37572","0.00060"
"4.51200","0.37620","0.00063"
"4.51800","0.37673","0.00071"
"4.52400","0.37727","0.00075"
"4.53000","0.37775","0.00081"
"4.53600","0.37829","0.00080"
"4.54200","0.37877","0.00067"
"4.54800","0.37925","0.00052"
"4.55400","0.37978","0.00048"
"4.56000","0.38026","0.00051"
"4.56600","0.38074","0.00058"
"4.57200","0.38122","0.00060"
"4.57800","0.38176","0.00059"
"4.58400","0.38223","0.00062"
"4.59000","0.38271","0.00072"
"4.59600","0.38325","0.00083"
"4.60200","0.38373","0.00100"
"4.60800","0.38421","0.00115"
"4.61400","0.38469","0.00127"
"4.62000","0.38522","0.00139"
"4.62600","0.38570","0.00148"
"4.63200","0.38618","0.00138"
"4.63800","0.38672","0.00125"
"4.64400","0.38720","0.00112"
"4.65000","0.38768","0.00097"
"4.65600","0.38815","0.00083"
"4.66200","0.38869","0.00068"
"4.66800","0.38923","0.00058"
"4.67400","0.38971","0.00052"
"4.68000","0.39025","0.00052"
"4.68600","0.39072","0.00056"
"4.69200","0.39126","0.00056"
"4.69800","0.39174","0.00051"
"4.70400","0.39228","0.00052"
"4.71000","0.39276","0.00067"
"4.71600","0.39324","0.00069"
"4.72200","0.39371","0.00072"
"4.72800","0.39425","0.00079"
"4.73400","0.39473","0.00096"
"4.74000","0.39521","0.00103"
"4.74600","0.39569","0.00098"
"4.75200","0.39623","0.00084"
"4.75800","0.39670","0.00073"
"4.76400","0.39718","0.00074"
"4.77000","0.39772","0.00083"
"4.77600","0.39820","0.00094"
"4.78200","0.39874","0.00099"
"4.78800","0.39921","0.00107"
"4.79400","0.39975","0.00108"
"4.80000","0.40023","0.00099"
"4.80600","0.40077","0.00093"
"4.81200","0.40131","0.00089"
"4.81800","0.40179","0.00089"
"4.82400","0.40232","0.00093"
"4.83000","0.40280","0.00097"
"4.83600","0.40328","0.00105"
"4.84200","0.40382","0.00113"
