End date,"1/7/2017"
Specimen label,"18_CTNT2"
Maximum Load,"0.07079",N

Time,Extension,Load
(s),(mm),(N)
"1.67400","0.13967","0.00004"
"1.68000","0.14015","0.00005"
"1.68600","0.14068","0.00002"
"1.69200","0.14116","0.00009"
"1.69800","0.14170","0.00012"
"1.70400","0.14218","0.00018"
"1.71000","0.14272","0.00030"
"1.71600","0.14320","0.00042"
"1.72200","0.14367","0.00043"
"1.72800","0.14421","0.00029"
"1.73400","0.14469","0.00017"
"1.74000","0.14523","0.00021"
"1.74600","0.14571","0.00027"
"1.75200","0.14619","0.00037"
"1.75800","0.14672","0.00047"
"1.76400","0.14720","0.00051"
"1.77000","0.14768","0.00045"
"1.77600","0.14822","0.00036"
"1.78200","0.14870","0.00037"
"1.78800","0.14923","0.00037"
"1.79400","0.14971","0.00028"
"1.80000","0.15019","0.00022"
"1.80600","0.15073","0.00024"
"1.81200","0.15121","0.00025"
"1.81800","0.15169","0.00023"
"1.82400","0.15222","0.00025"
"1.83000","0.15270","0.00025"
"1.83600","0.15318","0.00026"
"1.84200","0.15366","0.00036"
"1.84800","0.15420","0.00050"
"1.85400","0.15468","0.00058"
"1.86000","0.15515","0.00052"
"1.86600","0.15569","0.00040"
"1.87200","0.15617","0.00021"
"1.87800","0.15665","0.00003"
"1.88400","0.15719","0.00012"
"1.89000","0.15766","0.00024"
"1.89600","0.15814","0.00034"
"1.90200","0.15868","0.00036"
"1.90800","0.15916","0.00037"
"1.91400","0.15970","0.00032"
"1.92000","0.16018","0.00022"
"1.92600","0.16071","0.00016"
"1.93200","0.16119","0.00017"
"1.93800","0.16173","0.00023"
"1.94400","0.16221","0.00034"
"1.95000","0.16269","0.00041"
"1.95600","0.16317","0.00045"
"1.96200","0.16370","0.00051"
"1.96800","0.16418","0.00057"
"1.97400","0.16466","0.00062"
"1.98000","0.16520","0.00065"
"1.98600","0.16568","0.00060"
"1.99200","0.16616","0.00044"
"1.99800","0.16669","0.00032"
"2.00400","0.16717","0.00020"
"2.01000","0.16765","0.00018"
"2.01600","0.16813","0.00009"
"2.02200","0.16867","0.00004"
"2.02800","0.16914","-0.00005"
"2.03400","0.16962","-0.00011"
"2.04000","0.17016","-0.00004"
"2.04600","0.17064","0.00006"
"2.05200","0.17118","0.00012"
"2.05800","0.17166","0.00025"
"2.06400","0.17219","0.00032"
"2.07000","0.17267","0.00025"
"2.07600","0.17315","0.00009"
"2.08200","0.17363","0.00003"
"2.08800","0.17411","0.00003"
"2.09400","0.17465","-0.00001"
"2.10000","0.17512","-0.00002"
"2.10600","0.17560","0.00006"
"2.11200","0.17608","0.00002"
"2.11800","0.17662","-0.00004"
"2.12400","0.17710","0.00005"
"2.13000","0.17757","0.00009"
"2.13600","0.17811","0.00006"
"2.14200","0.17859","0.00011"
"2.14800","0.17907","0.00010"
"2.15400","0.17961","0.00000"
"2.16000","0.18009","-0.00004"
"2.16600","0.18056","-0.00003"
"2.17200","0.18110","0.00005"
"2.17800","0.18158","0.00013"
"2.18400","0.18212","0.00016"
"2.19000","0.18260","0.00029"
"2.19600","0.18314","0.00037"
"2.20200","0.18367","0.00025"
"2.20800","0.18415","0.00022"
"2.21400","0.18469","0.00027"
"2.22000","0.18517","0.00027"
"2.22600","0.18571","0.00038"
"2.23200","0.18618","0.00048"
"2.23800","0.18666","0.00049"
"2.24400","0.18714","0.00034"
"2.25000","0.18768","0.00011"
"2.25600","0.18816","-0.00003"
"2.26200","0.18864","-0.00004"
"2.26800","0.18917","0.00006"
"2.27400","0.18965","0.00021"
"2.28000","0.19019","0.00025"
"2.28600","0.19067","0.00020"
"2.29200","0.19121","0.00026"
"2.29800","0.19169","0.00028"
"2.30400","0.19216","0.00012"
"2.31000","0.19270","0.00000"
"2.31600","0.19318","-0.00008"
"2.32200","0.19372","-0.00007"
"2.32800","0.19420","-0.00007"
"2.33400","0.19473","-0.00003"
"2.34000","0.19521","0.00003"
"2.34600","0.19575","0.00015"
"2.35200","0.19623","0.00030"
"2.35800","0.19677","0.00056"
"2.36400","0.19725","0.00072"
"2.37000","0.19772","0.00082"
"2.37600","0.19820","0.00084"
"2.38200","0.19874","0.00085"
"2.38800","0.19922","0.00075"
"2.39400","0.19970","0.00067"
"2.40000","0.20018","0.00059"
"2.40600","0.20065","0.00065"
"2.41200","0.20119","0.00065"
"2.41800","0.20167","0.00048"
"2.42400","0.20215","0.00040"
"2.43000","0.20269","0.00027"
"2.43600","0.20316","0.00017"
"2.44200","0.20370","0.00020"
"2.44800","0.20418","0.00032"
"2.45400","0.20472","0.00041"
"2.46000","0.20520","0.00042"
"2.46600","0.20568","0.00037"
"2.47200","0.20621","0.00033"
"2.47800","0.20669","0.00033"
"2.48400","0.20723","0.00023"
"2.49000","0.20771","0.00014"
"2.49600","0.20819","0.00014"
"2.50200","0.20873","0.00010"
"2.50800","0.20920","0.00016"
"2.51400","0.20968","0.00027"
"2.52000","0.21016","0.00024"
"2.52600","0.21070","0.00020"
"2.53200","0.21118","0.00027"
"2.53800","0.21165","0.00049"
"2.54400","0.21213","0.00066"
"2.55000","0.21267","0.00068"
"2.55600","0.21315","0.00073"
"2.56200","0.21363","0.00057"
"2.56800","0.21417","0.00019"
"2.57400","0.21464","-0.00003"
"2.58000","0.21512","-0.00006"
"2.58600","0.21560","-0.00004"
"2.59200","0.21614","-0.00004"
"2.59800","0.21662","0.00001"
"2.60400","0.21710","0.00005"
"2.61000","0.21763","0.00022"
"2.61600","0.21811","0.00028"
"2.62200","0.21865","0.00030"
"2.62800","0.21913","0.00022"
"2.63400","0.21961","0.00009"
"2.64000","0.22015","0.00009"
"2.64600","0.22062","0.00009"
"2.65200","0.22110","0.00009"
"2.65800","0.22164","0.00011"
"2.66400","0.22212","0.00014"
"2.67000","0.22260","0.00013"
"2.67600","0.22313","0.00017"
"2.68200","0.22361","0.00029"
"2.68800","0.22409","0.00036"
"2.69400","0.22457","0.00047"
"2.70000","0.22511","0.00067"
"2.70600","0.22559","0.00097"
"2.71200","0.22606","0.00105"
"2.71800","0.22660","0.00093"
"2.72400","0.22708","0.00089"
"2.73000","0.22762","0.00081"
"2.73600","0.22810","0.00064"
"2.74200","0.22864","0.00064"
"2.74800","0.22917","0.00074"
"2.75400","0.22965","0.00060"
"2.76000","0.23019","0.00048"
"2.76600","0.23067","0.00041"
"2.77200","0.23115","0.00045"
"2.77800","0.23168","0.00036"
"2.78400","0.23216","0.00013"
"2.79000","0.23270","0.00017"
"2.79600","0.23318","0.00032"
"2.80200","0.23366","0.00038"
"2.80800","0.23420","0.00033"
"2.81400","0.23467","0.00028"
"2.82000","0.23521","0.00016"
"2.82600","0.23569","-0.00002"
"2.83200","0.23623","-0.00010"
"2.83800","0.23671","-0.00009"
"2.84400","0.23719","-0.00002"
"2.85000","0.23772","0.00005"
"2.85600","0.23820","0.00014"
"2.86200","0.23868","0.00006"
"2.86800","0.23922","-0.00013"
"2.87400","0.23970","-0.00021"
"2.88000","0.24017","-0.00020"
"2.88600","0.24071","-0.00029"
"2.89200","0.24119","-0.00023"
"2.89800","0.24173","-0.00022"
"2.90400","0.24221","-0.00026"
"2.91000","0.24269","-0.00028"
"2.91600","0.24322","-0.00032"
"2.92200","0.24370","-0.00019"
"2.92800","0.24418","-0.00006"
"2.93400","0.24472","-0.00004"
"2.94000","0.24520","0.00007"
"2.94600","0.24568","0.00011"
"2.95200","0.24621","0.00004"
"2.95800","0.24669","-0.00007"
"2.96400","0.24717","-0.00012"
"2.97000","0.24765","-0.00011"
"2.97600","0.24819","-0.00002"
"2.98200","0.24866","0.00005"
"2.98800","0.24914","0.00014"
"2.99400","0.24968","0.00014"
"3.00000","0.25016","0.00014"
"3.00600","0.25064","0.00021"
"3.01200","0.25118","0.00026"
"3.01800","0.25165","0.00026"
"3.02400","0.25219","0.00030"
"3.03000","0.25267","0.00039"
"3.03600","0.25321","0.00050"
"3.04200","0.25369","0.00060"
"3.04800","0.25423","0.00065"
"3.05400","0.25470","0.00056"
"3.06000","0.25518","0.00049"
"3.06600","0.25572","0.00041"
"3.07200","0.25620","0.00046"
"3.07800","0.25674","0.00046"
"3.08400","0.25721","0.00039"
"3.09000","0.25769","0.00034"
"3.09600","0.25823","0.00035"
"3.10200","0.25871","0.00026"
"3.10800","0.25919","0.00011"
"3.11400","0.25967","-0.00002"
"3.12000","0.26014","-0.00011"
"3.12600","0.26068","-0.00011"
"3.13200","0.26116","-0.00015"
"3.13800","0.26164","-0.00012"
"3.14400","0.26218","-0.00012"
"3.15000","0.26266","-0.00010"
"3.15600","0.26313","-0.00002"
"3.16200","0.26367","-0.00004"
"3.16800","0.26415","-0.00009"
"3.17400","0.26469","-0.00003"
"3.18000","0.26517","0.00013"
"3.18600","0.26564","0.00032"
"3.19200","0.26618","0.00055"
"3.19800","0.26666","0.00070"
"3.20400","0.26714","0.00071"
"3.21000","0.26768","0.00061"
"3.21600","0.26816","0.00043"
"3.22200","0.26863","0.00033"
"3.22800","0.26917","0.00032"
"3.23400","0.26965","0.00035"
"3.24000","0.27013","0.00039"
"3.24600","0.27061","0.00034"
"3.25200","0.27109","0.00025"
"3.25800","0.27162","0.00012"
"3.26400","0.27210","0.00005"
"3.27000","0.27258","0.00008"
"3.27600","0.27312","0.00003"
"3.28200","0.27360","0.00008"
"3.28800","0.27408","0.00035"
"3.29400","0.27461","0.00058"
"3.30000","0.27509","0.00058"
"3.30600","0.27563","0.00044"
"3.31200","0.27617","0.00028"
"3.31800","0.27665","0.00014"
"3.32400","0.27718","0.00015"
"3.33000","0.27766","0.00026"
"3.33600","0.27820","0.00039"
"3.34200","0.27868","0.00050"
"3.34800","0.27922","0.00048"
"3.35400","0.27970","0.00038"
"3.36000","0.28023","0.00028"
"3.36600","0.28071","0.00023"
"3.37200","0.28125","0.00030"
"3.37800","0.28173","0.00031"
"3.38400","0.28221","0.00040"
"3.39000","0.28274","0.00049"
"3.39600","0.28322","0.00052"
"3.40200","0.28370","0.00060"
"3.40800","0.28418","0.00062"
"3.41400","0.28472","0.00065"
"3.42000","0.28520","0.00068"
"3.42600","0.28567","0.00071"
"3.43200","0.28621","0.00085"
"3.43800","0.28669","0.00093"
"3.44400","0.28717","0.00092"
"3.45000","0.28771","0.00087"
"3.45600","0.28819","0.00080"
"3.46200","0.28872","0.00065"
"3.46800","0.28920","0.00057"
"3.47400","0.28974","0.00052"
"3.48000","0.29022","0.00051"
"3.48600","0.29070","0.00051"
"3.49200","0.29123","0.00063"
"3.49800","0.29171","0.00075"
"3.50400","0.29225","0.00077"
"3.51000","0.29273","0.00068"
"3.51600","0.29327","0.00052"
"3.52200","0.29375","0.00030"
"3.52800","0.29422","0.00018"
"3.53400","0.29470","0.00024"
"3.54000","0.29518","0.00045"
"3.54600","0.29566","0.00055"
"3.55200","0.29620","0.00053"
"3.55800","0.29668","0.00047"
"3.56400","0.29715","0.00050"
