End date,"1/7/2017"
Specimen label,"18DT_44"
Maximum Load,"0.20391",N

Time,Extension,Load
(s),(mm),(N)
"3.34200","0.27868","0.00167"
"3.34800","0.27922","0.00172"
"3.35400","0.27970","0.00173"
"3.36000","0.28017","0.00166"
"3.36600","0.28071","0.00156"
"3.37200","0.28119","0.00147"
"3.37800","0.28167","0.00146"
"3.38400","0.28221","0.00142"
"3.39000","0.28268","0.00134"
"3.39600","0.28322","0.00130"
"3.40200","0.28370","0.00133"
"3.40800","0.28424","0.00136"
"3.41400","0.28472","0.00142"
"3.42000","0.28520","0.00148"
"3.42600","0.28573","0.00145"
"3.43200","0.28621","0.00138"
"3.43800","0.28669","0.00136"
"3.44400","0.28717","0.00134"
"3.45000","0.28771","0.00140"
"3.45600","0.28819","0.00137"
"3.46200","0.28872","0.00134"
"3.46800","0.28920","0.00141"
"3.47400","0.28968","0.00142"
"3.48000","0.29016","0.00141"
"3.48600","0.29070","0.00145"
"3.49200","0.29118","0.00148"
"3.49800","0.29165","0.00147"
"3.50400","0.29219","0.00141"
"3.51000","0.29267","0.00128"
"3.51600","0.29315","0.00124"
"3.52200","0.29369","0.00130"
"3.52800","0.29416","0.00138"
"3.53400","0.29470","0.00149"
"3.54000","0.29518","0.00160"
"3.54600","0.29566","0.00171"
"3.55200","0.29620","0.00178"
"3.55800","0.29668","0.00186"
"3.56400","0.29721","0.00184"
"3.57000","0.29769","0.00178"
"3.57600","0.29817","0.00171"
"3.58200","0.29871","0.00172"
"3.58800","0.29919","0.00181"
"3.59400","0.29967","0.00192"
"3.60000","0.30020","0.00200"
"3.60600","0.30068","0.00209"
"3.61200","0.30122","0.00206"
"3.61800","0.30170","0.00205"
"3.62400","0.30218","0.00204"
"3.63000","0.30271","0.00200"
"3.63600","0.30319","0.00192"
"3.64200","0.30373","0.00177"
"3.64800","0.30421","0.00160"
"3.65400","0.30475","0.00150"
"3.66000","0.30523","0.00143"
"3.66600","0.30570","0.00140"
"3.67200","0.30624","0.00136"
"3.67800","0.30672","0.00140"
"3.68400","0.30726","0.00153"
"3.69000","0.30774","0.00164"
"3.69600","0.30827","0.00174"
"3.70200","0.30875","0.00178"
"3.70800","0.30929","0.00170"
"3.71400","0.30977","0.00161"
"3.72000","0.31025","0.00154"
"3.72600","0.31073","0.00141"
"3.73200","0.31126","0.00132"
"3.73800","0.31174","0.00139"
"3.74400","0.31222","0.00144"
"3.75000","0.31276","0.00149"
"3.75600","0.31324","0.00159"
"3.76200","0.31372","0.00169"
"3.76800","0.31425","0.00163"
"3.77400","0.31473","0.00156"
"3.78000","0.31521","0.00153"
"3.78600","0.31575","0.00158"
"3.79200","0.31623","0.00156"
"3.79800","0.31671","0.00155"
"3.80400","0.31724","0.00150"
"3.81000","0.31772","0.00141"
"3.81600","0.31820","0.00135"
"3.82200","0.31874","0.00134"
"3.82800","0.31922","0.00136"
"3.83400","0.31975","0.00137"
"3.84000","0.32023","0.00145"
"3.84600","0.32071","0.00152"
"3.85200","0.32119","0.00159"
"3.85800","0.32173","0.00163"
"3.86400","0.32221","0.00170"
"3.87000","0.32268","0.00182"
"3.87600","0.32316","0.00186"
"3.88200","0.32370","0.00189"
"3.88800","0.32418","0.00195"
"3.89400","0.32466","0.00197"
"3.90000","0.32514","0.00202"
"3.90600","0.32567","0.00198"
"3.91200","0.32615","0.00185"
"3.91800","0.32669","0.00169"
"3.92400","0.32717","0.00160"
"3.93000","0.32765","0.00161"
"3.93600","0.32818","0.00174"
"3.94200","0.32866","0.00184"
"3.94800","0.32920","0.00189"
"3.95400","0.32968","0.00186"
"3.96000","0.33022","0.00180"
"3.96600","0.33070","0.00177"
"3.97200","0.33123","0.00169"
"3.97800","0.33171","0.00171"
"3.98400","0.33219","0.00170"
"3.99000","0.33273","0.00166"
"3.99600","0.33321","0.00165"
"4.00200","0.33369","0.00164"
"4.00800","0.33416","0.00159"
"4.01400","0.33470","0.00152"
"4.02000","0.33518","0.00153"
"4.02600","0.33566","0.00157"
"4.03200","0.33620","0.00163"
"4.03800","0.33667","0.00164"
"4.04400","0.33715","0.00162"
"4.05000","0.33769","0.00154"
"4.05600","0.33817","0.00158"
"4.06200","0.33865","0.00171"
"4.06800","0.33919","0.00173"
"4.07400","0.33966","0.00171"
"4.08000","0.34014","0.00177"
"4.08600","0.34068","0.00183"
"4.09200","0.34116","0.00184"
"4.09800","0.34170","0.00181"
"4.10400","0.34224","0.00178"
"4.11000","0.34271","0.00170"
"4.11600","0.34325","0.00172"
"4.12200","0.34373","0.00178"
"4.12800","0.34427","0.00181"
"4.13400","0.34475","0.00182"
"4.14000","0.34522","0.00181"
"4.14600","0.34576","0.00185"
"4.15200","0.34624","0.00187"
"4.15800","0.34672","0.00184"
"4.16400","0.34726","0.00177"
"4.17000","0.34774","0.00175"
"4.17600","0.34821","0.00161"
"4.18200","0.34869","0.00149"
"4.18800","0.34923","0.00143"
"4.19400","0.34971","0.00140"
"4.20000","0.35025","0.00149"
"4.20600","0.35073","0.00159"
"4.21200","0.35120","0.00170"
"4.21800","0.35174","0.00184"
"4.22400","0.35222","0.00192"
"4.23000","0.35270","0.00202"
"4.23600","0.35324","0.00203"
"4.24200","0.35371","0.00196"
"4.24800","0.35425","0.00186"
"4.25400","0.35479","0.00166"
"4.26000","0.35527","0.00151"
"4.26600","0.35581","0.00138"
"4.27200","0.35629","0.00135"
"4.27800","0.35682","0.00147"
"4.28400","0.35730","0.00168"
"4.29000","0.35778","0.00177"
"4.29600","0.35826","0.00187"
"4.30200","0.35874","0.00200"
"4.30800","0.35928","0.00203"
"4.31400","0.35975","0.00203"
"4.32000","0.36023","0.00202"
"4.32600","0.36077","0.00194"
"4.33200","0.36125","0.00176"
"4.33800","0.36173","0.00158"
"4.34400","0.36226","0.00141"
"4.35000","0.36274","0.00122"
"4.35600","0.36328","0.00113"
"4.36200","0.36376","0.00112"
"4.36800","0.36424","0.00118"
"4.37400","0.36478","0.00121"
"4.38000","0.36525","0.00133"
"4.38600","0.36573","0.00144"
"4.39200","0.36627","0.00151"
"4.39800","0.36675","0.00160"
"4.40400","0.36729","0.00170"
"4.41000","0.36777","0.00170"
"4.41600","0.36830","0.00164"
"4.42200","0.36878","0.00163"
