End date,"1/7/2017"
Specimen label,"18AT_47/49"
Maximum Load,"0.18800",N

Time,Extension,Load
(s),(mm),(N)
"1.86000","0.15515","-0.00046"
"1.86600","0.15569","-0.00050"
"1.87200","0.15617","-0.00044"
"1.87800","0.15665","-0.00036"
"1.88400","0.15719","-0.00024"
"1.89000","0.15766","-0.00019"
"1.89600","0.15814","-0.00028"
"1.90200","0.15868","-0.00030"
"1.90800","0.15916","-0.00025"
"1.91400","0.15964","-0.00028"
"1.92000","0.16018","-0.00031"
"1.92600","0.16065","-0.00025"
"1.93200","0.16113","-0.00028"
"1.93800","0.16161","-0.00035"
"1.94400","0.16215","-0.00041"
"1.95000","0.16263","-0.00042"
"1.95600","0.16317","-0.00039"
"1.96200","0.16364","-0.00031"
"1.96800","0.16412","-0.00018"
"1.97400","0.16466","-0.00015"
"1.98000","0.16520","-0.00021"
"1.98600","0.16568","-0.00020"
"1.99200","0.16616","-0.00018"
"1.99800","0.16669","-0.00025"
"2.00400","0.16717","-0.00034"
"2.01000","0.16765","-0.00036"
"2.01600","0.16819","-0.00038"
"2.02200","0.16867","-0.00034"
"2.02800","0.16914","-0.00035"
"2.03400","0.16968","-0.00023"
"2.04000","0.17016","-0.00015"
"2.04600","0.17070","-0.00016"
"2.05200","0.17118","-0.00018"
"2.05800","0.17172","-0.00028"
"2.06400","0.17219","-0.00042"
"2.07000","0.17273","-0.00045"
"2.07600","0.17321","-0.00040"
"2.08200","0.17369","-0.00033"
"2.08800","0.17423","-0.00025"
"2.09400","0.17471","-0.00027"
"2.10000","0.17518","-0.00028"
"2.10600","0.17572","-0.00031"
"2.11200","0.17620","-0.00039"
"2.11800","0.17668","-0.00042"
"2.12400","0.17722","-0.00041"
"2.13000","0.17769","-0.00041"
"2.13600","0.17823","-0.00040"
"2.14200","0.17871","-0.00040"
"2.14800","0.17919","-0.00047"
"2.15400","0.17967","-0.00053"
"2.16000","0.18021","-0.00056"
"2.16600","0.18068","-0.00066"
"2.17200","0.18122","-0.00075"
"2.17800","0.18170","-0.00081"
"2.18400","0.18218","-0.00076"
"2.19000","0.18272","-0.00066"
"2.19600","0.18320","-0.00071"
"2.20200","0.18373","-0.00079"
"2.20800","0.18421","-0.00083"
"2.21400","0.18475","-0.00076"
"2.22000","0.18523","-0.00064"
"2.22600","0.18571","-0.00048"
"2.23200","0.18624","-0.00035"
"2.23800","0.18672","-0.00019"
"2.24400","0.18720","-0.00004"
"2.25000","0.18774","0.00006"
"2.25600","0.18822","0.00022"
"2.26200","0.18876","0.00032"
"2.26800","0.18923","0.00042"
"2.27400","0.18971","0.00047"
"2.28000","0.19025","0.00028"
"2.28600","0.19073","-0.00004"
"2.29200","0.19121","-0.00021"
"2.29800","0.19175","-0.00030"
"2.30400","0.19222","-0.00039"
"2.31000","0.19270","-0.00042"
"2.31600","0.19324","-0.00038"
"2.32200","0.19372","-0.00044"
"2.32800","0.19420","-0.00049"
"2.33400","0.19473","-0.00046"
"2.34000","0.19521","-0.00049"
"2.34600","0.19569","-0.00061"
"2.35200","0.19623","-0.00070"
"2.35800","0.19671","-0.00071"
"2.36400","0.19719","-0.00077"
"2.37000","0.19772","-0.00087"
"2.37600","0.19820","-0.00092"
"2.38200","0.19868","-0.00081"
"2.38800","0.19916","-0.00062"
"2.39400","0.19970","-0.00044"
"2.40000","0.20018","-0.00026"
"2.40600","0.20065","-0.00008"
"2.41200","0.20119","-0.00002"
"2.41800","0.20167","0.00005"
"2.42400","0.20215","0.00009"
"2.43000","0.20263","0.00003"
"2.43600","0.20316","0.00001"
"2.44200","0.20364","-0.00002"
"2.44800","0.20412","-0.00006"
"2.45400","0.20466","-0.00015"
"2.46000","0.20514","-0.00026"
"2.46600","0.20562","-0.00022"
"2.47200","0.20615","-0.00018"
"2.47800","0.20663","-0.00012"
"2.48400","0.20711","0.00003"
"2.49000","0.20765","0.00006"
"2.49600","0.20813","0.00005"
"2.50200","0.20861","-0.00005"
"2.50800","0.20914","-0.00016"
"2.51400","0.20962","-0.00026"
"2.52000","0.21016","-0.00032"
"2.52600","0.21064","-0.00045"
"2.53200","0.21118","-0.00054"
"2.53800","0.21165","-0.00053"
"2.54400","0.21219","-0.00052"
"2.55000","0.21267","-0.00043"
"2.55600","0.21321","-0.00024"
"2.56200","0.21369","-0.00012"
"2.56800","0.21423","-0.00010"
"2.57400","0.21470","-0.00011"
