End date,"1/7/2017"
Specimen label,"18CT_NT1"
Maximum Load,"0.01610",N

Time,Extension,Load
(s),(mm),(N)
"2.07600","0.17321","0.00074"
"2.08200","0.17375","0.00063"
"2.08800","0.17423","0.00050"
"2.09400","0.17476","0.00041"
"2.10000","0.17524","0.00039"
"2.10600","0.17572","0.00043"
"2.11200","0.17626","0.00045"
"2.11800","0.17674","0.00037"
"2.12400","0.17722","0.00034"
"2.13000","0.17775","0.00028"
"2.13600","0.17823","0.00023"
"2.14200","0.17871","0.00021"
"2.14800","0.17925","0.00018"
"2.15400","0.17973","0.00038"
"2.16000","0.18021","0.00054"
"2.16600","0.18074","0.00067"
"2.17200","0.18122","0.00074"
"2.17800","0.18176","0.00075"
"2.18400","0.18224","0.00073"
"2.19000","0.18272","0.00072"
"2.19600","0.18325","0.00073"
"2.20200","0.18373","0.00069"
"2.20800","0.18427","0.00068"
"2.21400","0.18475","0.00069"
"2.22000","0.18529","0.00067"
"2.22600","0.18577","0.00065"
"2.23200","0.18624","0.00060"
"2.23800","0.18672","0.00047"
"2.24400","0.18720","0.00035"
"2.25000","0.18774","0.00037"
"2.25600","0.18822","0.00034"
"2.26200","0.18870","0.00030"
"2.26800","0.18917","0.00033"
"2.27400","0.18971","0.00029"
"2.28000","0.19019","0.00013"
"2.28600","0.19067","0.00002"
"2.29200","0.19121","-0.00001"
"2.29800","0.19169","-0.00002"
"2.30400","0.19216","0.00005"
"2.31000","0.19270","0.00011"
"2.31600","0.19318","0.00019"
"2.32200","0.19366","0.00014"
"2.32800","0.19420","0.00011"
"2.33400","0.19467","0.00016"
"2.34000","0.19521","0.00017"
"2.34600","0.19569","0.00015"
"2.35200","0.19623","0.00020"
"2.35800","0.19671","0.00029"
"2.36400","0.19725","0.00027"
"2.37000","0.19772","0.00025"
"2.37600","0.19820","0.00028"
"2.38200","0.19868","0.00025"
"2.38800","0.19922","0.00024"
"2.39400","0.19970","0.00019"
"2.40000","0.20018","0.00018"
"2.40600","0.20065","0.00010"
"2.41200","0.20119","0.00003"
"2.41800","0.20167","0.00017"
"2.42400","0.20215","0.00038"
"2.43000","0.20269","0.00052"
"2.43600","0.20316","0.00061"
"2.44200","0.20364","0.00068"
"2.44800","0.20418","0.00057"
"2.45400","0.20466","0.00044"
"2.46000","0.20514","0.00043"
"2.46600","0.20568","0.00061"
"2.47200","0.20615","0.00077"
"2.47800","0.20669","0.00077"
"2.48400","0.20717","0.00064"
"2.49000","0.20765","0.00053"
"2.49600","0.20819","0.00047"
"2.50200","0.20873","0.00050"
"2.50800","0.20920","0.00055"
"2.51400","0.20968","0.00054"
"2.52000","0.21022","0.00057"
"2.52600","0.21070","0.00056"
"2.53200","0.21118","0.00051"
"2.53800","0.21165","0.00043"
"2.54400","0.21213","0.00050"
"2.55000","0.21267","0.00051"
"2.55600","0.21315","0.00055"
"2.56200","0.21363","0.00058"
"2.56800","0.21417","0.00053"
"2.57400","0.21464","0.00050"
"2.58000","0.21518","0.00048"
"2.58600","0.21566","0.00050"
"2.59200","0.21614","0.00055"
"2.59800","0.21668","0.00058"
"2.60400","0.21716","0.00049"
"2.61000","0.21769","0.00050"
"2.61600","0.21817","0.00059"
"2.62200","0.21865","0.00060"
"2.62800","0.21919","0.00054"
"2.63400","0.21973","0.00056"
"2.64000","0.22020","0.00065"
"2.64600","0.22074","0.00073"
"2.65200","0.22122","0.00081"
"2.65800","0.22170","0.00084"
"2.66400","0.22224","0.00078"
"2.67000","0.22272","0.00086"
"2.67600","0.22325","0.00087"
"2.68200","0.22373","0.00098"
"2.68800","0.22421","0.00112"
"2.69400","0.22469","0.00108"
"2.70000","0.22523","0.00095"
"2.70600","0.22571","0.00078"
"2.71200","0.22618","0.00055"
"2.71800","0.22672","0.00033"
"2.72400","0.22720","0.00026"
"2.73000","0.22768","0.00020"
"2.73600","0.22822","0.00022"
"2.74200","0.22869","0.00019"
"2.74800","0.22923","0.00017"
"2.75400","0.22971","0.00021"
"2.76000","0.23019","0.00025"
"2.76600","0.23073","0.00026"
"2.77200","0.23127","0.00017"
"2.77800","0.23174","0.00005"
"2.78400","0.23228","0.00009"
"2.79000","0.23276","0.00020"
"2.79600","0.23324","0.00026"
"2.80200","0.23378","0.00032"
"2.80800","0.23426","0.00037"
"2.81400","0.23473","0.00032"
"2.82000","0.23521","0.00039"
"2.82600","0.23575","0.00049"
"2.83200","0.23623","0.00046"
"2.83800","0.23671","0.00048"
"2.84400","0.23719","0.00067"
"2.85000","0.23766","0.00090"
"2.85600","0.23820","0.00105"
"2.86200","0.23868","0.00117"
"2.86800","0.23916","0.00121"
"2.87400","0.23970","0.00110"
"2.88000","0.24017","0.00085"
"2.88600","0.24065","0.00074"
"2.89200","0.24119","0.00056"
"2.89800","0.24167","0.00040"
"2.90400","0.24215","0.00039"
"2.91000","0.24269","0.00045"
"2.91600","0.24316","0.00047"
"2.92200","0.24364","0.00050"
"2.92800","0.24418","0.00053"
"2.93400","0.24472","0.00053"
"2.94000","0.24520","0.00054"
"2.94600","0.24568","0.00070"
"2.95200","0.24615","0.00085"
"2.95800","0.24663","0.00092"
"2.96400","0.24717","0.00083"
"2.97000","0.24765","0.00064"
"2.97600","0.24813","0.00046"
"2.98200","0.24866","0.00025"
"2.98800","0.24914","0.00000"
"2.99400","0.24962","-0.00018"
"3.00000","0.25016","-0.00008"
"3.00600","0.25064","0.00006"
"3.01200","0.25112","0.00018"
"3.01800","0.25165","0.00023"
"3.02400","0.25213","0.00032"
"3.03000","0.25267","0.00043"
"3.03600","0.25315","0.00061"
"3.04200","0.25363","0.00075"
"3.04800","0.25417","0.00078"
"3.05400","0.25464","0.00071"
"3.06000","0.25518","0.00059"
"3.06600","0.25566","0.00047"
"3.07200","0.25620","0.00036"
"3.07800","0.25668","0.00035"
"3.08400","0.25721","0.00046"
"3.09000","0.25769","0.00059"
"3.09600","0.25823","0.00057"
"3.10200","0.25871","0.00058"
"3.10800","0.25919","0.00057"
"3.11400","0.25967","0.00057"
"3.12000","0.26014","0.00045"
"3.12600","0.26062","0.00037"
"3.13200","0.26116","0.00028"
"3.13800","0.26164","0.00018"
"3.14400","0.26218","0.00009"
"3.15000","0.26266","0.00003"
"3.15600","0.26313","-0.00003"
"3.16200","0.26367","-0.00011"
"3.16800","0.26415","-0.00004"
"3.17400","0.26469","0.00013"
"3.18000","0.26517","0.00022"
"3.18600","0.26564","0.00028"
"3.19200","0.26618","0.00028"
"3.19800","0.26666","0.00015"
"3.20400","0.26720","0.00013"
"3.21000","0.26768","0.00014"
"3.21600","0.26822","0.00013"
"3.22200","0.26869","0.00017"
"3.22800","0.26923","0.00022"
"3.23400","0.26971","0.00021"
"3.24000","0.27019","0.00035"
"3.24600","0.27073","0.00041"
"3.25200","0.27121","0.00055"
"3.25800","0.27168","0.00063"
"3.26400","0.27216","0.00066"
"3.27000","0.27270","0.00075"
"3.27600","0.27318","0.00067"
"3.28200","0.27366","0.00055"
"3.28800","0.27419","0.00042"
"3.29400","0.27467","0.00023"
"3.30000","0.27515","0.00009"
"3.30600","0.27569","0.00012"
"3.31200","0.27617","0.00022"
"3.31800","0.27671","0.00024"
"3.32400","0.27718","0.00026"
"3.33000","0.27772","0.00026"
"3.33600","0.27820","0.00030"
"3.34200","0.27868","0.00040"
