End date,"1/8/2017"
Specimen label,"11DG_Unk2"
Maximum Load,"0.18525",N

Time,Extension,Load
(s),(mm),(N)
"1.87800","1.87745","-0.00369"
"1.88400","1.87793","-0.00372"
"1.89000","1.87847","-0.00382"
"1.89600","1.87895","-0.00395"
"1.90200","1.87942","-0.00410"
"1.90800","1.87990","-0.00417"
"1.91400","1.88044","-0.00421"
"1.92000","1.88092","-0.00432"
"1.92600","1.88140","-0.00438"
"1.93200","1.88194","-0.00434"
"1.93800","1.88241","-0.00436"
"1.94400","1.88289","-0.00433"
"1.95000","1.88343","-0.00421"
"1.95600","1.88391","-0.00410"
"1.96200","1.88439","-0.00402"
"1.96800","1.88492","-0.00400"
"1.97400","1.88540","-0.00393"
"1.98000","1.88594","-0.00395"
"1.98600","1.88642","-0.00402"
"1.99200","1.88696","-0.00411"
"1.99800","1.88744","-0.00419"
"2.00400","1.88797","-0.00428"
"2.01000","1.88845","-0.00435"
"2.01600","1.88893","-0.00433"
"2.02200","1.88947","-0.00430"
"2.02800","1.88995","-0.00430"
"2.03400","1.89043","-0.00433"
"2.04000","1.89090","-0.00435"
"2.04600","1.89144","-0.00439"
"2.05200","1.89192","-0.00440"
"2.05800","1.89240","-0.00447"
"2.06400","1.89294","-0.00455"
"2.07000","1.89341","-0.00461"
"2.07600","1.89389","-0.00452"
"2.08200","1.89443","-0.00434"
"2.08800","1.89491","-0.00416"
"2.09400","1.89539","-0.00406"
"2.10000","1.89587","-0.00407"
"2.10600","1.89640","-0.00404"
"2.11200","1.89688","-0.00410"
"2.11800","1.89736","-0.00425"
"2.12400","1.89790","-0.00421"
"2.13000","1.89838","-0.00420"
"2.13600","1.89892","-0.00431"
"2.14200","1.89939","-0.00437"
"2.14800","1.89987","-0.00446"
"2.15400","1.90041","-0.00462"
"2.16000","1.90089","-0.00467"
"2.16600","1.90143","-0.00456"
"2.17200","1.90191","-0.00431"
"2.17800","1.90238","-0.00417"
"2.18400","1.90286","-0.00423"
"2.19000","1.90334","-0.00426"
"2.19600","1.90388","-0.00429"
"2.20200","1.90436","-0.00437"
"2.20800","1.90483","-0.00437"
"2.21400","1.90537","-0.00430"
"2.22000","1.90585","-0.00417"
"2.22600","1.90639","-0.00409"
"2.23200","1.90687","-0.00409"
"2.23800","1.90735","-0.00409"
"2.24400","1.90788","-0.00420"
"2.25000","1.90836","-0.00424"
"2.25600","1.90890","-0.00416"
"2.26200","1.90938","-0.00417"
"2.26800","1.90992","-0.00421"
"2.27400","1.91040","-0.00419"
"2.28000","1.91093","-0.00411"
"2.28600","1.91147","-0.00415"
"2.29200","1.91195","-0.00418"
"2.29800","1.91249","-0.00414"
"2.30400","1.91303","-0.00414"
"2.31000","1.91350","-0.00414"
"2.31600","1.91398","-0.00428"
"2.32200","1.91446","-0.00438"
"2.32800","1.91500","-0.00443"
"2.33400","1.91548","-0.00441"
"2.34000","1.91596","-0.00431"
"2.34600","1.91643","-0.00410"
"2.35200","1.91697","-0.00397"
"2.35800","1.91745","-0.00390"
"2.36400","1.91793","-0.00398"
"2.37000","1.91841","-0.00401"
"2.37600","1.91895","-0.00409"
"2.38200","1.91942","-0.00425"
"2.38800","1.91996","-0.00447"
"2.39400","1.92044","-0.00457"
"2.40000","1.92098","-0.00457"
"2.40600","1.92146","-0.00452"
"2.41200","1.92193","-0.00441"
"2.41800","1.92247","-0.00440"
"2.42400","1.92295","-0.00431"
"2.43000","1.92349","-0.00424"
"2.43600","1.92397","-0.00422"
"2.44200","1.92445","-0.00415"
"2.44800","1.92498","-0.00409"
"2.45400","1.92546","-0.00409"
"2.46000","1.92594","-0.00416"
"2.46600","1.92642","-0.00442"
"2.47200","1.92696","-0.00464"
"2.47800","1.92744","-0.00477"
"2.48400","1.92791","-0.00483"
"2.49000","1.92839","-0.00464"
"2.49600","1.92893","-0.00450"
"2.50200","1.92941","-0.00442"
"2.50800","1.92989","-0.00435"
"2.51400","1.93042","-0.00438"
"2.52000","1.93090","-0.00440"
"2.52600","1.93138","-0.00433"
"2.53200","1.93192","-0.00424"
"2.53800","1.93240","-0.00409"
"2.54400","1.93288","-0.00401"
"2.55000","1.93341","-0.00400"
"2.55600","1.93389","-0.00394"
"2.56200","1.93443","-0.00391"
"2.56800","1.93491","-0.00396"
"2.57400","1.93545","-0.00393"
"2.58000","1.93593","-0.00389"
"2.58600","1.93646","-0.00393"
"2.59200","1.93694","-0.00405"
"2.59800","1.93742","-0.00425"
"2.60400","1.93790","-0.00448"
"2.61000","1.93838","-0.00458"
"2.61600","1.93891","-0.00466"
"2.62200","1.93939","-0.00459"
"2.62800","1.93987","-0.00454"
"2.63400","1.94041","-0.00449"
"2.64000","1.94089","-0.00445"
"2.64600","1.94137","-0.00447"
