End date,"1/8/2017"
Specimen label,"11DG_unk1"
Maximum Load,"0.74045",N

Time,Extension,Load
(s),(mm),(N)
"1.65600","0.13823","0.00348"
"1.66200","0.13871","0.00344"
"1.66800","0.13925","0.00343"
"1.67400","0.13973","0.00335"
"1.68000","0.14021","0.00320"
"1.68600","0.14074","0.00317"
"1.69200","0.14122","0.00317"
"1.69800","0.14170","0.00310"
"1.70400","0.14224","0.00307"
"1.71000","0.14272","0.00304"
"1.71600","0.14326","0.00307"
"1.72200","0.14373","0.00322"
"1.72800","0.14427","0.00336"
"1.73400","0.14475","0.00347"
"1.74000","0.14523","0.00362"
"1.74600","0.14577","0.00370"
"1.75200","0.14625","0.00362"
"1.75800","0.14678","0.00352"
"1.76400","0.14726","0.00337"
"1.77000","0.14774","0.00331"
"1.77600","0.14828","0.00344"
"1.78200","0.14876","0.00354"
"1.78800","0.14929","0.00360"
"1.79400","0.14977","0.00362"
"1.80000","0.15025","0.00366"
"1.80600","0.15073","0.00366"
"1.81200","0.15127","0.00361"
"1.81800","0.15175","0.00353"
"1.82400","0.15222","0.00347"
"1.83000","0.15276","0.00336"
"1.83600","0.15324","0.00331"
"1.84200","0.15372","0.00335"
"1.84800","0.15426","0.00330"
"1.85400","0.15474","0.00331"
"1.86000","0.15527","0.00346"
"1.86600","0.15575","0.00354"
"1.87200","0.15623","0.00355"
"1.87800","0.15677","0.00347"
"1.88400","0.15725","0.00342"
"1.89000","0.15772","0.00330"
"1.89600","0.15826","0.00309"
"1.90200","0.15874","0.00307"
"1.90800","0.15922","0.00326"
"1.91400","0.15976","0.00340"
"1.92000","0.16024","0.00357"
"1.92600","0.16071","0.00389"
"1.93200","0.16125","0.00424"
"1.93800","0.16173","0.00443"
"1.94400","0.16227","0.00436"
"1.95000","0.16275","0.00428"
"1.95600","0.16323","0.00421"
"1.96200","0.16376","0.00428"
"1.96800","0.16424","0.00431"
"1.97400","0.16472","0.00426"
"1.98000","0.16526","0.00415"
"1.98600","0.16574","0.00412"
"1.99200","0.16621","0.00404"
"1.99800","0.16675","0.00393"
"2.00400","0.16723","0.00384"
"2.01000","0.16777","0.00387"
"2.01600","0.16825","0.00391"
"2.02200","0.16873","0.00403"
"2.02800","0.16920","0.00407"
"2.03400","0.16974","0.00415"
"2.04000","0.17022","0.00428"
"2.04600","0.17070","0.00434"
"2.05200","0.17124","0.00435"
"2.05800","0.17172","0.00424"
"2.06400","0.17219","0.00409"
"2.07000","0.17273","0.00391"
"2.07600","0.17321","0.00386"
"2.08200","0.17369","0.00391"
"2.08800","0.17417","0.00404"
"2.09400","0.17471","0.00417"
"2.10000","0.17518","0.00423"
"2.10600","0.17566","0.00428"
"2.11200","0.17620","0.00427"
"2.11800","0.17668","0.00424"
"2.12400","0.17722","0.00434"
"2.13000","0.17769","0.00439"
"2.13600","0.17817","0.00423"
"2.14200","0.17871","0.00406"
"2.14800","0.17919","0.00391"
"2.15400","0.17973","0.00379"
"2.16000","0.18021","0.00369"
"2.16600","0.18068","0.00380"
"2.17200","0.18122","0.00390"
"2.17800","0.18170","0.00392"
"2.18400","0.18224","0.00393"
"2.19000","0.18272","0.00378"
"2.19600","0.18320","0.00364"
"2.20200","0.18373","0.00351"
"2.20800","0.18421","0.00349"
"2.21400","0.18469","0.00339"
"2.22000","0.18523","0.00332"
"2.22600","0.18571","0.00342"
"2.23200","0.18618","0.00356"
"2.23800","0.18672","0.00355"
"2.24400","0.18720","0.00342"
"2.25000","0.18774","0.00338"
"2.25600","0.18822","0.00345"
"2.26200","0.18876","0.00355"
"2.26800","0.18923","0.00380"
"2.27400","0.18977","0.00411"
"2.28000","0.19025","0.00428"
"2.28600","0.19073","0.00436"
"2.29200","0.19127","0.00436"
"2.29800","0.19175","0.00430"
"2.30400","0.19222","0.00408"
"2.31000","0.19270","0.00382"
"2.31600","0.19324","0.00371"
"2.32200","0.19372","0.00370"
"2.32800","0.19420","0.00371"
"2.33400","0.19473","0.00371"
"2.34000","0.19521","0.00381"
"2.34600","0.19575","0.00393"
"2.35200","0.19623","0.00406"
"2.35800","0.19677","0.00417"
"2.36400","0.19725","0.00430"
"2.37000","0.19772","0.00444"
"2.37600","0.19826","0.00445"
"2.38200","0.19874","0.00433"
"2.38800","0.19922","0.00429"
"2.39400","0.19976","0.00440"
"2.40000","0.20024","0.00445"
"2.40600","0.20071","0.00447"
"2.41200","0.20125","0.00447"
"2.41800","0.20173","0.00449"
"2.42400","0.20221","0.00438"
"2.43000","0.20275","0.00429"
"2.43600","0.20322","0.00426"
"2.44200","0.20370","0.00419"
"2.44800","0.20424","0.00418"
"2.45400","0.20472","0.00414"
"2.46000","0.20520","0.00414"
"2.46600","0.20574","0.00415"
"2.47200","0.20621","0.00402"
"2.47800","0.20669","0.00387"
"2.48400","0.20723","0.00381"
"2.49000","0.20771","0.00374"
"2.49600","0.20825","0.00369"
"2.50200","0.20873","0.00374"
"2.50800","0.20926","0.00388"
"2.51400","0.20974","0.00392"
"2.52000","0.21022","0.00399"
"2.52600","0.21076","0.00409"
"2.53200","0.21124","0.00412"
"2.53800","0.21171","0.00418"
"2.54400","0.21219","0.00416"
"2.55000","0.21267","0.00420"
"2.55600","0.21321","0.00431"
"2.56200","0.21369","0.00431"
"2.56800","0.21417","0.00424"
"2.57400","0.21470","0.00413"
"2.58000","0.21518","0.00406"
"2.58600","0.21572","0.00398"
"2.59200","0.21620","0.00394"
"2.59800","0.21668","0.00389"
"2.60400","0.21722","0.00375"
"2.61000","0.21769","0.00363"
"2.61600","0.21817","0.00363"
"2.62200","0.21871","0.00373"
"2.62800","0.21919","0.00386"
"2.63400","0.21973","0.00400"
"2.64000","0.22020","0.00420"
"2.64600","0.22074","0.00442"
"2.65200","0.22122","0.00453"
"2.65800","0.22176","0.00449"
"2.66400","0.22224","0.00435"
"2.67000","0.22272","0.00426"
"2.67600","0.22319","0.00417"
"2.68200","0.22373","0.00415"
"2.68800","0.22421","0.00421"
"2.69400","0.22469","0.00420"
"2.70000","0.22523","0.00432"
"2.70600","0.22571","0.00446"
"2.71200","0.22618","0.00446"
"2.71800","0.22672","0.00433"
"2.72400","0.22720","0.00433"
"2.73000","0.22774","0.00432"
"2.73600","0.22822","0.00420"
"2.74200","0.22869","0.00410"
"2.74800","0.22923","0.00407"
"2.75400","0.22971","0.00409"
"2.76000","0.23025","0.00409"
"2.76600","0.23073","0.00416"
"2.77200","0.23127","0.00417"
"2.77800","0.23174","0.00414"
"2.78400","0.23228","0.00417"
"2.79000","0.23276","0.00431"
"2.79600","0.23330","0.00437"
"2.80200","0.23378","0.00434"
"2.80800","0.23432","0.00426"
"2.81400","0.23479","0.00419"
"2.82000","0.23527","0.00420"
"2.82600","0.23581","0.00425"
"2.83200","0.23629","0.00431"
"2.83800","0.23677","0.00430"
"2.84400","0.23724","0.00429"
"2.85000","0.23772","0.00435"
"2.85600","0.23826","0.00441"
"2.86200","0.23874","0.00441"
"2.86800","0.23922","0.00436"
"2.87400","0.23970","0.00434"
"2.88000","0.24017","0.00431"
"2.88600","0.24071","0.00427"
"2.89200","0.24119","0.00423"
"2.89800","0.24167","0.00411"
"2.90400","0.24221","0.00409"
"2.91000","0.24269","0.00411"
"2.91600","0.24322","0.00416"
"2.92200","0.24376","0.00422"
"2.92800","0.24424","0.00425"
"2.93400","0.24472","0.00434"
"2.94000","0.24526","0.00441"
"2.94600","0.24573","0.00438"
"2.95200","0.24627","0.00435"
"2.95800","0.24675","0.00434"
"2.96400","0.24723","0.00435"
"2.97000","0.24777","0.00430"
"2.97600","0.24825","0.00426"
"2.98200","0.24872","0.00429"
"2.98800","0.24920","0.00433"
"2.99400","0.24968","0.00428"
"3.00000","0.25022","0.00423"
"3.00600","0.25070","0.00435"
"3.01200","0.25118","0.00433"
"3.01800","0.25171","0.00443"
"3.02400","0.25219","0.00454"
"3.03000","0.25267","0.00451"
"3.03600","0.25321","0.00447"
"3.04200","0.25369","0.00443"
"3.04800","0.25417","0.00441"
"3.05400","0.25470","0.00441"
"3.06000","0.25518","0.00439"
"3.06600","0.25572","0.00431"
"3.07200","0.25620","0.00410"
"3.07800","0.25668","0.00394"
"3.08400","0.25721","0.00391"
"3.09000","0.25769","0.00406"
"3.09600","0.25817","0.00421"
"3.10200","0.25865","0.00429"
"3.10800","0.25919","0.00445"
"3.11400","0.25967","0.00449"
"3.12000","0.26014","0.00444"
"3.12600","0.26068","0.00436"
"3.13200","0.26116","0.00424"
"3.13800","0.26164","0.00414"
"3.14400","0.26218","0.00415"
"3.15000","0.26266","0.00416"
"3.15600","0.26313","0.00437"
"3.16200","0.26367","0.00451"
"3.16800","0.26415","0.00460"
"3.17400","0.26463","0.00468"
"3.18000","0.26511","0.00458"
"3.18600","0.26564","0.00451"
"3.19200","0.26612","0.00456"
"3.19800","0.26666","0.00463"
"3.20400","0.26714","0.00466"
"3.21000","0.26768","0.00465"
"3.21600","0.26822","0.00462"
"3.22200","0.26869","0.00460"
"3.22800","0.26923","0.00462"
"3.23400","0.26971","0.00458"
"3.24000","0.27025","0.00458"
"3.24600","0.27073","0.00458"
"3.25200","0.27121","0.00451"
"3.25800","0.27174","0.00446"
"3.26400","0.27222","0.00431"
"3.27000","0.27270","0.00409"
"3.27600","0.27324","0.00401"
"3.28200","0.27372","0.00409"
"3.28800","0.27425","0.00425"
"3.29400","0.27473","0.00431"
"3.30000","0.27521","0.00433"
"3.30600","0.27575","0.00431"
"3.31200","0.27623","0.00424"
"3.31800","0.27671","0.00419"
"3.32400","0.27724","0.00437"
"3.33000","0.27772","0.00462"
"3.33600","0.27820","0.00481"
"3.34200","0.27874","0.00495"
"3.34800","0.27922","0.00507"
"3.35400","0.27976","0.00514"
"3.36000","0.28023","0.00514"
"3.36600","0.28071","0.00508"
"3.37200","0.28125","0.00499"
"3.37800","0.28173","0.00489"
"3.38400","0.28221","0.00484"
"3.39000","0.28274","0.00474"
"3.39600","0.28322","0.00460"
"3.40200","0.28370","0.00444"
"3.40800","0.28418","0.00436"
"3.41400","0.28472","0.00431"
"3.42000","0.28520","0.00422"
"3.42600","0.28573","0.00422"
"3.43200","0.28621","0.00427"
"3.43800","0.28669","0.00434"
"3.44400","0.28723","0.00427"
"3.45000","0.28771","0.00421"
"3.45600","0.28819","0.00425"
"3.46200","0.28872","0.00431"
"3.46800","0.28920","0.00440"
"3.47400","0.28974","0.00444"
"3.48000","0.29022","0.00448"
"3.48600","0.29070","0.00447"
"3.49200","0.29123","0.00439"
"3.49800","0.29171","0.00435"
"3.50400","0.29225","0.00440"
"3.51000","0.29273","0.00442"
"3.51600","0.29321","0.00445"
"3.52200","0.29375","0.00462"
"3.52800","0.29422","0.00478"
"3.53400","0.29476","0.00483"
"3.54000","0.29524","0.00487"
"3.54600","0.29572","0.00484"
