End date,"1/8/2017"
Specimen label,"9BT_74_2"
Maximum Load,"0.16759",N

Time,Extension,Load
(s),(mm),(N)
"2.76000","18.11731","0.07405"
"2.76600","18.11778","0.07403"
"2.77200","18.11832","0.07401"
"2.77800","18.11880","0.07403"
"2.78400","18.11928","0.07412"
"2.79000","18.11982","0.07419"
"2.79600","18.12029","0.07424"
"2.80200","18.12077","0.07433"
"2.80800","18.12125","0.07437"
"2.81400","18.12179","0.07432"
"2.82000","18.12227","0.07428"
"2.82600","18.12280","0.07422"
"2.83200","18.12328","0.07409"
"2.83800","18.12382","0.07400"
"2.84400","18.12430","0.07398"
"2.85000","18.12484","0.07404"
"2.85600","18.12538","0.07406"
"2.86200","18.12585","0.07414"
"2.86800","18.12633","0.07429"
"2.87400","18.12687","0.07441"
"2.88000","18.12735","0.07454"
"2.88600","18.12783","0.07458"
"2.89200","18.12831","0.07448"
"2.89800","18.12884","0.07437"
"2.90400","18.12932","0.07425"
"2.91000","18.12986","0.07407"
"2.91600","18.13034","0.07390"
"2.92200","18.13088","0.07374"
"2.92800","18.13136","0.07359"
"2.93400","18.13189","0.07358"
"2.94000","18.13237","0.07362"
"2.94600","18.13291","0.07356"
"2.95200","18.13339","0.07358"
"2.95800","18.13387","0.07353"
"2.96400","18.13440","0.07352"
"2.97000","18.13488","0.07359"
"2.97600","18.13542","0.07366"
"2.98200","18.13590","0.07369"
"2.98800","18.13638","0.07362"
"2.99400","18.13692","0.07354"
"3.00000","18.13739","0.07354"
"3.00600","18.13787","0.07352"
"3.01200","18.13841","0.07343"
"3.01800","18.13889","0.07336"
"3.02400","18.13937","0.07334"
"3.03000","18.13984","0.07331"
"3.03600","18.14032","0.07346"
"3.04200","18.14086","0.07364"
"3.04800","18.14134","0.07374"
"3.05400","18.14188","0.07378"
"3.06000","18.14235","0.07379"
"3.06600","18.14289","0.07382"
"3.07200","18.14337","0.07377"
"3.07800","18.14391","0.07363"
"3.08400","18.14439","0.07350"
"3.09000","18.14487","0.07339"
"3.09600","18.14541","0.07333"
"3.10200","18.14588","0.07340"
"3.10800","18.14636","0.07355"
"3.11400","18.14690","0.07382"
"3.12000","18.14738","0.07407"
"3.12600","18.14792","0.07421"
"3.13200","18.14840","0.07423"
"3.13800","18.14887","0.07417"
"3.14400","18.14941","0.07408"
"3.15000","18.14989","0.07402"
"3.15600","18.15043","0.07398"
"3.16200","18.15091","0.07404"
"3.16800","18.15138","0.07418"
"3.17400","18.15186","0.07434"
"3.18000","18.15240","0.07449"
"3.18600","18.15288","0.07464"
"3.19200","18.15336","0.07469"
"3.19800","18.15384","0.07465"
